entity_type	source_label	source_record_ids	decision	proposed_registry_id	canonical_label	parent_registry_id	variant_kind	language_code	jurisdiction	version	source_identifier	scope	aliases	note
Instrument	EQ-5D-3L proxy version 1	C50-P049	ADD_GLOBAL	instrument:eq-5d-3l-proxy-v1	EQ-5D-3L proxy version 1	instrument:eq-5d-3l	RESPONDENT_VERSION			1	10.3390/curroncol32060308	GLOBAL		
Instrument	EQ-5D-5L	C50-P028;C50-P032;C50-P049;CAL-B12;R129-P028;R129-P038;R129-P064;R129-P106;R129-P110;R129-P117;R129-P127	KEEP_EXISTING	instrument:eq-5d-5l	EQ-5D-5L	instrument:eq-5d	LEVEL_VERSION			5L		GLOBAL		Current mapping is exact.
Instrument	EQ-5D-5L (5L)	R129-P064	KEEP_EXISTING	instrument:eq-5d-5l	EQ-5D-5L	instrument:eq-5d	LEVEL_VERSION			5L		GLOBAL	EQ-5D-5L (5L)	Current mapping is exact.
Instrument	EQ-5D-5L anxiety/depression dimension	R129-P106	TYPE_REPAIR	component:eq-5d-5l-anxiety-depression	EQ-5D-5L anxiety/depression dimension	instrument:eq-5d-5l	INSTRUMENT_COMPONENT			5L		GLOBAL	EQ-5D-5L anxiety/depression dimension	Repair to an instrument component. This is not the complete EQ-5D-5L instrument.
Instrument	EQ-5D-5L descriptive system	R129-P049	KEEP_EXISTING	instrument:eq-5d-5l	EQ-5D-5L	instrument:eq-5d	LEVEL_VERSION			5L		GLOBAL	EQ-5D-5L descriptive system	Current mapping is exact.
Instrument	EQ-5D-5L hypothetical health states	R129-P049	KEEP_EXISTING	instrument:eq-5d-5l	EQ-5D-5L	instrument:eq-5d	LEVEL_VERSION			5L		GLOBAL	EQ-5D-5L hypothetical health states	Current mapping is exact.
Instrument	EQ-5D-5L states from 2012	R129-P110	KEEP_EXISTING	instrument:eq-5d-5l	EQ-5D-5L	instrument:eq-5d	LEVEL_VERSION			5L		GLOBAL	EQ-5D-5L states from 2012	Current mapping is exact.
Instrument	EQ-5D-Y	R129-P127	KEEP_EXISTING	instrument:eq-5d-y	EQ-5D-Y	instrument:eq-5d	RESPONDENT_VERSION					GLOBAL		Current mapping is exact.
Instrument	EQ-5D-Y-3L	R129-P014	KEEP_EXISTING	instrument:eq-5d-y-3l	EQ-5D-Y-3L	instrument:eq-5d-y	LEVEL_VERSION			3L		GLOBAL		Current mapping is exact.
Instrument	EQ-5D-Y-4L	R129-P014	ADD_GLOBAL	instrument:eq-5d-y-4l	EQ-5D-Y-4L	instrument:eq-5d-y	LEVEL_VERSION			4L	10.1007/s11136-019-02115-x	GLOBAL		
Instrument	EQ-5D-Y-5L	R129-P014	KEEP_EXISTING	instrument:eq-5d-y-5l	EQ-5D-Y-5L	instrument:eq-5d-y	LEVEL_VERSION			5L		GLOBAL		Current mapping is exact.
Instrument	EQ-HWB	CAL-B03;R129-P018	KEEP_EXISTING	instrument:eq-hwb	EQ-HWB							GLOBAL		Current mapping is exact.
Instrument	EQ-HWB-S	R129-P028	KEEP_EXISTING	instrument:eq-hwb-s	EQ-HWB-S	instrument:eq-hwb	FORM_VERSION			SHORT		GLOBAL		Current mapping is exact.
Instrument	EQ-TIPS	R129-P129	KEEP_EXISTING	instrument:eq-tips	EQ-TIPS							GLOBAL		Current mapping is exact.
Instrument	EQ-TIPS visual analogue scale (VAS)	R129-P129	KEEP_EXISTING	instrument:eq-vas	EQ VAS							GLOBAL	EQ-TIPS visual analogue scale (VAS)	Current mapping is exact.
Instrument	EQ-TIPS-5L	C50-P032	ADD_GLOBAL	instrument:eq-tips-5l	EQ-TIPS-5L	instrument:eq-tips	EXPERIMENTAL_VERSION	en		3.0	10.1136/bmjopen-2025-100897	GLOBAL		The protocol identifies an experimental five-level descriptive system, version 3.0.
Instrument	EQ-TIPS-5L descriptive system	C50-P032	ALIAS_EXISTING	instrument:eq-tips-5l	EQ-TIPS-5L	instrument:eq-tips	EXPERIMENTAL_VERSION	en		3.0	10.1136/bmjopen-2025-100897	GLOBAL	EQ-TIPS-5L descriptive system	Alias supported by the same source identity.
Instrument	EQ-VAS	R129-P014;R129-P049;R129-P117;R129-P127	KEEP_EXISTING	instrument:eq-vas	EQ VAS							GLOBAL	EQ-VAS	Current mapping is exact.
Instrument	EQ‐5D‐5L	R129-P001	KEEP_EXISTING	instrument:eq-5d-5l	EQ-5D-5L	instrument:eq-5d	LEVEL_VERSION			5L		GLOBAL	EQ‐5D‐5L	Current mapping is exact.
Instrument	EQ‐5D‐5L health states	R129-P001	KEEP_EXISTING	instrument:eq-5d-5l	EQ-5D-5L	instrument:eq-5d	LEVEL_VERSION			5L		GLOBAL	EQ‐5D‐5L health states	Current mapping is exact.
Instrument	EQ‐5D‐5L instrument	R129-P001	KEEP_EXISTING	instrument:eq-5d-5l	EQ-5D-5L	instrument:eq-5d	LEVEL_VERSION			5L		GLOBAL	EQ‐5D‐5L instrument	Current mapping is exact.
Instrument	EQ‐VAS	R129-P001	KEEP_EXISTING	instrument:eq-vas	EQ VAS							GLOBAL	EQ‐VAS	Current mapping is exact.
Instrument	EuroQol Health and Wellbeing Short Version (EQ-HWB-9)	C50-P028	ALIAS_EXISTING	instrument:eq-hwb-s	EQ-HWB-S	instrument:eq-hwb	FORM_VERSION			SHORT		GLOBAL	EuroQol Health and Wellbeing Short Version (EQ-HWB-9)	EQ-HWB-9 is the nine-item EQ-HWB short form.
Instrument	Face, Leg, Activity, Cry, Consolability (FLACC) Pain Scale	R129-P129	ADD_GLOBAL	instrument:flacc-pain-scale	FLACC Pain Scale							GLOBAL	Face, Leg, Activity, Cry, Consolability (FLACC) Pain Scale	
Instrument	five-level self-rated general health (SRH) question (item 1 of the SF-36)	R129-P064	ADD_GLOBAL	instrument:sf-36-item-1-five-level	SF-36 item 1, five-level self-rated general health		PRODUCT_VERSION			five-level		GLOBAL	five-level self-rated general health (SRH) question (item 1 of the SF-36)	
Instrument	Functional Assessment of Cancer Therapy – General (FACT-G)	CAL-B12	ADD_GLOBAL	instrument:fact-g	FACT-G							GLOBAL	Functional Assessment of Cancer Therapy – General (FACT-G)	
Instrument	Health Utilities Index Mark 2 (HUI2)	C50-P028	ADD_GLOBAL	instrument:hui2	Health Utilities Index Mark 2	instrument:hui	PRODUCT_VERSION			Mark 2		GLOBAL	Health Utilities Index Mark 2 (HUI2)	
Instrument	Health Utilities Index Mark 3 (HUI3)	C50-P028	ADD_GLOBAL	instrument:hui3	Health Utilities Index Mark 3	instrument:hui	PRODUCT_VERSION			Mark 3		GLOBAL	Health Utilities Index Mark 3 (HUI3)	
Instrument	Health Utility Index (HUI)	R129-P090	ADD_GLOBAL	instrument:hui	Health Utilities Index							GLOBAL	Health Utility Index (HUI)	
Instrument	Health-related Quality of Life Instrument with 8 Items (HINT-8)	C50-P028	ADD_GLOBAL	instrument:hint-8	HINT-8		PRODUCT_VERSION			8-item		GLOBAL	Health-related Quality of Life Instrument with 8 Items (HINT-8)	
Instrument	isiXhosa EQ-TIPS	R129-P129	ADD_GLOBAL	instrument:eq-tips-3l-xh-za	EQ-TIPS-3L, isiXhosa, South Africa	instrument:eq-tips-3l	LANGUAGE_EDITION	xh	ZA	3L	10.4314/ahs.v23i4.63	GLOBAL	isiXhosa EQ-TIPS	The source states that this isiXhosa descriptive system has three response levels.
Instrument	isiXhosa version of the EQ-TIPS for South Africa	R129-P129	ALIAS_EXISTING	instrument:eq-tips-3l-xh-za	EQ-TIPS-3L, isiXhosa, South Africa	instrument:eq-tips-3l	LANGUAGE_EDITION	xh	ZA	3L	10.4314/ahs.v23i4.63	GLOBAL	isiXhosa version of the EQ-TIPS for South Africa	Alias of the same isiXhosa South African three-level edition.
Instrument	modified Rankin Scale (mRS)	R129-P064	ADD_GLOBAL	instrument:modified-rankin-scale	Modified Rankin Scale							GLOBAL	modified Rankin Scale (mRS)	
Instrument	official EQ-5D-5L traditional Chinese character Taiwan version	C50-P045	ADD_GLOBAL	instrument:eq-5d-5l-zh-hant-tw	EQ-5D-5L, Traditional Chinese, Taiwan	instrument:eq-5d-5l	LANGUAGE_EDITION	zh-Hant	TW	5L	10.1371/journal.pone.0209344	GLOBAL	official EQ-5D-5L traditional Chinese character Taiwan version	Add the exact language and jurisdiction edition.
Instrument	official Indonesian version of FACIT-COST (v2)	CAL-B12	ADD_GLOBAL	instrument:facit-cost-v2-id	Indonesian FACIT-COST v2	instrument:facit-cost	LANGUAGE_EDITION	id	ID	2	10.1186/s12955-024-02303-5	GLOBAL	official Indonesian version of FACIT-COST (v2)	
Instrument	PROMIS-16	R129-P038	ADD_GLOBAL	instrument:promis-16	PROMIS-16		PRODUCT_VERSION			16-item		GLOBAL		
Instrument	proxy version of the experimental EQ-HWB-9 (2022) questionnaire (English for Australia; version 1)	CAL-B03	ADD_GLOBAL	instrument:eq-hwb-9-proxy-en-au-v1	Experimental EQ-HWB-9 proxy questionnaire, English for Australia, version 1	instrument:eq-hwb-s	EXPERIMENTAL_VERSION	en	AU	1	10.1007/s11136-026-04230-y	GLOBAL	proxy version of the experimental EQ-HWB-9 (2022) questionnaire (English for Australia; version 1)	Add the exact experimental proxy, language, jurisdiction, and version identity.
Instrument	Quality of Well Being Self-Administered (QWB-SA)	C50-P028	ADD_GLOBAL	instrument:qwb-sa	QWB-SA		RESPONDENT_VERSION					GLOBAL	Quality of Well Being Self-Administered (QWB-SA)	
Instrument	Questions on objective financial toxicity (OFT)	R129-P028	ADD_SOURCE_SCOPED	instrument:r129-p028-objective-financial-toxicity-questions	Objective financial-toxicity questions		LOCAL_INSTRUMENT				10.1007/s11136-025-03925-y	R129-P028	Questions on objective financial toxicity (OFT)	The source defines a study-specific identity.
Instrument	Satisfaction with the National Health System (NHS) 1 to 10 scale	R129-P127	ADD_SOURCE_SCOPED	instrument:r129-p127-nhs-satisfaction-scale	National Health System satisfaction 1-to-10 scale		LOCAL_INSTRUMENT				10.3390/ijerph19138208	R129-P127	Satisfaction with the National Health System (NHS) 1 to 10 scale	The source defines a study-specific identity.
Instrument	Self-designed dietary information questionnaire	R129-P129	ADD_SOURCE_SCOPED	instrument:r129-p129-dietary-information-questionnaire	Study dietary-information questionnaire		LOCAL_INSTRUMENT				10.4314/ahs.v23i4.63	R129-P129	Self-designed dietary information questionnaire	The source defines a study-specific identity.
Instrument	self-reported EQ-5D-5L descriptive system	C50-P045	KEEP_EXISTING	instrument:eq-5d-5l	EQ-5D-5L	instrument:eq-5d	LEVEL_VERSION			5L		GLOBAL	self-reported EQ-5D-5L descriptive system	Current mapping is exact.
Instrument	Short-form 6-Dimension version 1 (SF-6Dv1)	C50-P028	ADD_GLOBAL	instrument:sf-6d-v1	SF-6Dv1		PRODUCT_VERSION			1		GLOBAL	Short-form 6-Dimension version 1 (SF-6Dv1)	
Instrument	The Ages and Stages Questionnaire (ASQ) Parent Report Form	R129-P129	ADD_GLOBAL	instrument:asq-parent-report-form	Ages and Stages Questionnaire Parent Report Form		RESPONDENT_VERSION					GLOBAL	The Ages and Stages Questionnaire (ASQ) Parent Report Form	
Instrument	Visual Analogue Scale	R129-P129	KEEP_EXISTING	instrument:eq-vas	EQ VAS							GLOBAL	Visual Analogue Scale	Current mapping is exact.
Instrument	visual analogue scale (VAS)	R129-P106	KEEP_EXISTING	instrument:eq-vas	EQ VAS							GLOBAL	visual analogue scale (VAS)	Current mapping is exact.
Instrument	Warwick Edinburgh Mental Wellbeing Scale (WEMWBS)	CAL-B12	ADD_GLOBAL	instrument:wemwbs	WEMWBS							GLOBAL	Warwick Edinburgh Mental Wellbeing Scale (WEMWBS)	
Instrument	WHOQOL-BREF	R129-P117	ADD_GLOBAL	instrument:whoqol-bref	WHOQOL-BREF		PRODUCT_VERSION			BREF		GLOBAL		
Method	1000 bootstrap samples	R129-P064	ADD_GLOBAL	method:bootstrap-resampling-1000	Bootstrap resampling, 1,000 samples		METHOD_VARIANT			1000		GLOBAL	1000 bootstrap samples	
Method	18 demographic quotas based on gender, age, and race/ethnicity	R129-P038	ADD_SOURCE_SCOPED	method:r129-p038-demographic-quota-sampling	Demographic quota sampling with 18 quotas		STUDY_ADAPTATION				10.1007/s11136-026-04242-8	R129-P038	18 demographic quotas based on gender, age, and race/ethnicity	The source defines a study-specific identity.
Method	5L/3L ratio of the SRM and SES statistics	R129-P064	KEEP_COMPOUND	method:r129-p064-5l-3l-responsiveness-ratio	5L-to-3L responsiveness-statistic ratio		INTEGRATED_WORKFLOW				10.1007/s40273-022-01172-4	R129-P064	5L/3L ratio of the SRM and SES statistics	Keep as one integrated procedure from the source.
Method	adaptation of the validation task developed by Lipman et al. (2020a)	R129-P001	ADD_SOURCE_SCOPED	method:r129-p001-adapted-lipman-validation-task	Adapted Lipman validation task		STUDY_ADAPTATION				10.1002/hec.4529	R129-P001	adaptation of the validation task developed by Lipman et al. (2020a)	The source defines a study-specific identity.
Method	ANOVA	R129-P117	ADD_GLOBAL	method:analysis-of-variance	Analysis of variance							GLOBAL	ANOVA	
Method	ANOVA analysis	R129-P127	ALIAS_EXISTING	method:analysis-of-variance	Analysis of variance							GLOBAL	ANOVA analysis	Alias supported by the same source identity.
Method	better than dead (BTD)	R129-P090	TYPE_REPAIR	concept:better-than-dead	Better than dead							GLOBAL	better than dead (BTD)	Repair to a valuation concept or task condition.
Method	Bland-Altman plots	R129-P117	ADD_GLOBAL	method:bland-altman-plots	Bland-Altman plots							GLOBAL		
Method	Bonferroni correction	R129-P127	ADD_GLOBAL	method:bonferroni-correction	Bonferroni correction							GLOBAL		
Method	ceiling and floor percentages	R129-P038	ADD_GLOBAL	method:ceiling-and-floor-percentages	ceiling and floor percentages							GLOBAL		
Method	chi-square	R129-P129	ALIAS_EXISTING	method:chi-square-test	Chi-square test							GLOBAL	chi-square	Alias supported by the same source identity.
Method	Chi-square test	R129-P117	ADD_GLOBAL	method:chi-square-test	Chi-square test							GLOBAL		
Method	Chi-squared tests	R129-P001	ALIAS_EXISTING	method:chi-square-test	Chi-square test							GLOBAL	Chi-squared tests	Alias supported by the same source identity.
Method	chi-squared tests	R129-P106	ALIAS_EXISTING	method:chi-square-test	Chi-square test							GLOBAL	chi-squared tests	Alias supported by the same source identity.
Method	cluster bootstrap techniques with replacement, block-specific strata and 1000 iterations	C50-P032	KEEP_COMPOUND	method:c50-p032-cluster-bootstrap	Cluster bootstrap with block-specific strata and 1,000 iterations		INTEGRATED_WORKFLOW				10.1136/bmjopen-2025-100897	C50-P032	cluster bootstrap techniques with replacement, block-specific strata and 1000 iterations	Keep as one integrated procedure from the source.
Method	cognitive interviews	R129-P014;R129-P129	ADD_GLOBAL	method:cognitive-interview	Cognitive interview							GLOBAL	cognitive interviews	
Method	Cohen's weighted Kappa	R129-P129	ADD_GLOBAL	method:cohen-weighted-kappa	Cohen's weighted kappa		METHOD_VARIANT					GLOBAL	Cohen's weighted Kappa	
Method	composite time trade‐off (cTTO)	R129-P001	KEEP_EXISTING	method:ctto	cTTO	method:tto	METHOD_VARIANT					GLOBAL	composite time trade‐off (cTTO)	Current mapping is exact.
Method	composite TTO (C-TTO)	C50-P045	KEEP_EXISTING	method:ctto	cTTO	method:tto	METHOD_VARIANT					GLOBAL	composite TTO (C-TTO)	Current mapping is exact.
Method	confirmatory factor analysis (CFA)	CAL-B12	TYPE_REPAIR	model:confirmatory-factor-analysis	Confirmatory factor analysis		FACTOR_MODEL					GLOBAL	confirmatory factor analysis (CFA)	Repair from MethodUse to ModelUse.
Method	content analysis	C50-P049	ADD_GLOBAL	method:content-analysis	content analysis							GLOBAL		
Method	convenience sampling	CAL-B03	ADD_GLOBAL	method:convenience-sampling	Convenience sampling							GLOBAL	convenience sampling	
Method	correction based on constant alternative (constant alternative correction)	R129-P001	ADD_GLOBAL	method:correction-based-on-constant-alternative-constant-alternative-correction	correction based on constant alternative (constant alternative correction)							GLOBAL		
Method	correction based on maximum BTD time (maximum BTD correction)	R129-P001	ADD_GLOBAL	method:correction-based-on-maximum-btd-time-maximum-btd-correction	correction based on maximum BTD time (maximum BTD correction)							GLOBAL		
Method	correlation analysis by means of Pearson coefficient	R129-P127	ALIAS_EXISTING	method:pearson-correlation	Pearson correlation coefficient							GLOBAL	correlation analysis by means of Pearson coefficient	Alias supported by the same source identity.
Method	Cronbach’s alpha	CAL-B12	ADD_GLOBAL	method:cronbachs-alpha	Cronbach’s alpha							GLOBAL		
Method	cTTO	R129-P049	KEEP_EXISTING	method:ctto	cTTO	method:tto	METHOD_VARIANT					GLOBAL		Current mapping is exact.
Method	DCE	R129-P049	KEEP_EXISTING	method:dce	DCE							GLOBAL		Current mapping is exact.
Method	descriptive analysis	R129-P127	ADD_GLOBAL	method:descriptive-analysis	descriptive analysis							GLOBAL		
Method	descriptive statistics assessing feasibility	C50-P049	ADD_GLOBAL	method:descriptive-statistics-assessing-feasibility	descriptive statistics assessing feasibility							GLOBAL		
Method	direct method	R129-P001	AMBIGUOUS											The source label does not identify a specific direct method.
Method	discrete choice experiment (DCE)	C50-P045	KEEP_EXISTING	method:dce	DCE							GLOBAL	discrete choice experiment (DCE)	Current mapping is exact.
Method	discrete choice experiment (DCE) with kaizen tasks	C50-P032	KEEP_EXISTING	method:dce	DCE							GLOBAL	discrete choice experiment (DCE) with kaizen tasks	Current mapping is exact.
Method	discrete choice experiment (DCE) with paired comparisons	C50-P032	KEEP_EXISTING	method:dce	DCE							GLOBAL	discrete choice experiment (DCE) with paired comparisons	Current mapping is exact.
Method	discrete choice experiments (DCE)	R129-P018	KEEP_EXISTING	method:dce	DCE							GLOBAL	discrete choice experiments (DCE)	Current mapping is exact.
Method	discrete choice experiments (DCEs)	R129-P090	KEEP_EXISTING	method:dce	DCE							GLOBAL	discrete choice experiments (DCEs)	Current mapping is exact.
Method	effect size of the change	R129-P106	ALIAS_EXISTING	method:standardized-effect-size	Standardized effect size							GLOBAL	effect size of the change	Alias supported by the same source identity.
Method	Electronic database search in CINAHL, PsycInfo, Embase and MEDLINE, supplemented with forward and backward citation searches in Scopus	C50-P028	KEEP_COMPOUND	method:c50-p028-database-and-citation-search	Database and citation-search workflow		INTEGRATED_WORKFLOW				10.1007/s40273-025-01509-9	C50-P028	Electronic database search in CINAHL, PsycInfo, Embase and MEDLINE, supplemented with forward and backward citation searches in Scopus	Keep as one integrated procedure from the source.
Method	feedback module for C-TTO tasks	C50-P045	ADD_GLOBAL	method:feedback-module-for-c-tto-tasks	feedback module for C-TTO tasks							GLOBAL		
Method	focus group interviews	R129-P014	ADD_GLOBAL	method:focus-group-interviews	focus group interviews							GLOBAL		
Method	forward and backward translation	R129-P129	ADD_GLOBAL	method:forward-and-backward-translation	forward and backward translation							GLOBAL		
Method	forward stepwise regression procedure	R129-P028	ADD_GLOBAL	method:forward-stepwise-regression-procedure	forward stepwise regression procedure							GLOBAL		
Method	four quality controls (QCs)	C50-P045	SPLIT_RECORD											Split into the four source-defined quality controls.
Method	frequency of dimension scores, ceiling and floor effects, and missing values	R129-P129	SPLIT_RECORD											Split response frequencies, ceiling and floor effects, and missingness analysis.
Method	Gwet’s AC2 coefficient	CAL-B12	ADD_GLOBAL	method:gwet-ac2	Gwet AC2 coefficient	method:gwet-agreement-coefficient	METHOD_VARIANT			AC2		GLOBAL	Gwet’s AC2 coefficient	
Method	Gwet’s agreement coefficient (Gwet’s AC) test	R129-P117	ADD_GLOBAL	method:gwet-agreement-coefficient	Gwet agreement coefficient							GLOBAL	Gwet’s agreement coefficient (Gwet’s AC) test	
Method	harmonization exercise	R129-P014	ADD_GLOBAL	method:harmonization-exercise	harmonization exercise							GLOBAL		
Method	Independent dual screening with disagreement resolution by a senior reviewer	C50-P028	KEEP_COMPOUND	method:c50-p028-independent-dual-screening	Independent dual-screening workflow		INTEGRATED_WORKFLOW				10.1007/s40273-025-01509-9	C50-P028	Independent dual screening with disagreement resolution by a senior reviewer	Keep as one integrated procedure from the source.
Method	integrated thematic analysis involving inductive coding and deductive coding	CAL-B03	KEEP_COMPOUND	method:integrated-inductive-deductive-thematic-analysis	Integrated inductive and deductive thematic analysis		INTEGRATED_WORKFLOW				10.1007/s11136-026-04230-y	CAL-B03	integrated thematic analysis involving inductive coding and deductive coding	Keep as one integrated procedure from the source.
Method	interview	C50-P049	ADD_GLOBAL	method:interview	interview							GLOBAL		
Method	intra-class correlation coefficient (ICC, two-way random effects, absolute agreement)	R129-P117	ADD_GLOBAL	method:intraclass-correlation-two-way-random-absolute-agreement	Intraclass correlation coefficient, two-way random effects, absolute agreement	method:intraclass-correlation-coefficient	METHOD_VARIANT					GLOBAL	intra-class correlation coefficient (ICC, two-way random effects, absolute agreement)	
Method	intraclass correlation coefficient	CAL-B12	ADD_GLOBAL	method:intraclass-correlation-coefficient	Intraclass correlation coefficient							GLOBAL	intraclass correlation coefficient	
Method	intraclass correlation coefficient (ICC)	R129-P129	ALIAS_EXISTING	method:intraclass-correlation-coefficient	Intraclass correlation coefficient							GLOBAL	intraclass correlation coefficient (ICC)	Alias supported by the same source identity.
Method	Kruskal-Wallis analysis	R129-P129	ALIAS_EXISTING	method:kruskal-wallis-test	Kruskal-Wallis test							GLOBAL	Kruskal-Wallis analysis	Alias supported by the same source identity.
Method	Kruskal-Wallis test	CAL-B12;R129-P028	ADD_GLOBAL	method:kruskal-wallis-test	Kruskal-Wallis test							GLOBAL		
Method	level sum scores (LSS)	R129-P064	TYPE_REPAIR	scoring:level-sum-score	Level sum score							GLOBAL	level sum scores (LSS)	Repair from MethodUse to ScoringUse.
Method	Levene’s test	R129-P127	ADD_GLOBAL	method:levenes-test	Levene’s test							GLOBAL		
Method	linear interpolation	R129-P001	ADD_GLOBAL	method:linear-interpolation	linear interpolation							GLOBAL		
Method	Lin’s concordance coefficient	C50-P032	ALIAS_EXISTING	method:lins-concordance-correlation-coefficient	Lin's concordance correlation coefficient							GLOBAL	Lin’s concordance coefficient	Alias supported by the same source identity.
Method	Lin’s concordance correlation coefficient (CCC)	R129-P117	ADD_GLOBAL	method:lins-concordance-correlation-coefficient	Lin's concordance correlation coefficient							GLOBAL	Lin’s concordance correlation coefficient (CCC)	
Method	literature review	R129-P090	ADD_GLOBAL	method:literature-review	literature review							GLOBAL		
Method	Mann-Whitney test	R129-P028	ALIAS_EXISTING	method:mann-whitney-u-test	Mann-Whitney U test							GLOBAL	Mann-Whitney test	Alias supported by the same source identity.
Method	Mann-Whitney U test	CAL-B12	ADD_GLOBAL	method:mann-whitney-u-test	Mann-Whitney U test							GLOBAL		
Method	McDonald’s omega	CAL-B12	ADD_GLOBAL	method:mcdonalds-omega	McDonald’s omega							GLOBAL		
Method	McNemar’s test for paired proportions	R129-P038	ADD_GLOBAL	method:mcnemars-test-for-paired-proportions	McNemar’s test for paired proportions							GLOBAL		
Method	Mean (standard deviation), median, mode, minimum and maximum	R129-P014	KEEP_COMPOUND	method:r129-p014-descriptive-statistics-bundle	Descriptive-statistics summary bundle		INTEGRATED_WORKFLOW				10.1007/s11136-019-02115-x	R129-P014	Mean (standard deviation), median, mode, minimum and maximum	Keep as one integrated procedure from the source.
Method	minimally important difference (MID)	R129-P106	ADD_GLOBAL	method:minimally-important-difference-mid	minimally important difference (MID)							GLOBAL		
Method	modified Kakwani index	R129-P110	ADD_GLOBAL	method:modified-kakwani-index	modified Kakwani index							GLOBAL		
Method	Multi-stage stratified quota sampling	C50-P045	ADD_GLOBAL	method:multistage-stratified-quota-sampling	Multistage stratified quota sampling							GLOBAL	Multi-stage stratified quota sampling	
Method	multistage stratified quota method	R129-P117	ALIAS_EXISTING	method:multistage-stratified-quota-sampling	Multistage stratified quota sampling							GLOBAL	multistage stratified quota method	Alias supported by the same source identity.
Method	multistratified quota sampling	R129-P049	ALIAS_EXISTING	method:multistage-stratified-quota-sampling	Multistage stratified quota sampling							GLOBAL	multistratified quota sampling	Alias supported by the same source identity.
Method	Narrative synthesis	C50-P028	ADD_GLOBAL	method:narrative-synthesis	Narrative synthesis							GLOBAL		
Method	non-probability design	R129-P129	ADD_GLOBAL	method:non-probability-design	non-probability design							GLOBAL		
Method	non‐parametric method	R129-P001	AMBIGUOUS											The source label does not identify a specific nonparametric method.
Method	oblique rotation method (Oblimin)	R129-P038	ADD_GLOBAL	method:oblique-rotation-method-oblimin	oblique rotation method (Oblimin)							GLOBAL		
Method	online cross-sectional survey	R129-P038	ADD_GLOBAL	method:online-cross-sectional-survey	online cross-sectional survey							GLOBAL		
Method	paired t-tests	R129-P001	ADD_GLOBAL	method:paired-t-test	Paired t-test	method:t-test	METHOD_VARIANT					GLOBAL	paired t-tests	
Method	panel-vendor recruitment using 32 quotas	C50-P032	ADD_SOURCE_SCOPED	method:c50-p032-panel-vendor-32-quota-recruitment	Panel-vendor recruitment with 32 quotas		STUDY_ADAPTATION				10.1136/bmjopen-2025-100897	C50-P032	panel-vendor recruitment using 32 quotas	The source defines a study-specific identity.
Method	parallel analysis	R129-P038	ADD_GLOBAL	method:parallel-analysis	Parallel analysis							GLOBAL	parallel analysis	
Method	parallel analysis technique	CAL-B12	ALIAS_EXISTING	method:parallel-analysis	Parallel analysis							GLOBAL	parallel analysis technique	Alias supported by the same source identity.
Method	paraphrasing method	R129-P014	ADD_GLOBAL	method:paraphrasing-method	paraphrasing method							GLOBAL		
