person_id	scheme	value	source
person:eqmember:17948	OPENALEX	A5042480120	doi:10.1007/s11136-019-02115-x
person:eqmember:17948	ORCID	0000-0002-1001-8883	doi:10.1007/s11136-019-02115-x
person:eqmember:17952	OPENALEX	A5052496992	doi:10.1097/mlr.0000000000002315
person:eqmember:17952	OPENALEX	A5108322539	doi:10.1017/s0266462326103602
person:eqmember:17952	ORCID	0000-0002-1510-3462	doi:10.1097/mlr.0000000000002315
person:eqmember:17954	OPENALEX	A5023093255	doi:10.1136/bmjopen-2023-080985
person:eqmember:17954	ORCID	0000-0002-2833-0621	doi:10.1136/bmjopen-2023-080985
person:eqmember:17956	OPENALEX	A5063972558	doi:10.1186/s41687-025-00928-8
person:eqmember:17956	ORCID	0000-0002-1250-7605	doi:10.1186/s41687-025-00928-8
person:eqmember:17958	OPENALEX	A5033160244	doi:10.1371/journal.pone.0290606
person:eqmember:17958	ORCID	0000-0002-2576-9110	doi:10.1371/journal.pone.0290606
person:eqmember:17960	OPENALEX	A5014510851	doi:10.1186/s12955-021-01858-x
person:eqmember:17960	ORCID	0000-0003-2233-6544	doi:10.1186/s12955-021-01858-x
person:eqmember:17962	OPENALEX	A5013594779	doi:10.1007/s11136-019-02115-x
person:eqmember:17962	ORCID	0000-0003-2377-1652	doi:10.1007/s11136-019-02115-x
person:eqmember:17964	OPENALEX	A5061371202	doi:10.1371/journal.pone.0190111
person:eqmember:17964	ORCID	0000-0001-6042-1243	doi:10.1371/journal.pone.0190111
person:eqmember:17966	OPENALEX	A5003004412	doi:10.1017/s0266462326103602
person:eqmember:17968	OPENALEX	A5013523692	doi:10.1177/0272989x19841587
person:eqmember:17968	ORCID	0000-0002-7553-562x	doi:10.1177/0272989x19841587
person:eqmember:17974	OPENALEX	A5057393757	doi:10.1007/s40271-025-00735-9
person:eqmember:17974	OPENALEX	A5101841802	doi:10.1371/journal.pone.0319227
person:eqmember:17974	OPENALEX	A5132592218	doi:10.1007/s11136-026-04230-y
person:eqmember:17974	ORCID	0000-0002-3112-3893	doi:10.1371/journal.pone.0319227
person:eqmember:17974	ORCID	0000-0002-8210-9936	doi:10.1007/s40271-025-00735-9
person:eqmember:17976	OPENALEX	A5076742980	doi:10.1371/journal.pone.0302886
person:eqmember:17976	OPENALEX	A5137922693	doi:10.1017/s0266462326103602
person:eqmember:17976	ORCID	0000-0002-0039-9635	doi:10.1371/journal.pone.0302886
person:eqmember:17980	OPENALEX	A5049026946	doi:10.1186/s12955-022-02031-8
person:eqmember:17980	ORCID	0000-0003-1737-2989	doi:10.1186/s12955-022-02031-8
person:eqmember:17982	OPENALEX	A5021576811	doi:10.1186/s13643-025-03060-2
person:eqmember:17982	ORCID	0000-0003-2867-0498	doi:10.1186/s13643-025-03060-2
person:eqmember:17984	OPENALEX	A5043932217	doi:10.1007/s40271-022-00573-z
person:eqmember:17984	ORCID	0000-0002-7315-3230	doi:10.1007/s40271-022-00573-z
person:eqmember:17988	OPENALEX	A5058888906	doi:10.1371/journal.pone.0305983
person:eqmember:17988	ORCID	0000-0001-5645-7091	doi:10.1371/journal.pone.0305983
person:eqmember:17990	OPENALEX	A5117152200	doi:10.1007/s40273-025-01550-8
person:eqmember:17992	OPENALEX	A5078862538	doi:10.1007/s40271-020-00490-z
person:eqmember:17992	ORCID	0000-0002-8784-9650	doi:10.1007/s40271-020-00490-z
person:eqmember:17994	OPENALEX	A5015667412	doi:10.1097/mlr.0000000000002315
person:eqmember:17994	ORCID	0000-0001-7093-3058	doi:10.1097/mlr.0000000000002315
person:eqmember:17996	OPENALEX	A5081188742	doi:10.1186/s12955-022-02083-w
person:eqmember:17996	ORCID	0000-0001-5948-3025	doi:10.1186/s12955-022-02083-w
person:eqmember:17998	OPENALEX	A5022446221	doi:10.1371/journal.pone.0319227
person:eqmember:17998	ORCID	0000-0001-8024-7801	doi:10.1371/journal.pone.0319227
person:eqmember:18000	OPENALEX	A5031953969	doi:10.1007/s40273-018-0642-5
person:eqmember:18000	ORCID	0000-0002-5956-8309	doi:10.1007/s40273-018-0642-5
person:eqmember:18002	OPENALEX	A5044860561	doi:10.1371/journal.pone.0319227
person:eqmember:18002	ORCID	0000-0002-2243-8818	doi:10.1371/journal.pone.0319227
person:eqmember:18004	OPENALEX	A5022698267	doi:10.1186/s13643-025-03060-2
person:eqmember:18004	ORCID	0000-0001-8452-2591	doi:10.1186/s13643-025-03060-2
person:eqmember:18006	OPENALEX	A5091343801	doi:10.1016/j.jval.2021.03.019
person:eqmember:18006	ORCID	0000-0002-1238-7156	doi:10.1016/j.jval.2021.03.019
person:eqmember:18008	OPENALEX	A5074565937	doi:10.1007/s11136-025-03983-2
person:eqmember:18008	ORCID	0000-0001-9145-3694	doi:10.1007/s11136-025-03983-2
person:eqmember:18010	OPENALEX	A5001823062	doi:10.1371/journal.pone.0290606
person:eqmember:18010	ORCID	0000-0001-9552-6969	doi:10.1371/journal.pone.0290606
person:eqmember:18012	OPENALEX	A5008581679	doi:10.1007/s40273-022-01216-9
person:eqmember:18012	ORCID	0000-0003-3513-2364	doi:10.1007/s40273-022-01216-9
person:eqmember:18016	OPENALEX	A5027316988	doi:10.1136/bmjopen-2024-084440
person:eqmember:18016	ORCID	0000-0003-4436-1126	doi:10.1136/bmjopen-2024-084440
person:eqmember:18018	OPENALEX	A5091571513	doi:10.1007/s40273-018-0642-5
person:eqmember:18018	ORCID	0000-0003-1509-3409	doi:10.1007/s40273-018-0642-5
person:eqmember:18019	OPENALEX	A5028809099	doi:10.1186/s12955-023-02131-z
person:eqmember:18019	OPENALEX	A5051597671	doi:10.1186/s12955-026-02521-z
person:eqmember:18019	ORCID	0000-0001-5468-0847	doi:10.1186/s12955-023-02131-z
person:eqmember:18019	ORCID	0000-0001-6186-2024	doi:10.1186/s12955-026-02521-z
person:eqmember:18021	OPENALEX	A5002022038	doi:10.1007/s11136-025-04038-2
person:eqmember:18021	ORCID	0000-0002-7444-1584	doi:10.1007/s11136-025-04038-2
person:eqmember:18646	OPENALEX	A5011344482	doi:10.1007/s10198-023-01569-8
person:eqmember:18646	ORCID	0000-0001-7918-839x	doi:10.1007/s10198-023-01569-8
person:eqmember:18648	OPENALEX	A5047279366	doi:10.1186/s12955-024-02290-7
person:eqmember:18648	ORCID	0000-0002-4610-1195	doi:10.1186/s12955-024-02290-7
person:eqmember:19003	OPENALEX	A5055927783	doi:10.1177/0272989x20969686
person:eqmember:19003	ORCID	0000-0003-1438-321x	doi:10.1007/s41669-024-00486-7
person:eqmember:19003	ORCID	0000-0003-3950-9210	doi:10.1177/0272989x20969686
person:eqmember:19005	OPENALEX	A5020933378	doi:10.3390/nu16162591
person:eqmember:19005	ORCID	0000-0001-6602-6949	doi:10.3390/nu16162591
person:eqmember:19028	OPENALEX	A5082193621	doi:10.1007/s40273-025-01519-7
person:eqmember:19028	ORCID	0000-0002-5338-578x	doi:10.1007/s40273-025-01519-7
person:eqmember:19030	OPENALEX	A5007210675	doi:10.1186/s12955-022-02031-8
person:eqmember:19030	ORCID	0000-0003-3696-9086	doi:10.1186/s12955-022-02031-8
person:eqmember:19032	OPENALEX	A5068470091	doi:10.3390/children10101604
person:eqmember:19032	ORCID	0000-0002-6915-1865	doi:10.3390/children10101604
person:eqmember:19813	OPENALEX	A5029949490	doi:10.1186/s12955-024-02271-w
person:eqmember:19813	ORCID	0000-0003-1121-1316	doi:10.1186/s12955-024-02271-w
person:eqmember:21677	OPENALEX	A5020867003	doi:10.1371/journal.pone.0319227
person:eqmember:21677	ORCID	0000-0001-5030-430x	doi:10.1371/journal.pone.0319227
person:eqmember:21678	OPENALEX	A5057171540	doi:10.1007/s10198-024-01682-2
person:eqmember:21678	ORCID	0000-0002-4720-5172	doi:10.1007/s10198-024-01682-2
person:leader:04cf56c7a04c	OPENALEX	A5026880787	doi:10.1136/bmjopen-2023-080985
person:leader:04cf56c7a04c	ORCID	0000-0003-4318-6100	doi:10.1136/bmjopen-2023-080985
person:leader:0687af044b11	OPENALEX	A5124206108	doi:10.1007/s11136-026-04223-x
person:leader:086bfe1b27fe	OPENALEX	A5088028488	doi:10.1007/s11136-025-04053-3
person:leader:086bfe1b27fe	OPENALEX	A5135071520	doi:10.1007/s11136-026-04242-8
person:leader:086bfe1b27fe	ORCID	0000-0003-3981-0951	doi:10.1007/s11136-025-04053-3
person:leader:08f441c510b7	OPENALEX	A5109074641	doi:10.3389/ijph.2026.1608807
person:leader:09fa3c498378	OPENALEX	A5089160643	doi:10.1007/s11136-021-03075-x
person:leader:09fa3c498378	ORCID	0000-0002-5629-9270	doi:10.1007/s11136-021-03075-x
person:leader:0a4ba2690908	OPENALEX	A5007136182	doi:10.1007/s40273-025-01545-5
person:leader:0a4ba2690908	ORCID	0000-0003-3552-1087	doi:10.1007/s40273-025-01545-5
person:leader:1064c67128ac	OPENALEX	A5056962219	doi:10.3389/fpsyg.2023.1175402
person:leader:1064c67128ac	ORCID	0000-0002-7703-7114	doi:10.3389/fpsyg.2023.1175402
person:leader:1ed27ee96b5d	OPENALEX	A5070658848	doi:10.1007/s40273-025-01493-0
person:leader:1ed27ee96b5d	ORCID	0009-0007-8055-5450	doi:10.1007/s40273-025-01493-0
person:leader:22c287b45ebd	OPENALEX	A5035818265	doi:10.1007/s11136-026-04230-y
person:leader:22c287b45ebd	ORCID	0000-0001-9326-8492	doi:10.1007/s11136-026-04230-y
person:leader:2f6e9bb0322d	OPENALEX	A5070605387	doi:10.3390/cancers16111952
person:leader:2f6e9bb0322d	ORCID	0000-0002-5416-5893	doi:10.3390/cancers16111952
person:leader:31a5417532b0	OPENALEX	A5033480820	doi:10.1007/s11136-021-03075-x
person:leader:31a5417532b0	ORCID	0000-0001-9983-6219	doi:10.1007/s11136-021-03075-x
person:leader:33ce5d686145	OPENALEX	A5016414995	doi:10.1007/s40273-025-01476-1
person:leader:33ce5d686145	ORCID	0000-0001-7668-3934	doi:10.1007/s40273-025-01476-1
person:leader:33e259cba916	OPENALEX	A5010221662	doi:10.1007/s11136-026-04230-y
person:leader:33e259cba916	ORCID	0000-0002-8025-5841	doi:10.1007/s11136-026-04230-y
person:leader:35b2f2d48116	OPENALEX	A5102727513	doi:10.1007/s40258-021-00639-3
person:leader:35b2f2d48116	ORCID	0000-0001-7300-254x	doi:10.1007/s40258-021-00639-3
person:leader:39e3bb2019e3	OPENALEX	A5091305227	doi:10.1136/bmjopen-2021-051727
person:leader:39e3bb2019e3	ORCID	0000-0002-6048-847x	doi:10.1136/bmjopen-2021-051727
person:leader:4001f58df21c	OPENALEX	A5007564965	doi:10.1177/0272989x211001859
person:leader:4001f58df21c	ORCID	0000-0003-3055-9932	doi:10.1177/0272989x211001859
person:leader:45e0db20f70b	OPENALEX	A5117116214	doi:10.1007/s10198-025-01823-1
person:leader:45e0db20f70b	ORCID	0009-0004-2252-454x	doi:10.1007/s10198-025-01823-1
person:leader:49d1d576ca39	OPENALEX	A5063513647	doi:10.1007/s41669-022-00353-3
person:leader:49d1d576ca39	ORCID	0000-0001-6211-3471	doi:10.1007/s41669-022-00353-3
person:leader:4a5cd1710c94	OPENALEX	A5006458172	doi:10.1007/s11136-025-03989-w
person:leader:4a5cd1710c94	ORCID	0000-0002-3530-7921	doi:10.1007/s11136-025-03989-w
person:leader:4fa690feeeb8	OPENALEX	A5008052793	doi:10.1007/s40258-022-00772-7
person:leader:4fa690feeeb8	ORCID	0000-0002-3607-0508	doi:10.1007/s40258-022-00772-7
person:leader:50cca9cff5d9	OPENALEX	A5078953009	doi:10.3390/children8080714
person:leader:50cca9cff5d9	OPENALEX	A5122330159	doi:10.1007/s11136-025-04150-3
person:leader:50cca9cff5d9	OPENALEX	A5138004883	doi:10.1007/s11136-026-04246-4
person:leader:50cca9cff5d9	ORCID	0000-0003-4972-8871	doi:10.3390/children8080714
person:leader:510242c8d95e	OPENALEX	A5063482306	doi:10.1186/s41687-024-00761-5
person:leader:510242c8d95e	ORCID	0000-0002-2695-8917	doi:10.1186/s41687-024-00761-5
person:leader:53444d26184b	OPENALEX	A5003956817	doi:10.1007/s11136-021-03075-x
person:leader:53444d26184b	OPENALEX	A5100874069	doi:10.1371/journal.pone.0305983
person:leader:53444d26184b	OPENALEX	A5108671876	doi:10.1371/journal.pone.0209344
person:leader:53444d26184b	ORCID	0000-0002-6771-6746	doi:10.1007/s11136-021-03075-x
person:leader:557995e71b4d	OPENALEX	A5064794823	doi:10.1177/0272989x211001859
person:leader:557995e71b4d	ORCID	0000-0002-1866-2155	doi:10.1177/0272989x211001859
person:leader:5b6527858de5	OPENALEX	A5005862614	doi:10.2196/27669
person:leader:5b6527858de5	ORCID	0000-0001-9996-4317	doi:10.2196/27669
person:leader:5fdc94f27d8c	OPENALEX	A5008650274	doi:10.1186/s12955-024-02305-3
person:leader:5fdc94f27d8c	ORCID	0000-0002-2747-7955	doi:10.1186/s12955-024-02305-3
person:leader:606823d7ed51	OPENALEX	A5033743427	doi:10.1186/s12955-024-02303-5
person:leader:606823d7ed51	ORCID	0000-0003-2546-9449	doi:10.1186/s12955-024-02303-5
person:leader:63cb6b329986	OPENALEX	A5003198517	doi:10.1007/s11136-026-04230-y
person:leader:63cb6b329986	OPENALEX	A5051490866	doi:10.1007/s40273-025-01550-8
person:leader:63cb6b329986	ORCID	0000-0002-9373-7663	doi:10.1007/s40273-025-01550-8
person:leader:697a63a74011	OPENALEX	A5029600163	doi:10.1007/s11136-025-04003-z
person:leader:697a63a74011	ORCID	0000-0003-4202-7116	doi:10.1007/s11136-025-04003-z
person:leader:6998de5ea5d5	OPENALEX	A5049401142	doi:10.1186/s12891-024-07304-5
person:leader:6998de5ea5d5	ORCID	0000-0002-8467-8008	doi:10.1186/s12891-024-07304-5
person:leader:6cc4c9299d70	OPENALEX	A5009462612	doi:10.1186/s13643-025-03060-2
person:leader:6cc4c9299d70	ORCID	0000-0002-9344-3390	doi:10.1186/s13643-025-03060-2
person:leader:6fe4e81455db	OPENALEX	A5067862987	doi:10.1186/s12955-024-02271-w
person:leader:6fe4e81455db	ORCID	0009-0008-0180-7224	doi:10.1186/s12955-024-02271-w
person:leader:708432e727df	OPENALEX	A5025678242	doi:10.1186/s12955-025-02421-8
person:leader:708432e727df	ORCID	0000-0002-6943-753x	doi:10.1186/s12955-025-02421-8
person:leader:73598c4735dd	OPENALEX	A5080372262	doi:10.1136/bmjopen-2025-102509
person:leader:73598c4735dd	OPENALEX	A5101270720	doi:10.1007/s10198-021-01309-w
person:leader:73598c4735dd	ORCID	0000-0003-0770-4564	doi:10.1136/bmjopen-2025-102509
person:leader:78acf91f717f	OPENALEX	A5091811569	doi:10.1007/s11136-024-03875-x
person:leader:78acf91f717f	ORCID	0000-0002-6826-3865	doi:10.1007/s11136-024-03875-x
person:leader:78f0dc6cb8d8	OPENALEX	A5082166488	doi:10.1007/s10198-025-01812-4
person:leader:78f0dc6cb8d8	ORCID	0000-0003-3607-6579	doi:10.1007/s10198-025-01812-4
person:leader:7fbd807010a1	OPENALEX	A5040157120	doi:10.1186/s12955-025-02421-8
person:leader:7fbd807010a1	ORCID	0000-0002-7363-1327	doi:10.1186/s12955-025-02421-8
person:leader:82320ccd878a	OPENALEX	A5024629360	doi:10.1007/s40273-024-01404-9
person:leader:82320ccd878a	ORCID	0000-0002-6826-4278	doi:10.1007/s40273-024-01404-9
person:leader:8677f310bcd0	OPENALEX	A5011536590	doi:10.1007/s10198-025-01823-1
person:leader:8677f310bcd0	ORCID	0000-0001-8722-3431	doi:10.1007/s10198-025-01823-1
person:leader:8873fe2331bf	OPENALEX	A5076822287	doi:10.1007/s11136-025-04038-2
person:leader:8873fe2331bf	ORCID	0009-0006-8112-628x	doi:10.1007/s11136-025-04038-2
person:leader:8b1b3321c511	OPENALEX	A5054828864	doi:10.1007/s40258-021-00639-3
