person_id	name	name_type	source
person:author:doi:10.1007/s11136-025-03996-x:11	Tanya Wolfe	PUBLICATION_NAME	doi:10.1007/s11136-025-03996-x
person:author:doi:10.1007/s11136-025-03996-x:12	Penny Richards Fowler	PUBLICATION_NAME	doi:10.1007/s11136-025-03996-x
person:author:doi:10.1007/s11136-025-03996-x:14	Max Pini	PUBLICATION_NAME	doi:10.1007/s11136-025-03996-x
person:author:doi:10.1038/s41433-023-02860-x:11	S S Ramsewak	PUBLICATION_NAME	doi:10.1038/s41433-023-02860-x
person:author:doi:10.1038/s41433-023-02860-x:7	S S Ramsewak	PUBLICATION_NAME	doi:10.1038/s41433-023-02860-x
person:author:doi:10.1186/s12955-024-02305-3:5	Alemu Belayneh	PUBLICATION_NAME	doi:10.1186/s12955-024-02305-3
person:author:doi:10.1371/journal.pone.0200966:8	Chung-Ying Lin	PUBLICATION_NAME	doi:10.1371/journal.pone.0200966
person:author:doi:10.2196/27669:10	Thomas Poder	PUBLICATION_NAME	doi:10.2196/27669
person:author:doi:10.2196/27669:8	Gunther Eysenbach	PUBLICATION_NAME	doi:10.2196/27669
person:author:doi:10.2196/27669:9	Kristiann Heesch	PUBLICATION_NAME	doi:10.2196/27669
person:author:doi:10.3390/children8080714:10	Wendy J Ungar	PUBLICATION_NAME	doi:10.3390/children8080714
person:author:doi:10.4314/ahs.v23i4.63:2	Razia Amien	PUBLICATION_NAME	doi:10.4314/ahs.v23i4.63
person:author:doi:10.5492/wjccm.v11.i4.236:19	Deborah J Cook	PUBLICATION_NAME	doi:10.5492/wjccm.v11.i4.236
person:eqmember:17787	Abraham G Welie	PUBLICATION_NAME	doi:10.1186/s12955-024-02305-3
person:eqmember:17787	Abraham Gebregziabiher	CANONICAL	artefacts/01_people.csv
person:eqmember:17787	Abraham Gebregziabiher Welie	SOURCE_ALIAS	artefacts/01_people.csv
person:eqmember:17787	Abraham Gebregziabiher Welie	REVIEWED_ALIAS	data/person-name-overrides.csv
person:eqmember:17787	Abraham Welie	SOURCE_ALIAS	artefacts/01_people.csv
person:eqmember:17787	Abraham Welie	REVIEWED_ALIAS	data/person-name-overrides.csv
person:eqmember:17789	Agota Szende	CANONICAL	artefacts/01_people.csv
person:eqmember:17789	Ágota Szende	SOURCE_ALIAS	artefacts/01_people.csv
person:eqmember:17790	Aki Tsuchiya	CANONICAL	artefacts/01_people.csv
person:eqmember:17790	Aki Tsuchiya	PUBLICATION_NAME	doi:10.1007/s10198-021-01306-z
person:eqmember:17790	Aki Tsuchiya	PUBLICATION_NAME	doi:10.1186/s12955-021-01858-x
person:eqmember:17791	Andrew J. Lloyd	PUBLICATION_NAME	doi:10.3390/children8100920
person:eqmember:17791	Andrew Lloyd	CANONICAL	artefacts/01_people.csv
person:eqmember:17791	Andrew Lloyd	PUBLICATION_NAME	doi:10.1007/s11136-024-03875-x
person:eqmember:17791	Andrew Lloyd	PUBLICATION_NAME	doi:10.1177/0272989x251380556
person:eqmember:17791	Andrew Lloyd	PUBLICATION_NAME	doi:10.1186/s12955-020-01410-3
person:eqmember:17793	Anna K. Lugnér	SOURCE_ALIAS	artefacts/01_people.csv
person:eqmember:17793	Anna Krabbe-Lugner	CANONICAL	artefacts/01_people.csv
person:eqmember:17793	Anna Lugner	SOURCE_ALIAS	artefacts/01_people.csv
person:eqmember:17793	Anna Lugner	REVIEWED_ALIAS	data/person-name-overrides.csv
person:eqmember:17795	Arto Ohinmaa	CANONICAL	artefacts/01_people.csv
person:eqmember:17795	Arto Ohinmaa	PUBLICATION_NAME	doi:10.1002/hsr2.70308
person:eqmember:17795	Arto Ohinmaa	PUBLICATION_NAME	doi:10.1007/s11136-024-03618-y
person:eqmember:17795	Arto Ohinmaa	PUBLICATION_NAME	doi:10.1136/bmjopen-2024-097598
person:eqmember:17795	Arto Ohinmaa	PUBLICATION_NAME	doi:10.1186/s12955-023-02207-w
person:eqmember:17795	Arto Öhinmaa	SOURCE_ALIAS	artefacts/01_people.csv
person:eqmember:17797	Ataru Igarashi	CANONICAL	artefacts/01_people.csv
person:eqmember:17797	Ataru Igarashi	PUBLICATION_NAME	doi:10.1007/s11136-021-03075-x
person:eqmember:17798	Barbara Conner‐Spady	SOURCE_ALIAS	artefacts/01_people.csv
person:eqmember:17798	Barbara Spady	CANONICAL	artefacts/01_people.csv
person:eqmember:17799	Ben Van Hout	CANONICAL	artefacts/01_people.csv
person:eqmember:17799	Ben van Hout	SOURCE_ALIAS	artefacts/01_people.csv
person:eqmember:17799	Ben van Hout	PUBLICATION_NAME	doi:10.1007/s10198-018-0993-z
person:eqmember:17799	Ben van Hout	PUBLICATION_NAME	doi:10.1007/s11136-022-03304-x
person:eqmember:17803	Bernhard Michalowsky	CANONICAL	artefacts/01_people.csv
person:eqmember:17803	Bernhard Michalowsky	PUBLICATION_NAME	doi:10.1007/s11136-026-04229-5
person:eqmember:17803	Bernhard Michalowsky	PUBLICATION_NAME	doi:10.1007/s12311-023-01597-3
person:eqmember:17803	Bernhard Michalowsky	PUBLICATION_NAME	doi:10.1007/s12311-024-01657-2
person:eqmember:17803	Bernhard Michalowsky	PUBLICATION_NAME	doi:10.1186/s12955-026-02478-z
person:eqmember:17803	Michalowsky, Bernhard	SOURCE_ALIAS	artefacts/01_people.csv
person:eqmember:17805	Bram Roudijk	CANONICAL	artefacts/01_people.csv
person:eqmember:17805	Bram Roudijk	PUBLICATION_NAME	doi:10.1007/s10198-025-01852-w
person:eqmember:17805	Bram Roudijk	PUBLICATION_NAME	doi:10.1007/s10198-025-01857-5
person:eqmember:17805	Bram Roudijk	PUBLICATION_NAME	doi:10.1007/s11136-017-1512-x
person:eqmember:17805	Bram Roudijk	PUBLICATION_NAME	doi:10.1007/s11136-025-03930-1
person:eqmember:17805	Bram Roudijk	PUBLICATION_NAME	doi:10.1007/s11136-025-04145-0
person:eqmember:17805	Bram Roudijk	PUBLICATION_NAME	doi:10.1007/s40258-025-00954-z
person:eqmember:17805	Bram Roudijk	PUBLICATION_NAME	doi:10.1007/s40273-021-01100-y
person:eqmember:17805	Bram Roudijk	PUBLICATION_NAME	doi:10.1007/s40273-022-01208-9
person:eqmember:17805	Bram Roudijk	PUBLICATION_NAME	doi:10.1007/s40273-022-01210-1
person:eqmember:17805	Bram Roudijk	PUBLICATION_NAME	doi:10.1007/s40273-024-01404-9
person:eqmember:17805	Bram Roudijk	PUBLICATION_NAME	doi:10.1007/s40273-025-01476-1
person:eqmember:17805	Bram Roudijk	PUBLICATION_NAME	doi:10.1007/s41669-023-00437-8
person:eqmember:17805	Bram Roudijk	PUBLICATION_NAME	doi:10.1177/0272989x18765184
person:eqmember:17805	Bram Roudijk	PUBLICATION_NAME	doi:10.1177/0272989x19841587
person:eqmember:17805	Bram Roudijk	PUBLICATION_NAME	doi:10.1177/0272989x251325828
person:eqmember:17805	Bram Roudijk	PUBLICATION_NAME	doi:10.1186/s12955-024-02266-7
person:eqmember:17805	Bram Roudijk	PUBLICATION_NAME	doi:10.1186/s12955-024-02323-1
person:eqmember:17807	Brendan J Mulhern	PUBLICATION_NAME	doi:10.1007/s10198-018-0993-z
person:eqmember:17807	Brendan Mulhern	CANONICAL	artefacts/01_people.csv
person:eqmember:17807	Brendan Mulhern	PUBLICATION_NAME	doi:10.1007/s11136-023-03372-7
person:eqmember:17807	Brendan Mulhern	PUBLICATION_NAME	doi:10.1007/s11136-024-03817-7
person:eqmember:17807	Brendan Mulhern	PUBLICATION_NAME	doi:10.1007/s11136-025-03983-2
person:eqmember:17807	Brendan Mulhern	PUBLICATION_NAME	doi:10.1007/s11136-026-04230-y
person:eqmember:17807	Brendan Mulhern	PUBLICATION_NAME	doi:10.1007/s11136-026-04315-8
person:eqmember:17807	Brendan Mulhern	PUBLICATION_NAME	doi:10.1007/s40271-023-00647-6
person:eqmember:17807	Brendan Mulhern	PUBLICATION_NAME	doi:10.1007/s40271-024-00715-5
person:eqmember:17807	Brendan Mulhern	PUBLICATION_NAME	doi:10.1007/s40271-025-00729-7
person:eqmember:17807	Brendan Mulhern	PUBLICATION_NAME	doi:10.1007/s40271-025-00735-9
person:eqmember:17807	Brendan Mulhern	PUBLICATION_NAME	doi:10.1007/s40271-025-00787-x
person:eqmember:17807	Brendan Mulhern	PUBLICATION_NAME	doi:10.1007/s40273-021-01109-3
person:eqmember:17807	Brendan Mulhern	PUBLICATION_NAME	doi:10.1007/s40273-023-01330-2
person:eqmember:17807	Brendan Mulhern	PUBLICATION_NAME	doi:10.1007/s40273-024-01354-2
person:eqmember:17807	Brendan Mulhern	PUBLICATION_NAME	doi:10.1007/s40273-024-01355-1
person:eqmember:17807	Brendan Mulhern	PUBLICATION_NAME	doi:10.1007/s40273-025-01509-9
person:eqmember:17807	Brendan Mulhern	PUBLICATION_NAME	doi:10.3390/children10101604
person:eqmember:17807	Brendan Mulhern	PUBLICATION_NAME	doi:10.3390/children8080714
person:eqmember:17809	Caitlyn Solem	CANONICAL	artefacts/01_people.csv
person:eqmember:17809	Caitlyn T. Solem	SOURCE_ALIAS	artefacts/01_people.csv
person:eqmember:17811	Carlos KH Wong	PUBLICATION_NAME	doi:10.1186/s12955-023-02177-z
person:eqmember:17811	Carlos King Ho Wong	SOURCE_ALIAS	artefacts/01_people.csv
person:eqmember:17811	Carlos Wong	CANONICAL	artefacts/01_people.csv
person:eqmember:17815	Chris Sampson	CANONICAL	artefacts/01_people.csv
person:eqmember:17817	Claire Gudex	CANONICAL	artefacts/01_people.csv
person:eqmember:17817	Claire Gudex	PUBLICATION_NAME	doi:10.1007/s40258-021-00639-3
person:eqmember:17819	Clara Mukuria	CANONICAL	artefacts/01_people.csv
person:eqmember:17819	Clara Mukuria	PUBLICATION_NAME	doi:10.1007/s10198-021-01306-z
person:eqmember:17819	Clara Mukuria	PUBLICATION_NAME	doi:10.1007/s10198-025-01769-4
person:eqmember:17819	Clara Mukuria	PUBLICATION_NAME	doi:10.1007/s11136-020-02718-9
person:eqmember:17819	Clara Mukuria	PUBLICATION_NAME	doi:10.1007/s11136-025-03925-y
person:eqmember:17819	Clara Mukuria	PUBLICATION_NAME	doi:10.1007/s11136-025-03989-w
person:eqmember:17819	Clara Mukuria	PUBLICATION_NAME	doi:10.1177/0272989x20969686
person:eqmember:17819	Clara Mukuria	PUBLICATION_NAME	doi:10.1186/s12955-024-02303-5
person:eqmember:17821	David J. Mott	PUBLICATION_NAME	doi:10.1177/0272989x21999607
person:eqmember:17821	David Mott	CANONICAL	artefacts/01_people.csv
person:eqmember:17821	David Mott	PUBLICATION_NAME	doi:10.1007/s40273-022-01143-9
person:eqmember:17821	David Mott	PUBLICATION_NAME	doi:10.1007/s40273-025-01545-5
person:eqmember:17823	David Parkin	CANONICAL	artefacts/01_people.csv
person:eqmember:17823	David Parkin	PUBLICATION_NAME	doi:10.1136/bmjopen-2020-048176
person:eqmember:17823	David Parkin	PUBLICATION_NAME	doi:10.1177/0272989x251380556
person:eqmember:17823	David Parkin	PUBLICATION_NAME	doi:10.1186/s12955-023-02115-z
person:eqmember:17823	David Parkin	PUBLICATION_NAME	doi:10.2196/27669
person:eqmember:17825	David G. T. Whitehurst	SOURCE_ALIAS	artefacts/01_people.csv
person:eqmember:17825	David Whitehurst	CANONICAL	artefacts/01_people.csv
person:eqmember:17827	Deborah J. Street	SOURCE_ALIAS	artefacts/01_people.csv
person:eqmember:17827	Deborah Street	CANONICAL	artefacts/01_people.csv
person:eqmember:17827	Deborah Street	PUBLICATION_NAME	doi:10.1007/s40271-025-00735-9
person:eqmember:17829	Des Scott	CANONICAL	artefacts/01_people.csv
person:eqmember:17829	Des Scott	PUBLICATION_NAME	doi:10.1186/s12955-020-01410-3
person:eqmember:17829	Desiree Scott	SOURCE_ALIAS	artefacts/01_people.csv
person:eqmember:17829	Desiree Scott	REVIEWED_ALIAS	data/person-name-overrides.csv
person:eqmember:17829	Desiree Scott	PUBLICATION_NAME	doi:10.1007/s11136-025-03983-2
person:eqmember:17831	Dominik Golicki	CANONICAL	artefacts/01_people.csv
person:eqmember:17831	Dominik Golicki	PUBLICATION_NAME	doi:10.1007/s11136-025-03983-2
person:eqmember:17831	Dominik Golicki	PUBLICATION_NAME	doi:10.1007/s11136-025-04077-9
person:eqmember:17831	Dominik Golicki	PUBLICATION_NAME	doi:10.1007/s40273-019-00811-7
person:eqmember:17831	Dominik Golicki	PUBLICATION_NAME	doi:10.1007/s40273-022-01172-4
person:eqmember:17831	Dominik Golicki	PUBLICATION_NAME	doi:10.1017/s0266462326103602
person:eqmember:17833	Donna Rowen	CANONICAL	artefacts/01_people.csv
person:eqmember:17833	Donna Rowen	PUBLICATION_NAME	doi:10.1007/s10198-021-01306-z
person:eqmember:17833	Donna Rowen	PUBLICATION_NAME	doi:10.1007/s11136-022-03304-x
person:eqmember:17833	Donna Rowen	PUBLICATION_NAME	doi:10.1186/s12955-021-01858-x
person:eqmember:17835	Eleanor M Pullenayegum	PUBLICATION_NAME	doi:10.1177/0272989x251325828
person:eqmember:17835	Eleanor M Pullenayegum	PUBLICATION_NAME	doi:10.3390/curroncol32060308
person:eqmember:17835	Eleanor M. Pullenayegum	PUBLICATION_NAME	doi:10.3390/curroncol32110645
person:eqmember:17835	Eleanor Pullenayegum	CANONICAL	artefacts/01_people.csv
person:eqmember:17835	Eleanor Pullenayegum	PUBLICATION_NAME	doi:10.1007/s11136-024-03618-y
person:eqmember:17835	Eleanor Pullenayegum	PUBLICATION_NAME	doi:10.1136/bmjopen-2024-097598
person:eqmember:17835	Eleanor Pullenayegum	PUBLICATION_NAME	doi:10.1186/s12955-024-02266-7
person:eqmember:17835	Eleanor Pullenayegum	PUBLICATION_NAME	doi:10.1186/s12955-024-02323-1
person:eqmember:17837	Elly A Stolk	PUBLICATION_NAME	doi:10.1007/s11136-025-03930-1
person:eqmember:17837	Elly Stolk	CANONICAL	artefacts/01_people.csv
person:eqmember:17837	Elly Stolk	PUBLICATION_NAME	doi:10.1007/s40273-018-0694-6
person:eqmember:17837	Elly Stolk	PUBLICATION_NAME	doi:10.1007/s40273-022-01208-9
person:eqmember:17837	Elly Stolk	PUBLICATION_NAME	doi:10.1007/s40273-022-01210-1
person:eqmember:17837	Elly Stolk	PUBLICATION_NAME	doi:10.1007/s40273-025-01476-1
person:eqmember:17837	Elly Stolk	PUBLICATION_NAME	doi:10.1177/0272989x211001859
person:eqmember:17837	Elly Stolk	PUBLICATION_NAME	doi:10.1186/s12955-021-01889-4
person:eqmember:17837	Elly Stolk	PUBLICATION_NAME	doi:10.1186/s12955-022-01996-w
person:eqmember:17837	Elly Stolk	PUBLICATION_NAME	doi:10.3389/fpsyg.2023.1175402
person:eqmember:17839	Erica I Lubetkin	PUBLICATION_NAME	doi:10.1007/s11136-024-03754-5
person:eqmember:17839	Erica I Lubetkin	PUBLICATION_NAME	doi:10.1007/s11136-026-04285-x
person:eqmember:17839	Erica I Lubetkin	PUBLICATION_NAME	doi:10.3389/fepid.2023.1144162
person:eqmember:17839	Erica I. Lubetkin	SOURCE_ALIAS	artefacts/01_people.csv
person:eqmember:17839	Erica I. Lubetkin	PUBLICATION_NAME	doi:10.1007/s11136-025-04074-y
person:eqmember:17839	Erica I. Lubetkin	PUBLICATION_NAME	doi:10.3389/fpubh.2021.744405
person:eqmember:17839	Erica I. Lubetkin	PUBLICATION_NAME	doi:10.3390/nu16162591
person:eqmember:17839	Erica Lubetkin	CANONICAL	artefacts/01_people.csv
person:eqmember:17839	Erica Lubetkin	PUBLICATION_NAME	doi:10.1007/s11136-025-03983-2
person:eqmember:17839	Erica Lubetkin	PUBLICATION_NAME	doi:10.1186/s12955-025-02421-8
person:eqmember:17841	Ernest H. Law	SOURCE_ALIAS	artefacts/01_people.csv
person:eqmember:17841	Ernest Law	CANONICAL	artefacts/01_people.csv
person:eqmember:17843	Fan Yang	CANONICAL	artefacts/01_people.csv
person:eqmember:17843	Fan Yang	PUBLICATION_NAME	doi:10.1007/s10198-018-0987-x
person:eqmember:17845	Fanni Rencz	CANONICAL	artefacts/01_people.csv
person:eqmember:17845	Fanni Rencz	PUBLICATION_NAME	doi:10.1007/s10198-024-01719-6
person:eqmember:17845	Fanni Rencz	PUBLICATION_NAME	doi:10.1007/s10198-025-01857-5
person:eqmember:17845	Fanni Rencz	PUBLICATION_NAME	doi:10.1007/s11136-023-03509-8
person:eqmember:17845	Fanni Rencz	PUBLICATION_NAME	doi:10.1007/s11136-024-03875-x
person:eqmember:17845	Fanni Rencz	PUBLICATION_NAME	doi:10.1007/s11136-025-03925-y
person:eqmember:17845	Fanni Rencz	PUBLICATION_NAME	doi:10.1007/s11136-025-03930-1
person:eqmember:17845	Fanni Rencz	PUBLICATION_NAME	doi:10.1007/s11136-025-04053-3
person:eqmember:17845	Fanni Rencz	PUBLICATION_NAME	doi:10.1007/s11136-025-04145-0
person:eqmember:17845	Fanni Rencz	PUBLICATION_NAME	doi:10.1007/s11136-026-04242-8
person:eqmember:17845	Fanni Rencz	PUBLICATION_NAME	doi:10.1007/s41669-024-00486-7
person:eqmember:17845	Fanni Rencz	PUBLICATION_NAME	doi:10.1186/s12955-024-02266-7
person:eqmember:17845	Fanni Rencz	PUBLICATION_NAME	doi:10.1186/s12955-024-02303-5
person:eqmember:17845	Fanni Rencz	PUBLICATION_NAME	doi:10.1186/s12955-024-02323-1
person:eqmember:17845	Fanni Rencz	PUBLICATION_NAME	doi:10.1186/s12955-026-02521-z
person:eqmember:17847	Fatima Al Sayah	CANONICAL	artefacts/01_people.csv
person:eqmember:17847	Fatima Al Sayah	PUBLICATION_NAME	doi:10.1007/s11136-025-03983-2
person:eqmember:17847	Fatima Al Sayah	PUBLICATION_NAME	doi:10.1007/s11136-025-04074-y
person:eqmember:17847	Fatima Al Sayah	PUBLICATION_NAME	doi:10.1007/s40271-022-00572-0
person:eqmember:17847	Fatima Al Sayah	PUBLICATION_NAME	doi:10.1097/mlr.0000000000002315
person:eqmember:17847	Fatima Al Sayah	PUBLICATION_NAME	doi:10.1186/s12955-023-02207-w
person:eqmember:17847	Fatima Al Sayah	PUBLICATION_NAME	doi:10.1186/s41687-025-00985-z
person:eqmember:17849	Federico Augustovski	CANONICAL	artefacts/01_people.csv
person:eqmember:17849	Federico Augustovski	PUBLICATION_NAME	doi:10.1017/s0266462326103602
person:eqmember:17851	FENG XIE	SOURCE_ALIAS	artefacts/01_people.csv
person:eqmember:17851	Feng Xie	CANONICAL	artefacts/01_people.csv
person:eqmember:17851	Feng Xie	PUBLICATION_NAME	doi:10.1007/s11136-024-03618-y
person:eqmember:17851	Feng Xie	PUBLICATION_NAME	doi:10.1007/s12311-023-01597-3
person:eqmember:17851	Feng Xie	PUBLICATION_NAME	doi:10.1007/s40273-015-0292-9
person:eqmember:17851	Feng Xie	PUBLICATION_NAME	doi:10.1136/bmjopen-2024-097598
person:eqmember:17851	Feng Xie	PUBLICATION_NAME	doi:10.1186/s12955-026-02478-z
person:eqmember:17851	Feng Xie	PUBLICATION_NAME	doi:10.5492/wjccm.v11.i4.236
person:eqmember:17853	Frank De Charro	CANONICAL	artefacts/01_people.csv
person:eqmember:17853	Frank de Charro	SOURCE_ALIAS	artefacts/01_people.csv
person:eqmember:17855	Fredrick Dermawan Purba	SOURCE_ALIAS	artefacts/01_people.csv
person:eqmember:17855	Fredrick Dermawan Purba	REVIEWED_ALIAS	data/person-name-overrides.csv
person:eqmember:17855	Fredrick Dermawan Purba	PUBLICATION_NAME	doi:10.1007/s11136-016-1445-9
person:eqmember:17855	Fredrick Dermawan Purba	PUBLICATION_NAME	doi:10.1007/s11136-021-03075-x
person:eqmember:17855	Fredrick Dermawan Purba	PUBLICATION_NAME	doi:10.1007/s11136-022-03143-w
person:eqmember:17855	Fredrick Dermawan Purba	PUBLICATION_NAME	doi:10.1007/s11136-025-03925-y
person:eqmember:17855	Fredrick Dermawan Purba	PUBLICATION_NAME	doi:10.1007/s11136-025-03930-1
person:eqmember:17855	Fredrick Dermawan Purba	PUBLICATION_NAME	doi:10.1007/s11136-025-03983-2
person:eqmember:17855	Fredrick Dermawan Purba	PUBLICATION_NAME	doi:10.1007/s40273-017-0538-9
person:eqmember:17855	Fredrick Dermawan Purba	PUBLICATION_NAME	doi:10.1007/s40273-022-01210-1
person:eqmember:17855	Fredrick Dermawan Purba	PUBLICATION_NAME	doi:10.1007/s41669-023-00437-8
person:eqmember:17855	Fredrick Dermawan Purba	PUBLICATION_NAME	doi:10.1186/s12889-018-5706-0
person:eqmember:17855	Fredrick Dermawan Purba	PUBLICATION_NAME	doi:10.1186/s12955-021-01889-4
person:eqmember:17855	Fredrick Dermawan Purba	PUBLICATION_NAME	doi:10.1186/s12955-022-01996-w
person:eqmember:17855	Fredrick Dermawan Purba	PUBLICATION_NAME	doi:10.1186/s12955-024-02303-5
person:eqmember:17855	Fredrick Dermawan Purba	PUBLICATION_NAME	doi:10.1186/s12955-025-02397-5
person:eqmember:17855	Fredrick Dermawan Purba	PUBLICATION_NAME	doi:10.1371/journal.pone.0197098
person:eqmember:17855	Fredrick Dermawan Purba	PUBLICATION_NAME	doi:10.1371/journal.pone.0200966
person:eqmember:17855	Fredrick Dermawan Purba, PhD	SOURCE_ALIAS	artefacts/01_people.csv
person:eqmember:17855	Fredrick Purba	CANONICAL	artefacts/01_people.csv
person:eqmember:17855	Fredrick Purba	PUBLICATION_NAME	doi:10.1017/s0266462326103602
person:eqmember:17861	G. J. Bonsel	PUBLICATION_NAME	doi:10.1007/s11136-019-02256-z
person:eqmember:17861	G. J. Bonsel	PUBLICATION_NAME	doi:10.1186/s12955-020-01394-0
person:eqmember:17861	G. J. Bonsel	PUBLICATION_NAME	doi:10.1186/s12955-021-01771-3
person:eqmember:17861	G. J. Bonsel	PUBLICATION_NAME	doi:10.3389/fpubh.2021.744405
person:eqmember:17861	Gouke Bonsel	CANONICAL	artefacts/01_people.csv
person:eqmember:17861	Gouke Bonsel	PUBLICATION_NAME	doi:10.1186/s12955-019-1139-4
person:eqmember:17861	Gouke Bonsel	PUBLICATION_NAME	doi:10.1186/s12955-021-01889-4
person:eqmember:17861	Gouke J Bonsel	PUBLICATION_NAME	doi:10.1007/s11136-024-03754-5
person:eqmember:17861	Gouke J Bonsel	PUBLICATION_NAME	doi:10.1007/s40273-018-0623-8
person:eqmember:17861	Gouke J Bonsel	PUBLICATION_NAME	doi:10.1007/s40273-022-01172-4
person:eqmember:17861	Gouke J Bonsel	PUBLICATION_NAME	doi:10.1213/ane.0000000000007107
person:eqmember:17861	Gouke J Bonsel	PUBLICATION_NAME	doi:10.3389/fepid.2023.1144162
person:eqmember:17861	Gouke J. Bonsel	SOURCE_ALIAS	artefacts/01_people.csv
person:eqmember:17861	Gouke J. Bonsel	PUBLICATION_NAME	doi:10.1007/s11136-019-02156-2
person:eqmember:17861	Gouke J. Bonsel	PUBLICATION_NAME	doi:10.1007/s11136-020-02496-4
person:eqmember:17861	Gouke J. Bonsel	PUBLICATION_NAME	doi:10.1186/s12955-020-01404-1
person:eqmember:17861	Gouke J. Bonsel	PUBLICATION_NAME	doi:10.1186/s41687-021-00406-x
person:eqmember:17861	Gouke J. Bonsel	PUBLICATION_NAME	doi:10.3390/nu16162591
person:eqmember:17863	Hannah Penton	CANONICAL	artefacts/01_people.csv
person:eqmember:17865	Harri Sintonen	CANONICAL	artefacts/01_people.csv
person:eqmember:17867	H Bailey	PUBLICATION_NAME	doi:10.1038/s41433-023-02860-x
person:eqmember:17867	Henry Bailey	CANONICAL	artefacts/01_people.csv
person:eqmember:17867	Henry Bailey	PUBLICATION_NAME	doi:10.1007/s11136-025-03983-2
person:eqmember:17867	Henry Bailey	PUBLICATION_NAME	doi:10.1007/s40258-025-00954-z
person:eqmember:17867	Henry Bailey	PUBLICATION_NAME	doi:10.1177/0272989x251325828
person:eqmember:17867	Henry Bailey	PUBLICATION_NAME	doi:10.1186/s12955-024-02266-7
person:eqmember:17867	Henry Bailey	PUBLICATION_NAME	doi:10.1186/s12955-024-02323-1
person:eqmember:17869	Ines Buchholz	CANONICAL	artefacts/01_people.csv
person:eqmember:17869	Ines Buchholz	PUBLICATION_NAME	doi:10.1007/s11136-020-02688-y
person:eqmember:17869	Ines Buchholz	PUBLICATION_NAME	doi:10.1007/s11136-026-04226-8
person:eqmember:17869	Ines Buchholz	PUBLICATION_NAME	doi:10.1007/s40273-018-0642-5
person:eqmember:17869	Ines Buchholz	PUBLICATION_NAME	doi:10.1007/s40273-022-01172-4
person:eqmember:17871	James Shaw	CANONICAL	artefacts/01_people.csv
person:eqmember:17871	James Shaw	PUBLICATION_NAME	doi:10.1007/s11136-020-02712-1
person:eqmember:17871	James W. Shaw	SOURCE_ALIAS	artefacts/01_people.csv
person:eqmember:17873	Jan Abel Olsen	CANONICAL	artefacts/01_people.csv
person:eqmember:17873	Jan Abel Olsen	PUBLICATION_NAME	doi:10.1007/s10198-025-01852-w
person:eqmember:17873	Jan Abel Olsen	PUBLICATION_NAME	doi:10.1007/s11136-026-04294-w
