publication_id	author_order	source_person_id	resolved_person_id	source_name	source_orcid	openalex_id	openalex_name	openalex_orcid	resolution_method	resolution_status	note
doi:10.1002/ppul.71031	4	author:doi:10.1002/ppul.71031:4	person:orcid:0000-0002-8314-8259	Bin Wu		A5103219361	Bin Wu	0000-0002-8314-8259	AUTHOR_ORCID	ACCEPTED	
doi:10.1002/ppul.71031	5	author:doi:10.1002/ppul.71031:5	person:leader:fa3dd095d626	Pei Wang		A5100462659	Pei Wang	0000-0003-3661-3944	CANONICAL_PROPAGATED_OPENALEX	ACCEPTED	same OpenAlex author occurs in a source-confirmed canonical paper
doi:10.1002/ppul.71031	6	author:doi:10.1002/ppul.71031:6	person:eqmember:17875	Jan Busschbach		A5020122364	Jan J.V. Busschbach	0000-0002-8602-0381	CANONICAL_ORCID	ACCEPTED	
doi:10.1002/ppul.71031	7	author:doi:10.1002/ppul.71031:7	person:orcid:0000-0001-5559-2574	Yanming Lu		A5101609487	Yanming Lu	0000-0001-5559-2574	AUTHOR_ORCID	ACCEPTED	
doi:10.1002/ppul.71031	8	author:doi:10.1002/ppul.71031:8	person:eqmember:17944	Nan Luo		A5064398143	Nan Luo	0000-0001-7980-6979	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-018-0987-x	1	author:doi:10.1007/s10198-018-0987-x:1	person:eqmember:17843	Fan Yang		A5056976700	Fan Yang	0000-0003-4689-265x	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-018-0987-x	2	author:doi:10.1007/s10198-018-0987-x:2	person:eqmember:17946	Nancy Devlin		A5103206776	Nancy Devlin	0000-0002-1561-5361	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-018-0987-x	3	author:doi:10.1007/s10198-018-0987-x:3	person:eqmember:17944	Nan Luo		A5064398143	Nan Luo	0000-0001-7980-6979	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-018-0993-z	1	author:doi:10.1007/s10198-018-0993-z:1	person:eqmember:17946	Nancy J Devlin		A5103206776	Nancy Devlin	0000-0002-1561-5361	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-018-0993-z	2	author:doi:10.1007/s10198-018-0993-z:2	person:eqmember:17901	Koonal K Shah		A5083575745	Koonal Shah	0000-0002-4927-7858	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-018-0993-z	3	author:doi:10.1007/s10198-018-0993-z:3	person:eqmember:17807	Brendan J Mulhern		A5090013218	Brendan Mulhern	0000-0003-3656-8063	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-018-0993-z	4	author:doi:10.1007/s10198-018-0993-z:4	person:orcid:0000-0001-6241-0249	Krystallia Pantiri		A5021997891	Krystallia Pantiri	0000-0001-6241-0249	AUTHOR_ORCID	ACCEPTED	
doi:10.1007/s10198-018-0993-z	5	author:doi:10.1007/s10198-018-0993-z:5	person:eqmember:17799	Ben van Hout		A5032690231	Ben van Hout	0000-0001-9698-6094	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-020-01205-9	1	author:doi:10.1007/s10198-020-01205-9:1	person:eqmember:17901	Koonal K Shah		A5083575745	Koonal Shah	0000-0002-4927-7858	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-020-01205-9	2	author:doi:10.1007/s10198-020-01205-9:2	person:eqmember:17893	Juan Manuel Ramos-Goñi		A5047957689	Juan Manuel Ramos-Goñi	0000-0002-9568-5190	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-020-01205-9	3	author:doi:10.1007/s10198-020-01205-9:3	person:orcid:0000-0002-4832-7833	Simone Kreimeier		A5033965888	Simone Kreimeier	0000-0002-4832-7833	AUTHOR_ORCID	ACCEPTED	
doi:10.1007/s10198-020-01205-9	4	author:doi:10.1007/s10198-020-01205-9:4	person:eqmember:17946	Nancy J Devlin		A5103206776	Nancy Devlin	0000-0002-1561-5361	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-021-01306-z	1	orcid:0000-0001-8024-7801	person:eqmember:17998	Tessa Peasgood	0000-0001-8024-7801	A5022446221	Tessa Peasgood	0000-0001-8024-7801	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-021-01306-z	2	author:doi:10.1007/s10198-021-01306-z:2	person:eqmember:17819	Clara Mukuria		A5043083823	Clara Mukuria	0000-0003-4318-1481	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-021-01306-z	3	author:doi:10.1007/s10198-021-01306-z:3	person:leader:63cb6b329986	Jill Carlton		A5051490866	Jill Carlton	0000-0002-9373-7663	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-021-01306-z	4	author:doi:10.1007/s10198-021-01306-z:4	person:orcid:0000-0003-4609-3911	Janice Connell		A5037958944	Janice Connell	0000-0003-4609-3911	AUTHOR_ORCID	ACCEPTED	
doi:10.1007/s10198-021-01306-z	5	author:doi:10.1007/s10198-021-01306-z:5	person:eqmember:17946	Nancy Devlin		A5103206776	Nancy Devlin	0000-0002-1561-5361	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-021-01306-z	6	author:doi:10.1007/s10198-021-01306-z:6	person:orcid:0000-0003-0851-8341	Karen Jones		A5044553114	Karen Jones	0000-0003-0851-8341	AUTHOR_ORCID	ACCEPTED	
doi:10.1007/s10198-021-01306-z	7	author:doi:10.1007/s10198-021-01306-z:7	person:openalex:A5111788632	Rosemary Lovett		A5111788632	Rosemary Lovett		AUTHOR_OPENALEX_ID	ACCEPTED	
doi:10.1007/s10198-021-01306-z	8	author:doi:10.1007/s10198-021-01306-z:8	person:openalex:A5072547675	Bhash Naidoo		A5072547675	Bhash Naidoo		AUTHOR_OPENALEX_ID	ACCEPTED	
doi:10.1007/s10198-021-01306-z	9	author:doi:10.1007/s10198-021-01306-z:9	person:orcid:0000-0001-9071-2842	Stacey Rand		A5079445531	Stacey Rand	0000-0001-9071-2842	AUTHOR_ORCID	ACCEPTED	
doi:10.1007/s10198-021-01306-z	10	author:doi:10.1007/s10198-021-01306-z:10	person:orcid:0000-0002-0680-7353	Juan Carlos Rejon-Parrilla		A5076030034	Juan Carlos Rejón-Parrilla	0000-0002-0680-7353	AUTHOR_ORCID	ACCEPTED	
doi:10.1007/s10198-021-01306-z	11	author:doi:10.1007/s10198-021-01306-z:11	person:eqmember:17833	Donna Rowen		A5067226056	Donna Rowen	0000-0003-3018-5109	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-021-01306-z	12	author:doi:10.1007/s10198-021-01306-z:12	person:eqmember:17790	Aki Tsuchiya		A5015417862	Aki Tsuchiya	0000-0003-4245-5399	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-021-01306-z	13	author:doi:10.1007/s10198-021-01306-z:13	person:eqmember:17885	John Brazier		A5007276743	John Brazier	0000-0001-8645-4780	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-021-01309-w	1	author:doi:10.1007/s10198-021-01309-w:1	person:leader:73598c4735dd	Wenjing Zhou		A5101270720	Wenjing Zhou		CANONICAL_PROPAGATED_EXACT_NAME	ACCEPTED	exact name recurs after source-confirmed canonical linkage
doi:10.1007/s10198-021-01309-w	2	author:doi:10.1007/s10198-021-01309-w:2	person:openalex:A5078510482	Anle Shen		A5078510482	Anle Shen		AUTHOR_OPENALEX_ID	ACCEPTED	
doi:10.1007/s10198-021-01309-w	3	author:doi:10.1007/s10198-021-01309-w:3	person:eqmember:18019	Zhihao Yang		A5028809099	Zhihao Yang	0000-0001-5468-0847	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-021-01309-w	4	author:doi:10.1007/s10198-021-01309-w:4	person:leader:fa3dd095d626	Pei Wang		A5100462659	Pei Wang	0000-0003-3661-3944	CANONICAL_PROPAGATED_OPENALEX	ACCEPTED	same OpenAlex author occurs in a source-confirmed canonical paper
doi:10.1007/s10198-021-01309-w	5	author:doi:10.1007/s10198-021-01309-w:5	person:orcid:0000-0002-8314-8259	Bin Wu		A5103219361	Bin Wu	0000-0002-8314-8259	AUTHOR_ORCID	ACCEPTED	
doi:10.1007/s10198-021-01309-w	6	author:doi:10.1007/s10198-021-01309-w:6	person:eqmember:17930	Michael Herdman		A5006750775	Michael Herdman	0000-0002-8189-5357	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-021-01309-w	7	author:doi:10.1007/s10198-021-01309-w:7	person:eqmember:17944	Nan Luo		A5064398143	Nan Luo	0000-0001-7980-6979	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-021-01377-y	1	orcid:0000-0002-8784-9650	person:eqmember:17992	S. A. Lipman	0000-0002-8784-9650	A5078862538	Stefan A. Lipman	0000-0002-8784-9650	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-021-01377-y	2	author:doi:10.1007/s10198-021-01377-y:2	person:leader:8677f310bcd0	V. T. Reckers-Droog		A5011536590	Vivian Reckers‐Droog	0000-0001-8722-3431	REVIEWED_AUTHORSHIP_MERGE	ACCEPTED	Exact surname and initials with the same ORCID as the project leader
doi:10.1007/s10198-021-01377-y	3	author:doi:10.1007/s10198-021-01377-y:3	person:eqmember:17937	M. Karimi		A5076374306	Milad Karimi	0000-0002-5298-174x	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-021-01377-y	4	author:doi:10.1007/s10198-021-01377-y:4	person:eqmember:17934	M. Jakubczyk		A5015781187	Michał Jakubczyk	0000-0002-0006-6769	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-021-01377-y	5	author:doi:10.1007/s10198-021-01377-y:5	person:leader:78f0dc6cb8d8	A. E. Attema		A5082166488	Arthur E. Attema	0000-0003-3607-6579	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-022-01481-7	1	orcid:0000-0002-8718-5516	person:leader:fa9a063b5705	Elena Olariu	0000-0002-8718-5516	A5018887750	Elena Olariu	0000-0002-8718-5516	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-022-01481-7	2	orcid:0000-0003-0370-4903	person:orcid:0000-0003-0370-4903	Wael Mohammed	0000-0003-0370-4903	A5037446166	Wael Mohammed	0000-0003-0370-4903	AUTHOR_ORCID	ACCEPTED	
doi:10.1007/s10198-022-01481-7	3	orcid:0000-0002-9891-8279	person:orcid:0000-0002-9891-8279	Yemi Oluboyede	0000-0002-9891-8279	A5056957640	Yemi Oluboyede	0000-0002-9891-8279	AUTHOR_ORCID	ACCEPTED	
doi:10.1007/s10198-022-01481-7	4	orcid:0000-0001-6489-171x	person:orcid:0000-0001-6489-171x	Raluca Caplescu	0000-0001-6489-171x	A5054647242	Raluca Căplescu	0000-0001-6489-171x	AUTHOR_ORCID	ACCEPTED	
doi:10.1007/s10198-022-01481-7	5	orcid:0000-0003-2902-1641	person:orcid:0000-0003-2902-1641	Ileana Gabriela Niculescu-Aron	0000-0003-2902-1641	A5086290664	Ileana Gabriela Niculescu-Aron	0000-0003-2902-1641	AUTHOR_ORCID	ACCEPTED	
doi:10.1007/s10198-022-01481-7	6	orcid:0000-0002-0702-1715	person:orcid:0000-0002-0702-1715	Marian Sorin Paveliu	0000-0002-0702-1715	A5077743133	Marian Sorin Paveliu	0000-0002-0702-1715	AUTHOR_ORCID	ACCEPTED	
doi:10.1007/s10198-022-01481-7	7	orcid:0000-0001-8574-8429	person:orcid:0000-0001-8574-8429	Luke Vale	0000-0001-8574-8429	A5000940073	Luke Vale	0000-0001-8574-8429	AUTHOR_ORCID	ACCEPTED	
doi:10.1007/s10198-023-01569-8	1	orcid:0000-0001-7918-839x	person:eqmember:18646	Edward J. D. Webb	0000-0001-7918-839x	A5011344482	Edward Webb	0000-0001-7918-839x	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-023-01569-8	2	author:doi:10.1007/s10198-023-01569-8:2	person:eqmember:17962	Paul Kind		A5013594779	Paul Kind	0000-0003-2377-1652	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-023-01569-8	3	author:doi:10.1007/s10198-023-01569-8:3	person:orcid:0000-0003-1369-2483	David Meads		A5086640521	David Meads	0000-0003-1369-2483	AUTHOR_ORCID	ACCEPTED	
doi:10.1007/s10198-023-01569-8	4	author:doi:10.1007/s10198-023-01569-8:4	person:orcid:0000-0002-2559-6483	Adam Martin		A5023608008	Adam Martin	0000-0002-2559-6483	AUTHOR_ORCID	ACCEPTED	
doi:10.1007/s10198-023-01612-8	1	orcid:0000-0002-2399-6942	person:orcid:0000-0002-2399-6942	Zhongyu Lang	0000-0002-2399-6942	A5038625794	Zhongyu Lang	0000-0002-2399-6942	AUTHOR_ORCID	ACCEPTED	
doi:10.1007/s10198-023-01612-8	2	author:doi:10.1007/s10198-023-01612-8:2	person:leader:78f0dc6cb8d8	Arthur E. Attema		A5082166488	Arthur E. Attema	0000-0003-3607-6579	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-023-01612-8	3	author:doi:10.1007/s10198-023-01612-8:3	person:eqmember:17992	Stefan A. Lipman		A5078862538	Stefan A. Lipman	0000-0002-8784-9650	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-023-01668-6	1	author:doi:10.1007/s10198-023-01668-6:1	person:eqmember:17992	Stefan A Lipman		A5078862538	Stefan A. Lipman	0000-0002-8784-9650	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-023-01668-6	2	author:doi:10.1007/s10198-023-01668-6:2	person:leader:8677f310bcd0	Vivian T Reckers-Droog		A5011536590	Vivian Reckers‐Droog	0000-0001-8722-3431	REVIEWED_AUTHORSHIP_MERGE	ACCEPTED	Exact full name with the same ORCID as the project leader
doi:10.1007/s10198-024-01682-2	1	orcid:0000-0002-4720-5172	person:eqmember:21678	Richard Huan Xu	0000-0002-4720-5172	A5057171540	Richard Huan Xu	0000-0002-4720-5172	CANONICAL_NAME_AND_LINKED_PROJECT	ACCEPTED	
doi:10.1007/s10198-024-01682-2	2	author:doi:10.1007/s10198-024-01682-2:2	person:eqmember:17944	Nan Luo		A5064398143	Nan Luo	0000-0001-7980-6979	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-024-01682-2	3	orcid:0000-0001-9784-6472	person:orcid:0000-0001-9784-6472	Dong Dong	0000-0001-9784-6472	A5100318622	Dong Dong	0000-0001-9784-6472	AUTHOR_ORCID	ACCEPTED	
doi:10.1007/s10198-024-01710-1	1	orcid:0000-0003-0770-4564	person:leader:73598c4735dd	Wenjing Zhou	0000-0003-0770-4564	A5080372262	Wenjing Zhou	0000-0003-0770-4564	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-024-01710-1	2	author:doi:10.1007/s10198-024-01710-1:2	person:orcid:0009-0002-6616-3657	Yaqin Li		A5101897221	Yaqin Li	0009-0002-6616-3657	AUTHOR_ORCID	ACCEPTED	
doi:10.1007/s10198-024-01710-1	3	orcid:0000-0002-8602-0381	person:eqmember:17875	Jan Busschbach	0000-0002-8602-0381	A5020122364	Jan J.V. Busschbach	0000-0002-8602-0381	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-024-01710-1	4	author:doi:10.1007/s10198-024-01710-1:4	person:eqmember:17930	Michael Herdman		A5101442953	Michael Herdman	0000-0003-0423-6005	CANONICAL_NAME_AND_AFFILIATION	ACCEPTED	
doi:10.1007/s10198-024-01710-1	5	orcid:0000-0001-5468-0847	person:eqmember:18019	Zhihao Yang	0000-0001-5468-0847	A5028809099	Zhihao Yang	0000-0001-5468-0847	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-024-01710-1	6	orcid:0009-0008-6782-4182	person:orcid:0009-0008-6782-4182	Yanming Lu	0009-0008-6782-4182	A5101313577	Y. Lu	0009-0008-6782-4182	AUTHOR_ORCID	ACCEPTED	
doi:10.1007/s10198-024-01719-6	1	author:doi:10.1007/s10198-024-01719-6:1	person:orcid:0000-0001-7161-6767	M Mercédesz Angyal		A5003468874	M. Mercédesz Angyal	0000-0001-7161-6767	AUTHOR_ORCID	ACCEPTED	
doi:10.1007/s10198-024-01719-6	2	author:doi:10.1007/s10198-024-01719-6:2	person:eqmember:19005	Mathieu F Janssen		A5020933378	Mathieu F. Janssen	0000-0001-6602-6949	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-024-01719-6	3	author:doi:10.1007/s10198-024-01719-6:3	person:orcid:0000-0002-3948-6488	Péter L Lakatos		A5005601386	Péter L. Lakatos	0000-0002-3948-6488	AUTHOR_ORCID	ACCEPTED	
doi:10.1007/s10198-024-01719-6	4	author:doi:10.1007/s10198-024-01719-6:4	person:orcid:0000-0002-6095-2295	Valentin Brodszky		A5034446187	Valentin Brodszky	0000-0002-6095-2295	AUTHOR_ORCID	ACCEPTED	
doi:10.1007/s10198-024-01719-6	5	author:doi:10.1007/s10198-024-01719-6:5	person:eqmember:17845	Fanni Rencz		A5024021740	Fanni Rencz	0000-0001-9674-620x	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-025-01769-4	1	orcid:0000-0002-9768-5389	person:orcid:0000-0002-9768-5389	Aisha Moolla	0000-0002-9768-5389	A5071945598	Aisha Moolla	0000-0002-9768-5389	AUTHOR_ORCID	ACCEPTED	
doi:10.1007/s10198-025-01769-4	2	author:doi:10.1007/s10198-025-01769-4:2	person:leader:0a4ba2690908	Paul Schneider		A5007136182	P. Schneider	0000-0003-3552-1087	CANONICAL_NAME_AND_LINKED_PROJECT	ACCEPTED	
doi:10.1007/s10198-025-01769-4	3	author:doi:10.1007/s10198-025-01769-4:3	person:eqmember:17958	Ole Marten		A5033160244	Ole Marten	0000-0002-2576-9110	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-025-01769-4	4	author:doi:10.1007/s10198-025-01769-4:4	person:eqmember:17819	Clara Mukuria		A5043083823	Clara Mukuria	0000-0003-4318-1481	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-025-01769-4	5	author:doi:10.1007/s10198-025-01769-4:5	person:eqmember:17998	Tessa Peasgood		A5022446221	Tessa Peasgood	0000-0001-8024-7801	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-025-01770-x	1	author:doi:10.1007/s10198-025-01770-x:1	person:orcid:0000-0002-1175-2211	Caique de Melo do Espirito Santo		A5042363960	Caique de Melo do Espírito Santo	0000-0002-1175-2211	AUTHOR_ORCID	ACCEPTED	
doi:10.1007/s10198-025-01770-x	2	author:doi:10.1007/s10198-025-01770-x:2	person:orcid:0000-0002-1433-818x	Verônica Souza Santos		A5086352962	Verônica Souza Santos	0000-0002-1433-818x	AUTHOR_ORCID	ACCEPTED	
doi:10.1007/s10198-025-01770-x	3	author:doi:10.1007/s10198-025-01770-x:3	person:orcid:0009-0009-2934-8362	Yasmin Brasileiro de Souza		A5117121468	Yasmin Brasileiro de Souza	0009-0009-2934-8362	AUTHOR_ORCID	ACCEPTED	
doi:10.1007/s10198-025-01770-x	4	author:doi:10.1007/s10198-025-01770-x:4	person:eqmember:19003	Aureliano Paolo Finch		A5055927783	Aureliano Paolo Finch	0000-0003-1438-321x	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-025-01770-x	5	author:doi:10.1007/s10198-025-01770-x:5	person:eqmember:17877	Janine Verstraete		A5006452129	Janine Verstraete	0000-0002-1148-4747	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-025-01770-x	6	author:doi:10.1007/s10198-025-01770-x:6	person:leader:82320ccd878a	Gisela Cristiane Miyamoto		A5024629360	Gisela Cristiane Miyamoto	0000-0002-6826-4278	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-025-01770-x	7	author:doi:10.1007/s10198-025-01770-x:7	person:leader:c9be2e978859	Tiê P Yamato		A5034831401	Tiê Parma Yamato	0000-0002-5228-1292	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-025-01804-4	1	author:doi:10.1007/s10198-025-01804-4:1	person:eqmember:18002	Tianxin Pan		A5044860561	Tianxin Pan	0000-0002-2243-8818	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-025-01804-4	2	author:doi:10.1007/s10198-025-01804-4:2	person:openalex:A5086528283	Li Huang		A5130215476	Li Huang		REVIEWED_AUTHORSHIP_MERGE	ACCEPTED	OpenAlex split; exact full name and the same Melbourne child-health economics unit and research area
doi:10.1007/s10198-025-01804-4	3	author:doi:10.1007/s10198-025-01804-4:3	person:openalex:A5018364694	Vicky He		A5018364694	Victoria Lee He		AUTHOR_OPENALEX_ID	ACCEPTED	
doi:10.1007/s10198-025-01804-4	4	author:doi:10.1007/s10198-025-01804-4:4	person:eqmember:17877	Janine Verstraete		A5006452129	Janine Verstraete	0000-0002-1148-4747	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-025-01804-4	5	author:doi:10.1007/s10198-025-01804-4:5	person:eqmember:17946	Nancy Devlin		A5103206776	Nancy Devlin	0000-0002-1561-5361	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-025-01804-4	6	author:doi:10.1007/s10198-025-01804-4:6	person:openalex:A5110255509	Mike Herdman		A5110255509	Mike Herdman		AUTHOR_OPENALEX_ID	ACCEPTED	
doi:10.1007/s10198-025-01804-4	7	author:doi:10.1007/s10198-025-01804-4:7	person:leader:50cca9cff5d9	Kim Dalziel		A5078953009	Kim Dalziel	0000-0003-4972-8871	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-025-01804-4	8	author:doi:10.1007/s10198-025-01804-4:8	group:quokka-project-team	in collaboration with the Quality Of Life in Kids: Key evidence to strengthen decisions in Australia (QUOKKA) project team					COLLECTIVE_AUTHOR	ACCEPTED	
doi:10.1007/s10198-025-01812-4	1	orcid:0000-0002-2399-6942	person:orcid:0000-0002-2399-6942	Zhongyu Lang	0000-0002-2399-6942	A5038625794	Zhongyu Lang	0000-0002-2399-6942	AUTHOR_ORCID	ACCEPTED	
doi:10.1007/s10198-025-01812-4	2	author:doi:10.1007/s10198-025-01812-4:2	person:orcid:0000-0002-5882-6070	Liying Zhang		A5100357092	Liying Zhang	0000-0002-5882-6070	AUTHOR_ORCID	ACCEPTED	
doi:10.1007/s10198-025-01812-4	3	author:doi:10.1007/s10198-025-01812-4:3	person:eqmember:17992	Stefan A. Lipman		A5078862538	Stefan A. Lipman	0000-0002-8784-9650	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-025-01812-4	4	author:doi:10.1007/s10198-025-01812-4:4	person:openalex:A5119599136	Bradley Sugden		A5119599136	Bradely Sugden		AUTHOR_OPENALEX_ID	ACCEPTED	
doi:10.1007/s10198-025-01812-4	5	author:doi:10.1007/s10198-025-01812-4:5	person:eqmember:17897	Kim Rand			Kim Rand		CANONICAL_NAME_AND_AFFILIATION	ACCEPTED	
doi:10.1007/s10198-025-01812-4	6	author:doi:10.1007/s10198-025-01812-4:6	person:leader:78f0dc6cb8d8	Arthur E. Attema		A5082166488	Arthur E. Attema	0000-0003-3607-6579	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-025-01823-1	1	author:doi:10.1007/s10198-025-01823-1:1	person:leader:45e0db20f70b	Ava Hoogenboom		A5117116214	Ava F H Hoogenboom	0009-0004-2252-454x	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-025-01823-1	2	author:doi:10.1007/s10198-025-01823-1:2	person:leader:8677f310bcd0	Vivian Reckers-Droog		A5011536590	Vivian Reckers‐Droog	0000-0001-8722-3431	CANONICAL_NAME_AND_LINKED_PROJECT	ACCEPTED	
doi:10.1007/s10198-025-01823-1	3	author:doi:10.1007/s10198-025-01823-1:3	person:eqmember:17992	Stefan Lipman		A5078862538	Stefan A. Lipman	0000-0002-8784-9650	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-025-01823-1	4	author:doi:10.1007/s10198-025-01823-1:4	person:orcid:0000-0002-0476-8397	Werner Brouwer		A5053906209	Werner Brouwer	0000-0002-0476-8397	AUTHOR_ORCID	ACCEPTED	
doi:10.1007/s10198-025-01852-w	1	orcid:0000-0001-5000-0875	person:eqmember:17805	Bram Roudijk	0000-0001-5000-0875	A5028508726	Bram Roudijk	0000-0001-5000-0875	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-025-01852-w	2	author:doi:10.1007/s10198-025-01852-w:2	person:eqmember:18002	Tianxin Pan		A5044860561	Tianxin Pan	0000-0002-2243-8818	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-025-01852-w	3	author:doi:10.1007/s10198-025-01852-w:3	person:eqmember:17873	Jan Abel Olsen		A5052181611	Jan Abel Olsen	0000-0001-9472-2669	CANONICAL_ORCID	ACCEPTED	
doi:10.1007/s10198-025-01852-w	4	author:doi:10.1007/s10198-025-01852-w:4	person:eqmember:17946	Nancy Devlin		A5108295899	Nancy Devlin		CANONICAL_NAME_AND_LINKED_PROJECT	ACCEPTED	
