project_id	person_id	role	source_name	resolution_method	resolution_status
147-RA	person:eqmember:17877	PRINCIPAL_INVESTIGATOR	Janine Verstraete	CANONICAL_PROJECT_SOURCE	ACCEPTED
1472-PD	person:eqmember:18002	PRINCIPAL_INVESTIGATOR	Tianxin Pan	CANONICAL_PROJECT_SOURCE	ACCEPTED
1475-RA	person:eqmember:17791	PRINCIPAL_INVESTIGATOR	Andrew Lloyd	CANONICAL_PROJECT_SOURCE	ACCEPTED
1479-TVG	person:eqmember:17954	PRINCIPAL_INVESTIGATOR	Nils Gutacker	CANONICAL_PROJECT_SOURCE	ACCEPTED
148-RA	person:eqmember:17976	PRINCIPAL_INVESTIGATOR	Rosalie Viney	CANONICAL_PROJECT_SOURCE	ACCEPTED
1481-PHD	person:eqmember:17911	PRINCIPAL_INVESTIGATOR	Lidia Engel	CANONICAL_PROJECT_SOURCE	ACCEPTED
1482-RA	person:eqmember:17913	PRINCIPAL_INVESTIGATOR	Ling-Hsiang Chuang	CANONICAL_PROJECT_SOURCE	ACCEPTED
1483-TVG	person:leader:c2d00c5008f7	PRINCIPAL_INVESTIGATOR	Joshua Bonsel	CANONICAL_PROJECT_SOURCE	ACCEPTED
1484-RA	person:eqmember:17920	PRINCIPAL_INVESTIGATOR	Marcel Jonker, PhD	CANONICAL_PROJECT_SOURCE	ACCEPTED
1485-RA	person:eqmember:18019	PRINCIPAL_INVESTIGATOR	Zhihao Yang	CANONICAL_PROJECT_SOURCE	ACCEPTED
1487-RA	person:eqmember:17968	PRINCIPAL_INVESTIGATOR	Peep FM Stalmeier	CANONICAL_PROJECT_SOURCE	ACCEPTED
1489-RA	person:eqmember:17920	PRINCIPAL_INVESTIGATOR	Marcel Jonker, PhD	CANONICAL_PROJECT_SOURCE	ACCEPTED
1490-RA	person:leader:2ca10efb7941	PRINCIPAL_INVESTIGATOR	Merhawit Gerezgiher	CANONICAL_PROJECT_SOURCE	ACCEPTED
1492-RA	person:leader:39e3bb2019e3	PRINCIPAL_INVESTIGATOR	Samar Farid	CANONICAL_PROJECT_SOURCE	ACCEPTED
1493-RA	person:eqmember:17863	PRINCIPAL_INVESTIGATOR	Hannah Penton	CANONICAL_PROJECT_SOURCE	ACCEPTED
1494-RA	person:eqmember:17863	PRINCIPAL_INVESTIGATOR	Hannah Penton	CANONICAL_PROJECT_SOURCE	ACCEPTED
1495-RA	person:eqmember:21678	PRINCIPAL_INVESTIGATOR	Richard Huan Xu	CANONICAL_PROJECT_SOURCE	ACCEPTED
1497-RA	person:eqmember:17946	PRINCIPAL_INVESTIGATOR	Nancy Devlin	CANONICAL_PROJECT_SOURCE	ACCEPTED
1498-PHD	person:eqmember:17895	PRINCIPAL_INVESTIGATOR	Juanita Haagsma	CANONICAL_PROJECT_SOURCE	ACCEPTED
150-RA	person:eqmember:17911	PRINCIPAL_INVESTIGATOR	Lidia Engel	CANONICAL_PROJECT_SOURCE	ACCEPTED
1504-RA	person:eqmember:17944	PRINCIPAL_INVESTIGATOR	Nan LUO	CANONICAL_PROJECT_SOURCE	ACCEPTED
1505-RA	person:eqmember:17944	PRINCIPAL_INVESTIGATOR	Nan Luo	CANONICAL_PROJECT_SOURCE	ACCEPTED
1507-VS	person:eqmember:17897	PRINCIPAL_INVESTIGATOR	Kim Rand	CANONICAL_PROJECT_SOURCE	ACCEPTED
1508-RA	person:leader:0a4ba2690908	PRINCIPAL_INVESTIGATOR	Paul Schneider	CANONICAL_PROJECT_SOURCE	ACCEPTED
151-RA	person:eqmember:17895	PRINCIPAL_INVESTIGATOR	Juanita Haagsma	CANONICAL_PROJECT_SOURCE	ACCEPTED
1514-RA	person:eqmember:19030	PRINCIPAL_INVESTIGATOR	Maja Kuharic	CANONICAL_PROJECT_SOURCE	ACCEPTED
1517-RA	person:eqmember:17944	PRINCIPAL_INVESTIGATOR	Nan Luo	CANONICAL_PROJECT_SOURCE	ACCEPTED
152-RA	person:eqmember:17803	PRINCIPAL_INVESTIGATOR	Bernhard Michalowsky	CANONICAL_PROJECT_SOURCE	ACCEPTED
1522-RA	person:eqmember:17944	PRINCIPAL_INVESTIGATOR	Nan Luo	CANONICAL_PROJECT_SOURCE	ACCEPTED
1524-VS	person:eqmember:17833	PRINCIPAL_INVESTIGATOR	Donna Rowen	CANONICAL_PROJECT_SOURCE	ACCEPTED
1530-RA	person:eqmember:17934	PRINCIPAL_INVESTIGATOR	Michał Jakubczyk	CANONICAL_PROJECT_SOURCE	ACCEPTED
1534-EO	person:eqmember:18019	PRINCIPAL_INVESTIGATOR	Zhihao Yang	CANONICAL_PROJECT_SOURCE	ACCEPTED
1535-RA	person:eqmember:17944	PRINCIPAL_INVESTIGATOR	Nan Luo	CANONICAL_PROJECT_SOURCE	ACCEPTED
1539-SG	person:leader:0528d2bef677	PRINCIPAL_INVESTIGATOR	Iwan van der Horst	CANONICAL_PROJECT_SOURCE	ACCEPTED
1543-RA	person:eqmember:17982	PRINCIPAL_INVESTIGATOR	Sarah Derrett	CANONICAL_PROJECT_SOURCE	ACCEPTED
1549-RA	person:eqmember:21678	PRINCIPAL_INVESTIGATOR	Richard Huan XU	CANONICAL_PROJECT_SOURCE	ACCEPTED
155-RA	person:eqmember:19005	PRINCIPAL_INVESTIGATOR	Bas (MF) Janssen	CANONICAL_PROJECT_SOURCE	ACCEPTED
1557-RA	person:leader:33e259cba916	PRINCIPAL_INVESTIGATOR	Jessica Roydhouse	CANONICAL_PROJECT_SOURCE	ACCEPTED
1559-RA	person:eqmember:21677	PRINCIPAL_INVESTIGATOR	Dr Cate Bailey	CANONICAL_PROJECT_SOURCE	ACCEPTED
1561-RA	person:eqmember:17996	PRINCIPAL_INVESTIGATOR	Sun Sun	CANONICAL_PROJECT_SOURCE	ACCEPTED
1566-RA	person:eqmember:21677	PRINCIPAL_INVESTIGATOR	Cate Bailey	CANONICAL_PROJECT_SOURCE	ACCEPTED
1569-RA	person:leader:d1d5bf1eb595	PRINCIPAL_INVESTIGATOR	Sander van Kuijk	CANONICAL_PROJECT_SOURCE	ACCEPTED
157-RA	person:eqmember:19005	PRINCIPAL_INVESTIGATOR	Bas Janssen	CANONICAL_PROJECT_SOURCE	ACCEPTED
1572-RA	person:leader:2a625746ba9f	PRINCIPAL_INVESTIGATOR	Elizabeth Tompkins (known as Elizabeth Goodwin)	CANONICAL_PROJECT_SOURCE	ACCEPTED
1573-RA	person:eqmember:17966	PRINCIPAL_INVESTIGATOR	Paula Lorgelly	CANONICAL_PROJECT_SOURCE	ACCEPTED
1574-RA	person:eqmember:17934	PRINCIPAL_INVESTIGATOR	Michał Jakubczyk	CANONICAL_PROJECT_SOURCE	ACCEPTED
1575-VS	person:eqmember:17831	PRINCIPAL_INVESTIGATOR	Dominik Golicki	CANONICAL_PROJECT_SOURCE	ACCEPTED
1578-RA	person:eqmember:17974	PRINCIPAL_INVESTIGATOR	Richard Norman	CANONICAL_PROJECT_SOURCE	ACCEPTED
1580-RA	person:eqmember:18021	PRINCIPAL_INVESTIGATOR	Zhuxin Mao	CANONICAL_PROJECT_SOURCE	ACCEPTED
1582-RA	person:leader:b74a5997703c	PRINCIPAL_INVESTIGATOR	Maresa Buchholz	CANONICAL_PROJECT_SOURCE	ACCEPTED
1583-RA	person:eqmember:17962	PRINCIPAL_INVESTIGATOR	Paul Kind	CANONICAL_PROJECT_SOURCE	ACCEPTED
1584-SG	person:leader:b939f54e06af	PRINCIPAL_INVESTIGATOR	W.H.P. (Willem) van Veghel, MSc	CANONICAL_PROJECT_SOURCE	ACCEPTED
1585-RA	person:eqmember:17934	PRINCIPAL_INVESTIGATOR	Michał Jakubczyk	CANONICAL_PROJECT_SOURCE	ACCEPTED
1587-TVG	person:eqmember:17851	PRINCIPAL_INVESTIGATOR	Feng Xie	CANONICAL_PROJECT_SOURCE	ACCEPTED
1588-RA	person:eqmember:18021	PRINCIPAL_INVESTIGATOR	Zhuxin Mao	CANONICAL_PROJECT_SOURCE	ACCEPTED
1591-RA	person:leader:ece94cf47888	PRINCIPAL_INVESTIGATOR	Begashaw Melaku Gebresillassie	CANONICAL_PROJECT_SOURCE	ACCEPTED
1592-RA	person:eqmember:17803	PRINCIPAL_INVESTIGATOR	Bernhard Michalowsky	CANONICAL_PROJECT_SOURCE	ACCEPTED
1593-RA	person:eqmember:18018	PRINCIPAL_INVESTIGATOR	You-Shan Feng	CANONICAL_PROJECT_SOURCE	ACCEPTED
1594-RA	person:leader:39e3bb2019e3	PRINCIPAL_INVESTIGATOR	Samar Farid	CANONICAL_PROJECT_SOURCE	ACCEPTED
1596-RA	person:leader:0a4ba2690908	PRINCIPAL_INVESTIGATOR	Paul Schneider	CANONICAL_PROJECT_SOURCE	ACCEPTED
1598-RA	person:eqmember:18019	PRINCIPAL_INVESTIGATOR	Zhihao Yang	CANONICAL_PROJECT_SOURCE	ACCEPTED
1599-RA	person:eqmember:17944	PRINCIPAL_INVESTIGATOR	Nan Luo	CANONICAL_PROJECT_SOURCE	ACCEPTED
1600-RA	person:eqmember:18018	PRINCIPAL_INVESTIGATOR	You-Shan Feng, PhD	CANONICAL_PROJECT_SOURCE	ACCEPTED
1601-RA	person:eqmember:17984	PRINCIPAL_INVESTIGATOR	Dewilde Sarah	CANONICAL_PROJECT_SOURCE	ACCEPTED
1602-RA	person:leader:78f0dc6cb8d8	PRINCIPAL_INVESTIGATOR	Arthur Attema	CANONICAL_PROJECT_SOURCE	ACCEPTED
1603-RA	person:eqmember:18010	PRINCIPAL_INVESTIGATOR	Prof. Dr. Wolfgang Greiner	CANONICAL_PROJECT_SOURCE	ACCEPTED
1604-RA	person:eqmember:17895	PRINCIPAL_INVESTIGATOR	Juanita Haagsma	CANONICAL_PROJECT_SOURCE	ACCEPTED
1605-RA	person:eqmember:17849	PRINCIPAL_INVESTIGATOR	Federico Augustovski	CANONICAL_PROJECT_SOURCE	ACCEPTED
1606-RA	person:leader:35b2f2d48116	PRINCIPAL_INVESTIGATOR	Cathrine Elgaard Jensen	CANONICAL_PROJECT_SOURCE	ACCEPTED
1608-RA	person:eqmember:17944	PRINCIPAL_INVESTIGATOR	Nan Luo	CANONICAL_PROJECT_SOURCE	ACCEPTED
161-RA	person:leader:b95f9aa0caf2	PRINCIPAL_INVESTIGATOR	Andrea L. Monteiro	CANONICAL_PROJECT_SOURCE	ACCEPTED
1611-RA	person:eqmember:17920	PRINCIPAL_INVESTIGATOR	Marcel Jonker	CANONICAL_PROJECT_SOURCE	ACCEPTED
1612-RA	person:eqmember:17920	PRINCIPAL_INVESTIGATOR	Marcel Jonker	CANONICAL_PROJECT_SOURCE	ACCEPTED
1624-EO	person:eqmember:17952	PRINCIPAL_INVESTIGATOR	Nick Bansback	CANONICAL_PROJECT_SOURCE	ACCEPTED
1627-RA	person:leader:7fbd807010a1	PRINCIPAL_INVESTIGATOR	Kidu Gidey	CANONICAL_PROJECT_SOURCE	ACCEPTED
163-RA	person:eqmember:17920	PRINCIPAL_INVESTIGATOR	Marcel Jonker	CANONICAL_PROJECT_SOURCE	ACCEPTED
164-RA	person:eqmember:17994	PRINCIPAL_INVESTIGATOR	Stirling Bryan	CANONICAL_PROJECT_SOURCE	ACCEPTED
1644-RA	person:eqmember:17855	PRINCIPAL_INVESTIGATOR	Fredrick Dermawan Purba, PhD	CANONICAL_PROJECT_SOURCE	ACCEPTED
1646-RA	person:leader:1b524ab3f1ea	PRINCIPAL_INVESTIGATOR	Marufa Sultana	CANONICAL_PROJECT_SOURCE	ACCEPTED
1650-RA	person:eqmember:18016	PRINCIPAL_INVESTIGATOR	Yan Feng	CANONICAL_PROJECT_SOURCE	ACCEPTED
1654-TVG	person:leader:73598c4735dd	PRINCIPAL_INVESTIGATOR	Wenjing Zhou	CANONICAL_PROJECT_SOURCE	ACCEPTED
1655-EO	person:eqmember:17966	PRINCIPAL_INVESTIGATOR	Paula Lorgelly	CANONICAL_PROJECT_SOURCE	ACCEPTED
1663-TVG	person:eqmember:19028	PRINCIPAL_INVESTIGATOR	Ling Jie Cheng	CANONICAL_PROJECT_SOURCE	ACCEPTED
1665-RA	person:leader:4a5cd1710c94	PRINCIPAL_INVESTIGATOR	Emily McDool	CANONICAL_PROJECT_SOURCE	ACCEPTED
1666-VS	person:leader:b1d2e25ed336	PRINCIPAL_INVESTIGATOR	Professor Ahmed Hamdan AlJedai	CANONICAL_PROJECT_SOURCE	ACCEPTED
1669-VS	person:leader:f832ce9d79bc	PRINCIPAL_INVESTIGATOR	Jahangir Khan	CANONICAL_PROJECT_SOURCE	ACCEPTED
1670-VS	person:leader:da1bac7dcc2d	PRINCIPAL_INVESTIGATOR	Madeeha Malik	CANONICAL_PROJECT_SOURCE	ACCEPTED
1672-SG	person:leader:509e281c560b	PRINCIPAL_INVESTIGATOR	Raf Van Gestel	CANONICAL_PROJECT_SOURCE	ACCEPTED
1676-RA	person:leader:206cc1095a3f	PRINCIPAL_INVESTIGATOR	Irina Kinchin	CANONICAL_PROJECT_SOURCE	ACCEPTED
1679-RA	person:eqmember:17920	PRINCIPAL_INVESTIGATOR	Marcel Jonker	CANONICAL_PROJECT_SOURCE	ACCEPTED
1680-RA	person:eqmember:17966	PRINCIPAL_INVESTIGATOR	Paula Lorgelly	CANONICAL_PROJECT_SOURCE	ACCEPTED
1681-RA	person:eqmember:17877	PRINCIPAL_INVESTIGATOR	Janine Verstraete	CANONICAL_PROJECT_SOURCE	ACCEPTED
1687-RA	person:eqmember:18006	PRINCIPAL_INVESTIGATOR	Valentina Prevolnik Rupel	CANONICAL_PROJECT_SOURCE	ACCEPTED
1689-RA	person:eqmember:17934	PRINCIPAL_INVESTIGATOR	Michał Jakubczyk	CANONICAL_PROJECT_SOURCE	ACCEPTED
169-RA	person:eqmember:17805	PRINCIPAL_INVESTIGATOR	Bram Roudijk	CANONICAL_PROJECT_SOURCE	ACCEPTED
1691-RA	person:leader:43591e890911	PRINCIPAL_INVESTIGATOR	Clement Cheuk Wai Ng	CANONICAL_PROJECT_SOURCE	ACCEPTED
1693-RA	person:eqmember:17920	PRINCIPAL_INVESTIGATOR	Marcel Jonker	CANONICAL_PROJECT_SOURCE	ACCEPTED
1694-RA	person:eqmember:17805	PRINCIPAL_INVESTIGATOR	Bram Roudijk	CANONICAL_PROJECT_SOURCE	ACCEPTED
1695-RA	person:eqmember:17920	PRINCIPAL_INVESTIGATOR	Marcel Jonker	CANONICAL_PROJECT_SOURCE	ACCEPTED
1696-RA	person:eqmember:17847	PRINCIPAL_INVESTIGATOR	Fatima Al Sayah	CANONICAL_PROJECT_SOURCE	ACCEPTED
1698-RA	person:leader:083cccd0472d	PRINCIPAL_INVESTIGATOR	Wojciech Trzebiński	CANONICAL_PROJECT_SOURCE	ACCEPTED
1700-RA	person:eqmember:17845	PRINCIPAL_INVESTIGATOR	Fanni Rencz	CANONICAL_PROJECT_SOURCE	ACCEPTED
1703-RA	person:leader:43591e890911	PRINCIPAL_INVESTIGATOR	Clement Cheuk Wai Ng	CANONICAL_PROJECT_SOURCE	ACCEPTED
1704-RA	person:eqmember:17851	PRINCIPAL_INVESTIGATOR	FENG XIE	CANONICAL_PROJECT_SOURCE	ACCEPTED
1709-RA	person:leader:b0332ff4018d	PRINCIPAL_INVESTIGATOR	Dr Christine Mpundu-Kaambwa	CANONICAL_PROJECT_SOURCE	ACCEPTED
1710-VS	person:eqmember:17889	PRINCIPAL_INVESTIGATOR	John (Yannis) Yfantopoulos	CANONICAL_PROJECT_SOURCE	ACCEPTED
1711-RA	person:leader:e448059d8472	PRINCIPAL_INVESTIGATOR	Philip Powell	CANONICAL_PROJECT_SOURCE	ACCEPTED
1713-RA	person:eqmember:17881	PRINCIPAL_INVESTIGATOR	Jennifer Jelsma	CANONICAL_PROJECT_SOURCE	ACCEPTED
1716-TVG	person:leader:6fe4e81455db	PRINCIPAL_INVESTIGATOR	Maksat Jumamyradov	CANONICAL_PROJECT_SOURCE	ACCEPTED
1719-RA	person:leader:b9c067658879	PRINCIPAL_INVESTIGATOR	Martin Härter	CANONICAL_PROJECT_SOURCE	ACCEPTED
1721-RA	person:eqmember:17837	PRINCIPAL_INVESTIGATOR	Elly Stolk	CANONICAL_PROJECT_SOURCE	ACCEPTED
1731-VS	person:leader:c00eb6bf5d72	PRINCIPAL_INVESTIGATOR	Abdulrasheed Hassan Yusuf	CANONICAL_PROJECT_SOURCE	ACCEPTED
1732-VS	person:leader:4c5021828c2c	PRINCIPAL_INVESTIGATOR	Josephine Walker	CANONICAL_PROJECT_SOURCE	ACCEPTED
1734-TVG	person:leader:510242c8d95e	PRINCIPAL_INVESTIGATOR	Lucky Ngwira	CANONICAL_PROJECT_SOURCE	ACCEPTED
1735-RA	person:leader:6cc4c9299d70	PRINCIPAL_INVESTIGATOR	Goitom Molalign	CANONICAL_PROJECT_SOURCE	ACCEPTED
1738-TVG	person:eqmember:17944	PRINCIPAL_INVESTIGATOR	Nan Luo	CANONICAL_PROJECT_SOURCE	ACCEPTED
1739-EO	person:leader:1ed27ee96b5d	PRINCIPAL_INVESTIGATOR	Alexander van Heusden	CANONICAL_PROJECT_SOURCE	ACCEPTED
1741-RA	person:eqmember:17944	PRINCIPAL_INVESTIGATOR	Nan Luo	CANONICAL_PROJECT_SOURCE	ACCEPTED
1742-EO	person:leader:73598c4735dd	PRINCIPAL_INVESTIGATOR	Wenjing Zhou	CANONICAL_PROJECT_SOURCE	ACCEPTED
1744-EO	person:eqmember:17795	PRINCIPAL_INVESTIGATOR	Arto Ohinmaa	CANONICAL_PROJECT_SOURCE	ACCEPTED
1752-RA	person:leader:6998de5ea5d5	PRINCIPAL_INVESTIGATOR	Deborah Marshall	CANONICAL_PROJECT_SOURCE	ACCEPTED
1753-PHD	person:leader:a0721a90a44f	PRINCIPAL_INVESTIGATOR	Ademola Itiola	CANONICAL_PROJECT_SOURCE	ACCEPTED
1758-EO	person:leader:c4a44baaa49e	PRINCIPAL_INVESTIGATOR	Guangjie Zhang	CANONICAL_PROJECT_SOURCE	ACCEPTED
1761-EO	person:eqmember:17837	PRINCIPAL_INVESTIGATOR	Elly Stolk	CANONICAL_PROJECT_SOURCE	ACCEPTED
1762-RA	person:eqmember:17905	PRINCIPAL_INVESTIGATOR	Kristina Ludwig	CANONICAL_PROJECT_SOURCE	ACCEPTED
1767-RA	person:eqmember:17867	PRINCIPAL_INVESTIGATOR	Henry Bailey	CANONICAL_PROJECT_SOURCE	ACCEPTED
1769-RA	person:eqmember:19813	PRINCIPAL_INVESTIGATOR	Benjamin M. Craig	CANONICAL_PROJECT_SOURCE	ACCEPTED
1771-RA	person:leader:f05e8daa6389	PRINCIPAL_INVESTIGATOR	Lan Gao	CANONICAL_PROJECT_SOURCE	ACCEPTED
1772-RA	person:eqmember:21677	PRINCIPAL_INVESTIGATOR	Cate Bailey	CANONICAL_PROJECT_SOURCE	ACCEPTED
1776-RA	person:eqmember:17938	PRINCIPAL_INVESTIGATOR	Mimmi Åström	CANONICAL_PROJECT_SOURCE	ACCEPTED
1781-RA	person:leader:fa2f4d6479ec	PRINCIPAL_INVESTIGATOR	Mihretab Gebreslassie	CANONICAL_PROJECT_SOURCE	ACCEPTED
1783-RA	person:eqmember:17992	PRINCIPAL_INVESTIGATOR	Stefan Lipman	CANONICAL_PROJECT_SOURCE	ACCEPTED
1785-RA	person:eqmember:17869	PRINCIPAL_INVESTIGATOR	Ines Buchholz	CANONICAL_PROJECT_SOURCE	ACCEPTED
1786-RA	person:eqmember:17962	PRINCIPAL_INVESTIGATOR	Paul Kind	CANONICAL_PROJECT_SOURCE	ACCEPTED
1787-RA	person:eqmember:17994	PRINCIPAL_INVESTIGATOR	Stirling Bryan	CANONICAL_PROJECT_SOURCE	ACCEPTED
1791-RA	person:eqmember:17803	PRINCIPAL_INVESTIGATOR	Bernhard Michalowsky	CANONICAL_PROJECT_SOURCE	ACCEPTED
1792-SG	person:leader:bfbf7cf35751	PRINCIPAL_INVESTIGATOR	M. Elske van den Akker-van Marle	CANONICAL_PROJECT_SOURCE	ACCEPTED
1793-RA	person:eqmember:17851	PRINCIPAL_INVESTIGATOR	Feng Xie	CANONICAL_PROJECT_SOURCE	ACCEPTED
1796-RA	person:leader:eb823a3d3fe9	PRINCIPAL_INVESTIGATOR	Annette Regan	CANONICAL_PROJECT_SOURCE	ACCEPTED
1797-RA	person:leader:ed94eca24d3c	PRINCIPAL_INVESTIGATOR	Thao Thai	CANONICAL_PROJECT_SOURCE	ACCEPTED
1798-RA	person:eqmember:17787	PRINCIPAL_INVESTIGATOR	Abraham Gebregziabiher	CANONICAL_PROJECT_SOURCE	ACCEPTED
1799-RA	person:leader:db0cd1478ab2	PRINCIPAL_INVESTIGATOR	Akanksha Akanksha	CANONICAL_PROJECT_SOURCE	ACCEPTED
180-RA	person:eqmember:17944	PRINCIPAL_INVESTIGATOR	Nan Luo	CANONICAL_PROJECT_SOURCE	ACCEPTED
1800-RA	person:eqmember:17845	PRINCIPAL_INVESTIGATOR	Fanni Rencz	CANONICAL_PROJECT_SOURCE	ACCEPTED
1804-RA	person:eqmember:21678	PRINCIPAL_INVESTIGATOR	Richard Xu	CANONICAL_PROJECT_SOURCE	ACCEPTED
1806-RA	person:eqmember:17791	PRINCIPAL_INVESTIGATOR	Andrew Lloyd	CANONICAL_PROJECT_SOURCE	ACCEPTED
1807-RA	person:eqmember:18014	PRINCIPAL_INVESTIGATOR	Yaling yang	CANONICAL_PROJECT_SOURCE	ACCEPTED
1808-RA	person:leader:fe53e5b0d472	PRINCIPAL_INVESTIGATOR	Prudence Cheung	CANONICAL_PROJECT_SOURCE	ACCEPTED
1811-RA	person:eqmember:19030	PRINCIPAL_INVESTIGATOR	Maja Kuharic	CANONICAL_PROJECT_SOURCE	ACCEPTED
