record_id,title,year,doi,pmid,pmcid,linked_people,screen_code,screen_reason,full_text_status,full_text_source,assessment_status,connection,connection_evidence,funding_raw,funding_scope,funding_evidence,funding_scope_evidence,project_link,project_ids,project_evidence,confidence,manual_adjudication
P64c5339b0827,New methods for modelling EQ-5D-5L value sets: An application to English data,2017,10.1002/hec.3560,28833854,PMC5836982,Ben Van Hout,R1,[R1] This study develops and evaluates models for deriving the English EQ-5D-5L value set from TTO and DCE data.,available,europe_pmc_xml,assessed,direct_eq,"The paper's primary aim is to model the English EQ-5D-5L value set from TTO and DCE data, developing methods for EQ-5D-5L valuation data.",explicit_euroqol,study_funding,Funding source: a Department of Health Policy Research Programme grant; additional funding and technical support was provided by the EuroQol Research Foundation.,"Funding Source states that the study received additional funding, as well as technical support, from the EuroQol Research Foundation.",probable,2014025,"Candidate 2014025 is titled 'Supplementary funding 5L value set study England: Sheffield'; the article reports the English EQ-5D-5L value-set study, Sheffield ethics approval, and Ben van Hout's involvement, providing a distinctive probable match.",high,
P7b8a6079aed9,Valuing health-related quality of life: An EQ-5D-5L value set for England,2017,10.1002/hec.3564,28833869,PMC6680214,Ben Van Hout,R1,[R1] This study elicits TTO and DCE preferences to generate an EQ-5D-5L value set for England.,available,europe_pmc_xml,assessed,direct_eq,"The study’s aim is to produce an English EQ-5D-5L value set; it elicits TTO and DCE preferences and fits a hybrid model for all 3,125 EQ-5D-5L health states.",explicit_euroqol,study_funding,Acknowledgements state: ‘Additional funding and technical support was provided by the EuroQol Research Foundation.’,"Acknowledgements: ‘Additional funding and technical support was provided by the EuroQol Research Foundation’ for this study, alongside Department of Health study funding.",probable,2014025,"Project 2014025 specifically concerns supplementary funding for an England EQ-5D-5L value-set study at Sheffield; its PI Ben Van Hout is an article author, and its 2014 timing fits the study’s 2012–13 data collection and 2017 publication.",medium,
P5adb70ae1f53,A Comparison of Methods for Converting DCE Values onto the Full Health-Dead QALY Scale,2014,10.1177/0272989x14559542,25398621,,Ben Van Hout,R2,"[R2] This study compares DCE-to-QALY-scale conversion methods for health-state values, including mapping and hybrid valuation models.",unavailable,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,,,not_assessed_fulltext_unavailable,,,,
P2a585bd1b140,A Program of Methodological Research to Arrive at the New International EQ-5D-5L Valuation Protocol,2014,10.1016/j.jval.2014.04.002,24969006,,Ben Van Hout,R1,[R1] This EuroQol research program develops the international EQ-5D-5L health-state valuation protocol and its TTO/DCE tasks.,available,openalex_pdf,assessed,direct_eq,"The article describes the EuroQol Group’s methodological research and the resulting international EQ-5D-5L valuation protocol, including composite TTO and discrete-choice tasks to create value sets.",explicit_euroqol,study_funding,"Source of financial support: the England study was funded by Department of Health grant PRP 070-0065, and ‘The other studies were funded by the EuroQol Group.’","The article reports that, aside from the England and Dutch Internet studies, ‘The other studies were funded by the EuroQol Group’; these studies comprise the research program described.",possible,2014025,"Project 2014025 is plausibly related because it names supplementary funding for an England 5L value-set study at Sheffield under Ben Van Hout, while this article reports an England EQ-5D-5L pilot; it does not name that project or link its funding to it.",medium,
P3398c4c18697,Interim EQ-5D-5L Value Set for Poland: First Crosswalk Value Set in Central and Eastern Europe,2014,10.1016/j.vhri.2014.06.001,29702801,,Ben Van Hout,R1,[R1] This study applies EuroQol crosswalk methodology to derive an interim Polish EQ-5D-5L value set.,unavailable,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,,,not_assessed_fulltext_unavailable,,,,
P99f16afecff5,Predicting preference-based utility values using partial proportional odds models.,2014,10.1186/1756-0500-7-438,25000846,PMC4118278,Ben Van Hout,R1,[R1] The study develops and compares EQ-5D response-mapping models to predict its preference-based utility scores.,available,europe_pmc_xml,assessed,direct_eq,The study’s stated aim is to develop EQ-5D response mapping using partial proportional odds models and compare predicted EQ-5D utilities with OLS.,no_funding_statement,no_funding_statement,none stated,none stated,none,,"Neither candidate is supported: the 2020 rescaling project is later, and the 2014 England 5L value-set supplement is not identified and does not match this EQ-5D-3L mapping study.",high,
P363da78cc35f,Eliciting health state utilities for Dupuytren’s contracture using a discrete choice experiment,2013,10.3109/17453674.2013.865097,24286567,PMC3851672,Ben Van Hout,R2,[R2] The DCE elicits and models preferences for Dupuytren's health states to derive a health-state utility algorithm.,available,europe_pmc_xml,assessed,adjacent_measurement,The primary method derives Dupuytren utility algorithms by anchoring DCE preferences to EQ-5D-5L profiles and rescaling them to EQ-5D-5L utility values.,other_funding_only,other_funding_only,The article states: 'This study was sponsored by Pfizer Inc.' No EuroQol funding or support is stated.,The article states: 'This study was sponsored by Pfizer Inc.' No EuroQol funding or support is stated.,none,,"The supplied projects concern later EQ-5D rescaling work (2020) or an England 5L value-set study (2014), not this 2013 Dupuytren DCE.",high,connection: direct_eq -> adjacent_measurement
P4bbb249162d3,A COMPARISON OF ALTERNATIVE VARIANTS OF THE LEAD AND LAG TIME TTO,2012,10.1002/hec.2819,22715069,,Ben Van Hout,R1,[R1] The study evaluates lead- and lag-time TTO variants for valuing EQ-5D health states.,unavailable,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,,,not_assessed_fulltext_unavailable,,,,
P1141bb655825,Estimating Preference-Based EQ-5D Health State Utilities or Item Responses from Neuropathic Pain Scores,2012,10.1007/bf03262491,22765255,,Ben Van Hout,R1,[R1] The study develops and tests mappings from neuropathic-pain scores to EQ-5D utilities and item responses.,unavailable,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,,,not_assessed_fulltext_unavailable,,,,
Pa82d5e634a3d,Estimating Preference-Based Single Index Measures for Dementia Using DEMQOL and DEMQOL-Proxy,2012,10.1016/j.jval.2011.10.016,22433767,,Ben Van Hout,R2,[R2] The study derives and evaluates TTO-based preference weights for new dementia preference-based measures.,unavailable,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,,,not_assessed_fulltext_unavailable,,,,
P54d14ed7d4e4,Interim Scoring for the EQ-5D-5L: Mapping the EQ-5D-5L to EQ-5D-3L Value Sets,2012,10.1016/j.jval.2012.02.008,22867780,,Ben Van Hout,R1,[R1] The study develops an EQ-5D-5L-to-3L crosswalk to generate EQ-5D-5L value sets.,unavailable,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,,,not_assessed_fulltext_unavailable,,,,
P997a842f2a31,Mapping of the Insomnia Severity Index and other sleep measures to EuroQol EQ-5D health state utilities,2011,10.1186/1477-7525-9-119,22208861,PMC3377917,Ben Van Hout,R1,[R1] The study develops and validates mappings from insomnia measures to EQ-5D health-state utilities.,available,europe_pmc_xml,assessed,direct_eq,"The study’s purpose was to establish mapping relationships between insomnia measures and EQ-5D health-state utilities, producing algorithms to estimate EQ-5D utilities when they were not directly collected.",other_funding_only,other_funding_only,‘This manuscript was funded by GlaxoSmithKline’; Pharmerit authors were paid consulting fees by GlaxoSmithKline. No EuroQol funding is stated.,‘This manuscript was funded by GlaxoSmithKline’; Pharmerit authors were paid consulting fees by GlaxoSmithKline. No EuroQol funding is stated.,none,,"No supplied project is named or supported: the article is from 2011 and concerns insomnia-to-EQ-5D mapping, whereas the candidates concern later EQ-5D-5L value-set funding or utility rescaling.",high,
Pbed3bd8561f9,A Fair Approach to Discounting Future Effects: Taking a Societal Perspective,2000,10.1177/135581960000500210,10947546,,Ben Van Hout,R2,[R2] This article centrally develops a societal method for valuing and discounting future health effects.,unavailable,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,,,not_assessed_fulltext_unavailable,,,,
Pa5cece391e47,Estimating parametric relationships between health description and health valuation with an application to the EuroQol EQ-5D.,1999,10.1016/s0167-6296(99)00008-9,10621364,,Ben Van Hout,R1,[R1] The study models the EQ-5D descriptive system to estimate values for unobserved health states.,unavailable,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,,,not_assessed_fulltext_unavailable,,,,
P5f3cb6513ef9,Discounting costs and effects: a reconsideration,1998,10.1002/(sici)1099-1050(1998110)7:7<581::aid-hec380>3.0.co;2-u,9845252,,Ben Van Hout,R2,[R2] This article centrally evaluates how health effects should be valued and discounted in societal utility methods.,unavailable,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,,,not_assessed_fulltext_unavailable,,,,
P9b77a57aa69d,EuroQol-a new facility for the measurement of health-related quality of life,1990,10.1016/0168-8510(90)90421-9,10109801,,Ben Van Hout,R1,[R1] This article develops the standardized EuroQol instrument for describing and valuing health states.,unavailable,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,,,not_assessed_fulltext_unavailable,,,,
P060e13fe92fe,"Using Age-Specific Values for Pediatric HRQoL in Cost-Effectiveness Analysis: Is There a Problem to Be Solved? If So, How?",2023,10.1007/s40273-023-01300-8,37439998,PMC10492668,Ben Van Hout; Elly Stolk,R1,[R1] This paper examines EQ-5D-Y value sets and alternative methods for valuing child health-related quality of life.,available,europe_pmc_xml,assessed,direct_eq,The paper’s stated focus is why EQ-5D-Y-3L and adult EQ-5D values differ and how child HRQoL values should be used in economic evaluation.,explicit_euroqol,study_funding,Work on this paper was supported by EuroQol Research Foundation Grant 202-2020RA.,Funding states: ‘Work on this paper was supported by EuroQol Research Foundation Grant 202-2020RA.’,none,,"The stated EuroQol grant is 202-2020RA, which is not among the supplied candidates; no candidate is otherwise identified as the source of this paper.",high,
Pd4ad2b88f325,"Overview, Update, and Lessons Learned From the International EQ-5D-5L Valuation Work: Version 2 of the EQ-5D-5L Valuation Protocol",2019,10.1016/j.jval.2018.05.010,30661630,,Ben Van Hout; Elly Stolk,R1,[R1] This article evaluates and updates the EQ-5D-5L valuation protocol and associated health-state valuation challenges.,unavailable,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,,,not_assessed_fulltext_unavailable,,,,
P402e54ee500b,Multinational Evidence of the Applicability and Robustness of Discrete Choice Modeling for Deriving EQ-5D-5L Health-State Values,2014,10.1097/mlr.0000000000000178,25100229,PMC4196797,Ben Van Hout; Elly Stolk,R1,[R1] This study tests discrete-choice modeling to derive EQ-5D-5L health-state values across countries.,available,europe_pmc_xml,assessed,direct_eq,The study investigates feasibility of discrete-choice experiments for valuing EQ-5D-5L states and deriving health-state values across four countries.,no_funding_statement,no_funding_statement,"none stated; the only acknowledgement thanks the EuroQol Valuation Task Force for discussions and reflections, not funding.","none stated; the only acknowledgement thanks the EuroQol Valuation Task Force for discussions and reflections, not funding.",none,,"No project ID, project title, or funding attribution identifies a supplied candidate; shared EQ-5D-5L valuation topic and linked people alone are insufficient.",high,
P66c6a996b172,"UK Valuation of EQ-5D-5L, a Generic Measure of Health-Related Quality of Life: A Study Protocol",2023,10.1016/j.jval.2023.08.005,,,Ciaran O'Neill,R1,[R1] This protocol develops a UK EQ-5D-5L value set using composite time trade-off health-state valuations.,unavailable,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,,,not_assessed_fulltext_unavailable,,,,
P6ca0c804f48e,"Assessing the comparative feasibility, acceptability and equivalence of videoconference interviews and face-to-face interviews using the time trade-off technique",2022,10.1016/j.socscimed.2022.115227,,,Ciaran O'Neill,R1,[R1] This evaluates interview modes for EQ-5D-5L time trade-off tasks and their resulting health-state values.,unavailable,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,,,not_assessed_fulltext_unavailable,,,,
Pf73875a260e0,Examining the Association between Polish Migrant Status and Health Preferences Using a Novel Application of a Smaller Design EQ-5D-5L Valuation Study,2022,10.1007/s41669-021-00314-2,,,Ciaran O'Neill,R1,[R1] This EQ-5D-5L valuation study compares Polish migrants' and native Irish health-state utility preferences.,available,europe_pmc_xml,assessed,direct_eq,The study’s objective is to compare Polish migrant and native Irish EQ-5D-5L health-state utility valuations using a smaller-design valuation study and cTTO.,other_funding_only,other_funding_only,"Acknowledgements state that the Hardiman Research Scholarship 2017, awarded by NUI Galway to Dan Kelleher, ‘funded this study’; EuroQol is acknowledged only for support and advice.","Acknowledgements state that the Hardiman Research Scholarship 2017, awarded by NUI Galway to Dan Kelleher, ‘funded this study’; EuroQol is acknowledged only for support and advice.",none,,"Candidate 2013280 concerns a national, 1,000-person Irish EQ-5D-5L value set, whereas this separately funded study used 242 targeted, snowball-sampled respondents and says it was not estimating value sets.",medium,
P595e0df3a2cf,An Exploration on Attribute Non-attendance Using Discrete Choice Experiment Data from the Irish EQ-5D-5L National Valuation Study,2021,10.1007/s41669-020-00244-5,,,Ciaran O'Neill,R1,[R1] This study evaluates attribute non-attendance in EQ-5D-5L valuation DCE data and its implications for value sets.,available,europe_pmc_xml,assessed,direct_eq,"The paper examines attribute non-attendance in DCE valuation of EQ-5D-5L health states and its effect on national value sets, making EuroQol valuation methodology the primary research object.",other_funding_only,other_funding_only,The supplied text names Health Research Board grant RL/13/16 (Ciaran O'Neill); it does not name EuroQol as funder.,The supplied text names Health Research Board grant RL/13/16 (Ciaran O'Neill); it does not name EuroQol as funder.,probable,2013280,"It analyses the Irish EQ-5D-5L national valuation-study data collected with EQ-VT (1,160 respondents), closely matching candidate 2013280's Irish general-population EQ-5D-5L valuation study using cTTO/DCE under Ciaran O'Neill.",high,
P695dbe6ca4ca,Do people with private health insurance attach a higher value to health than those without insurance? Results from an EQ-5D-5 L valuation study in Ireland,2020,10.1016/j.healthpol.2020.03.005,32370881,,Ciaran O'Neill,R1,[R1] This directly elicits EQ-5D-5L health-state values with EQ-VT and evaluates variation in those valuations by insurance status.,available,openalex_pdf,assessed,direct_eq,"Using EuroQol Valuation Technology, the authors administer EQ-5D-5L valuation tasks to estimate health-state preferences and test whether private insurance status affects them.",no_funding_statement,no_funding_statement,none stated,none stated,probable,2013280,Candidate 2013280 proposes an Irish EQ-5D-5L valuation study that will examine preference differences by private health insurance; this article uses the Irish 2015/16 EQ-VT valuation sample for precisely that analysis and includes the candidate PI as author.,high,
P0cd61e3fa9f6,Estimation of an Instrument-Defined Minimally Important Difference in EQ-5D-5L Index Scores Based on Scoring Algorithms Derived Using the EQ-VT Version 2 Valuation Protocols,2020,10.1016/j.jval.2020.03.003,,,Ciaran O'Neill,R1,[R1] This evaluates instrument-defined minimally important differences for EQ-5D-5L scoring algorithms derived with EQ-VT.,available,openalex_pdf,assessed,direct_eq,The study’s stated aim is to estimate instrument-defined minimally important differences in EQ-5D-5L index scores across country scoring algorithms developed using the EQ-VT v2.0 valuation protocol.,other_funding_only,other_funding_only,Funding/Support: This study was supported by the Health Research Board under a Research Leader Award held by Ciaran O’Neill RL/2013/16.,Funding/Support: This study was supported by the Health Research Board under a Research Leader Award held by Ciaran O’Neill RL/2013/16.,possible,2013280,"Project 2013280 plausibly relates because it concerns an Irish EQ-5D-5L EQ-VT valuation study led by O’Neill, and this article analyses the resulting Irish tariff; however, the article reports a separate multi-country MID analysis and does not identify the project.",medium,
P8f639f3647b7,Examining the transnational health preferences of a group of Eastern European migrants relative to a European host population using the EQ-5D-5L,2020,10.1016/j.socscimed.2020.112801,,,Ciaran O'Neill,R1,[R1] This uses EQ-5D-5L cTTO tasks to directly compare health-state utility valuations between migrant and native populations.,available,openalex_pdf,assessed,direct_eq,The study compares Polish migrants' and Irish natives' EQ-5D-5L cTTO valuations; its data were collected as part of the Irish EQ-5D-5L value-set study.,no_funding_statement,no_funding_statement,none stated,none stated,probable,2013280,It analyses 2015/16 EQ-5D-5L cTTO data from the Irish value-set study; candidate 2013280 aimed to derive that Irish EQ-5D-5L value set and has Ciaran O'Neill as PI.,high,
P4afbf0a657c1,"Euthanasia, religiosity and the valuation of health states: results from an Irish EQ5D5L valuation study and their implications for anchor values",2018,10.1186/s12955-018-0985-9,,,Ciaran O'Neill,R1,[R1] The study analyses TTO valuations and worse-than-dead preferences for EQ-5D-5L health states in the Irish valuation study.,available,europe_pmc_xml,assessed,direct_eq,The article analyses EQ-5D-5L composite time-trade-off valuations and how euthanasia attitudes and religiosity affect worse-than-dead values and valuation anchors.,explicit_euroqol,study_funding,This study was funded by the Health Research Board Research Leader Award (RL/13/16) with partial funding from the EuroQol Research Foundation.,Funding: This study was funded by the Health Research Board Research Leader Award (RL/13/16) with partial funding from the EuroQol Research Foundation.,probable,2013280,The article says its data were collected as part of the Irish EQ5D5L valuation study; candidate 2013280 is titled 'An Irish valuation study for the EQ-5D-5L' and specifies the same Irish general-public EQ-5D-5L valuation design.,high,project_link: explicit -> probable
P80d13ed3ef16,The health of the residents of Ireland: Population norms for Ireland based on the EQ-5D-5L descriptive system – a cross sectional study,2018,10.12688/hrbopenres.12848.1,,,Ciaran O'Neill,R1,[R1] The study establishes Irish population norms using the EQ-5D-5L descriptive system.,available,europe_pmc_xml,assessed,direct_eq,The study's purpose is to use the EQ-5D-5L descriptive system to establish Irish population health norms and analyse sociodemographic differences; it presents EQ-5D measurement as the central research object.,explicit_euroqol,study_funding,Funding states: 'Financial support was also provided by the EuroQol Foundation.',Funding states that the study was funded by the Health Research Board and that ‘Financial support was also provided by the EuroQol Foundation.’,probable,2013280,"The paper says its 2015/16 sample was collected 'alongside the generation of a value set for Ireland' and that its norms were part of a larger study examining Irish health-state preferences. This closely matches project 2013280, the Irish EQ-5D-5L valuation study led by Ciaran O'Neill.",high,
P776803e6fb45,Utility Values for Health States in Ireland: A Value Set for the EQ-5D-5L,2018,10.1007/s40273-018-0690-x,,,Ciaran O'Neill,R1,[R1] The study develops the Irish EQ-5D-5L value set using TTO and DCE health-state valuations.,available,europe_pmc_xml,assessed,direct_eq,The article develops the Irish EQ-5D-5L value set from general-public cTTO and DCE data using the EuroQol valuation protocol and EQ-VT.,explicit_euroqol,study_funding,Funding states: ‘Financial support was also provided by the EuroQol Foundation.’,"Funding states that, in addition to the Health Research Board award, ‘Financial support was also provided by the EuroQol Foundation.’",probable,2013280,"Project 2013280 has the same Irish EQ-5D-5L valuation objective, general-public cTTO/DCE face-to-face design and Irish value-set output; its PI Ciaran O’Neill is the article’s lead author.",high,
Pa6c33007eeb2,A Taxonomy for Assessing Whether HRQoL Value Sets Are Obsolete,2025,10.1007/s40273-025-01476-1,39960567,PMC12011929,Ciaran O'Neill; Elly Stolk,R2,"[R2] This develops a taxonomy for identifying and addressing obsolescence in HRQoL value sets, making valuation methods its central object.",available,europe_pmc_xml,assessed,direct_eq,"The paper develops a taxonomy for assessing and mitigating obsolescence of HRQoL value sets, using examples predominantly from EQ-5D value sets and addressing valuation methods and updating value sets.",explicit_euroqol,unclear,Funding metadata identifies ‘EuroQol Research Foundation’ and ‘EQ 1578-RA’ for Richard Norman.,"The extract notes feedback from EuroQol group members and funding metadata lists EQ 1578-RA, but it contains no statement that EuroQol funded the current study.",explicit,1578-RA,"The article explicitly gives EQ 1578-RA, and its taxonomy of value-set obsolescence directly matches candidate 1578-RA, ‘Redundancy in HRQoL algorithms: conceptual and empirical challenges.’",high,
Pae69b62079e2,Valuing Child and Adolescent Health States to Derive Utilities for Use in Economic Evaluation: A Good Practices Report of an ISPOR Task Force.,2026,10.1016/j.jval.2025.12.016,41581858,,Elly Stolk,R2,[R2] This task-force report evaluates methodological choices for valuing child health states and generating health-state utilities.,unavailable,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,,,not_assessed_fulltext_unavailable,,,,
Pb639d0f3b20e,Measuring and Valuing Health Using EuroQol Instruments: New Developments 2025 and Beyond,2025,10.1007/s40258-025-00989-2,40705271,PMC12535937,Elly Stolk,R1,[R1] This overview centers on EuroQol instruments and current research on their measurement and valuation methods.,available,europe_pmc_xml,assessed,direct_eq,"The paper’s aim is to overview EuroQol’s instruments and research agenda, including EQ-5D, EQ-TIPS, EQ-HWB, bolt-ons, and valuation methods; these are its primary subject.",explicit_euroqol,study_funding,The declarations state: ‘The authors’ work on this paper was supported by the EuroQol Research Foundation.’,Declarations—Funding: 'The authors’ work on this paper was supported by the EuroQol Research Foundation.',none,,"No candidate project is named or uniquely identified. The paper is a broad 2025 overview, while the candidates are distinct workshops, data collections, or methods projects; shared authorship/topic is insufficient.",high,
P8d488800e756,Optimal DCE design for modelling nonlinear time preferences in EQ-5D-5L valuation studies: exploration of data from Denmark and Peru,2025,10.1186/s12955-025-02391-x,40518518,PMC12168295,Elly Stolk,R1,[R1] This evaluates DCE design and nonlinear time-preference modeling for deriving EQ-5D-5L value sets.,available,europe_pmc_xml,assessed,direct_eq,"The stated aim is to assess nonlinear-time-preference modelling, choice formats, and design construction for EQ-5D-5L value sets.",other_funding_only,other_funding_only,The supplied text names the University of Technology Sydney Chancellors Research Scholarship; it does not name EuroQol funding.,The supplied text names the University of Technology Sydney Chancellors Research Scholarship; it does not name EuroQol funding.,possible,2013300,"Project 2013300 shares the EQ-5D-5L DCE valuation and time-preference/design focus, but the article does not identify it or its Dutch framing studies; link remains possible.",medium,
