record_id,title,doi,outcome,abstract_source
P0c5681db577b,ASO Visual Abstract: Is a History of Optimal Staging by SLNB in the Era Prior to Adjuvant Therapy Associated with Improved Outcome Once Melanoma Patients have Progressed to Advanced Disease?,10.1245/s10434-022-12719-2,unavailable,
P0db01a897012,"Nouvelles technologies : croissance des coûts, amélioration de la qualité ?",,unavailable,
P0e08ad944962,"A Real-World Evidence Analysis of Associations between Costs, Quality of Life and Disease-Severity Indicators of Alzheimer’s Disease in Thailand",,unavailable,
P0e616b402152,POSC365 Health State Utilities of Advanced Melanoma Patients Treated in Clinical Practice in the Era of Novel Immuno- and Targeted Therapies,10.1016/j.jval.2021.11.1190,unavailable,
P0f4aeeb8f586,Le codage des pathologies en médecine de ville (2): Quel langage utiliser?,,unavailable,
P0fd7db75f7ba,INCORPORATING ADHERENCE IN COST-EFFECTIVENESS ANALYSES OF INTERVENTIONS FOR ASTHMA TREATMENT: A SYSTEMATIC REVIEW,10.1016/j.jval.2018.07.011,unavailable,
P1136a243fc37,Health State Utility Values in Advanced Non-Small Cell Lung Cancer Patients,10.1016/j.jval.2013.08.550,unavailable,
P1156e03ae456,MD1 THE EQUITY-EFFICIENCY TRADEOFF:WHAT IS THE SOCIAL INTERPRETATION OF EQUITY?,10.1016/s1098-3015(10)61205-3,unavailable,
P1157ea5e766d,DS2 - EFFECTIVENESS AND SAFETY OF STANDARD AND REDUCED DOSES OF DABIGATRAN VERSUS RIVAROXABAN IN NON-VALVULAR ATRIAL FIBRILLATION: A COHORT STUDY IN THE SNDS FRENCH NATIONWIDE CLAIMS DATABASE,10.1016/j.jval.2018.09.043,unavailable,
P11ca9f832962,"Étude Polychrome: construction d’une typologie des pathologies chroniques en médecine générale, pour une analyse de la polyprescription",,unavailable,
P120c7e3dd930,P9-2 - Définition pragmatique des pathologies chroniques en médecine générale,10.1016/s0398-7620(06)76926-7,unavailable,
P13c210bf304d,Se requiere mas evidencia sobre la efectividad de las granjas terapeuticas,,unavailable,
P15b4bfd877c2,"The Provision and Use of Health Services, Health Inequalities and Health and Social Gain",,unavailable,
P16cdc749c441,Using Orthogonal Design in Selecting Health States for the Construction of EQ-5D-3L Value Set,10.1016/j.jval.2016.09.228,unavailable,
P197b91cd88a6,Determinants of COVID-19 self-protection behavior of Thai people: a cross-sectional survey,10.29090/psa.2022.01.21.164,invalid,source_union
P1994b407f698,Qualité de vie des patients atteints de pneumopathie interstitielle diffuse associée à la sclérodermie systémique : impact de l’atteinte pulmonaire et des autres atteintes d’organes,10.1016/j.respe.2021.05.002,unavailable,
P1a06de880cf3,USING DISCRETE CHOICE EXPERIMENTS TO VALUE GENERIC PREFERENCE-BASED MEASURES: A SYSTEMATIC REVIEW,10.1016/j.jval.2016.03.1752,unavailable,
P1b6d073ac485,The Economic Burden of Pulmonary Embolism in Europe,10.1016/j.jval.2016.09.110,unavailable,
P1bb3e57695e3,1417P Change in healthcare resource use and associated costs of patients with metastatic lung cancer between 2013 and 2019: An observational study from the French national claims database,10.1016/j.annonc.2023.09.2448,unavailable,
P1d5546d66c8d,Use of Complementary and Alternative Medicines by Patients with Psoriasis: Results from a Study with 2562 Patients,10.1007/s40257-021-00587-7,unavailable,
P1ef58ea1ced2,PR1 Capturing the Health-Related Quality of Life of Children Living with Aadc Deficiency through a Vignette Study: A French Experience,10.1016/j.jval.2021.04.981,unavailable,
P1f880b0388b6,"A simplified index to evaluate ICU nurse workload: ICU PRN,Indicateur simplifié de la charge en soins spécifique à la réanimation : le PRN réa",10.1016/s1164-6756(05)80103-3,unavailable,
P20c50e33cbc9,PCN94 Health-Related Quality of Life Among Breast Cancer Patients and Survivors in Vietnam,10.1016/j.vhri.2020.07.144,unavailable,
P21325491c76c,AN ECONOMIC EVALUATION OF DIRECT ORAL ANTICOAGULANTS FOR VENOUS THROMBOEMBOLISM IN THAILAND,,unavailable,
P2165ba0a2700,"Avant la pluie, le beau temps...Les Comptes de la Santé 1997 en France.",10.4267/10608/946,unavailable,
P21802ac5b277,Couverture vaccinale contre le papillomavirus humain (HPV) chez les adolescents français et inégalités sociales : Étude PAPILLON,10.1016/j.mmifmc.2024.04.365,unavailable,
P233c1b03d89b,POSB405 Data Governance for Rwd/E Management: Optimising Its Use in HTA and Decision-Making,10.1016/j.jval.2021.11.1268,unavailable,
P253bfb1a494f,The globalization of managerial innovation: Analyzing the diffusion of patient classification systems,,unavailable,
P25d4901409f2,The Use of EQ-5D in Research in the Middle East and North Africa Region: A Systematic Review,10.1055/s-0044-1794292,unavailable,
P26228e1c88cd,Cost-effectiveness of interventions to reduce tobacco smoking in the Netherlands,,unavailable,
P26410cf35508,"Values for resource allocation should expose the adaptation process, not the outcome",10.1001/virtualmentor.2005.7.2.jdsc3-0502,invalid,source_union
P2649e903d74d,Use of mind-body practices by patients with psoriasis: results from a study on 2562 patients,10.1111/jdv.17061,unavailable,
P2944ac2f0b66,An updated cost-effectiveness analysis of evolocumab therapy for reducing cardiovascular events in very high-risk patients with atherosclerotic cardiovascular disease according to the 2018 ACC/AHA guideline,10.1016/j.jacl.2019.04.054,unavailable,
P29c2e41ebc60,"L'économique, une dimension cachée ?",,unavailable,
P2c53b8af612a,Quelle validation empirique en sciences de l'administration ? (Commentaire),10.3406/sosan.1992.1218,unavailable,
P2ce34513d611,Étude coût-efficacité de la chimiothérapie intrapéritonéale versus une chimiothérapie palliative dans le traitement des carcinoses péritonéales d’origine colorectale,10.1016/j.respe.2008.03.032,unavailable,
P2d496c8e7bd1,Was the Consistency of Data Improved after Separating the Better than Health (BTD) and Worse than Death (WTD) Tasks and Implementing a Feedback Module (FB) in Composite Time Trade off (CTTO) Exercise?,10.1016/j.jval.2016.08.450,unavailable,
P2de30ff1b6a2,Diminishing marginal utility of health effects,,unavailable,
P2e0cf3c56c07,DOES THE USE OF EFFICACY OR EFFECTIVENESS EVIDENCE IN COST-EFFECTIVENESS ANALYSES MATTER?,10.1016/j.jval.2015.03.029,unavailable,
P2e1fb167f5de,2000P Combining whole blood RNA-sequencing (WB-RNA) and circulating tumor DNA (ctDNA) for the early identification of patients (pts) without clinical benefit to immune checkpoint inhibitors (ICI) in metastatic urothelial cancer (mUC),10.1016/j.annonc.2024.08.2086,unavailable,
P2e8e5dce6075,Association Of Asthma Treatment Transitions And Clinical Events In Patients With Mild Asthma,,unavailable,
P2ec34b258d4f,"Cost-effectiveness of preventive treatment with misoprostol in NSAID related gastric ulcers,ANALYSE ECONOMIQUE DU TRAITEMENT PREVENTIF PAR LE MISOPROSTOL CHEZ L'HOMME DES ULCERES GASTRIQUES LIES AUX ANTI-INFLAMMATOIRES NON STEROIDIENS",,unavailable,
P2f100c0d5c3b,Performance Score Extraction from Panel Data for Multi-Criteria Decision Analysis (Mcda) Using a Regression-Based Approach,10.1016/j.jval.2015.09.2717,unavailable,
P3026e0c929c8,Unlocking Established Products Patient and Societal Value in Additional Indications,10.1016/j.jval.2016.09.915,unavailable,
P3069d3481c34,COMPARISON OF HEALTH CARE UTILIZATION AND COSTS FOR PATIENTS WITH ASTHMA BY SEVERITY AND HEALTH INSURANCE IN THAILAND: USING GENERALIZED LINEAR REGRESSION MODEL,10.1016/j.jval.2014.08.360,unavailable,
P3315d77a0fef,Analisis Efektivitas Biaya Terapi Olanzapin Dan Kombinasi Haloperidol Dengan Diazepam Secara Intramuskular Pada Pasien Rawat Inap Skizofrenia Fase Akut Di Rskd Duren Sawit,,unavailable,
P333bc0a00b2e,The Burden of Health Care Costs Associated with Prostate Cancer in Ireland,10.1016/j.jval.2014.08.2237,unavailable,
P339ffa8ed5e1,EFFECTIVENESS AND SAFETY OF STANDARD AND REDUCED DOSES OF DABIGATRAN COMPARED TO RIVAROXABAN IN NONVALVULAR ATRIAL FIBRILLATION: LONG-TERM RESULTS FROM A COHORT STUDY IN THE FRENCH NATIONWIDE CLAIMS DATABASE,10.1016/s0735-1097(20)30984-0,unavailable,
P33a140967526,Les coûts de la rhinite et de l’asthme augmentent avec le niveau de sévérité et de contrôle,10.1016/j.rmr.2016.10.054,unavailable,
P340093753a8e,PATIENT WITH PATHOGENIC VARIANT IN THE TNFRSF13B GENE AND RECURRENT PNEUMOCOCCAL MENINGITIS,10.1016/j.anai.2025.08.610,unavailable,
P34fc146d934c,Hospital funding and competition,10.1007/s10198-004-0230-9,unavailable,
P3588053759b1,Deterministic Versus Stochastic Prediction of Risk for Cardiovascular Events,10.1016/j.jval.2014.08.1840,unavailable,
P3726f1103bcc,Qu'est-ce que la recherche en médecine générale?,,unavailable,
P37552d9da077,"Paroxysmal atrial fibrillation in community medicine: Intentions of management and estimation of cost,La fibrillation auriculaire paroxystique en médecine de ville: Intentions de prise en charge et estimation du coût",,unavailable,
P377354a1c01b,"Marital satisfaction, anxiety, and health-related quality of life in myocardial infarction patients",,unavailable,
P377e8f449ac3,Étude de préférence-patient sur les systèmes d’inhalation prescrit en bronchopneumopathie chronique obstructive (BPCO) en France : une étude par méthode des choix discrets,10.1016/j.rmr.2018.10.121,unavailable,
P38ad8b37fac5,Programme outcomes and conclusions,,unavailable,
P394e4c4a0d26,VALUE OF ANTIDRUG ANTIBODY SCREENING IN MODERATE-TO-SEVERE RHEUMATIOD ARTHRITIS PATIENTS WHO FAILED INITIAL TUMOR NECROSIS FACTOR-ALPHA TREATMENT,10.1016/j.jval.2015.09.679,unavailable,
P39aa6b8e8212,POSA60 Clinical and Economic Burden of Spinal Muscular Atrophy in France,10.1016/j.jval.2021.11.205,unavailable,
P39e64cf6da9e,"Scheduled deliveries,INTERET ECONOMIQUE DE LA PROGRAMMATION DE L'ACCOUCHEMENT",,unavailable,
P3a5013b3403d,"New drugs: Not good, money back?,Nieuwe geneesmiddelen: Niet goed, geld terug?",,unavailable,
P3aa152b536d3,PHP8 THE EUROPEAN NETWORK OF HEALTH ECONOMIC EVALUATION DATABASES (EURO NHEED) PROJECT,10.1016/s1098-3015(10)61816-5,unavailable,
P3aac8f033830,Effectiveness and safety of standard and reduced dosages of dabigatran versus rivaroxaban in non-valvular atrial fibrillation: A cohort study in the SNDS French nationwide claims database,10.1016/j.acvdsp.2018.10.266,unavailable,
P3abc3169531e,PRM3 Turning the Tables to Address the Real Value of Real-World Observational Studies of Novel Anti-Cancer Agents in Multiple Myeloma,10.1016/j.jval.2012.08.1467,unavailable,
P3c5021c18f4f,"The ""e"" In Cost-Effectiveness Analyses: Efficacy Or Effectiveness Of Asthma Medications Used In Cost-Effectiveness Analyses?",,unavailable,
P3c961e73f7be,Asthma Treatment Transition And Its Asthma-Related Clinical Events In Patients With Severe Asthma,,unavailable,
P3cf34218cf6c,On a Design Issue of EQ-5D-3l Valuation Studies: Should Likelihood of the Health States Be Considered?,10.1016/j.jval.2016.08.470,unavailable,
P3d2445638185,Do People With Private Health Insurance Attach A Higher Value To Health Than Those Without Insurance? Results From An EQ-5D-5L Valuation Study In The Republic Of Ireland,10.1016/j.jval.2017.08.1706,unavailable,
P3d7a0ab2bf83,"Patient-Reported Satisfaction, Experiences, and Preferences: Same but Different?",10.1016/j.jval.2022.10.005,unavailable,
P3db16b29dd7c,The Dutch Melanoma Treatment Registry As Blueprint For Using Registry Data To Improve Health Care Decision Making,10.1016/j.jval.2015.09.1361,unavailable,
P3ea0e210e22b,HAS to be NICE?,10.1007/s10198-013-0463-6,unavailable,
P3f169ec78fef,PB4 PROJECT HERCULES: A PATIENT LED PARADIGM IN EVIDENCE GENERATION FOR HTA IN DUCHENNE MUSCULAR DYSTROPHY,10.1016/j.jval.2020.04.069,unavailable,
P3f2abba286c8,Avant-propos,,unavailable,
P405bc3c8e09e,"'Necessity' determined on the basis of disease severity when prioritising healthcare interventions,Ziektelast als uitwerking van het criterium 'noodzakelijkheid' bij het maken van keuzen in de zorg",,unavailable,
P40726da8958c,Importance of Adherence and the Role of Nonfinancial Barriers,10.1016/j.clinthera.2011.08.001,unavailable,
P40a3f05dd4e4,INHALED ANTICHOLINERGICS AND RISK FOR ACUTE URINARY RETENTION: A CASE-CROSSOVER AND CASE-TIME-CONTROL STUDY,10.1016/j.jval.2014.08.350,unavailable,
P40b215d20d9e,PCV3 EFFECTIVENESS OF LIPID-LOWERING THERAPY IN PRIMARY CARE IN FRANCE,10.1016/s1098-3015(10)61647-6,unavailable,
P424d2f496303,USING REAL WORLD EVIDENCE TO GENERATE COST-EFFECTIVENESS ANALYSIS OF FIBRINOLYTIC THERAPY IN PATIENTS WITH ST-SEGMENT ELEVATION MYOCARDIAL INFARCTION IN A LIMITED RESOURCE COUNTRY,,unavailable,
P43018d39229e,Couverture vaccinale contre le papillomavirus humain (HPV) chez les adolescents français - Étude PAPILLON,10.1016/j.jeph.2024.202216,unavailable,
P432a79489c56,Optimisation de la prise en charge globale des patients atteints d’un cancer de la thyroïde,10.1016/j.respe.2008.03.088,unavailable,
P43db3782c193,Coût des pneumonies communautaires à pneumocoque hospitalisées en France. Résultats intermédiaires de l’étude prospective PNEUMOCOST,10.1016/j.respe.2016.04.019,unavailable,
P45d871d28536,The heterogeneity of markets for drugs in Europe. The cost of distribution,,unavailable,
P466234d7e0fd,Burden Of Illness Of Deep Vein Thrombosis In Europe – Mortality And Health Related Quality Of Life,10.1016/j.jval.2017.08.1206,unavailable,
P468a19134e1c,CV2 CHOLESTEROL ATTAINMENT IN DYSLIPIDAEMIC TREATED PATIENTS AND INCIDENCE OF CARDIOVASCULAR EVENTS IN CLINICAL PRACTICE,10.1016/s1098-3015(10)65635-5,unavailable,
P46d2a1f61779,PMC4 CAN ECONOMIC EVALUATIONS BE MADE MORE TRANSFERABLE?,10.1016/s1098-3015(10)66053-6,unavailable,
P474f02af1aa4,Cancer funding throughout the world,10.1016/s1470-2045(04)01502-5,unavailable,
P47ba951060e3,P.0649 Preference Study in Childhood Autism Spectrum Disorder (ASD) using Childhood Autism Rating Scale (CARS2): Online pilot findings,10.1016/j.euroneuro.2021.10.613,unavailable,
P4bd3235fe9b3,Paying doctors for performance,10.1007/s10198-012-0401-z,unavailable,
P4c1287d63267,First grader’s attention span during in-class activity,,unavailable,
P4d1ab2904979,R112 Optimisation du fonctionnement d'un bloc operatoire: Modelisation et application economique,10.1016/s0750-7658(98)80231-1,unavailable,
P4d5ec13bd91a,HEALTH RESOURCE UTILIZATION AND COSTS IN PATIENTS WITH AGE-RELATED MACULAR DEGENERATION IN THAILAND: PRELIMINARY FINDINGS,10.1016/s1098-3015(11)73364-2,unavailable,
P4e58b5bcdd0a,HEALTH CARE UTILIZATION AND COST OF MANAGEMENT IN PATIENTS WITH STEVENS-JOHNSON SYNDROME AND TOXIC EPIDERMAL NECROLYSIS IN THAILAND,10.1016/j.jval.2014.08.362,unavailable,
P4f7d28023aed,"Developing research in general practice,Développer la recherche en médecine générale",,unavailable,
P506f0b825adf,[Research in general medicine: states of localities. 2. French scientific production in general medicine].,,unavailable,
P508f22c535ea,DEVELOPMENT OF A COST-EFFECTIVENESS MODEL TO ASSESS ASTHMA INHALER ADHERENCE AND TECHNIQUE INTERVENTIONS,,unavailable,
P511128669765,"Risk factors, diseases and health care: A predictive model of the use of hospital care in perinatality in France,Facteurs de risque, pathologies et recours au soin en perinatologie: Un modele de prediction du recours a l'hopital",,unavailable,
P5167b54f3a35,FORECASTING LIFETIME HEALTH OUTCOMES AND COSTS OF TREATMENT FOR NON-ALCOHOLIC FATTY LIVER DISEASE,10.1016/j.jval.2016.08.721,unavailable,
P541f61244ab8,Patient reported outcome measures of quality of life in Duchenne muscular dystrophy (DMD): a systematic review of content and structural validity using COSMIN,,unavailable,
P54658270fb55,"A Comparative Study of the Role of Disease Severity in Drug Reimbursement Decision Making in Belgium, France, the Netherlands and Sweden",10.1016/j.jval.2013.08.876,unavailable,
P54cd8a591097,UT1 VALUING EQ-5D USING TIME TRADE-OFF IN FRANCE,10.1016/s1098-3015(10)74092-4,unavailable,
P54d3efe17b80,[What is research in general practice?].,,unavailable,
P552be46e8dd1,"What is research in general practice?,Qu'est-ce que la recherche en médecine générale?",,unavailable,
P567b0f3641c7,Health Valuation: Demonstrating the Value of Health and Lifespan,10.1007/s40271-017-0252-x,unavailable,
P56ef937c0f72,"STRENGTHENING EVIDENCE BASE FOR TRADITIONAL MEDICINE IN ASEAN, QUALITY OF REPORTING OF RANDOMISED CONTROLLED TRIALS OF HERBAL INTERVENTIONS IN ASEAN PLUS SIX COUNTRIES: A SYSTEMATIC REVIEW",10.1016/j.jval.2014.08.1765,unavailable,
P58631f978ffa,Development of the electronic Personal Assessment Questionnaire – Vascular,,unavailable,
P5951f3830982,FORECASTING THE UNITED STATES LIFETIME COST AND OUTCOMES OF IVACAFTOR IN PATIENTS WITH CYSTIC FIBROSIS,10.1016/j.jval.2015.03.1739,unavailable,
P59cb3366e0fb,Cost-Effectiveness Analysis of Afatinib Versus Gefitinib in Egfr-Mutated Population with Advanced Non-Small-Cell Lung Cancer in France,10.1016/j.jval.2017.08.236,unavailable,
P59e714e1fce2,Mengembangkan Kecerdasan Emosional Pada Anak,,unavailable,
P5add12702a59,"Managing renal colic in emergency: An economic perspective,Approche economique de la prise en charge des coliques nephretiques de l'adulte en urgence",10.1016/s1164-6756(00)88316-4,unavailable,
P5ae9cc22993e,CV3 PROSPECTIVE COHORT STUDY IN HIP FRACTURE: RISK AND ECONOMIC IMPACT OF VENOUS THROMBO-EMBOLIC COMPLICATIONS (VTE) IN REAL LIFE,10.1016/s1098-3015(10)61581-1,unavailable,
P5bec9d1e24fe,P.0350 Preference study in childhood autism spectrum disorder (asd) using childhood autism rating scale (CARS2): qualitative research and informal pilot study,10.1016/j.euroneuro.2021.10.332,unavailable,
P5c1570d82955,"[New drugs: money-back guarantee?].,Nieuwe geneesmiddelen: niet goed, geld terug?",,unavailable,
P5e320478e320,Costs and effects in therapy for acute coronary syndromes: The case of abciximab in high-risk patients undergoing percutaneous transluminal coronary angioplasty in the EPIC study,,unavailable,
P5e66d8a7bd8d,The Impact Of Co-Morbidity On The Disease Burden Of VTE,10.1016/j.jval.2017.08.1151,unavailable,
P5f50726cf4a8,BARRIERS AND FACILITATORS OF CVD PREVENTION SERVICES FOR WOMEN WITH PRIOR GESTATIONAL DIABETES OR HYPERTENSIVE DISORDERS OF PREGNANCY,10.1016/j.cjca.2024.08.205,unavailable,
P5f8189835c53,The Comparison of EQ-5D-5L Versus Disease/Treatment-Specific Measures in Pulmonary Embolism and Deep Vein Thrombosis,10.1016/j.jval.2017.08.1363,unavailable,
P5feb725db190,,,unavailable,
P61103450f9aa,"Cost of managing cataracts. Evaluation of traditional hospitalization and ambulatory surgery,Coût de la prise en charge de la cataracte. Evaluation en hospitalisation traditionnelle et en chirurgie de jour.",,unavailable,
P611223c17b37,One Year Cost Of Ischemic Stroke And Intracranial Hemorrage According To Disability For Atrial Fibrillation Patients In France,10.1016/j.jval.2017.08.1217,unavailable,
P61ea3fc10ad9,Psoriasis cutané : évaluation du reste à charge,10.1016/j.annder.2019.09.050,unavailable,
P64183916db64,Directly Eliciting Personal Utility Functions: A New Way To Value Health-Related Quality Of Life,10.1016/j.jval.2015.03.223,unavailable,
P64e16aef1f61,La recherche en médecine générale en France: état des lieux,,unavailable,
P66326aee452e,"PAM1 Efficacy and Safety of Prebiotics, Probiotics and Synbiotics for Treatment or Prevention of Asthma: A Systematic Review and Network Meta-Analysis",10.1016/j.vhri.2020.07.002,unavailable,
P667e5f22acd2,EE2 DEAR POLICYMAKER: HAVE YOU MADE UP YOUR MIND?,10.1016/s1098-3015(10)74101-2,unavailable,
P66958245e6ca,Ressources consommées et coûts associés des patients traités par anticoagulant oral direct ou antivitamine K dans la fibrillation auriculaire non valvulaire,10.1016/j.respe.2016.10.051,unavailable,
P6730e634f7d3,Anabolic steroid abuse by body builders and male subfertility.[see comment],,unavailable,
P67872d9534f2,Informal Care and Productivity Losses are Important in Advanced Cutaneous Melanoma: Results of the Dutch Melanoma Treatment Registry,10.1016/j.jval.2016.09.2282,unavailable,
P67c0b3001b9e,HG3 Cost Comparisons and Methodological Heterogeneity in Cost-of-Illness Studies: The Example of Colorectal Cancer,10.1016/j.jval.2011.08.051,unavailable,
P68a1eb144197,OP8 What Do HTA Agencies Across the Globe Need for Generating Health-Related Quality of Life Evidence? Findings From a Global Survey,10.1016/j.jval.2024.10.2549,unavailable,
P68df5445d0ea,"Cost of ischemic stroke management in France,Coût de la prise en charge des accidents vasculaires cérébraux en France",10.1016/s1878-6480(16)30330-5,unavailable,
P6b31af1c7811,Do Changing Attitudes To Death Have Implications For National Tariffs For Health States? Results From An Examination Of Attitudes To Euthanasia In The Republic Of Ireland,10.1016/j.jval.2017.08.1731,unavailable,
P6bacb9cbb814,LSE–Lancet Commission on the future of the NHS: re-laying the foundations for an equitable and efficient health and care service after COVID-19,10.1016/s0140-6736(21)00232-4,unavailable,
P7042155f97e4,Reinterventions following abdominal aortic aneurysm treatment,,unavailable,
P70e184a91cb6,"RE2 A Detailed Comparison of Dutch and Swedish Drug Reimbursement Decisions: What Evidence is Available, Which Criteria are Used, and is the Decision-Making Process Transparent?",10.1016/j.jval.2012.08.534,unavailable,
P740c537be184,THE ASSOCIATION BETWEEN TIOTROPIUM USE AND CARDIAC ARRHYTHMIA HOSPITALIZATION IN PATIENTS WITH CHRONIC OBSTRUCTIVE PULMONARY DISEASE USING A SELF-CONTROLLED CASE SERIES DESIGN,10.1016/j.jval.2014.03.987,unavailable,
P75336e8d84b3,Partenariat public/privé : étude observationnelle quantifiant en vie réelle l’apport du Singulair® 4 mg chez le nourrisson âgé de 6 à 24 mois,10.1016/j.respe.2016.04.005,unavailable,
P756f01b2ff6d,"Economic evaluation of health. Principles - Example of laparoscopic cholecystectomy,L'EVALUATION ECONOMIQUE EN SANTE. PRINCIPES - EXEMPLE DE LA CHOLECYSTECTOMIE LAPAROSCOPIQUE",,unavailable,
P7614c6335daa,Provision of Near Glasses Improves Productivity in Indian Tea Pickers: PROSPER Randomized Trial,,unavailable,
P7620e663660a,A comparison of the EuroQol and the Health Utilities Index in patients treated for congenital anomalies,10.1007/s101980100058,unavailable,
P78fd37282fe3,"Paradise Lost and the book of Job: A comparison of forbidden knowledge, sin intercession, restoration and theodicy",,unavailable,
P7a8c668aeea3,Psoriasis: frequency and reasons for absenteeism results from a study on 1609 active patients,10.1111/jdv.17056,unavailable,
P7aaea6fa64a9,COST-EFFECTIVENESS ANALYSIS OF NEW ORAL ANTICOAGULANTS COMPARED TO WARFARIN IN THAI PATIENTS WITH NON-VALVULAR ATRIAL FIBRILLATION,10.1016/j.jval.2018.07.234,unavailable,
P7c5fe363ca77,"What is an ""efficient"" care unit, from the perspective of patients in palliative care and their families?,Qu'est-ce qu'une unité de soins « performante », du point de vue des malades relevant de soins palliatifs et de leurs proches ?",10.1016/j.medpal.2008.07.014,unavailable,
P7ca685a46c8c,Time for a change in drug pricing: Going downstream - Comment on Drummond's short paper,10.1007/s10198-002-0122-9,unavailable,
P7d53fa73a976,Détermination du coût du processus diagnostique de malignité par cytoponction thyroïdienne,10.1016/s0242-6498(06)78443-7,unavailable,
P7d688abd6bcf,Effectiveness of Montelukast on Asthma Control in Infants: Methodology of a Claims Data Study,10.1016/j.jval.2013.08.259,unavailable,
P7ef2b5fb072a,Bénéfice-risque des doses standard et réduite du dabigatran versus rivaroxaban dans la fibrillation auriculaire non valvulaire : cohorte de plus de 55 000 patients issus du Système national des données de santé,10.1016/j.respe.2019.01.051,unavailable,
P80cf08c29a42,An Eq-5d-3l Value Set For Trinidad And Tobago,10.1016/j.jval.2015.09.339,unavailable,
P8147f3ea300e,COST EFFECTIVENESS OF NEW HEPATITIS C THERAPIES,10.1016/j.jval.2015.03.1303,unavailable,
P8176e709139c,A Longitudinal Claims Analysis Of 90-Day Asthma Treatment Step Patterns,,unavailable,
P81e008bc1d31,Psoriasis : prises en charge alternatives et complémentaires,10.1016/j.annder.2019.09.380,unavailable,
P824695b00288,"New drugs: Not good, money back?",,unavailable,
P82fbf70a5b6b,PMH5 A DISCRETE EVENTS MODEL OF LONG-TERM OUTCOMES AND COST OF TREATMENT WITH LONG ACTING RISPERIDONE IN SCHIZOPHRENIA,10.1016/s1098-3015(10)61367-8,unavailable,
P830297ce7d27,"Real-world data and evidence in health technology assessment: When are they complementary, substitutes, or the only sources of data compared to clinical trials?,Données et preuves en vie réelle dans l’évaluation des technologies de santé: dans quels cas sont-elles complémentaires, substitutives, ou les seules sources de données par rapport aux essais cliniques ?",10.1016/j.therap.2022.10.067,unavailable,
P83fa33a88390,Innovation as a major research issue in health economics,10.1007/pl00012224,unavailable,
P84084bb61241,Is External Reference Pricing A Threat to International Equal Affordability?,10.1016/j.jval.2016.09.2359,unavailable,
P84a38d6933e8,Cost-effectiveness of evolocumab in patients with familial hypercholesterolemia in Belgium,10.1016/j.atherosclerosis.2020.10.117,unavailable,
P84f1e4d003df,Étude des disparités géographiques et sectorielles dans le recours aux molécules onéreuses en oncologie,10.1016/j.respe.2011.02.026,unavailable,
P85c3ce37ef3b,The heterogeneity of markets for drugs in Europe,10.1007/s101980100056,unavailable,
P89cbe984ed1e,"French National Health Budget: Another sudden rise in temperature?,Les Comptes Nationaux de la Sante 1998: Encore un pic de fievre?",10.4267/10608/1695,unavailable,
P89ce798c4c31,"MO1 - COMBINING INTERNALLY VALID TRIAL EVIDENCE WITH GENERALIZABLE REAL-WORLD DATA: INSIGHTS INTO EFFECTS, COSTS, AND COST-EFFECTIVENESS OF NOVEL TREATMENT SEQUENCES IN PATIENTS WITH MULTIPLE MYELOMA",10.1016/j.jval.2018.09.061,unavailable,
