record_id	doi	article_path	article_sha256	article_bytes	xml_path	xml_sha256	candidate_project_ids	reference_path	xml_bytes	metadata_path	metadata_sha256	input_path	input_sha256	input_bytes	reference_sha256
B02	10.1186/s41687-024-00761-5	corpus/20190200/doi_10.1186_s41687-024-00761-5.md	b8f909cd41f6e78a60f33357e8ead8d5b7e5956785ab9364a33cd4c0a446d693	72470	input/projects/20190200/papers/doi_10.1186_s41687-024-00761-5.xml	f95d7846564d18d6ef81cb1a105f19785e6dfe0bc4732926b472f4e4166fb4fb	20190200	pilot/ontology-development-v3/broader/records/B02.md	109477	pilot/ontology-development-v3/production-calibration/calibration-final-metadata/B02.json	6731ea21ae6d8369a7b2c321a3e034e1e3e0387c52ab80915e3252e764708e7e	pilot/ontology-development-v3/production-calibration/calibration-final-inputs/B02.md	3945d80fb2c35b2affd40adabd5433d70562954009c6b0f5570d5bb289edd550	92680	f6339f20b37674ae3dbcebfffa63ea63ef3c5123f8b1d51aeb65c54bd617ca4c
B03	10.1007/s11136-026-04230-y	corpus/1557-RA/doi_10.1007_s11136-026-04230-y.md	fc3cd1d5d1f416d96c470f1e6fc896d0e2611608d2b9ce61e6f558da9d16ef1b	68823	input/projects/1557-RA/papers/doi_10.1007_s11136-026-04230-y.xml	ab6a51b16fd7785ff1e29018cd5e659f8f0aaaa276dab7480be8c88b2b5911fc	1557-RA	pilot/ontology-development-v3/broader/records/B03.md	177976	pilot/ontology-development-v3/production-calibration/calibration-final-metadata/B03.json	02a16e82a8d56f37a39fb04a4c539267cf66f2661aad0fe0080080173f64856d	pilot/ontology-development-v3/production-calibration/calibration-final-inputs/B03.md	8aa803838c16fdae74ff16876fa8808457bffc1f635d43b4685ba8abbb9a3acd	91060	7c334129655a71bf5d7061cc8b4ad6456d029313de8c17d790b8edb1276e4394
B04	10.1186/s12955-025-02421-8	corpus/1627-RA/doi_10.1186_s12955-025-02421-8.md	4537712ebff158ad24bb9a223e9000698a6355d4538599d3bb44287adc91f7e5	219415	input/projects/1627-RA/papers/doi_10.1186_s12955-025-02421-8.xml	69f528610fb97eb60c0542a9778eaf007491e7722fbf685732feb7d3b1e8c694	1627-RA	pilot/ontology-development-v3/broader/records/B04.md	580961	pilot/ontology-development-v3/production-calibration/calibration-final-metadata/B04.json	8022da916cc30c038b5beab3d0703f90157a1837d1713dbe2453c7a07bc58ffd	pilot/ontology-development-v3/production-calibration/calibration-final-inputs/B04.md	a91b0f761c688f0e38f5ba098620c855441aefcc1ebedabd386e9da3fd0ec1e0	238732	ae72fbcba1cd63c05faea24430ba4a885a1f47bd0580b53060514e9dffec7cdd
B05	10.3390/cancers16111952	corpus/285-PHD/doi_10.3390_cancers16111952.md	988ed7c0fbcde3d5739aa46e55f11b691a9cf0cfc7adaa248e24427f931a764a	92054	input/projects/285-PHD/papers/doi_10.3390_cancers16111952.xml	a234cc4cc87528c5139eefd7aae433906b6ff3ef1fb655875d45011c7d336296	285-PHD	pilot/ontology-development-v3/broader/records/B05.md	187669	pilot/ontology-development-v3/production-calibration/calibration-final-metadata/B05.json	01b0dffafffc17b1903c52e6db735ba21623e80a26a2c34897ff1cab1b24a2fa	pilot/ontology-development-v3/production-calibration/calibration-final-inputs/B05.md	242856a405f48437bc3a14e71c33a7502923994c9a9c6d01f66064872763bc06	114969	8cf593754b6780b37baac092d1f51857583238ae8bb07b8b8ed8ac523512b480
B06	10.1007/s40271-022-00573-z	corpus/20180510/doi_10.1007_s40271-022-00573-z.md	87546967999f6c5a21fc8bd2b7a96493080b09695f502b89787aedec94405c7d	89014	input/projects/20180510/papers/doi_10.1007_s40271-022-00573-z.xml	7f15562ef4da0a24362ddcb6c856abc4601a2edd2f5e1a229cf95156afb4d752	20180510	pilot/ontology-development-v3/broader/records/B06.md	121217	pilot/ontology-development-v3/production-calibration/calibration-final-metadata/B06.json	e5af697c2056eafa26f486fc6f97fbadd83f039c152764d2c676042de0526a04	pilot/ontology-development-v3/production-calibration/calibration-final-inputs/B06.md	d5d5bd7cf88308ed997dc995a03dd0714fc83c54326f37490df89a2bec77c5c7	105826	c161009bee6e407543ab92566e7c37f717a3e0c3bd487dee0e4a60641a191c55
B07	10.1007/s11136-019-02256-z	corpus/2016160/doi_10.1007_s11136-019-02256-z.md	e1642f053a685d598acf236f90831e5eff6f74416e0780977193eb9ea46bac60	49267	input/projects/2016160/papers/doi_10.1007_s11136-019-02256-z.xml	d4ef335237248053539fe70aa144b7a96c8ed570348be0276a157a2b0eb7d358	2016160	pilot/ontology-development-v3/broader/records/B07.md	83340	pilot/ontology-development-v3/production-calibration/calibration-final-metadata/B07.json	53c29e3441d3a76129aa7b14cee07096a623d0a520d26ca269c7b4e00773b01c	pilot/ontology-development-v3/production-calibration/calibration-final-inputs/B07.md	c346d5866efe74c678235dffa68a737914d871d139bc0b1acf8612d1846357d6	69473	b44c5665d1562cee825a2b21fe9380df2e2c7cfff6f7fc1ae4244206bcd1cc7d
B08	10.1007/s11136-025-03990-3	corpus/330-PHD/doi_10.1007_s11136-025-03990-3.md	171009067ec3beb38d0342b099ed4a4172530dea123ad3a96a6a5907bfd95ba1	77245	input/projects/330-PHD/papers/doi_10.1007_s11136-025-03990-3.xml	779355ba7f3a4862d6ff5866d36dace319081c0f9b7858e4b5f2d27a2402ddcd	330-PHD	pilot/ontology-development-v3/broader/records/B08.md	141633	pilot/ontology-development-v3/production-calibration/calibration-final-metadata/B08.json	ccce75854a74801d090d478913b1e3673094f08632877c7e95e50442c66328c6	pilot/ontology-development-v3/production-calibration/calibration-final-inputs/B08.md	121aa7953fe1e27983ebfcd2aecae2537409e0f9631c5bc6dcbedd6b49dab3df	100144	fb799dad797ff8f403bb15030ee1ef45ba093328aaca182fffd29d5c22696791
B09	10.1007/s40273-024-01444-1	corpus/304-PHD/doi_10.1007_s40273-024-01444-1.md	e27029b44386f096dd26fc2f449114b07773a788ad1181b4378639882a3f53d2	32807	input/projects/304-PHD/papers/doi_10.1007_s40273-024-01444-1.xml	b908b254e120ba604b65b6fbf9515bb55da21e943ecf3337deed20ec67399722	304-PHD	pilot/ontology-development-v3/broader/records/B09.md	75132	pilot/ontology-development-v3/production-calibration/calibration-final-metadata/B09.json	4f2d0cf3fb0a082c8175670cf278bb2d26e86122ac69e5ab809ddcf06df3942d	pilot/ontology-development-v3/production-calibration/calibration-final-inputs/B09.md	719dfee0eed03f180d0d1979822781cc1b7ec5d78fd1c1df47f51b088f49107b	49208	07d27f89483c3380e6d19f22b8741a4007e05ae5d55129f646386d22b239e644
B10	10.1371/journal.pone.0302886	corpus/348-PHD/doi_10.1371_journal.pone.0302886.md	9420b24805f77c45e43b06a4d79dde1108b29b495b94d16550687f99631dcbb5	188611	input/projects/348-PHD/papers/doi_10.1371_journal.pone.0302886.xml	a98c9ce6411424d4bd3bfda21c3bb3ec53185d624102a8c256bbd9e9ea3c21c6	348-PHD	pilot/ontology-development-v3/broader/records/B10.md	289296	pilot/ontology-development-v3/production-calibration/calibration-final-metadata/B10.json	81a5afff43343aaaa5b9096e8381bcd03ed3d648d2a394deb275ad66916a5d0a	pilot/ontology-development-v3/production-calibration/calibration-final-inputs/B10.md	46884ce3c8a17df80257c003cb8c37b58df71ad47ecb5801f24d0d7c1fdfbd07	217178	98c156152ea34fc3e7affb43808bbb2c03c83b659c1ecf238abfb1b3562267f1
B11	10.1097/mlr.0000000000002315	corpus/1787-RA/doi_10.1097_mlr.0000000000002315.md	1357ec5e1968fa90e5d089d20bce9aa717a605af481776e7fdac726471b62dad	55617	input/projects/1787-RA/papers/doi_10.1097_mlr.0000000000002315.xml	6450e29301da6d37d3974b1aba432c7594fddff77e353b283e314b2dfd9438f5	1787-RA	pilot/ontology-development-v3/broader/records/B11.md	95937	pilot/ontology-development-v3/production-calibration/calibration-final-metadata/B11.json	8de8667d83ed420d34386effe15934310a47c4981f91e4668e366671a826cce7	pilot/ontology-development-v3/production-calibration/calibration-final-inputs/B11.md	3c481d7c902be23132489caef2baa9a2e7d3ebb95ea6ea71c09dff526d86c2f3	78471	2c231c82bd1366636c9198b3003c765ef69a34ada25cdfceabaed64ff510a58b
B12	10.1186/s12955-024-02303-5	corpus/1644-RA/doi_10.1186_s12955-024-02303-5.md	17cfd5eb7a10fab592256e4fda1ca60ea97f7dde4d7d9cdc354435a6cfdf468e	109230	input/projects/1644-RA/papers/doi_10.1186_s12955-024-02303-5.xml	7b1a4470210af144037fe53de7eed19d6b2c62ea61d3c89f06ffe1690396a969	1644-RA	pilot/ontology-development-v3/broader/records/B12.md	172574	pilot/ontology-development-v3/production-calibration/calibration-final-metadata/B12.json	4714dcf594d5b7b92981f256572be7d87b455fc10b04fbc4c31dbb1bedcff2d9	pilot/ontology-development-v3/production-calibration/calibration-final-inputs/B12.md	566b18f4ab02d8eaf30c4dbcde704da4fd5b61a4ee24672fe9edbb1c6928c127	130258	d9657b3c2a7b82e3dc3aa5eac10428b5b8a7eed831c3a02761a9eb4e4117e51b
B13	10.1177/0272989x251380556	corpus/399-RA/doi_10.1177_0272989x251380556.md	91d4c02e7b1d5b43b84e82c49838fbe2ba6ba78ac4449304a1a9504b078b3ae4	59876	input/projects/399-RA/papers/doi_10.1177_0272989x251380556.xml	9fd8ac69e93b15f22ffd1385e0a0a39b57e54857a0ba7168b13355211e72bfa1	399-RA	pilot/ontology-development-v3/broader/records/B13.md	109581	pilot/ontology-development-v3/production-calibration/calibration-final-metadata/B13.json	5a357b610a53893aabb75709cd56237c20bd93b79f485680489ee9251755c0fd	pilot/ontology-development-v3/production-calibration/calibration-final-inputs/B13.md	377f445d2a1a6157adce70ce95c9fb4bd57f87c9b4f30c5293fc1f98ff00395f	78794	9ca411c21a9eac6bb288b17ddae8295668b1d476427612cf151def70337dab9b
B14	10.1007/s11136-025-03989-w	corpus/1508-RA/doi_10.1007_s11136-025-03989-w.md	76186c0858c347069829599bcd564747ec9d124fee7206fa0cd3449ac57b1f78	49094	input/projects/1508-RA/papers/doi_10.1007_s11136-025-03989-w.xml	d3392ed52299632af1ab8cbdeb23d06e8af789a66203ddf2f3b67ae12a2aeb31	1508-RA	pilot/ontology-development-v3/broader/records/B14.md	80251	pilot/ontology-development-v3/production-calibration/calibration-final-metadata/B14.json	137436583feaaa7152677059a7a7b174988448352058ab124dbd8ef202e78e42	pilot/ontology-development-v3/production-calibration/calibration-final-inputs/B14.md	b3fea18f58f10894de586edc655205fb05315187b3bda3f11965db451aa95814	67340	bb64f12ce9903785d163b9acc796649c03f3abdda9cb8a04c5bcef5b01879855
B15	10.1007/s40273-015-0292-9	corpus/2013230/doi_10.1007_s40273-015-0292-9.md	183a6da25535bfd5f18299dc5aa2c40eea8e4b804bf42793efda1eb3a62ae76c	55363	input/projects/2013230/papers/doi_10.1007_s40273-015-0292-9.xml	48ed6cd422b428a53edaca97c35d62ba88be6c99b05e6f7213ddfa7cd9cb06aa	2013230	pilot/ontology-development-v3/broader/records/B15.md	92740	pilot/ontology-development-v3/production-calibration/calibration-final-metadata/B15.json	ca43a1d929f92f0423027d31157a314d813b0481a752fd05da6f0d2b014b2d00	pilot/ontology-development-v3/production-calibration/calibration-final-inputs/B15.md	087985ad2a8ff28361c42ad521335b455602d00b1e0fa7f60be9ab3f9ab3b920	71983	201b441df50d3bf7047270b0b5dbdde4cba9e80383281b8adc7f6b82c752f2ef
B16	10.1007/s40273-021-01002-z	corpus/20180130/doi_10.1007_s40273-021-01002-z.md	f16bf7a38694b56920da191a401bb044d65a40b646a083e7fd2139a5fca87322	94816	input/projects/20180130/papers/doi_10.1007_s40273-021-01002-z.xml	01a092c8f0e35e8afeaadf90e7dde4d56d021ac1779bd2f02d268bb7a4fc2e5a	20180130	pilot/ontology-development-v3/broader/records/B16.md	171390	pilot/ontology-development-v3/production-calibration/calibration-final-metadata/B16.json	b9c41ba1bfedf4aa6940719683d5df2da90d986811ab7a324be8fd54e24ac385	pilot/ontology-development-v3/production-calibration/calibration-final-inputs/B16.md	232c90247de4c194350764a85fba3785a038b209b99e05c745d0af0cb1bb0ede	112033	6c70dbbfb148de32222d4388a9edec88797113415e815ceaab19f2428ab377b0
B17	10.1371/journal.pone.0305983	corpus/2016440/doi_10.1371_journal.pone.0305983.md	7f409e20c5dc6736c7b2b78fc355d6a8e54a30b8ccceb299a3b5bd8419fad0c9	3148	input/projects/2016440/papers/doi_10.1371_journal.pone.0305983.xml	307213f16749cb651e92e091eabfad32d7aae231e657280f2bf2e705e4c91f73	2016440	pilot/ontology-development-v3/broader/records/B17.md	10486	pilot/ontology-development-v3/production-calibration/calibration-final-metadata/B17.json	ecb5cb6c8e72ae0d3e7dd6629e588de9fb9869e512eb10e2d4fa649efc7d2c31	pilot/ontology-development-v3/production-calibration/calibration-final-inputs/B17.md	788c7269d41093dc4e20a6dcc6e7ae8692e71dc2d2c0180f79b8f8f572c72e97	19100	afa61dfde81cf81e787b05d66e124a0963dd026272542eb67691c290467f6e5a
B18	10.3961/jpmph.22.151	corpus/2016290/doi_10.3961_jpmph.22.151.md	85bc7bba2624710564b9b3dc97c953f6f5d533bc9381b4390a897dce7d41f6f2	58582	input/projects/2016290/papers/doi_10.3961_jpmph.22.151.xml	84b0b27f2794fd65cf236121e198e71c32a0f05b45fba9d289a7dceb677b536d	2016290	pilot/ontology-development-v3/broader/records/B18.md	105828	pilot/ontology-development-v3/production-calibration/calibration-final-metadata/B18.json	e166576b9f56845b0595e50a3cf416996d1a4e1b6e7de90459126b1dbd9bcc07	pilot/ontology-development-v3/production-calibration/calibration-final-inputs/B18.md	486dbd5a9c63e7ae83d288ee5afcdc74a33e7d89e9939924f1e855078fa98f17	77351	544673027f2b28b75a0a16d67c776d122945f070398150a0f785fb5cc82e84d2
B19	10.1186/s12955-023-02115-z	corpus/2016480/doi_10.1186_s12955-023-02115-z.md	7af13a637ee2fdaaa6015f33bf75811e8838652bb8eec73539e501c32d572762	110575	input/projects/2016480/papers/doi_10.1186_s12955-023-02115-z.xml	929bbaab8f44781b4f9b8740ed94fea60de80a0d59b90a26dadad9955a4c9c6c	2016480	pilot/ontology-development-v3/broader/records/B19.md	175119	pilot/ontology-development-v3/production-calibration/calibration-final-metadata/B19.json	56ad35cddb90d144951a5b34ac90c46c7367dcbbe2915715da28dce2fda1115a	pilot/ontology-development-v3/production-calibration/calibration-final-inputs/B19.md	bb23c51b30b397ccddb182e449c89b956635ff9154270ad42cebe1621cb74638	129447	2ceeb0cca4b50c86815753efef4f81d4a4b0bd8eb26d63f52e29088cc6cf5b85
B20	10.1016/j.pecinn.2025.100421	corpus/445-RA/doi_10.1016_j.pecinn.2025.100421.md	5fa457602fbfb26b73693be425c43cf2eab5cd21d09241d7501868f60d1ee6b1	47416	input/projects/445-RA/papers/doi_10.1016_j.pecinn.2025.100421.xml	1af80a21a6b9e8e2ece45649a7e4145a40d90eacbca9f8e9b818dbfe7b6d05db	445-RA	pilot/ontology-development-v3/broader/records/B20.md	96911	pilot/ontology-development-v3/production-calibration/calibration-final-metadata/B20.json	7f156e50bb325542ac09e2d8389610c2671e36b3a14a9a15299ce1213f5cec36	pilot/ontology-development-v3/production-calibration/calibration-final-inputs/B20.md	e1f08691e0dd5c36ce9c5745571146daa7b64ec3f0f83fd91066ac44445a8d83	65397	b5eff143ca60bb917ca942b38db4e9c56b75337d97a422e60bd43ae878b0fb30
