record_id,title,production_batch,production_outcome,production_code,production_reason,audit_batch,audit_outcome,audit_code,audit_reason,outcome_agreement
P4b440be249bb,The health-related quality of life of patients with a benign gynecological condition: a 2-year follow-up.,batch-0296,exclude,E1,[E1] The 15D instrument is used to report treatment-related HRQoL outcomes in women with gynecological conditions.,batch-0001,exclude,E1,[E1] The 15D instrument is used to report quality-of-life outcomes after treatment for gynecological disorders.,true
Pd5442979d930,External Validation of Mortality Prediction Models for Critical Illness Reveals Preserved Discrimination but Poor Calibration,batch-0266,exclude,E4,"[E4] This study externally validates critical-illness mortality prediction models for prognostic performance, not health measurement or valuation.",batch-0001,exclude,E4,"[E4] The study externally validates mortality prediction models for critical illness, not health measurement or valuation methods.",true
P33d251169632,Can Fall Risk Screening and Fall Prevention Advice in Hospital Settings Motivate Older Adult Patients to Take Action to Reduce Fall Risk?,batch-0289,exclude,E1,[E1] Reported quality of life is a predictor in a fall-prevention intervention study.,batch-0002,exclude,E4,"[E4] The study tests whether fall-risk screening and advice change preventive behavior, not the screening tool's measurement properties.",true
P0629cc52b6e3,Facilitating More Efficient Negotiations for Innovative Therapies: A Value-Based Negotiation Framework – Corrigendum,batch-0212,exclude,E5,[E5] This is a corrigendum and supplies no usable article abstract.,batch-0002,exclude,E5,[E5] The record is a corrigendum with publisher boilerplate instead of a usable abstract.,true
P1d2b2c9c8eed,Development of a prognostic risk model for clear cell renal cell carcinoma by systematic evaluation of DNA methylation markers,batch-0284,exclude,E4,"[E4] This study develops a cancer prognostic DNA-methylation model, not a health measurement or valuation method.",batch-0002,exclude,E4,"[E4] The study develops a tumor methylation model for cancer prognosis, not a health measurement or valuation method.",true
P3f5801c0b23b,Metrology part 2: Procedures for the validation of major measurement quality criteria and measuring instrument properties.,batch-0293,exclude,E4,"[E4] This metrology review concerns validation of physiologic medical-device measurements in critical care, not health-status measurement or valuation.",batch-0002,exclude,E4,[E4] The review concerns metrological validation of physiological measuring devices rather than health-status or wellbeing measurement.,true
Pd2ac262eca91,HIV-themed escape room and perceived impact on learning among undergraduate pharmacy students in a game-naïve university: A cross-sectional study,batch-0078,exclude,E4,[E4] This cross-sectional pharmacy-education study evaluates an HIV escape-room teaching activity.,batch-0002,exclude,E4,"[E4] The study evaluates an HIV-themed teaching activity and students' perceived learning, not health measurement or valuation.",true
P72b0042dafd5,Type A aortic dissection: optimal annual case volume for surgery,batch-0178,exclude,E4,"[E4] This meta-analysis identifies surgical volume thresholds for aortic dissection outcomes, outside measurement and valuation research.",batch-0002,exclude,E4,[E4] The meta-analysis estimates surgical case-volume thresholds from mortality outcomes and does not study health measurement.,true
P2d4bd1968a8b,“They Are Not Going to Be Happy”: An Ethnographic Study of the Prioritization of Patients Awaiting Elective Surgery in an Academic Hospital in the Netherlands,batch-0004,exclude,E4,[E4] This ethnography studies clinical and logistical prioritization of patients awaiting elective surgery.,batch-0002,exclude,E4,"[E4] The ethnographic study examines how professionals prioritize elective surgery patients, not health measurement or valuation.",true
P7481844e62b4,Factors Associated with Health Related Quality of Life in Self-employed 2nd Baby Boomers,batch-0056,exclude,E1,"[E1] This cross-sectional study identifies factors associated with self-employed adults' HRQoL, which is an outcome rather than the research object.",batch-0002,exclude,E1,[E1] Health-related quality of life is the outcome whose demographic and health correlates are estimated.,true
P71228404da25,Spotlight environmental sustainability: a strategic priority for NICE,batch-0240,exclude,E4,[E4] It describes NICE environmental sustainability policy rather than health measurement or health-state valuation research.,batch-0002,exclude,E4,[E4] The article describes environmental sustainability policy at NICE and does not study health measurement or valuation.,true
P3dcf7b04845b,Cross-sectional and longitudinal comparison of health-related quality of life and mental well-being between persons with and without post COVID-19 condition,batch-0165,exclude,E1,[E1] EQ-5D measures HRQOL outcomes when comparing people with and without post-COVID condition.,batch-0002,exclude,E1,[E1] EQ-5D-5L and other scales are outcomes used to compare people with and without post-COVID conditions.,true
P75ff7ec10680,A Systematic Review on the Economic Evaluations Evidence of Enhanced External Counter-Pulsation (EECP) for Managing Chronic Stable Angina,batch-0241,exclude,E4,[E4] This is a systematic review of economic evaluations of EECP for chronic stable angina.,batch-0002,exclude,E5,[E5] The supplied text is only a brief introductory fragment and gives no usable review methods or results.,true
P3a0bdca77a16,Economic Evaluation of Targeted Therapies for Anaplastic Lymphoma Kinase- and ROS1 Fusion-Positive Non-Small Cell Lung Cancer in India.,batch-0105,exclude,E2,[E2] This Markov cost-effectiveness model compares lung-cancer therapies using QALYs as economic outcomes.,batch-0002,exclude,E2,[E2] QALYs are model outcomes in a cost-effectiveness comparison of lung-cancer treatments.,true
P199181929267,Hemagglutination-Inhibition Antibodies and Protection against Influenza Elicited by Inactivated and Live Attenuated Vaccines in Children,batch-0097,exclude,E4,[E4] This vaccine study evaluates antibody correlates of clinical influenza protection.,batch-0002,exclude,E4,[E4] The study relates vaccine-elicited antibody titers to influenza protection and does not address health measurement or valuation.,true
Pe7d870568231,A systematic review of economic evaluations for the interventions of superficial basal cell carcinoma,batch-0205,exclude,E2,[E2] Systematic review evaluates the cost-effectiveness of treatments for superficial basal cell carcinoma.,batch-0002,exclude,E2,[E2] The review compares economic evaluations of basal-cell carcinoma treatments and reports value-for-money conclusions.,true
Pc9152ee952f0,Association between stringency of lockdown measures and emergency department visits during the COVID-19 pandemic: A Dutch multicentre study,batch-0137,exclude,E4,[E4] This multicentre study examines associations between COVID lockdown stringency and emergency department use.,batch-0002,exclude,E4,[E4] The study relates lockdown policy stringency to emergency-department use and does not study health measurement.,true
Ped41b260bf89,"Patient-reported burden of myasthenia gravis: baseline results of the international prospective, observational, longitudinal real-world digital study MyRealWorld-MG.",batch-0206,exclude,E1,[E1] EQ-5D-5L and other PROMs are outcomes used to describe myasthenia gravis burden by severity.,batch-0002,exclude,E1,[E1] EQ-5D-5L and other patient-reported measures are used to describe myasthenia-gravis burden by severity.,true
P1dd2f4d52020,Conducting epidemiological studies on snakebite in nomadic populations: A methodological paper,batch-0158,exclude,E4,"[E4] This paper develops epidemiological sampling methods for nomadic snakebite research, not health measurement or valuation.",batch-0002,exclude,E4,[E4] The paper develops epidemiological sampling methods for nomadic populations rather than a health measurement method.,true
Pde03d4b16ce8,Safety and Effectiveness of COVID-19 Vaccines During Pregnancy: A Living Systematic Review and Meta-analysis,batch-0142,exclude,E4,[E4] This living review assesses the clinical safety and effectiveness of COVID-19 vaccination during pregnancy.,batch-0002,exclude,E4,"[E4] The living review assesses COVID-19 vaccine safety and effectiveness during pregnancy, not health measurement or valuation.",true
P169bf51d6948,Systematic Review of the Relative Social Value of Child and Adult Health.,batch-0096,exclude,E3,"[E3] This review synthesizes public preferences for treatment prioritization by age, not health-state valuation methods.",batch-0002,exclude,E3,[E3] The review concerns public preferences for prioritizing child versus adult treatments and health gains in policy decisions.,true
Pd61d9e6b3dce,Budget Impact of Secukinumab in Psoriatic Arthritis Patients with Contraindication to TNF-Alpha Inhibitors.,batch-0021,exclude,E2,"[E2] This is a budget-impact analysis of introducing secukinumab, focused on healthcare expenditure and policy.",batch-0002,exclude,E2,[E2] The study estimates the budget effect of adding secukinumab to Thailand's covered treatments.,true
P458a78612ea9,Outcomes of Digital Biomarker-Based Interventions: Protocol for a Systematic Review of Systematic Reviews.,batch-0294,exclude,E4,[E4] This protocol reviews clinical outcomes of digital-biomarker interventions rather than measurement methods.,batch-0003,exclude,E4,"[E4] The protocol reviews clinical effects of interventions that use digital biomarkers, not the biomarkers' measurement properties.",true
Pfd062eea3822,Association of arsenic exposure with measles antibody titers in US children: Influence of sex and serum folate levels,batch-0209,exclude,E4,[E4] Observational study examines arsenic exposure and measles antibody titres in children.,batch-0003,exclude,E4,"[E4] The study examines arsenic exposure and measles antibody titers, not health measurement or valuation.",true
P76f437ec5a22,Immunohistochemical Study of the PD-1/PD-L1 Pathway in Cutaneous Lupus Erythematosus,batch-0241,exclude,E4,[E4] This immunohistochemical study investigates the PD-1/PD-L1 pathway in cutaneous lupus.,batch-0003,exclude,E4,[E4] The immunohistochemical study investigates a biological pathway in cutaneous lupus and is outside measurement scope.,true
P7dd9603872c5,Health-Related Quality of Life for Persons Treated or Monitored for Anal High-Grade Squamous Intraepithelial Lesions (AMC-A01),batch-0058,exclude,E1,[E1] The validated HRQoL index is used to compare treatment and monitoring outcomes for anal lesions rather than being evaluated itself.,batch-0003,exclude,E1,[E1] A validated quality-of-life index is used to compare short-term outcomes of anal-lesion treatment and monitoring.,true
P389b718badbc,External generalizability and internal accuracy of predictive models for perinatal mortality: a systematic review and meta-analysis,batch-0040,exclude,E4,[E4] This review synthesizes predictive models for perinatal mortality rather than health measurement or health-state valuation.,batch-0003,exclude,E4,"[E4] The review evaluates perinatal mortality prediction models, not health-status measurement or health-state valuation.",true
P66d351fee2bd,A Strategic Roadmap to Support Communication on and Acceptance of Surrogate Endpoints: The REnal Surrogacy accEpTance in Chronic Kidney Disease (RESET CKD) Collaboration.,batch-0052,exclude,E4,[E4] The paper proposes a reimbursement and regulatory roadmap for surrogate endpoints rather than studying health measurement or valuation.,batch-0003,exclude,E4,"[E4] The roadmap concerns acceptance of surrogate endpoints in regulatory and reimbursement decisions, not health measurement.",true
Pa2330e89e7dc,A qualitative assessment of key considerations for drug checking service implementation,batch-0190,exclude,E4,"[E4] The qualitative study concerns implementation of drug-checking harm-reduction services, not health measurement or valuation.",batch-0003,exclude,E4,[E4] The qualitative study examines implementation of drug-checking services rather than health measurement or valuation.,true
P278ebdbd9b85,Evaluating Health Inequality in Five Caribbean Basin Countries Using EQ-5D-5L.,batch-0220,exclude,E1,"[E1] EQ-5D-5L is used as an outcome to describe health inequalities across demographic groups, not studied as the research object.",batch-0003,exclude,E1,[E1] EQ-5D-5L is used to estimate demographic health inequalities from national surveys rather than studied as the research object.,true
P2bedf2477c52,"Hospital Costs and Fatality Rates of Traumatic Assaults by Mechanism in the US, 2016-2018",batch-0221,exclude,E4,[E4] Estimates hospital costs and fatalities from assault mechanisms rather than health measurement or valuation.,batch-0003,exclude,E4,[E4] The study compares hospital costs and fatality across assault mechanisms and does not study health measurement.,true
Pcb33275303c9,The Effect of Tailored Short Message Service (SMS) on Physical Activity: Results from a Three-Component Randomized Controlled Lifestyle Intervention in Women with PCOS,batch-0198,exclude,E4,[E4] This lifestyle trial evaluates SMS support effects on physical activity and aerobic capacity.,batch-0003,exclude,E4,"[E4] The trial tests a lifestyle intervention's effect on physical activity and aerobic capacity, not a measurement method.",true
P768b84afb833,Persuasive Messages for Improving Adherence to COVID-19 Prevention Behaviors: Randomized Online Experiment.,batch-0179,exclude,E4,[E4] This randomized experiment tests persuasive messages to increase COVID-19 prevention intentions.,batch-0003,exclude,E4,"[E4] The experiment tests persuasive messages for changing COVID-19 prevention intentions, not health measurement.",true
Pf29fba37de4f,Adoption des médicaments biosimilaires au Canada : analyse des politiques provinciales et données sur leur utilisation,batch-0274,exclude,E5,[E5] The supplied abstract is an incomplete publisher fragment and is not usable for screening.,batch-0003,exclude,E5,"[E5] The supplied abstract is an incomplete article fragment and does not give a usable aim, methods, or results.",true
P87a0b8d01ebc,Applying the Clinician-reported Genetic testing Utility InDEx (C-GUIDE) to genome sequencing: further evidence of validity,batch-0245,exclude,E4,"[E4] This validates an index of clinical utility for genome sequencing, not a health or wellbeing measurement or health-state valuation.",batch-0003,retain,R2,"[R2] The clinician-reported C-GUIDE measurement instrument is the primary object, and the study directly tests its construct validity.",false
P6f7cf057e867,Cost-effectiveness of a structured medication review approach for multimorbid older adults: Within-trial analysis of the OPERAM study,batch-0239,exclude,E2,[E2] EQ-5D-derived QALYs are economic outcomes in a within-trial cost-effectiveness analysis of medication review.,batch-0003,exclude,E2,[E2] EQ-5D-derived QALYs are outcomes in a within-trial cost-effectiveness analysis of medication review.,true
P8b40a6014853,"Health-related quality of life and associated factors among patients with chronic obstructive pulmonary disease in Addis Ababa, Ethiopia: a multicentre cross-sectional study",batch-0014,exclude,E1,[E1] Cross-sectional COPD study uses a quality-of-life score as the outcome when identifying associated factors.,batch-0003,exclude,E1,[E1] A validated COPD assessment is used to quantify disease burden and identify factors associated with quality of life.,true
P855bbe175bf1,"The Association Between Physical Distancing Behaviors to Avoid COVID-19 and Health-Related Quality of Life in Immunocompromised and Nonimmunocompromised Individuals: Patient-Informed Protocol for the Observational, Cross-Sectional EAGLE Study.",batch-0121,exclude,E1,"[E1] The protocol studies physical distancing and uses HRQoL and utilities as outcomes, not as its central measurement object.",batch-0003,exclude,E4,"[E4] The protocol studies physical-distancing behavior and its association with quality of life, not health-state measurement or valuation.",true
P5635ed4eb93d,Patient preferences for Remote cochlear implant management: A discrete choice experiment,batch-0048,exclude,E3,"[E3] The discrete choice experiment elicits preferences for remote cochlear-implant service delivery, not health-state valuation.",batch-0003,exclude,E3,[E3] The discrete-choice experiment elicits patient preferences for remote cochlear-implant service attributes.,true
Pcadbf90fab6e,Informal care for people with dementia in Europe.,batch-0076,exclude,E4,"[E4] Estimates informal dementia-care time for use in health-economic models, not a measurement study.",batch-0003,exclude,E4,[E4] The study estimates informal-care time for use in dementia economic models and does not study health measurement.,true
Pd036c8e6253f,Definitions of Abnormal Breast Size and Asymmetry: A Cohort Study of 400 Women,batch-0200,exclude,E4,"[E4] MRI cohort defines breast size and asymmetry distributions, not a health measurement instrument or health-state valuation method.",batch-0003,exclude,E4,"[E4] The cohort defines anatomical breast-size and asymmetry norms, not a health or wellbeing measurement instrument.",true
P42b6963f9495,Characterizing models for delivery of pharmacogenomic testing: a scoping review,batch-0043,exclude,E4,"[E4] This scoping review characterizes clinical delivery models for pharmacogenomic testing, not health measurement or valuation.",batch-0003,exclude,E4,[E4] The review characterizes service-delivery models for pharmacogenomic testing rather than health measurement or valuation.,true
Pac8b8a0f9570,Marginal cost per QALY estimates: What are they good for?,batch-0130,exclude,E5,[E5] This record explicitly presents a commentary rather than an eligible research article abstract.,batch-0004,exclude,E4,[E4] The commentary critiques policy claims made from marginal cost-per-QALY estimates rather than the QALY measurement concept.,true
Pbc1436a73cd1,Canadian Rheumatology Association Living Guidelines for Rheumatoid Arthritis: Update #1.,batch-0195,exclude,E4,[E4] This article updates clinical treatment guidelines for rheumatoid arthritis.,batch-0004,exclude,E4,[E4] The article updates clinical treatment guidance for rheumatoid arthritis and does not study health measurement or valuation.,true
P362be7fa8a06,A Collection of Components to Design Clinical Dashboards Incorporating Patient-Reported Outcome Measures: Qualitative Study,batch-0104,exclude,E4,"[E4] The research develops clinical-dashboard design components; PROMs are incorporated data, not the measurement research object.",batch-0004,retain,RU,"[RU] The study develops a framework for PROM dashboard design, but the abstract leaves uncertainty about whether this is health-measurement implementation research.",false
P86fc5ae55eaa,Picking Up the Threads: Long-Term Outcomes of the Sutured Haemorrhoidopexy: A Retrospective Single-Centre Cohort Study,batch-0182,exclude,E4,[E4] This retrospective cohort evaluates the safety and efficacy of haemorrhoidopexy treatment.,batch-0004,exclude,E4,"[E4] The cohort reports long-term safety, recurrence, and efficacy after a surgical treatment, not health measurement.",true
P7f4a68e7c1da,"A scoping review of triage approaches for the referral of patients with suspected inflammatory arthritis, from primary to rheumatology care.",batch-0120,exclude,E4,"[E4] Reviews clinical referral triage approaches for inflammatory arthritis, not health measurement or health-state valuation.",batch-0004,exclude,E4,[E4] The review evaluates clinical triage tools for rheumatology referrals rather than health-status measurement or valuation.,true
Pc1c0ce199b1a,"The association between healthcare needs, socioeconomic status, and life satisfaction from a Chinese rural population cohort, 2012–2018",batch-0261,exclude,E4,[E4] This cohort study examines associations of unmet healthcare needs with socioeconomic status and life satisfaction.,batch-0004,exclude,E4,"[E4] The cohort studies unmet health-care needs, socioeconomic status, and life satisfaction, not a health measurement method.",true
Pf3416aaac89f,Determining the utility of diagnostic genomics: a conceptual framework,batch-0207,exclude,E4,"[E4] This conceptual framework concerns the broad utility of diagnostic genomics, not health-state utility measurement or valuation.",batch-0004,exclude,E4,"[E4] The framework defines the broader clinical utility of genomic testing, not health-state utility or health-status measurement.",true
Pd91db5851d8b,"Physiological-based cord clamping in very preterm infants: the Aeration, Breathing, Clamping 3 (ABC3) trial—study protocol for a multicentre randomised controlled trial",batch-0267,exclude,E5,[E5] This is a clinical trial study protocol for cord-clamping management rather than an eligible research report.,batch-0004,exclude,E4,[E4] The protocol tests two cord-clamping strategies on neonatal clinical outcomes and does not study health measurement.,true
P89a9bfcf586f,The relative importance of education and health behaviour for health and wellbeing.,batch-0183,exclude,E1,[E1] EQ-5D and EQ-VAS are outcome measures in a study of education and health behaviours.,batch-0004,exclude,E1,[E1] EQ-5D and wellbeing scores are outcomes used to explain variations by education and health behavior.,true
P115a17da0ba1,An accelerated access pathway for innovative high-risk medical devices under the new European Union Medical Devices and health technology assessment regulations? Analysis and recommendations.,batch-0156,exclude,E4,"[E4] This article recommends an accelerated regulatory and HTA access pathway for devices, not a health measure or valuation method.",batch-0004,exclude,E4,"[E4] The analysis proposes an accelerated regulatory and HTA pathway for medical devices, not a health measure or valuation method.",true
P3f004c444d24,Informing decisions in light of parameter uncertainty - an economic evaluation of the adjuvanted recombinant herpes zoster vaccine in Sweden.,batch-0007,exclude,E2,[E2] Vaccine cost-effectiveness model uses QALYs as an outcome of an economic evaluation.,batch-0004,exclude,E2,[E2] QALYs are outcomes in a vaccine cost-effectiveness model that studies price and parameter uncertainty.,true
P0447e9fa39b4,Patients’ Preferences Towards Decision Counseling for Active Surveillance After Neoadjuvant Chemoradiotherapy for Esophageal Cancer,batch-0152,exclude,E4,[E4] This interview study concerns patients' preferred timing and experience of treatment decision counseling.,batch-0004,exclude,E4,"[E4] The study examines patient experiences and preferred timing of decision counseling, without evaluating a health measure.",true
Pcb62a9a5c75e,Cerebral monitoring responses to bedside physiological challenges in comatose post-cardiac arrest patients.,batch-0019,exclude,E4,[E4] This clinical monitoring study tests cerebral physiological responses for early ICU prognostication after cardiac arrest.,batch-0004,exclude,E4,"[E4] The study tests cerebral monitoring responses for clinical prognostication, not health-status measurement or valuation.",true
P31c4ebd69352,Profiles of patients’ self-reported health after acute stroke,batch-0289,exclude,E1,"[E1] PROMs are used to profile post-stroke health status and predict group membership, not evaluated as instruments.",batch-0004,exclude,E1,[E1] Patient-reported measures are used to classify post-stroke health and relate the classes to baseline clinical factors.,true
P2502afb0c8f0,Guidance for the Harmonisation and Improvement of Economic Evaluations of Personalised Medicine.,batch-0286,exclude,E4,"[E4] The article develops guidance for economic modelling of personalised medicine, not health measurement or valuation.",batch-0004,exclude,E4,"[E4] The study develops methodological guidance for economic evaluations of personalized medicine, outside measurement scope.",true
P41d6b7a96d0f,Defining centres of expertise for minimally invasive mitral valve surgery: a systematic review and volume–outcome meta-analysis,batch-0042,exclude,E4,[E4] This review models surgical centre volume against clinical outcomes to define high-volume mitral surgery centres.,batch-0004,exclude,E4,[E4] The meta-analysis derives surgical case-volume thresholds from clinical outcomes and does not study health measurement.,true
P0713cd99c86e,Patient and Physician Preferences for Maintenance Treatment in Advanced Non-Small Cell Lung Cancer: Insights into Treatment Selection,batch-0027,exclude,E3,[E3] Discrete choice experiment elicits patient and physician preferences for lung-cancer maintenance treatment attributes.,batch-0004,exclude,E3,[E3] The discrete-choice experiment elicits patient and physician preferences for lung-cancer treatment attributes.,true
Pfd374421886a,Opportunities and obstacles in linking large health care registries: the primary secondary cancer care registry - breast cancer,batch-0276,exclude,E4,"[E4] This article develops and validates a general patient-registry linkage procedure, not a health measurement method.",batch-0004,exclude,E4,"[E4] The paper develops a privacy-preserving procedure for linking cancer-care registries, not a health measurement method.",true
P18cabf5bdd52,Survival of cancer patients with pre-existing heart disease,batch-0216,exclude,E4,[E4] Registry study assesses cancer survival associations with pre-existing cardiovascular disease.,batch-0004,exclude,E4,[E4] The registry study estimates survival differences in cancer patients with heart disease and does not study health measurement.,true
P78fc39bb9422,Uptake of funded genomic testing for syndromic and non-syndromic intellectual disability in Australia.,batch-0179,exclude,E5,[E5] The supplied abstract is only an incomplete background fragment and does not provide a usable article abstract.,batch-0004,exclude,E5,"[E5] The supplied text is only a short background fragment and provides no usable study aim, methods, or results.",true
P4e77e750ee92,Implementing patient-public engagement for improved health: Lessons from three Ghanaian community-based programmes.,batch-0168,exclude,E4,[E4] This qualitative study examines implementation of patient-public engagement in Ghanaian community health programmes.,batch-0005,exclude,E4,"[E4] The qualitative study examines public engagement in community health programs, not health measurement or valuation.",true
P7b922d85c148,Digital Health Policy and Programs for Hospital Care in Vietnam: Scoping Review,batch-0242,exclude,E4,[E4] Scoping review describes hospital digital-health policies and implementation in Vietnam.,batch-0005,exclude,E4,"[E4] The review maps hospital digital-health policy and implementation in Vietnam, not health measurement or valuation.",true
P0913e04e4ad1,Effectiveness of current digital cognitive behavioural therapy for insomnia interventions for adolescents with insomnia symptoms: A systematic review and meta‐analysis,batch-0028,exclude,E4,"[E4] This review evaluates digital CBT-I treatment effects on adolescent insomnia and sleep outcomes, not a health measurement or valuation method.",batch-0005,exclude,E4,[E4] The review estimates the clinical effectiveness of digital insomnia interventions rather than evaluating a health measure.,true
P17b3e5b48cc7,Health Coaching Enhanced Older Adults’ Self-Efficacy in Managing Their Chronic Diseases: A Randomized Controlled Trial,batch-0032,exclude,E4,[E4] This randomized trial evaluates health coaching effects on chronic-disease self-efficacy and blood pressure.,batch-0005,exclude,E4,"[E4] The trial tests health coaching effects on self-efficacy and blood pressure, not a health measurement method.",true
Pc5e868c58ef6,Using Role Substitution to Improve Oral Health of Dependent Older People Residing in Care Homes and Assisted Living Settings in the United Kingdom.,batch-0019,exclude,E1,[E1] EQ-5D is a secondary quality-of-life outcome in this trial of dental-care role substitution for older residents.,batch-0005,exclude,E1,[E1] EuroQol quality of life is a secondary outcome in a trial of dental staff role substitution in care homes.,true
