batch_id	record_id	verdict	source_locations	repair	ontology_gap
A011	V2-P018	MINOR	Full article, Methods—Participants, recruitment and purposive-selection paragraphs | Full article, Methods—Data collection, paragraphs on the online survey and interviews | Full article, Methods—Data analysis, paragraph on coding rounds and thematic saturation | Full article, Discussion—limitations, first and second limitations	Make three local corrections. First, in adm2 and adm3, set instrument_language and interview_language to null or NOT_REPORTED. The article states that people who speak a language other than English were not represented, but it does not directly report the interview or displayed-instrument language. Second, remove thematic saturation from td1.stopping_rule because the decision to stop further interviews is a study sampling or quality-control procedure, not an interview-task stopping rule. Add a direct-current-activity MethodUse for assessment of data and thematic saturation across coding rounds, with QUALITY_CONTROL as its function, and state that no further interviews were conducted after round three because no new codes emerged. Third, add the omitted recruitment method details: service providers were invited by email through the study-team network and snowball referral; caregivers were recontacted from eligible Australian P-MIC participants who had agreed to future research; and adolescents were approached through their caregivers. Keep the present purposive-sampling record and the other scientific content unchanged.	
A012	V2-P019	MAJOR	Full article, Methods, paragraph 1: 631 survey completers, including 179 parents, 99 mothers, and 80 fathers | Full article, Methods, paragraph 4: three conditional logit models for 179 parents, 99 mothers, and 80 fathers; each model contains ten incremental effects and two scaling terms | Full article, Abstract, Results: feasibility claim and the three reported sample sizes | Full article, Key Points for Decision Makers, second row: 179 parents, 99 mothers, and 80 fathers, followed by the fewer-than-100 claim | Full article, Results, paragraph 1: mother-father findings and the AD1 difference, p = 0.023 | Full article, Discussion, paragraph 3: author claim that a brief DCE can yield precise results with fewer than 100 respondents | Full article, Results, paragraph 2: the estimates are not standard EQ-5D-Y-3L value sets	Keep the single Study and its METHODS_RESEARCH family. Correct Finding f4: three models used 179 parents, 99 mothers, and 80 fathers; only the mother and father subgroup models had fewer than 100 respondents. Do not state that every model or the source survey had fewer than 100 respondents because the parent model had 179 and the source survey had 631 completers. Revise Interpretation int1 and Outcome out2 so that the fewer-than-100 statement is clearly the authors’ feasibility interpretation based on the two subgroup estimates, not an observed size for the full survey or parent model. Replace singular ModelUse mod1 with three primary conditional-logit ModelUse records for parents, mothers, and fathers. Record that each model estimated ten incremental effects and two scaling terms, and link each model to its applicable sample in the related findings. Preserve the three reported sample counts and the source conflict about the erroneous '< 0.05' wording.	
A013	V2-P020	MINOR	Full article, Section 2.9.4, pilot qualitative interview paragraphs | Full article, Section 2.9.5, Pilot focus group and deliberative exercise | Full article, Section 2.5.3, focus-group size paragraph | Full article, Sections 2.6.2 and 2.7.1, use of 2021 Australian Census data | Full article, Section 2.7.3, PTO data analysis paragraphs and Tables 2–3 | Full article, Sections 2.3.14 and 2.7.3, respondent characteristics and regression controls | Full article, Section 2.11.3, informed consent through Qualtrics	Keep the inclusion decision, EuroQol support, publication form, single Study, primary family, purposes, and principal planned methods and outcomes. Make these local repairs. (1) Replace the population link on sam3. pop1 is the part1 survey-pilot population and does not represent the two pilot interview participants. Add a part2 population for the convenience participants without health-state-valuation knowledge, with ages 14 and 33, and link sam3 to it. (2) Represent the planned pilot focus group in Section 2.9.5 as a separate StudyPart because it has a separate convenience sample, quality-control purpose, and excluded data. Add its planned qualitative, cross-sectional, noncomparative, nonallocated design; one planned focus group; current-study qualitative material; pilot focus-group quality-control and qualitative-collection uses; and the reported feedback aims. (3) Do not report a derived total of 20 focus-group participants in sam8. The source reports about four groups and a maximum of five respondents per group. Replace sam8 with the exact per-group maximum or remove it, while retaining sam9 for about four groups. (4) Add a part3 DataUse for 2021 Australian Census data, with ROUTINE_SERVICE_COLLECTION origin and AGGREGATE_ESTIMATE level, used to set quotas and compare the achieved sample with the population. (5) Add the omitted principal quantitative-analysis uses from Section 2.7.3: midpoint assignment for unresolved equivalence intervals, t-tests, Wilcoxon U-tests, and Kruskal-Wallis H-tests. Keep the reported comparison purposes and exploratory status where applicable. (6) Add analysed respondent factors for education, location, ethnicity, and serious-illness experience for the respondent or their children, because Sections 2.3.14 and 2.7.3 state that these data describe the sample or support tests of preference differences. (7) Add separate planned Qualtrics SoftwareUse records for the part4 and part5 consent questionnaires, with DATA_COLLECTION as the function. Do not infer Qualtrics use for the main PTO survey unless another source states it directly.	
A014	V2-P021	MINOR	Full article: Results—Subgroup Analysis, paragraph 1 | Full article: Results—Model Performance, Table 2, ACSC subgroup model | Full article: Methods—Study Design and Data Sources, paragraph 1 | Full article: Methods—Model Derivation, paragraphs 2–3	Revise Finding f4. Retain the authors’ statement that EQ-5D-5L did not significantly improve discrimination, but add the horizon-specific Table 2 estimates: change in C-index 0.002 (95% CI 0.001–0.004) at 30 days, 0.013 (95% CI 0.008–0.021) at 180 days, and 0.004 (95% CI 0.001–0.007) at 360 days. Add a SourceConflict between the narrative claim of no significant improvement and the Table 2 confidence intervals, which exclude zero. Also revise Administration a1 to distinguish general survey-return timing from primary-model timing: responses arrived 16–200 days after discharge, but the primary analysis used weekly landmarks from days 23–60 and included a participant only after PROM completion and while event-free. No change is needed to inclusion, EuroQol support, publication form, Study unit, primary family, instruments, models, or principal interpretation.	
A015	V2-P022	MINOR	Full article: Methods, Statistical analyses | Full article: Methods, Structural validity | Full article: Results, Structural validity; Tables 3 and 4 | Full article: Discussion, third paragraph | Full article: Results, Distributional characteristics | Full article: Table 6 | Full article: Discussion, limitations paragraph	Keep the inclusion decision, EuroQol-support assessment, Study unit, primary family, instrument roles, main findings, and administration SourceConflict. Make these local corrections: (1) add the omitted structural-validity procedures: Kaiser–Meyer–Olkin and Bartlett suitability tests, parallel analysis, oblique Promax rotation, diagonally weighted least-squares CFA estimation, modification-index inspection with three correlated residual pairs, and 1,000-bootstrap confidence intervals; (2) add the reported qualification that FT1 and FT8 had PCA communalities below 0.5, that FT1 and FT2 had the lowest CFA loadings, and that the authors considered FT1 and FT2 to fit the model poorly but retained the two-factor structure because overall fit was good; (3) represent scale-level floor and ceiling as two distinct 0% aggregate values instead of one value that ambiguously supports both outcomes; (4) record a SourceConflict for the baseline mean denominator: the distributional-results text concerns 300 baseline participants, while Table 6 presents the same baseline mean in a combined paired-sample row labeled n=298; do not silently select one denominator; and (5) revise limitation l2 to remove the added claim that the setting may limit generalizability. The authors explicitly state that the insured public-hospital setting may explain the absence of worst possible scores, but they do not explicitly label this as a generalizability limitation.	
A016	V2-P023	MINOR	Full article, “What Do We Mean by Uncertainty?”, paragraphs beginning “The term ‘uncertainty’,” “‘Variability’ denotes,” “‘Heterogeneity’ is usefully defined,” “‘Statistical uncertainty’ arises,” and “Uncertainty may also be caused by ‘methodological variation’”	Expand Concept c1, or add four linked Concept records, to preserve the central definitions: variability is intrinsic variation between individual cases; heterogeneity is variation in distributional properties between subgroups; statistical uncertainty results from sample-to-population inference and concerns bias and precision; and methodological variation results from choices in elicitation, administration, data collection, and analysis. Keep the disposition, publication form, Study unit, primary family, and other items unchanged.	
A017	V2-P024	MAJOR	Full article, Abstract, Results | Full article, Results, Summary of concerns, paragraphs 1–3 | Full article, Results, Swing-weighting, final paragraph | Extraction record, Finding f2 | Extraction record, SourceConflict sc1	Correct Finding f2 to state that major concerns occurred in four tasks: ranking, swing-weighting, levels-rating, and anchoring dead. Only the pairwise choice task had no major concerns. Link f2 to TaskDesign td2. Add the conflicting swing-weighting aggregates without resolving them: 30% of interviews in the Abstract and 7 of 27 participants (26%) in the detailed Swing-weighting results. Keep SourceConflict sc1 because it correctly records this source discrepancy.	
A018	V2-P025	MINOR	Full article, Results, paragraph 1: “a total of 16 members of the EuroQol Research Foundation responded to the survey.” | Full article, Results, paragraph 2: “7 by more than 100 % of participants.” | Full article, Methods > CREATE Development, paragraph 3: items rated “required” by more than 50% of participants entered final deliberation. | Full article, Methods > CREATE Development, paragraphs 2–3: only the first expert-panel assessment is stated to have occurred by email; the channel for the second round is not reported. | Full article, Results, paragraph 1 and Acknowledgments: the two reminders and Kathy Gaebel’s survey-management role are process details, not respondent assistance. | Full article, Methods > CREATE Development, paragraphs 2–3: finalization after round two and the survey majority rule are process and item-selection rules, not task stopping rules.	Add a SourceConflict for the impossible statement that seven items were rated “required” by more than 100% of participants. Preserve the statement exactly, cite Results paragraph 2, and link the conflict to part3 and the survey analysis. State that the percentage exceeds the possible maximum for the 16 respondents. Do not infer that the authors meant 100% or another threshold. In ad1, limit the email channel and independent assessment details to the first Delphi round; record the second-round channel as not reported. In ad2, clear the assistance field because reminders and survey management were not assistance given to respondents; the reminders can remain in sa3 or another process description. Clear the stopping_rule fields in td1 and td2. Keep the two-round finalization in td1 duration or order, and keep the greater-than-50% item-selection rule in mu4 and f3. No change is needed to inclusion, EuroQol support, publication form, Study unit, primary family, main methods, findings, or product.	
A019	V2-P026	MINOR	Full article, Methods > Pilot Phase, first paragraph | Full article, Abstract > Results | Full article, Results > Data Cleaning, first paragraph | Full article, Results > Participants’ Characteristics, Table 1 and table footnotes	Add a part1 Purpose with value METHOD_OR_PROTOCOL_QUALITY and rank 3 for the stated pilot aim to test EQ-VT feasibility, cultural appropriateness, and needed adaptations. Change sm1 from COMPLETED to ENROLLED because 1378 includes 75 incomplete interviews. Add a COMPLETED Sample of 1303 interviews for the Table 1 full sample, and link participant/interview flow samples sm1-sm5 to pop1. Add a SourceConflict that preserves the inconsistent flow statements: the Results say that 113 removals from 1378 left 1267, although the arithmetic gives 1265; the same paragraph reports 75 incomplete, 216 pilot, and 974 final interviews, while the abstract reports 188 exclusions, 216 pilot interviews, and 974 analyzed interviews. Do not silently reconcile the reported value 1267.	
A020	V2-P027	PASS	Deterministic metadata — publication.title, publication.article_type, categories[heading], and DOI | Full article — title; correction paragraphs 1–3; Reference 1		
