person_id,name,paper_count,project_count,euroqol_member,project_leader,orcid,openalex_id,publication_ids
person:eqmember:17861,Gouke Bonsel,18,9,True,True,0000-0002-8364-1086,A5047977076,doi:10.1007/s11136-019-02156-2;doi:10.1007/s11136-019-02256-z;doi:10.1007/s11136-020-02496-4;doi:10.1007/s11136-024-03754-5;doi:10.1007/s40273-018-0623-8;doi:10.1007/s40273-022-01172-4;doi:10.1016/j.burns.2020.08.015;doi:10.1016/j.jval.2019.06.008;doi:10.1186/s12955-019-1139-4;doi:10.1186/s12955-020-01394-0;doi:10.1186/s12955-020-01404-1;doi:10.1186/s12955-021-01771-3;doi:10.1186/s12955-021-01889-4;doi:10.1186/s41687-021-00406-x;doi:10.1213/ane.0000000000007107;doi:10.3389/fepid.2023.1144162;doi:10.3389/fpubh.2021.744405;doi:10.3390/nu16162591
person:eqmember:17895,Juanita Haagsma,17,17,True,True,0000-0002-2055-548x,A5060133399,doi:10.1007/s11136-019-02156-2;doi:10.1007/s11136-019-02256-z;doi:10.1007/s11136-020-02496-4;doi:10.1007/s11136-021-03069-9;doi:10.1007/s11136-024-03754-5;doi:10.1007/s11136-026-04285-x;doi:10.1016/j.burns.2020.08.015;doi:10.1136/bmjopen-2023-080985;doi:10.1186/s12955-019-1139-4;doi:10.1186/s12955-020-01394-0;doi:10.1186/s12955-020-01404-1;doi:10.1186/s12955-021-01771-3;doi:10.1186/s41687-021-00406-x;doi:10.3389/fepid.2023.1144162;doi:10.3389/fpubh.2021.744405;doi:10.3389/ijph.2026.1608807;doi:10.3390/nu16162591
person:eqmember:17893,Juan M. Ramos-Goñi,16,9,True,True,0000-0002-9568-5190,A5047957689,doi:10.1007/s10198-020-01205-9;doi:10.1007/s11136-025-03983-2;doi:10.1007/s11136-025-04074-y;doi:10.1007/s40271-022-00573-z;doi:10.1007/s40273-016-0404-1;doi:10.1007/s40273-017-0538-9;doi:10.1007/s40273-019-00876-4;doi:10.1016/j.jval.2014.11.005;doi:10.1016/j.jval.2018.05.002;doi:10.1016/j.jval.2021.03.019;doi:10.1016/j.jval.2021.10.013;doi:10.1016/j.jval.2025.01.020;doi:10.1016/j.jval.2025.07.016;doi:10.1177/0272989x21999607;doi:10.1371/journal.pone.0209344;doi:10.3390/ijerph19138208
person:leader:50cca9cff5d9,Kim Dalziel,16,4,False,True,0000-0003-4972-8871,A5078953009,doi:10.1007/s10198-025-01804-4;doi:10.1007/s11136-025-03990-3;doi:10.1007/s11136-025-03996-x;doi:10.1007/s11136-025-04150-3;doi:10.1007/s11136-026-04246-4;doi:10.1007/s40273-023-01330-2;doi:10.1007/s40273-024-01354-2;doi:10.1007/s40273-024-01355-1;doi:10.1007/s40273-024-01379-7;doi:10.1007/s40273-024-01382-y;doi:10.1007/s40273-025-01493-0;doi:10.1016/j.jval.2025.04.2161;doi:10.1016/j.jval.2025.05.013;doi:10.1136/archdischild-2025-329475;doi:10.3390/children10101604;doi:10.3390/children8080714
person:eqmember:19813,Benjamin Matthew Craig,15,15,True,True,0000-0003-1121-1316,A5029949490,doi:10.1007/s10614-024-10637-x;doi:10.1007/s11136-014-0897-z;doi:10.1007/s11136-025-04053-3;doi:10.1007/s11136-026-04242-8;doi:10.1007/s40271-024-00708-4;doi:10.1007/s40273-024-01444-1;doi:10.1016/j.jval.2014.11.005;doi:10.1016/j.jval.2020.05.004;doi:10.1097/mlr.0000000000002200;doi:10.1136/bmjopen-2023-077256;doi:10.1136/bmjopen-2024-091097;doi:10.1136/bmjopen-2025-100897;doi:10.1186/s12955-022-01989-9;doi:10.1186/s12955-024-02271-w;doi:10.3390/econometrics11010004
person:eqmember:17837,Elly Stolk,15,11,True,True,0000-0001-5968-0416,A5033903811,doi:10.1007/s10198-021-01412-y;doi:10.1007/s10198-023-01647-x;doi:10.1007/s11136-025-03930-1;doi:10.1007/s40273-018-0694-6;doi:10.1007/s40273-022-01208-9;doi:10.1007/s40273-022-01210-1;doi:10.1007/s40273-025-01476-1;doi:10.1016/j.jval.2018.05.002;doi:10.1016/j.jval.2019.06.008;doi:10.1016/j.jval.2020.05.004;doi:10.1016/j.vhri.2025.101121;doi:10.1177/0272989x211001859;doi:10.1186/s12955-021-01889-4;doi:10.1186/s12955-022-01996-w;doi:10.3389/fpsyg.2023.1175402
person:eqmember:17819,Clara Mukuria,14,6,True,True,0000-0003-4318-1481,A5043083823,doi:10.1007/s10198-021-01306-z;doi:10.1007/s10198-021-01412-y;doi:10.1007/s10198-025-01769-4;doi:10.1007/s11136-020-02718-9;doi:10.1007/s11136-025-03925-y;doi:10.1007/s11136-025-03989-w;doi:10.1016/j.jval.2024.03.002;doi:10.1016/j.jval.2024.05.007;doi:10.1016/j.jval.2024.12.003;doi:10.1177/0272989x20969686;doi:10.1186/s12955-024-02303-5;doi:10.1186/s12955-026-02578-w;doi:10.1186/s12955-026-02581-1;doi:10.12688/wellcomeopenres.21408.2
person:eqmember:17930,Michael Herdman,14,2,True,True,0000-0002-8189-5357,A5006750775,doi:10.1002/ppul.71031;doi:10.1007/s10198-021-01309-w;doi:10.1007/s10198-024-01669-z;doi:10.1007/s10198-024-01710-1;doi:10.1007/s11136-019-02115-x;doi:10.1007/s11136-025-04150-3;doi:10.1007/s40273-025-01473-4;doi:10.1007/s40273-025-01550-8;doi:10.1016/j.jval.2018.05.002;doi:10.1186/s12955-024-02290-7;doi:10.1186/s12955-026-02581-1;doi:10.1186/s13643-025-03060-2;doi:10.22541/au.169215780.00019852/v1;doi:10.3961/jpmph.22.151
person:eqmember:17976,Rosalie Viney,14,3,True,True,0000-0002-0039-9635,A5076742980,doi:10.1007/s11136-024-03817-7;doi:10.1007/s11136-025-03983-2;doi:10.1007/s11136-025-04074-y;doi:10.1007/s11136-026-04315-8;doi:10.1007/s40271-023-00647-6;doi:10.1007/s40271-024-00715-5;doi:10.1007/s40271-025-00729-7;doi:10.1007/s40271-025-00735-9;doi:10.1007/s40271-025-00787-x;doi:10.1007/s40273-015-0292-9;doi:10.1007/s40273-021-01109-3;doi:10.1016/j.vhri.2024.101045;doi:10.1017/s0266462326103602;doi:10.1371/journal.pone.0302886
person:eqmember:17988,Simon Pickard,14,10,True,True,0000-0001-5645-7091,A5058888906,doi:10.1007/s11136-014-0897-z;doi:10.1007/s11136-020-02712-1;doi:10.1007/s11136-021-02922-1;doi:10.1007/s11136-025-04003-z;doi:10.1007/s40273-015-0292-9;doi:10.1007/s40273-022-01222-x;doi:10.1016/j.jval.2019.02.006;doi:10.1016/j.jval.2020.03.019;doi:10.1016/j.jval.2024.03.002;doi:10.1016/j.jval.2025.01.020;doi:10.1016/j.ssmqr.2024.100398;doi:10.1186/s12955-022-02031-8;doi:10.1371/journal.pone.0209344;doi:10.21203/rs.3.rs-2423517/v1
person:eqmember:17877,Janine Verstraete,12,13,True,True,0000-0002-1148-4747,A5006452129,doi:10.1007/s10198-025-01770-x;doi:10.1007/s10198-025-01804-4;doi:10.1007/s11136-025-04150-3;doi:10.1007/s40273-025-01550-8;doi:10.1016/j.jval.2021.12.014;doi:10.1136/bmjopen-2025-100897;doi:10.1186/s12955-020-01410-3;doi:10.1186/s41687-023-00560-4;doi:10.1186/s41687-025-00985-z;doi:10.3390/children8100920;doi:10.36469/001c.145813;doi:10.4314/ahs.v23i4.63
person:orcid:0000-0002-5332-5226,Renee Jones,12,0,False,False,0000-0002-5332-5226,A5066738880,doi:10.1007/s11136-025-03990-3;doi:10.1007/s11136-025-03996-x;doi:10.1007/s11136-026-04246-4;doi:10.1007/s40273-023-01330-2;doi:10.1007/s40273-024-01354-2;doi:10.1007/s40273-024-01355-1;doi:10.1007/s40273-024-01379-7;doi:10.1007/s40273-024-01382-y;doi:10.1016/j.jval.2025.04.2161;doi:10.1136/archdischild-2025-329475;doi:10.3390/children10101604;doi:10.3390/children8080714
person:orcid:0000-0002-4331-3141,Suzanne Polinder,12,0,False,False,0000-0002-4331-3141,A5068551112,doi:10.1007/s11136-019-02156-2;doi:10.1007/s11136-019-02256-z;doi:10.1007/s11136-020-02496-4;doi:10.1007/s11136-021-03069-9;doi:10.1016/j.burns.2020.08.015;doi:10.1186/s12955-019-1139-4;doi:10.1186/s12955-020-01394-0;doi:10.1186/s12955-020-01404-1;doi:10.1186/s12955-021-01771-3;doi:10.1186/s41687-021-00406-x;doi:10.3389/fpubh.2021.744405;doi:10.3390/nu16162591
person:eqmember:18010,Wolfgang Greiner,12,12,True,True,0000-0001-9552-6969,A5001823062,doi:10.1007/s11136-019-02115-x;doi:10.1007/s11136-021-03007-9;doi:10.1007/s40273-018-0615-8;doi:10.1007/s40273-022-01143-9;doi:10.1016/j.jval.2018.05.002;doi:10.1016/j.jval.2021.03.019;doi:10.1016/j.jval.2021.10.013;doi:10.1186/s12955-017-0617-9;doi:10.1186/s12955-021-01719-7;doi:10.1186/s13561-022-00374-y;doi:10.12688/wellcomeopenres.21408.2;doi:10.1371/journal.pone.0290606
person:eqmember:19003,Aureliano Finch,11,4,True,True,0000-0003-1438-321x,A5055927783,doi:10.1007/s10198-025-01770-x;doi:10.1007/s40258-022-00772-7;doi:10.1007/s40273-021-01002-z;doi:10.1007/s40273-021-01100-y;doi:10.1007/s40273-022-01208-9;doi:10.1007/s40273-024-01404-9;doi:10.1007/s41669-024-00486-7;doi:10.1016/j.jval.2024.03.002;doi:10.1016/j.jval.2025.05.015;doi:10.1016/j.socscimed.2021.114519;doi:10.1177/0272989x20969686
person:eqmember:17897,Kim Rand,11,14,True,True,0000-0001-7692-4099,A5041551368,doi:10.1007/s10198-023-01647-x;doi:10.1007/s10198-025-01812-4;doi:10.1007/s11136-014-0897-z;doi:10.1007/s11136-022-03143-w;doi:10.1007/s40273-016-0404-1;doi:10.1007/s40273-025-01519-7;doi:10.1016/j.jval.2014.11.005;doi:10.1016/j.jval.2024.06.018;doi:10.1017/s0266462326103602;doi:10.1186/s12955-022-02031-8;doi:10.1186/s41687-020-00247-0
person:eqmember:17920,Marcel Jonker,10,18,True,True,0000-0001-8433-1402,A5063358434,doi:10.1007/s10198-025-01892-2;doi:10.1007/s11136-024-03770-5;doi:10.1007/s40273-018-0694-6;doi:10.1007/s40273-025-01476-1;doi:10.1016/j.jocm.2024.100494;doi:10.1016/j.jval.2024.05.016;doi:10.1177/0272989x251325828;doi:10.1186/s12955-024-02266-7;doi:10.1186/s12955-024-02323-1;doi:10.3389/fpsyg.2023.1175402
person:eqmember:17974,Richard Norman,10,6,True,True,0000-0002-3112-3893,A5101841802,doi:10.1007/s11136-020-02712-1;doi:10.1007/s11136-026-04230-y;doi:10.1007/s40271-025-00735-9;doi:10.1007/s40273-021-01109-3;doi:10.1007/s40273-025-01476-1;doi:10.1007/s40273-025-01493-0;doi:10.1016/j.jval.2025.07.016;doi:10.1016/j.vhri.2024.101045;doi:10.1371/journal.pone.0302886;doi:10.1371/journal.pone.0319227
person:eqmember:17835,Eleanor Pullenayegum,9,6,True,True,0000-0003-4265-1330,A5029465719,doi:10.1007/s11136-024-03618-y;doi:10.1016/j.jval.2024.05.016;doi:10.1016/j.jval.2025.02.001;doi:10.1136/bmjopen-2024-097598;doi:10.1177/0272989x251325828;doi:10.1186/s12955-024-02266-7;doi:10.1186/s12955-024-02323-1;doi:10.3390/curroncol32060308;doi:10.3390/curroncol32110645
person:eqmember:17901,Koonal Shah,9,8,True,True,0000-0002-4927-7858,A5083575745,doi:10.1007/s10198-018-0993-z;doi:10.1007/s10198-020-01205-9;doi:10.1007/s11136-025-03989-w;doi:10.1007/s40273-016-0404-1;doi:10.1007/s40273-025-01545-5;doi:10.1016/j.jval.2018.05.002;doi:10.1177/0272989x21999607;doi:10.12688/wellcomeopenres.21408.2;doi:10.1371/journal.pone.0302886
person:eqmember:17911,Lidia Engel,9,6,True,True,0000-0002-7959-3149,A5039737173,doi:10.1007/s11136-023-03372-7;doi:10.1007/s40271-023-00647-6;doi:10.1007/s40271-024-00715-5;doi:10.1007/s40271-025-00729-7;doi:10.1007/s40271-025-00787-x;doi:10.1007/s40273-025-01509-9;doi:10.1016/j.jval.2025.04.2160;doi:10.1016/j.jval.2025.04.2168;doi:10.1186/s12955-026-02478-z
person:eqmember:17924,Mark Oppe,9,5,True,True,0000-0003-4286-8855,A5023709885,doi:10.1007/s40271-022-00573-z;doi:10.1007/s40271-025-00735-9;doi:10.1007/s40273-016-0404-1;doi:10.1007/s40273-018-0694-6;doi:10.1007/s40273-019-00876-4;doi:10.1016/j.jval.2014.11.005;doi:10.1016/j.jval.2018.05.002;doi:10.1016/j.jval.2019.06.008;doi:10.1016/j.jval.2021.10.013
person:eqmember:17992,Stefan Lipman,9,11,True,True,0000-0002-8784-9650,A5078862538,doi:10.1002/hec.4529;doi:10.1007/s10198-021-01377-y;doi:10.1007/s10198-023-01612-8;doi:10.1007/s10198-023-01668-6;doi:10.1007/s10198-025-01812-4;doi:10.1007/s10198-025-01823-1;doi:10.1007/s10198-025-01857-5;doi:10.1007/s40271-020-00490-z;doi:10.1016/j.jval.2021.12.014
person:eqmember:17839,Erica Lubetkin,8,0,True,False,0000-0001-9962-7775,A5037314317,doi:10.1007/s11136-024-03754-5;doi:10.1007/s11136-025-03983-2;doi:10.1007/s11136-025-04074-y;doi:10.1007/s11136-026-04285-x;doi:10.1186/s12955-025-02421-8;doi:10.3389/fepid.2023.1144162;doi:10.3389/fpubh.2021.744405;doi:10.3390/nu16162591
person:eqmember:17847,Fatima Al Sayah,8,13,True,True,0000-0003-3891-5452,A5026033494,doi:10.1007/s11136-025-03983-2;doi:10.1007/s11136-025-04074-y;doi:10.1007/s40271-022-00572-0;doi:10.1016/j.jval.2024.11.006;doi:10.1016/j.jval.2025.01.003;doi:10.1097/mlr.0000000000002315;doi:10.1186/s12955-023-02207-w;doi:10.1186/s41687-025-00985-z
person:eqmember:17851,Feng Xie,8,22,True,True,0000-0003-3454-6266,A5102994482,doi:10.1007/s11136-024-03618-y;doi:10.1007/s12311-023-01597-3;doi:10.1007/s40273-015-0292-9;doi:10.1016/j.jval.2025.02.001;doi:10.1016/j.jval.2025.07.016;doi:10.1136/bmjopen-2024-097598;doi:10.1186/s12955-026-02478-z;doi:10.5492/wjccm.v11.i4.236
person:orcid:0000-0003-3017-2770,Harriet Hiscock,8,0,False,False,0000-0003-3017-2770,A5065534878,doi:10.1007/s11136-025-03990-3;doi:10.1007/s11136-025-03996-x;doi:10.1007/s11136-026-04246-4;doi:10.1007/s40273-023-01330-2;doi:10.1007/s40273-024-01354-2;doi:10.1136/archdischild-2025-329475;doi:10.3390/children10101604;doi:10.3390/children8080714
person:orcid:0000-0001-9571-576x,Inge Spronk,8,0,False,False,0000-0001-9571-576x,A5048316196,doi:10.1007/s11136-019-02256-z;doi:10.1007/s11136-021-03069-9;doi:10.1016/j.burns.2020.08.015;doi:10.1186/s12955-020-01394-0;doi:10.1186/s12955-020-01404-1;doi:10.1186/s12955-021-01771-3;doi:10.1186/s41687-021-00406-x;doi:10.3389/fpubh.2021.744405
person:eqmember:17879,Jeffrey Johnson,8,13,True,True,0000-0001-8290-2857,A5067514299,doi:10.1002/hsr2.70308;doi:10.1007/s11136-025-03983-2;doi:10.1007/s11136-025-04074-y;doi:10.1016/j.jval.2024.11.006;doi:10.1016/j.pecinn.2025.100421;doi:10.1186/s12891-024-07304-5;doi:10.1186/s12955-023-02207-w;doi:10.5492/wjccm.v11.i4.236
person:leader:fbb9eb69f451,Titi Fitriana,8,3,False,True,0000-0001-5062-6886,A5049547434,doi:10.1007/s11136-016-1445-9;doi:10.1007/s40273-017-0538-9;doi:10.1007/s40273-022-01210-1;doi:10.1016/j.vhri.2025.101121;doi:10.1186/s12889-018-5706-0;doi:10.1186/s12955-021-01889-4;doi:10.1186/s12955-022-01996-w;doi:10.1371/journal.pone.0197098
person:leader:fa3dd095d626,pei wang,8,4,False,True,0000-0003-3661-3944,A5100462659,doi:10.1002/ppul.71031;doi:10.1007/s10198-021-01309-w;doi:10.1007/s10198-024-01669-z;doi:10.1007/s11136-025-03917-y;doi:10.1007/s40273-022-01216-9;doi:10.1016/j.jval.2023.03.003;doi:10.22541/au.169215780.00019852/v1;doi:10.3389/fpsyg.2023.1175402
person:eqmember:21677,Cate Bailey,7,9,True,True,0000-0001-5030-430x,A5020867003,doi:10.1007/s40271-024-00715-5;doi:10.1007/s40271-025-00749-3;doi:10.1016/j.jval.2025.04.2168;doi:10.1016/j.jval.2025.05.013;doi:10.1186/s12955-026-02579-9;doi:10.1371/journal.pone.0302886;doi:10.1371/journal.pone.0319227
person:eqmember:17831,Dominik Golicki,7,10,True,True,0000-0001-7741-4760,A5035126117,doi:10.1007/s11136-025-03983-2;doi:10.1007/s11136-025-04077-9;doi:10.1007/s40273-019-00811-7;doi:10.1007/s40273-022-01172-4;doi:10.1016/j.jval.2020.03.019;doi:10.1016/j.jval.2022.05.013;doi:10.1017/s0266462326103602
person:eqmember:17867,Henry Bailey,7,6,True,True,0000-0002-4479-9948,A5090969739,doi:10.1007/s11136-025-03983-2;doi:10.1007/s40258-025-00954-z;doi:10.1016/j.jval.2024.05.016;doi:10.1038/s41433-023-02860-x;doi:10.1177/0272989x251325828;doi:10.1186/s12955-024-02266-7;doi:10.1186/s12955-024-02323-1
