source,target,coauthored_paper_count,layout_distance,publication_ids,dois
person:eqmember:17807,person:eqmember:17976,10,0.316228,doi:10.1007/s11136-024-03817-7;doi:10.1007/s11136-025-03983-2;doi:10.1007/s11136-026-04315-8;doi:10.1007/s40271-023-00647-6;doi:10.1007/s40271-024-00715-5;doi:10.1007/s40271-025-00729-7;doi:10.1007/s40271-025-00735-9;doi:10.1007/s40271-025-00787-x;doi:10.1007/s40273-021-01109-3;doi:10.1016/j.vhri.2024.101045,10.1007/s11136-024-03817-7;10.1007/s11136-025-03983-2;10.1007/s11136-026-04315-8;10.1007/s40271-023-00647-6;10.1007/s40271-024-00715-5;10.1007/s40271-025-00729-7;10.1007/s40271-025-00735-9;10.1007/s40271-025-00787-x;10.1007/s40273-021-01109-3;10.1016/j.vhri.2024.101045
person:eqmember:17895,person:eqmember:19005,10,0.316228,doi:10.1007/s11136-019-02156-2;doi:10.1007/s11136-020-02496-4;doi:10.1007/s11136-024-03754-5;doi:10.1016/j.burns.2020.08.015;doi:10.1186/s12955-020-01394-0;doi:10.1186/s12955-021-01771-3;doi:10.1186/s41687-021-00406-x;doi:10.3389/fepid.2023.1144162;doi:10.3389/fpubh.2021.744405;doi:10.3390/nu16162591,10.1007/s11136-019-02156-2;10.1007/s11136-020-02496-4;10.1007/s11136-024-03754-5;10.1016/j.burns.2020.08.015;10.1186/s12955-020-01394-0;10.1186/s12955-021-01771-3;10.1186/s41687-021-00406-x;10.3389/fepid.2023.1144162;10.3389/fpubh.2021.744405;10.3390/nu16162591
person:eqmember:17946,person:eqmember:17998,10,0.316228,doi:10.1007/s10198-021-01306-z;doi:10.1007/s11136-025-03989-w;doi:10.1007/s40271-023-00647-6;doi:10.1007/s40271-024-00715-5;doi:10.1007/s40271-025-00729-7;doi:10.1007/s40271-025-00787-x;doi:10.1007/s40273-025-01493-0;doi:10.12688/wellcomeopenres.21408.2;doi:10.1371/journal.pone.0302886;doi:10.1371/journal.pone.0319227,10.1007/s10198-021-01306-z;10.1007/s11136-025-03989-w;10.1007/s40271-023-00647-6;10.1007/s40271-024-00715-5;10.1007/s40271-025-00729-7;10.1007/s40271-025-00787-x;10.1007/s40273-025-01493-0;10.12688/wellcomeopenres.21408.2;10.1371/journal.pone.0302886;10.1371/journal.pone.0319227
person:eqmember:17855,person:eqmember:17875,9,0.333333,doi:10.1007/s11136-016-1445-9;doi:10.1007/s11136-021-03075-x;doi:10.1007/s40273-017-0538-9;doi:10.1007/s40273-022-01210-1;doi:10.1016/j.vhri.2025.101121;doi:10.1186/s12889-018-5706-0;doi:10.1186/s12955-021-01889-4;doi:10.1186/s12955-022-01996-w;doi:10.1371/journal.pone.0197098,10.1007/s11136-016-1445-9;10.1007/s11136-021-03075-x;10.1007/s40273-017-0538-9;10.1007/s40273-022-01210-1;10.1016/j.vhri.2025.101121;10.1186/s12889-018-5706-0;10.1186/s12955-021-01889-4;10.1186/s12955-022-01996-w;10.1371/journal.pone.0197098
person:eqmember:17875,person:eqmember:17944,9,0.333333,doi:10.1002/ppul.71031;doi:10.1007/s10198-023-01647-x;doi:10.1007/s10198-024-01669-z;doi:10.1007/s11136-021-03075-x;doi:10.1007/s11136-024-03669-1;doi:10.1007/s11136-025-04038-2;doi:10.1016/j.jval.2019.06.008;doi:10.1016/j.vhri.2025.101501;doi:10.22541/au.169215780.00019852/v1,10.1002/ppul.71031;10.1007/s10198-023-01647-x;10.1007/s10198-024-01669-z;10.1007/s11136-021-03075-x;10.1007/s11136-024-03669-1;10.1007/s11136-025-04038-2;10.1016/j.jval.2019.06.008;10.1016/j.vhri.2025.101501;10.22541/au.169215780.00019852/v1
person:eqmember:17807,person:leader:50cca9cff5d9,8,0.353553,doi:10.1007/s40273-023-01330-2;doi:10.1007/s40273-024-01354-2;doi:10.1007/s40273-024-01355-1;doi:10.1007/s40273-024-01379-7;doi:10.1007/s40273-024-01382-y;doi:10.1136/archdischild-2025-329475;doi:10.3390/children10101604;doi:10.3390/children8080714,10.1007/s40273-023-01330-2;10.1007/s40273-024-01354-2;10.1007/s40273-024-01355-1;10.1007/s40273-024-01379-7;10.1007/s40273-024-01382-y;10.1136/archdischild-2025-329475;10.3390/children10101604;10.3390/children8080714
person:eqmember:17807,person:orcid:0000-0002-5332-5226,8,0.353553,doi:10.1007/s40273-023-01330-2;doi:10.1007/s40273-024-01354-2;doi:10.1007/s40273-024-01355-1;doi:10.1007/s40273-024-01379-7;doi:10.1007/s40273-024-01382-y;doi:10.1136/archdischild-2025-329475;doi:10.3390/children10101604;doi:10.3390/children8080714,10.1007/s40273-023-01330-2;10.1007/s40273-024-01354-2;10.1007/s40273-024-01355-1;10.1007/s40273-024-01379-7;10.1007/s40273-024-01382-y;10.1136/archdischild-2025-329475;10.3390/children10101604;10.3390/children8080714
person:eqmember:17855,person:leader:fbb9eb69f451,8,0.353553,doi:10.1007/s11136-016-1445-9;doi:10.1007/s40273-017-0538-9;doi:10.1007/s40273-022-01210-1;doi:10.1016/j.vhri.2025.101121;doi:10.1186/s12889-018-5706-0;doi:10.1186/s12955-021-01889-4;doi:10.1186/s12955-022-01996-w;doi:10.1371/journal.pone.0197098,10.1007/s11136-016-1445-9;10.1007/s40273-017-0538-9;10.1007/s40273-022-01210-1;10.1016/j.vhri.2025.101121;10.1186/s12889-018-5706-0;10.1186/s12955-021-01889-4;10.1186/s12955-022-01996-w;10.1371/journal.pone.0197098
person:eqmember:17875,person:leader:fbb9eb69f451,8,0.353553,doi:10.1007/s11136-016-1445-9;doi:10.1007/s40273-017-0538-9;doi:10.1007/s40273-022-01210-1;doi:10.1016/j.vhri.2025.101121;doi:10.1186/s12889-018-5706-0;doi:10.1186/s12955-021-01889-4;doi:10.1186/s12955-022-01996-w;doi:10.1371/journal.pone.0197098,10.1007/s11136-016-1445-9;10.1007/s40273-017-0538-9;10.1007/s40273-022-01210-1;10.1016/j.vhri.2025.101121;10.1186/s12889-018-5706-0;10.1186/s12955-021-01889-4;10.1186/s12955-022-01996-w;10.1371/journal.pone.0197098
person:eqmember:17895,person:orcid:0000-0001-9571-576x,8,0.353553,doi:10.1007/s11136-019-02256-z;doi:10.1007/s11136-021-03069-9;doi:10.1016/j.burns.2020.08.015;doi:10.1186/s12955-020-01394-0;doi:10.1186/s12955-020-01404-1;doi:10.1186/s12955-021-01771-3;doi:10.1186/s41687-021-00406-x;doi:10.3389/fpubh.2021.744405,10.1007/s11136-019-02256-z;10.1007/s11136-021-03069-9;10.1016/j.burns.2020.08.015;10.1186/s12955-020-01394-0;10.1186/s12955-020-01404-1;10.1186/s12955-021-01771-3;10.1186/s41687-021-00406-x;10.3389/fpubh.2021.744405
person:eqmember:17901,person:eqmember:17946,8,0.353553,doi:10.1007/s10198-018-0993-z;doi:10.1007/s10198-020-01205-9;doi:10.1007/s11136-025-03989-w;doi:10.1007/s40273-025-01545-5;doi:10.1016/j.jval.2018.05.002;doi:10.1177/0272989x21999607;doi:10.12688/wellcomeopenres.21408.2;doi:10.1371/journal.pone.0302886,10.1007/s10198-018-0993-z;10.1007/s10198-020-01205-9;10.1007/s11136-025-03989-w;10.1007/s40273-025-01545-5;10.1016/j.jval.2018.05.002;10.1177/0272989x21999607;10.12688/wellcomeopenres.21408.2;10.1371/journal.pone.0302886
person:eqmember:19005,person:orcid:0000-0002-4331-3141,8,0.353553,doi:10.1007/s11136-019-02156-2;doi:10.1007/s11136-020-02496-4;doi:10.1016/j.burns.2020.08.015;doi:10.1186/s12955-020-01394-0;doi:10.1186/s12955-021-01771-3;doi:10.1186/s41687-021-00406-x;doi:10.3389/fpubh.2021.744405;doi:10.3390/nu16162591,10.1007/s11136-019-02156-2;10.1007/s11136-020-02496-4;10.1016/j.burns.2020.08.015;10.1186/s12955-020-01394-0;10.1186/s12955-021-01771-3;10.1186/s41687-021-00406-x;10.3389/fpubh.2021.744405;10.3390/nu16162591
person:leader:50cca9cff5d9,person:orcid:0000-0003-3017-2770,8,0.353553,doi:10.1007/s11136-025-03990-3;doi:10.1007/s11136-025-03996-x;doi:10.1007/s11136-026-04246-4;doi:10.1007/s40273-023-01330-2;doi:10.1007/s40273-024-01354-2;doi:10.1136/archdischild-2025-329475;doi:10.3390/children10101604;doi:10.3390/children8080714,10.1007/s11136-025-03990-3;10.1007/s11136-025-03996-x;10.1007/s11136-026-04246-4;10.1007/s40273-023-01330-2;10.1007/s40273-024-01354-2;10.1136/archdischild-2025-329475;10.3390/children10101604;10.3390/children8080714
person:orcid:0000-0001-9571-576x,person:orcid:0000-0002-4331-3141,8,0.353553,doi:10.1007/s11136-019-02256-z;doi:10.1007/s11136-021-03069-9;doi:10.1016/j.burns.2020.08.015;doi:10.1186/s12955-020-01394-0;doi:10.1186/s12955-020-01404-1;doi:10.1186/s12955-021-01771-3;doi:10.1186/s41687-021-00406-x;doi:10.3389/fpubh.2021.744405,10.1007/s11136-019-02256-z;10.1007/s11136-021-03069-9;10.1016/j.burns.2020.08.015;10.1186/s12955-020-01394-0;10.1186/s12955-020-01404-1;10.1186/s12955-021-01771-3;10.1186/s41687-021-00406-x;10.3389/fpubh.2021.744405
person:orcid:0000-0002-5332-5226,person:orcid:0000-0003-3017-2770,8,0.353553,doi:10.1007/s11136-025-03990-3;doi:10.1007/s11136-025-03996-x;doi:10.1007/s11136-026-04246-4;doi:10.1007/s40273-023-01330-2;doi:10.1007/s40273-024-01354-2;doi:10.1136/archdischild-2025-329475;doi:10.3390/children10101604;doi:10.3390/children8080714,10.1007/s11136-025-03990-3;10.1007/s11136-025-03996-x;10.1007/s11136-026-04246-4;10.1007/s40273-023-01330-2;10.1007/s40273-024-01354-2;10.1136/archdischild-2025-329475;10.3390/children10101604;10.3390/children8080714
person:eqmember:17819,person:eqmember:17998,7,0.377964,doi:10.1007/s10198-021-01306-z;doi:10.1007/s10198-025-01769-4;doi:10.1007/s11136-020-02718-9;doi:10.1007/s11136-025-03989-w;doi:10.1016/j.jval.2024.05.007;doi:10.1186/s12955-026-02578-w;doi:10.12688/wellcomeopenres.21408.2,10.1007/s10198-021-01306-z;10.1007/s10198-025-01769-4;10.1007/s11136-020-02718-9;10.1007/s11136-025-03989-w;10.1016/j.jval.2024.05.007;10.1186/s12955-026-02578-w;10.12688/wellcomeopenres.21408.2
person:eqmember:17861,person:orcid:0000-0001-9571-576x,7,0.377964,doi:10.1007/s11136-019-02256-z;doi:10.1016/j.burns.2020.08.015;doi:10.1186/s12955-020-01394-0;doi:10.1186/s12955-020-01404-1;doi:10.1186/s12955-021-01771-3;doi:10.1186/s41687-021-00406-x;doi:10.3389/fpubh.2021.744405,10.1007/s11136-019-02256-z;10.1016/j.burns.2020.08.015;10.1186/s12955-020-01394-0;10.1186/s12955-020-01404-1;10.1186/s12955-021-01771-3;10.1186/s41687-021-00406-x;10.3389/fpubh.2021.744405
person:eqmember:17946,person:eqmember:17976,7,0.377964,doi:10.1007/s40271-023-00647-6;doi:10.1007/s40271-024-00715-5;doi:10.1007/s40271-025-00729-7;doi:10.1007/s40271-025-00787-x;doi:10.1007/s40273-015-0292-9;doi:10.1007/s40273-021-01109-3;doi:10.1371/journal.pone.0302886,10.1007/s40271-023-00647-6;10.1007/s40271-024-00715-5;10.1007/s40271-025-00729-7;10.1007/s40271-025-00787-x;10.1007/s40273-015-0292-9;10.1007/s40273-021-01109-3;10.1371/journal.pone.0302886
person:eqmember:17946,person:eqmember:18002,7,0.377964,doi:10.1007/s10198-025-01804-4;doi:10.1007/s10198-025-01852-w;doi:10.1007/s40273-021-01109-3;doi:10.1007/s40273-025-01493-0;doi:10.1016/j.jval.2025.04.2161;doi:10.1016/j.jval.2025.07.016;doi:10.1371/journal.pone.0319227,10.1007/s10198-025-01804-4;10.1007/s10198-025-01852-w;10.1007/s40273-021-01109-3;10.1007/s40273-025-01493-0;10.1016/j.jval.2025.04.2161;10.1016/j.jval.2025.07.016;10.1371/journal.pone.0319227
person:eqmember:17946,person:orcid:0000-0003-3017-2770,7,0.377964,doi:10.1007/s11136-025-03990-3;doi:10.1007/s11136-025-03996-x;doi:10.1007/s40273-023-01330-2;doi:10.1007/s40273-024-01354-2;doi:10.1136/archdischild-2025-329475;doi:10.3390/children10101604;doi:10.3390/children8080714,10.1007/s11136-025-03990-3;10.1007/s11136-025-03996-x;10.1007/s40273-023-01330-2;10.1007/s40273-024-01354-2;10.1136/archdischild-2025-329475;10.3390/children10101604;10.3390/children8080714
person:eqmember:17998,person:eqmember:21677,7,0.377964,doi:10.1007/s40271-024-00715-5;doi:10.1007/s40271-025-00749-3;doi:10.1016/j.jval.2025.04.2168;doi:10.1016/j.jval.2025.05.013;doi:10.1186/s12955-026-02579-9;doi:10.1371/journal.pone.0302886;doi:10.1371/journal.pone.0319227,10.1007/s40271-024-00715-5;10.1007/s40271-025-00749-3;10.1016/j.jval.2025.04.2168;10.1016/j.jval.2025.05.013;10.1186/s12955-026-02579-9;10.1371/journal.pone.0302886;10.1371/journal.pone.0319227
person:eqmember:18019,person:leader:73598c4735dd,7,0.377964,doi:10.1002/ppul.71031;doi:10.1007/s10198-021-01309-w;doi:10.1007/s10198-024-01669-z;doi:10.1007/s10198-024-01710-1;doi:10.1007/s40273-025-01473-4;doi:10.1136/bmjopen-2025-102509;doi:10.22541/au.169215780.00019852/v1,10.1002/ppul.71031;10.1007/s10198-021-01309-w;10.1007/s10198-024-01669-z;10.1007/s10198-024-01710-1;10.1007/s40273-025-01473-4;10.1136/bmjopen-2025-102509;10.22541/au.169215780.00019852/v1
person:eqmember:18019,person:leader:fa3dd095d626,7,0.377964,doi:10.1002/ppul.71031;doi:10.1007/s10198-021-01309-w;doi:10.1007/s10198-024-01669-z;doi:10.1007/s11136-025-03917-y;doi:10.1007/s40273-022-01216-9;doi:10.1016/j.jval.2023.03.003;doi:10.22541/au.169215780.00019852/v1,10.1002/ppul.71031;10.1007/s10198-021-01309-w;10.1007/s10198-024-01669-z;10.1007/s11136-025-03917-y;10.1007/s40273-022-01216-9;10.1016/j.jval.2023.03.003;10.22541/au.169215780.00019852/v1
person:eqmember:19813,person:leader:6fe4e81455db,7,0.377964,doi:10.1007/s10614-024-10637-x;doi:10.1007/s40271-024-00708-4;doi:10.1007/s40273-024-01444-1;doi:10.1097/mlr.0000000000002200;doi:10.1136/bmjopen-2023-077256;doi:10.1186/s12955-024-02271-w;doi:10.3390/econometrics11010004,10.1007/s10614-024-10637-x;10.1007/s40271-024-00708-4;10.1007/s40273-024-01444-1;10.1097/mlr.0000000000002200;10.1136/bmjopen-2023-077256;10.1186/s12955-024-02271-w;10.3390/econometrics11010004
person:eqmember:17805,person:eqmember:17845,6,0.408248,doi:10.1007/s10198-025-01857-5;doi:10.1007/s11136-025-03930-1;doi:10.1007/s11136-025-04145-0;doi:10.1177/0272989x261446644;doi:10.1186/s12955-024-02266-7;doi:10.1186/s12955-024-02323-1,10.1007/s10198-025-01857-5;10.1007/s11136-025-03930-1;10.1007/s11136-025-04145-0;10.1177/0272989x261446644;10.1186/s12955-024-02266-7;10.1186/s12955-024-02323-1
person:eqmember:17805,person:eqmember:17920,6,0.408248,doi:10.1007/s10198-025-01892-2;doi:10.1007/s40273-025-01476-1;doi:10.1016/j.jval.2024.05.016;doi:10.1177/0272989x251325828;doi:10.1186/s12955-024-02266-7;doi:10.1186/s12955-024-02323-1,10.1007/s10198-025-01892-2;10.1007/s40273-025-01476-1;10.1016/j.jval.2024.05.016;10.1177/0272989x251325828;10.1186/s12955-024-02266-7;10.1186/s12955-024-02323-1
person:eqmember:17807,person:eqmember:17911,6,0.408248,doi:10.1007/s11136-023-03372-7;doi:10.1007/s40271-023-00647-6;doi:10.1007/s40271-024-00715-5;doi:10.1007/s40271-025-00729-7;doi:10.1007/s40271-025-00787-x;doi:10.1007/s40273-025-01509-9,10.1007/s11136-023-03372-7;10.1007/s40271-023-00647-6;10.1007/s40271-024-00715-5;10.1007/s40271-025-00729-7;10.1007/s40271-025-00787-x;10.1007/s40273-025-01509-9
person:eqmember:17807,person:eqmember:19032,6,0.408248,doi:10.1007/s11136-024-03817-7;doi:10.1007/s11136-026-04315-8;doi:10.1007/s40273-023-01330-2;doi:10.1007/s40273-024-01379-7;doi:10.1007/s40273-024-01382-y;doi:10.3390/children10101604,10.1007/s11136-024-03817-7;10.1007/s11136-026-04315-8;10.1007/s40273-023-01330-2;10.1007/s40273-024-01379-7;10.1007/s40273-024-01382-y;10.3390/children10101604
person:eqmember:17837,person:eqmember:17875,6,0.408248,doi:10.1007/s10198-023-01647-x;doi:10.1007/s40273-022-01210-1;doi:10.1016/j.jval.2019.06.008;doi:10.1016/j.vhri.2025.101121;doi:10.1186/s12955-021-01889-4;doi:10.1186/s12955-022-01996-w,10.1007/s10198-023-01647-x;10.1007/s40273-022-01210-1;10.1016/j.jval.2019.06.008;10.1016/j.vhri.2025.101121;10.1186/s12955-021-01889-4;10.1186/s12955-022-01996-w
person:eqmember:17839,person:eqmember:19005,6,0.408248,doi:10.1007/s11136-024-03754-5;doi:10.1007/s11136-025-03983-2;doi:10.1007/s11136-025-04074-y;doi:10.3389/fepid.2023.1144162;doi:10.3389/fpubh.2021.744405;doi:10.3390/nu16162591,10.1007/s11136-024-03754-5;10.1007/s11136-025-03983-2;10.1007/s11136-025-04074-y;10.3389/fepid.2023.1144162;10.3389/fpubh.2021.744405;10.3390/nu16162591
person:eqmember:17845,person:leader:606823d7ed51,6,0.408248,doi:10.1007/s10198-025-01857-5;doi:10.1007/s11136-025-03925-y;doi:10.1016/j.jval.2024.12.003;doi:10.1016/j.jval.2025.05.015;doi:10.1177/0272989x261446644;doi:10.1186/s12955-024-02303-5,10.1007/s10198-025-01857-5;10.1007/s11136-025-03925-y;10.1016/j.jval.2024.12.003;10.1016/j.jval.2025.05.015;10.1177/0272989x261446644;10.1186/s12955-024-02303-5
