name,raw_names,n_projects,project_ids
Deborah Street,Deborah Street,1,20190350
Des Scott,Desiree Scott,1,2248-TR
Dominik Golicki,Dominik Golicki,10,214-RA;337-RA;2015240;2479-RA;1575-VS;2100-EOI;2038-RA;339-RA;2016110;2015280
Donna Rowen,Donna Rowen,5,20190140;134-RA;222-RA;1524-VS;2201-RA
Edward Webb,Edward JD Webb; Edward Webb,2,289-RA;2316-RA
Edwine Barasa,Edwine Barasa,1,2233-VS
Eleanor Pullenayegum,Eleanor Pullenayegum,6,20190430;109-RA;2015140;2340-RA;20190270;2015130
Elena Olariu,Elena Olariu,1,20180030R1
Eliza Wong,Eliza Wong,1,20180750
Elizabeth Tompkins,Elizabeth Tompkins (known as Elizabeth Goodwin),1,1572-RA
Elly Stolk,Elly Stolk,11,1721-RA;2013300;2014060;2262-RA;2013090;2138-TR;2015430;2219-PCG;2016410;2644-EO;1761-EO
Elske van den Akker-van Marle,Elske van den Akker-van Marle; M. Elske van den Akker-van Marle,4,1447-RA;2408-RA;1792-SG;2420-BT
Emelie Heintz,Emelie Heintz,1,20180760
Emily McDool,Emily McDool,3,1455-RA;1665-RA;2097-RA
Emma Pleeging,Dr. Emma Pleeging,1,2186-RA
Eri Hoshino,Eri Hoshino,1,2085-VS
Erwin Birnie,Erwin Birnie,1,20200060
Esther de Bekker-Grob,Esther de Bekker-Grob,1,2095-EO
Eszter Szlávicz,Eszter Szlávicz,1,2400-RA
Fanni Rencz,Fanni Rencz,6,2000-RA;1800-RA;192-VS;119-RA;20170500;1700-RA
Fatima Al Sayah,Fatima Al Sayah,13,1696-RA;96-EO;1931-RA;2487-TVG;1984-RA;2116-EOI;20190050;1465-VS;2413-RA;1974-VS;102-RA;2490-EO;2560-RA
Federico Augustovski,Federico Augustovski,10,20170660;2013070;2015-RA;20180580;2016360;1605-RA;2012-RA;1891-RA;2119-RA;20170170
Felix Masiye,Felix Masiye,1,2238-VS
Feng Xie,FENG XIE; Feng Xie,22,2013050;345-PHD;2013180;20191110;20180310;2016540;342-RA;137-RA;1704-RA;2013230;2023-RA;2170-RA;2015120;2566-RA;2593-RA;2013270;20170100;1793-RA;2016060;2016080;1587-TVG;2016-RA
Fernando Argento,Fernando Argento,3,2169-RA;2436-RA;2171-RA
Frank De Charro,Frank De Charro,1,2013080
Fredrick Purba,"Fredrick Dermawan Purba; Fredrick Dermawan Purba, PhD; Fredrick Purba",16,20190440;442-RA;1914-RA;2466-RA;20190130;2177-RA;2203-RA;242-RA;20180140;2016420;2035-RA;20180430;2463-RA;1644-RA;1910-RA;2113-EOI
Gerard De Pouvourville,Gerard De Pouvourville,2,20190020;20170510
Gerkens Sophie,Gerkens Sophie,1,20170491
Girma Tekle Gebremariam,Girma  Tekle Gebremariam,1,343-RA
Gisela Cristiane Miyamoto,Gisela Cristiane Miyamoto,4,2308-VS;2468-RA;2482-EO;2410-RA
Goitom Molalign Takele,Goitom Molalign; Goitom Molalign Takele; goitom molalign,4,317-RA;449-RA;1735-RA;227-RA
Gordon Liu,Gordon Liu,1,2012010
Gouke Bonsel,Gouke Bonsel,9,2016670;2016160;2013150;512-RA;238-RA;2016750;645-RA;20170360;2014090
Guangjie Zhang,Guangjie Zhang,2,1758-EO;1985-EO
Hajer Falfel,Hajer Falfel,1,20190040
Hannah Hussain,Hannah Hussain,1,1967-RA
Hannah Penton,Hannah Penton,3,1494-RA;1493-RA;1453-RA
Haode Wang,Haode Wang,2,1963-RA;2107-TVG
Helen Harcombe,Helen Harcombe,1,2015160
Henry Bailey,Henry Bailey,6,20170390;1414-EO;357-RA;1767-RA;20180040R1;341-RA
Hesam Ghiasvand,Hesam Ghiasvand,1,2423-BT
Hilton Lam,Hilton Lam,1,20170230
Hoang Van Mi,Hoang Van Mi,1,20170220
Hsiang-Wen Lin,Hsiang-Wen Lin,1,2016440
Ilan Koppen,Ilan Koppen,1,1468-RA
Ilias Goranitis,Ilias Goranitis,1,454-RA
Ines Buchholz,Ines Buchholz,2,2016170;1785-RA
Irina Kinchin,Irina Kinchin,3,1676-RA;235-RA;1912-RA
Iwan van der Horst,Iwan van der Horst,1,1539-SG
Jahangir Khan,Jahangir Khan,2,1669-VS;2480-EO
Jan Abel Olsen,Jan Abel Olsen; Professor Jan Abel Olsen,3,1830-RA;1973-TVG;2295-RA
Jan Busschbach,Jan Busschbach,5,2016421;20170160;2015230;2016040;2013240
Jan Faller,Jan Faller,2,2197-EO;1851-TVG
Jan Heijdra Suasnabar,Jan Heijdra Suasnabar,2,2265-EO;2301-RA
Jan Henrik Terheyden,"Terheyden, Jan Henrik",1,2357-BT
Jan Verhaar,Jan Verhaar,1,200-RA
Janine van Til,Janine van Til,1,285-PHD
Janine Verstraete,Janine Verstraete,13,20190670;147-RA;142-RA;1928-RA;20180730;426-RA;20190200;365-RA;1681-RA;1859-TVG;2226-TR;2633-TVG;425-RA
Jarinne Woudstra-de Jong,Jarinne Woudstra-de Jong,2,2326-RA;2289-BT
Jeffrey Johnson,Jeff Johnson; Jeffrey A Johnson; Jeffrey A. Johnson; Jeffrey Johnson,13,20180170R1;2553-RA;445-RA;216-RA;367-RA;1871-RA;1989-SG;20170610;2016520;2016500;20190690;20190810;2257-RA
Jennifer Jelsma,Jennifer Jelsma,11,20190030;1713-RA;20191210;2016120;20170250;20170540;20190500;2013110;20170650;2016180;2014200
Jenny Downs,Jenny Downs,1,429-RA
Jeremy Dietz,Jeremy Dietz,1,1879-EO
Jermaine Dambi,Jermaine Dambi,1,212-RA
Jeshika Singh,Jeshika Singh,1,2015390
Jessica Roydhouse,Jessica Roydhouse,2,1557-RA;2134-RA
Jia Jia Lee,Jia Jia Lee,4,2179-RA;1971-EO;2125-RA;2299-EO
Jiabi Wen,Jiabi Wen,1,2288-EO
Jill Carlton,Jill Carlton,2,1988-RA;2148-RA
Jiyoung Park,Jiyoung Park,1,2450-RA
John Brazier,John Brazier,3,2016660;2016710;2014080
John Hartman,John Hartman,3,20180560;2016690;2016680
John Yfantopoulos,John (Yannis) Yfantopoulos,1,1710-VS
Jonathan Nazari,Jonathan Nazari,3,2414-RA;2264-EO;2583-EO
Jose Luis Pinto-Prades,Jose Luis Pinto-Prades,1,2015210
Josephine Walker,Josephine Walker,1,1732-VS
Joshua Bonsel,Joshua Bonsel,3,145-RA;1483-TVG;287-PHD
Juan M. Ramos-Goñi,Juan M. Ramos-Goñi; Juan Manuel Ramos-Goñi,9,20170310R2;2016610;450-RA;2016510;74-RA;2014210;2588-TR;2016430;2013320
Juan Pedro Alonso,Juan Pedro Alonso,1,2592-RA
Juanita Haagsma,Juanita Haagsma,17,20180380;315-RA;420-RA;460-RA;151-RA;243-RA;77-RA;1498-PHD;20180330;20180630;141-RA;2426-PHD;20190120;2456-BT;1604-RA;1954-RA;2159-RA
Judith Bosmans,Judith Bosmans,1,71-RA
Julia Fox-Rushby,Professor Julia Fox-Rushby,1,2109-RA
Julie Ratcliffe,Julie Ratcliffe,1,194-RA
Juntana Pattanaphesaj,Juntana Pattanaphesaj,1,2013030
Katie Page,Katie Page,1,20180301
Katie Spencer,Katie Spencer,1,20180670
Katy Gallop,Katy Gallop,4,1884-RA;2014-RA;2011-RA;2432-BT
Kelly de Ligt,Kelly de Ligt,1,2317-RA
Kidu Gidey,Kidu Gidey,1,1627-RA
Kim Dalziel,Kim Dalziel,4,361-RA;2017-RA;330-PHD;111-RA
Kim Rand,Kim Rand,14,1854-EO;2015070;2014070;1507-VS;309-RA;2015250;20190580;20191190;209-RA;2015270;2471-RA;2540-EO;2015260;2626-RA
Klas Goran Sahlen,Klas Goran Sahlen,1,20180770
KM Vermeulen,KM Vermeulen,1,2016700
Knut Stavem,Knut Stavem,1,1816-RA
Kompal Sinha,Kompal Sinha,1,430-RA
Koonal Shah,Koonal Shah,8,2016370;20190490;20190660;2016150;2015050;117-RA;82-RA;2015440
Kristina Burström,Kristina Burström,1,2016480
Kristina Ludwig,Kristina Ludwig,1,1762-RA
Lan Gao,Lan Gao,4,198-RA;2141-RA;1771-RA;2363-BT
Lars Ehlers,Lars Ehlers,1,20170401
Lidia Engel,Lidia Engel,6,150-RA;2008-RA;2173-RA;20190960;2453-RA;1481-PHD
Lina Maria Serna Higuita,Lina Maria Serna Higuita,1,2338-RA
Ling Jie Cheng,Ling Jie Cheng,8,2329-RA;2078-RA;1961-EO;2267-EO;2246-EO;2531-EO;2605-RA;1663-TVG
Ling-Hsiang Chuang,Ling-Hsiang Chuang,3,241-RA;2407-BT;1482-RA
Louise Longworth,Louise Longworth,4,2013190;20200020;2016300;2115-EOI
Lucila Rey Ares,Lucila Rey Ares,2,2016340;2015340
Lucky Ngwira,Lucky Gift Ngwira; Lucky Ngwira,5,20200030;1734-TVG;2025-RA;1943-EO;2252-EO
Luis Rajmil,Luis Rajmil,1,2016490
Lyazzat Kosherbayeva,Lyazzat Kosherbayeva,1,2232-VS
madeeha malik,Madeeha Malik; madeeha malik,3,20180660;344-VS;1670-VS
Maja Kuharic,Maja Kuharic,7,2042-RA;1811-RA;414-PHD;1915-RA;2037-RA;2040-RA;1514-RA
Maksat Jumamyradov,Maksat Jumamyradov,3,2428-RA;207-RA;1716-TVG
Malin Regardt,Malin Regardt,1,352-RA
Marcel Jonker,"Marcel Jonker; Marcel Jonker, PhD",18,1489-RA;1484-RA;1693-RA;1413-RA;415-RA;20191180;20191070;20190170;1612-RA;163-RA;1611-RA;1695-RA;356-PHD;1919-RA;2178-RA;20180320;1679-RA;2204-RA
Maresa Buchholz,Maresa Buchholz,2,2057-TVG;1582-RA
Margreet Franken,Margreet Franken,1,196-RA
Marisa Da Santos,MARISA SANTOS; Marisa Santos,2,20190630;1445-RA
Mark Oppe,Mark Oppe,5,2013220;452-RA;2016140;2016590;2015300
Mark Sculpher,Mark Sculpher,1,20180710
Martijn Doeleman,Martijn Doeleman,1,2101-EO
Martin Härter,Martin Härter,1,1719-RA
Martine Hoogendoorn,Martine Hoogendoorn; Martine Hoogendoorn-Lips,2,20190850;2339-BT
Marufa Sultana,Marufa Sultana,3,1646-RA;2417-RA;2106-RA
María Belizán,María Belizan; María Belizán,3,2412-BT;1885-RA;2589-RA
Matthijs Versteegh,Matthijs Versteegh,2,2359-PHD;2013310
Maureen Rutten-van Molken,Maureen Rutten-van Molken,1,2015020
Meixia Liao,Meixia Liao,1,1979-EO
Meles Tekie,Meles Tekie,1,223-RA
Merhawit Gerezgiher,Merhawit Gerezgiher,1,1490-RA
Michael Herdman,Michael Herdman,2,2016730;2014110
Michał Jakubczyk,Michal Jakubczyk; Michał Jakubczyk,14,20190070;1530-RA;2015320;1574-RA;1689-RA;431-RA;1930-RA;2016640;2144-RA;2143-RA;404-RA;1585-RA;2009-RA;2132-RA
Michela Meregaglia,Michela Meregaglia,2,351-RA;2043-RA
Mihir Gandhi,Mihir Gandhi,3,20170180;389-RA;2224-RA
Mihretab Gebreslassie,Mihretab Gebreslassie,2,2564-RA;1781-RA
Milad Karimi,Milad Karimi,2,2016560;20190550
Mimmi Åström,Mimmi Åström,3,20190980;1776-RA;2015400
Min-Joo Woo,Min-Joo Woo,1,2013020
Mina Bahrampour,Mina Bahrampour,3,466-RA;2075-EOI;2416-BT
Minghui Li,Minghui Li,2,20180620;2016580
Minh Pham,Minh Pham,3,1970-RA;2305-BT;2136-TVG
Nadine Zawadzkli,Nadine Zawadzkli,1,140-RA
Nan Luo,Luo Nan; Nan LUO; Nan Luo,55,20170460;20170430;2014100;2015220;320-VS;2016230;2016130;232-RA;1505-RA;20190830;76-RA;20180160;364-RA;2120-RA;274-RA;188-RA;180-RA;20180250;69-RA;1504-RA;402-RA;1599-RA;1608-RA;1738-TVG;1741-RA;1818-RA;1522-RA;321-VS;1517-RA;128-RA;2176-RA;2012060;20170450;20190010;1535-RA;20190600;2016310;20170330;2362-BT;2015410;2016290;2418-BT;2455-PHD;2451-RA;20170640;20180270;20180600;2016600;439-PHD;20190820;2016010;2019-EO;20180060;2016070;2222-EO
Nancy Devlin,Nancy Devlin,21,2016571;2016570;20180210;2014020;20190220;370-RA;2013040;2016631;399-RA;2016320;1404-RA;1497-RA;20170010;2016630;2015060;2012050;20180650;2015100;2014170;202-RA;2274-TVG
Narcis Gusi,Narcis Gusi,2,20170290;355-RA
Nicholas Smeele,Nicholas Smeele,1,2320-TR
Nick Bansback,Nick Bansback,7,20190470;2015040;2016030;1624-EO;1880-TVG;2133-TVG;2013290
Nils Gutacker,Nils Gutacker,8,1479-TVG;2016450;20190910;1925-TVG;2192-RA;2415-TVG;123-RA;2653-TVG
Ning Yan Gu,Ning Yan Gu,4,84-RA;409-RA;358-RA;246-RA
Norma Bulamu,Dr Norma Bulamu,1,2205-RA
Nyantara Wickramasekera,Nyantara Wickramasekera,1,2102-RA
Ole Marten,Ole Marten,3,2623-RA;1951-RA;2024-RA
Oliver Rivero-Arias,Oliver Rivero-Arias,3,2021-RA;206-RA;20180240
Oriana Ciani,Oriana Ciani,1,316-EO
Patricia Cubi-Molla,Patricia Cubi-Molla,2,20180190;2016460
Paul Kind,Paul Kind,13,20191040;78-RA;2009018;2014220;2014120;2016200;2010011;1583-RA;2015350;2015420;2016050;20191050;1786-RA
Paul Krabbe,Paul Krabbe,1,2014150
Paul Schneider,Paul Schneider,3,1596-RA;1508-RA;2582-SG
Paula Lorgelly,Paula Lorgelly,8,1573-RA;291-RA;1655-EO;1881-RA;2053-EO;20191030;2443-BT;1680-RA
Pedro Ferreira,Pedro Ferreira,1,2015110
Peep Stalmeier,Peep FM Stalmeier; Peep Stalmeier,4,2013010;2015150;1487-RA;115-RA
pei wang,Pei wang; pei wang,4,401-RA;20170530;2454-RA;1863-RA
Philip Clarke,Philip Clarke; Professor Philip Clarke,3,118-RA;1415-RA;310-RA
Philip Powell,Philip Powell,3,1877-RA;307-RA;1711-RA
Piyameth Dilokthornsakul,Piyameth Dilokthornsakul,1,1982-VS
Priyanka Banik,Priyanka Banik,1,2530-RA
Prudence Cheung,Prudence Cheung,1,1808-RA
Raf Van Gestel,Raf Van Gestel,1,1672-SG
Rainer Reile,Rainer Reile,4,2621-VS;1987-SG;1960-RA;2569-RA
Rebecca Addo,Rebecca Addo,1,1899-RA
Richard Norman,Richard Norman,6,20170410;1578-RA;2016250;83-VS;20170560;2015310
Richard Xu,Ricahrd Xu; Richard Huan XU; Richard Huan Xu; Richard Xu,12,1549-RA;1897-RA;444-RA;1495-RA;2184-RA;1804-RA;85-RA;2183-RA;2351-BT;2375-RA;2409-RA;2181-RA
Rini Noviyani,Rini Noviyani,1,2598-RA
Rosalie Viney,Rosalie Viney,3,2016280;148-RA;2015360
Samar Farid,"Samar Farid; Samar Farid, Ph.D.",11,20180130;335-RA;1594-RA;2402-BT;338-EO;2492-RA;1492-RA;2063-RA;2145-RA;2341-RA;2522-EO
Sander van Kuijk,Sander van Kuijk,3,1569-RA;1983-PHD;2368-RA
Sandjar Djalalov,Sandjar Djalalov,1,59-VS
Sarah Derrett,Sarah Derrett,5,2229-TR;2014190;1543-RA;2015170;1812-PHD
Sarah Dewilde,Dewilde Sarah; Sarah Dewilde,5,1601-RA;20180641;124-VS;2167-RA;20180640
Sarega Gurudas,Sarega Gurudas,1,2139-RA
Sayem Ahmed,Sayem Ahmed,1,2202-VS
Sesil Lim,Sesil Lim,1,20180420
Seungjin Bae,Seungjin Bae,1,2510-VS
Shankar Prinja,Shankar Prinja,3,2220-VS;20170520;2033-RA
Shitong Xie,Shitong Xie,2,2209-RA;2211-RA
Shunya Ikeda,Shunya Ikeda,2,2014040;2013140
Simon Pickard,Simon Pickard,10,2015190;20190800;20180520;2016210;2016470;2014130;20190410;20190360;2016090;20180080
Simone Schieskow,Simone Schieskow,1,20180450
Sofia Vallejo,Sofia Vallejo,1,2517-RA
Soumana Chamoun Nasser,Soumana Chamoun Nasser,1,2585-RA
Stefan Lipman,Stefan A. Lipman; Stefan Lipman,11,120-RA;1783-RA;417-RA;416-RA;245-RA;205-RA;20190860;20190080R1;2404-RA;20190890;1992-RA
Stella Heemskerk,Stella Heemskerk,1,2638-RA
Stephen Coons,Stephen Coons,1,2014180
Stevanus Pangestu,Stevanus Pangestu,4,2500-RA;2003-RA;2323-RA;1883-RA
Stirling Bryan,Stirling Bryan,2,164-RA;1787-RA
Sun Sun,Sun Sun,1,1561-RA
Suzana Karim,Suzana Karim,3,20190230R1;138-RA;139-RA
Taavi Lai,Taavi Lai,1,2602-SG
Takeru Shiroiwa,Takeru Shiroiwa,2,20180280;2098-RA
Teresa Bago d'Uva,Teresa Bago d'Uva,1,1463-PHD
Teresa Tsui,Teresa Tsui,1,1456-PD
Tessa Peasgood,Peasgood; Tessa Peasgood,12,348-PHD;20180350;20190260;224-RA;2366-EO;1823-RA;282-RA;1916-RA;2207-RA;2470-RA;2488-TVG;2493-RA
Thao Thai,Thao Thai,3,1887-RA;1797-RA;1896-RA
thomas kohlmann,thomas kohlmann,1,20170130
Tianxin Pan,Tianxin Pan,5,1472-PD;233-RA;428-RA;2284-BT;2347-RA
Tie Parma Yamato,Tie Parma Yamato,2,218-RA;220-VS
Titi Fitriana,Titi Fitriana,3,20180490;20200010;2444-RA
Tomos Robinson,Tomos Robinson,1,2196-RA
Trudy Sullivan,Trudy Sullivan,2,441-RA;20180470
Ulrike Ravens-Sieberer,Ulrike Ravens-Sieberer Ravens-Sieberer,1,2016270
Valentina Prevolnik Rupel,Valentina Prevolnik Rupel; Valentina Rupel,5,1687-RA;2013160;20170280;377-VS;2013210
victor zarate,Victor Zarate; victor zarate,6,2016390;2015370;462-RA;20170470;2016380;20170630
Vincent Lau,Vincent Lau,1,299-RA
Vivian Reckers-Droog,Vivian Reckers - Droog; Vivian Reckers-Droog,3,20190920;1462-PHD;2154-RA
Wenjing Zhou,Wenjing Zhou,4,1654-TVG;1742-EO;1874-TVG;2152-RA
Willem van Veghel,"W.H.P. (Willem) van Veghel, MSc",1,1584-SG
Wojciech Trzebiński,Wojciech Trzebiński,2,1698-RA;2343-RA
Wolfgang Greiner,Prof. Dr. Wolfgang Greiner; Wolfgang Greiner,12,20180260;2014160;20180510;2433-RA;20170020;20180010;2015200;2016530;2013200;2014030;2012020;1603-RA
Xin Zhang,Xin Zhang,2,2649-EO;1972-RA
Xuejing Jin,Xuejing Jin,2,217-EO;318-RA
yaling Yang,Yaling Yang; Yaling yang; yaling Yang,3,2130-PHD;2172-RA;1807-RA
Yan Feng,Yan Feng,5,2015330;20180740;2016330;2015090;1650-RA
Yap Xin Yi,Yap Xin Yi,1,2290-EO
Yared Belete Belay,Yared Belete Belay,5,79-RA;323-RA;1846-EO;327-RA;229-RA
Yifan Ding,Yifan Ding,1,2188-TVG
Yirga Legesse Niriayo,Yirga Legesse Niriayo,1,2563-RA
Yiting Luo,Yiting Luo,3,1867-RA;2458-RA;2036-RA
You-Shan Feng,"You-Shan Feng; You-Shan Feng, PhD",11,127-RA;1600-RA;329-RA;1593-RA;2200-RA;2312-BT;2373-RA;1901-RA;2544-RA;1902-RA;1898-RA
Zhihao Yang,Zhihao Yang,22,1485-RA;75-EO;20191020;20180070R1;1598-RA;20190151;1534-EO;221-RA;215-2020RA;92-2020RA;20190900;353-RA;2180-RA;2225-BT;2348-BT;20180230;2276-RA;456-RA;20190370;20180610;20190150R1;1941-RA
Zhuxin Mao,Zhuxin Mao,8,20191000;1580-RA;2084-RA;20190990;398-RA;103-RA;2422-RA;1588-RA
