review_required,review_reason,status,name,is_project_leader,is_member,n_projects,project_ids,member_id,member_affiliation,member_profile_url,chosen_id,openalex_url,chosen_name,orcid,orcid_url,openalex_affiliation,eq_works,total_works,alternatives,override_id,manual_note
1,unresolved,unresolved,Wojciech Trzebiński,1,0,2,1698-RA;2343-RA,,,,,,,,,,,,,,
1,unresolved,unresolved,Abdulhamid Musa,1,0,1,20210010,,,,,,,,,,,,,,
1,unresolved,unresolved,Afewerki Gebremeskel,1,0,1,396-RA,,,,,,,,,,,,,,
1,not_found,not_found,Ahmed Hamdan AlJedai,1,0,1,1666-VS,,,,,,,,,,,,,,
1,not_found,not_found,Aysenur Ahsen,1,0,1,2206-RA,,,,,,,,,,,,,,
1,unresolved,unresolved,Bosiljka Djikanovic,1,0,1,2128-VS,,,,,,,,,,,,,,
1,ambiguous,ambiguous,Carrie-Anne Ng,1,0,1,2157-RA,,,,A5035818265,https://openalex.org/A5035818265,Carrie‐Anne Ng,0000-0001-9326-8492,https://orcid.org/0000-0001-9326-8492,University of Technology Sydney,5,23,A5135197841=Carrie-Anne Ng(2 eq),,
1,not_found,not_found,Chris Flood,1,0,1,2005-SG,,,,,,,,,,,,,,
1,unresolved,unresolved,Cristina Guttierez,1,0,1,20180290,,,,,,,,,,,,,,
1,unresolved,unresolved,Daliya Kaskirbayeva,1,0,1,2013-RA,,,,,,,,,,,,,,
1,unresolved,unresolved,Edwine Barasa,1,0,1,2233-VS,,,,,,,,,,,,,,
1,unresolved,unresolved,Elizabeth Tompkins,1,0,1,1572-RA,,,,,,,,,,,,,,
1,not_found,not_found,Emma Pleeging,1,0,1,2186-RA,,,,,,,,,,,,,,
1,weak_via_works,weak_via_works,Esther de Bekker-Grob,1,0,1,2095-EO,,,,A5007711014,https://openalex.org/A5007711014,Esther W. de Bekker‐Grob,0000-0001-7645-6168,https://orcid.org/0000-0001-7645-6168,Erasmus University Rotterdam,4,202,,,
1,unresolved,unresolved,Felix Masiye,1,0,1,2238-VS,,,,,,,,,,,,,,
1,OpenAlex profile also assigned to Rosalind de Charro,ok,Frank De Charro,1,1,1,2013080,17853,,https://euroqol.org/about-us/our-members/member-detail/?memberid=17853,A5080909830,https://openalex.org/A5080909830,Frank de Charro,0000-0002-5280-5551,https://orcid.org/0000-0002-5280-5551,,18,64,A5111927574=Frank T. de Charro(1 eq),,
1,ambiguous,ambiguous,Gordon Liu,1,0,1,2012010,,,,A5074307362,https://openalex.org/A5074307362,Gordon G. Liu,0000-0002-4339-2644,https://orcid.org/0000-0002-4339-2644,Peking University,8,171,A5064540278=Gordon Liu(4 eq),,
1,not_found,not_found,Hajer Falfel,1,0,1,20190040,,,,,,,,,,,,,,
1,unresolved,unresolved,Hoang Van Mi,1,0,1,20170220,,,,,,,,,,,,,,
1,not_found,not_found,Julia Fox-Rushby,1,0,1,2109-RA,,,,,,,,,,,,,,
1,unresolved,unresolved,Lyazzat Kosherbayeva,1,0,1,2232-VS,,,,,,,,,,,,,,
1,unresolved,unresolved,Meles Tekie,1,0,1,223-RA,,,,,,,,,,,,,,
1,not_found,not_found,Merhawit Gerezgiher,1,0,1,1490-RA,,,,,,,,,,,,,,
1,not_found,not_found,Nadine Zawadzkli,1,0,1,140-RA,,,,,,,,,,,,,,
1,unresolved,unresolved,Nicholas Smeele,1,0,1,2320-TR,,,,,,,,,,,,,,
1,not_found,not_found,Norma Bulamu,1,0,1,2205-RA,,,,,,,,,,,,,,
1,unresolved,unresolved,Priyanka Banik,1,0,1,2530-RA,,,,,,,,,,,,,,
1,unresolved,unresolved,Raf Van Gestel,1,0,1,1672-SG,,,,,,,,,,,,,,
1,unresolved,unresolved,Rini Noviyani,1,0,1,2598-RA,,,,,,,,,,,,,,
1,unresolved,unresolved,Sandjar Djalalov,1,0,1,59-VS,,,,,,,,,,,,,,
1,unresolved,unresolved,Sesil Lim,1,0,1,20180420,,,,,,,,,,,,,,
1,unresolved,unresolved,Sofia Vallejo,1,0,1,2517-RA,,,,,,,,,,,,,,
1,unresolved,unresolved,Teresa Bago d'Uva,1,0,1,1463-PHD,,,,,,,,,,,,,,
1,ambiguous,ambiguous,Johannes Clouth,0,1,0,,17883,Retired,https://euroqol.org/about-us/our-members/member-detail/?memberid=17883,A5029021088,https://openalex.org/A5029021088,Johannes Clouth,0000-0001-8941-6739,https://orcid.org/0000-0001-8941-6739,Eli Lilly (Germany),4,52,A5004580198=Felix J. Clouth(4 eq),,
1,OpenAlex profile also assigned to Frank De Charro,ok_via_works,Rosalind de Charro,0,1,0,,17978,,https://euroqol.org/about-us/our-members/member-detail/?memberid=17978,A5080909830,https://openalex.org/A5080909830,Frank de Charro,0000-0002-5280-5551,https://orcid.org/0000-0002-5280-5551,,4,,,,
0,,ok,Nan Luo,1,1,55,128-RA;1504-RA;1505-RA;1517-RA;1522-RA;1535-RA;1599-RA;1608-RA;1738-TVG;1741-RA;180-RA;1818-RA;188-RA;2012060;2014100;2015220;2015410;2016010;2016070;2016130;2016230;2016290;2016310;2016600;20170330;20170430;20170450;20170460;20170640;20180060;20180160;20180250;20180270;20180600;2019-EO;20190010;20190600;20190820;20190830;2120-RA;2176-RA;2222-EO;232-RA;2362-BT;2418-BT;2451-RA;2455-PHD;274-RA;320-VS;321-VS;364-RA;402-RA;439-PHD;69-RA;76-RA,17944,National University of Singapore,https://euroqol.org/about-us/our-members/member-detail/?memberid=17944,A5064398143,https://openalex.org/A5064398143,Nan Luo,0000-0001-7980-6979,https://orcid.org/0000-0001-7980-6979,National University of Singapore,263,477,,,
0,,ok,Feng Xie,1,1,22,137-RA;1587-TVG;1704-RA;1793-RA;2013050;2013180;2013230;2013270;2015120;2016-RA;2016060;2016080;2016540;20170100;20180310;20191110;2023-RA;2170-RA;2566-RA;2593-RA;342-RA;345-PHD,17851,McMaster University,https://euroqol.org/about-us/our-members/member-detail/?memberid=17851,A5102994482,https://openalex.org/A5102994482,Feng Xie,0000-0003-3454-6266,https://orcid.org/0000-0003-3454-6266,Qingdao University,110,385,A5015716999=Feng Xie(36 eq),,
0,,ok,Zhihao Yang,1,1,22,1485-RA;1534-EO;1598-RA;1941-RA;20180070R1;20180230;20180610;20190150R1;20190151;20190370;20190900;20191020;215-2020RA;2180-RA;221-RA;2225-BT;2276-RA;2348-BT;353-RA;456-RA;75-EO;92-2020RA,18019,Guizhou Medical University,https://euroqol.org/about-us/our-members/member-detail/?memberid=18019,A5028809099,https://openalex.org/A5028809099,Zhihao Yang,0000-0001-5468-0847,https://orcid.org/0000-0001-5468-0847,Guiyang Medical University,76,108,A5051597671=Zhihao Yang(5 eq); A5103097710=Zhihao Yang(1 eq),,
0,,ok,Nancy Devlin,1,1,21,1404-RA;1497-RA;2012050;2013040;2014020;2014170;2015060;2015100;2016320;2016570;2016571;2016630;2016631;20170010;20180210;20180650;20190220;202-RA;2274-TVG;370-RA;399-RA,17946,University of Melbourne,https://euroqol.org/about-us/our-members/member-detail/?memberid=17946,A5103206776,https://openalex.org/A5103206776,Nancy Devlin,0000-0002-1561-5361,https://orcid.org/0000-0002-1561-5361,The University of Melbourne,198,380,A5029151069=Nancy Devlin(1 eq); A5108295899=Nancy Devlin(4 eq),,
0,,ok,Marcel Jonker,1,1,18,1413-RA;1484-RA;1489-RA;1611-RA;1612-RA;163-RA;1679-RA;1693-RA;1695-RA;1919-RA;20180320;20190170;20191070;20191180;2178-RA;2204-RA;356-PHD;415-RA,17920,,https://euroqol.org/about-us/our-members/member-detail/?memberid=17920,A5063358434,https://openalex.org/A5063358434,Marcel F. Jonker,0000-0001-8433-1402,https://orcid.org/0000-0001-8433-1402,Erasmus University Rotterdam,11,61,,,
0,,ok,Juanita Haagsma,1,1,17,141-RA;1498-PHD;151-RA;1604-RA;1954-RA;20180330;20180380;20180630;20190120;2159-RA;2426-PHD;243-RA;2456-BT;315-RA;420-RA;460-RA;77-RA,17895,Erasmus MC,https://euroqol.org/about-us/our-members/member-detail/?memberid=17895,A5060133399,https://openalex.org/A5060133399,Juanita A. Haagsma,0000-0002-2055-548X,https://orcid.org/0000-0002-2055-548X,Erasmus MC,94,360,A5108136368=Juanita A. Haagsma(1 eq); A5108548502=J Haagsma(1 eq); A5114155705=J A Haagsma(1 eq),,
0,,ok,Fredrick Purba,1,1,16,1644-RA;1910-RA;1914-RA;2016420;20180140;20180430;20190130;20190440;2035-RA;2113-EOI;2177-RA;2203-RA;242-RA;2463-RA;2466-RA;442-RA,17855,Universitas Padjadjaran,https://euroqol.org/about-us/our-members/member-detail/?memberid=17855,A5059806422,https://openalex.org/A5059806422,Fredrick Dermawan Purba,0000-0002-7336-3043,https://orcid.org/0000-0002-7336-3043,Padjadjaran University,62,148,A5126954425=Fredrick Purba(1 eq),,
0,,ok,Benjamin Matthew Craig,1,1,15,1769-RA;1850-RA;2013100;2013130;2015030;2015290;2016020;2016720;20170260;2266-TVG;2337-RA;2501-RA;302-EO;304-PHD;464-RA,19813,"University of South Florida, Tampa, USA",https://euroqol.org/about-us/our-members/member-detail/?memberid=19813,A5029949490,https://openalex.org/A5029949490,Benjamin M. Craig,0000-0003-1121-1316,https://orcid.org/0000-0003-1121-1316,University of South Florida,43,118,A5008541510=Benjamin Thomas(3 eq); A5085528800=Joshua D. Stein(2 eq),,
0,,ok,Kim Rand,1,1,14,1507-VS;1854-EO;2014070;2015070;2015250;2015260;2015270;20190580;20191190;209-RA;2471-RA;2540-EO;2626-RA;309-RA,17897,"Maths in Health and the Health Services Research Centre, Akershus University Hospital",https://euroqol.org/about-us/our-members/member-detail/?memberid=17897,A5041551368,https://openalex.org/A5041551368,Kim Rand,0000-0001-7692-4099,https://orcid.org/0000-0001-7692-4099,Akershus University Hospital,33,66,A5043214580=and Kim Rand(1 eq),,
0,,ok,Michał Jakubczyk,1,1,14,1530-RA;1574-RA;1585-RA;1689-RA;1930-RA;2009-RA;2015320;2016640;20190070;2132-RA;2143-RA;2144-RA;404-RA;431-RA,17934,"SGH Warsaw School of Economics, Poland",https://euroqol.org/about-us/our-members/member-detail/?memberid=17934,A5015781187,https://openalex.org/A5015781187,Michał Jakubczyk,0000-0002-0006-6769,https://orcid.org/0000-0002-0006-6769,SGH Warsaw School of Economics,30,128,,,
0,,ok,Brendan Mulhern,1,1,13,1903-RA;1926-RA;1976-TVG;2014010;2015460;2016260;2016650;20170670;20180300;20180460;234-VS;322-RA;99-RA,17807,University of Technology Sydney,https://euroqol.org/about-us/our-members/member-detail/?memberid=17807,A5090013218,https://openalex.org/A5090013218,Brendan Mulhern,0000-0003-3656-8063,https://orcid.org/0000-0003-3656-8063,University of Technology Sydney,164,294,A5009868132=Brendan J. Mulhern(1 eq); A5132596277=Brendan Mulhern(1 eq); A5122901134=Mulhern Brendan(1 eq),,
0,,ok,Fatima Al Sayah,1,1,13,102-RA;1465-VS;1696-RA;1931-RA;1974-VS;1984-RA;20190050;2116-EOI;2413-RA;2487-TVG;2490-EO;2560-RA;96-EO,17847,"University of Alberta (Canada), Centre for Clinical, Health Economics, and Outcomes Research, CCHO (Lebanon, UAE, KSA)",https://euroqol.org/about-us/our-members/member-detail/?memberid=17847,A5026033494,https://openalex.org/A5026033494,Fatima Al Sayah,0000-0003-3891-5452,https://orcid.org/0000-0003-3891-5452,University of Alberta,66,103,A5058978537=Fatima Hussein Al Sayah(6 eq); A5130247173=Fatima Al Sayah(1 eq),,
0,,ok,Janine Verstraete,1,1,13,142-RA;147-RA;1681-RA;1859-TVG;1928-RA;20180730;20190200;20190670;2226-TR;2633-TVG;365-RA;425-RA;426-RA,17877,University of Cape Town,https://euroqol.org/about-us/our-members/member-detail/?memberid=17877,A5006452129,https://openalex.org/A5006452129,Janine Verstraete,0000-0002-1148-4747,https://orcid.org/0000-0002-1148-4747,University of Cape Town,46,88,A5095559141=Verstraete Janine(1 eq),,
0,,ok,Paul Kind,1,1,13,1583-RA;1786-RA;2009018;2010011;2014120;2014220;2015350;2015420;2016050;2016200;20191040;20191050;78-RA,17962,"Health Economics Policy Lab (HEPL), University College London",https://euroqol.org/about-us/our-members/member-detail/?memberid=17962,A5013594779,https://openalex.org/A5013594779,Paul Kind,0000-0003-2377-1652,https://orcid.org/0000-0003-2377-1652,University of Leeds,139,240,A5136640933=Paul Kind(1 eq),,
0,,ok,Tessa Peasgood,1,1,12,1823-RA;1916-RA;20180350;20190260;2207-RA;224-RA;2366-EO;2470-RA;2488-TVG;2493-RA;282-RA;348-PHD,17998,University of Sheffield,https://euroqol.org/about-us/our-members/member-detail/?memberid=17998,A5022446221,https://openalex.org/A5022446221,Tessa Peasgood,0000-0001-8024-7801,https://orcid.org/0000-0001-8024-7801,University of Sheffield,62,121,A5137019908=Tessa Peasgood(4 eq); A5140631355=Tessa Peasgood(1 eq),,
0,,ok,Wolfgang Greiner,1,1,12,1603-RA;2012020;2013200;2014030;2014160;2015200;2016530;20170020;20180010;20180260;20180510;2433-RA,18010,Bielefeld University,https://euroqol.org/about-us/our-members/member-detail/?memberid=18010,A5001823062,https://openalex.org/A5001823062,Wolfgang Greiner,0000-0001-9552-6969,https://orcid.org/0000-0001-9552-6969,Bielefeld University,85,570,A5076750502=Wolfgang Greiner(4 eq),,
0,,ok,Elly Stolk,1,1,11,1721-RA;1761-EO;2013090;2013300;2014060;2015430;2016410;2138-TR;2219-PCG;2262-RA;2644-EO,17837,EuroQol Research Foundation,https://euroqol.org/about-us/our-members/member-detail/?memberid=17837,A5033903811,https://openalex.org/A5033903811,Elly Stolk,0000-0001-5968-0416,https://orcid.org/0000-0001-5968-0416,,79,161,A5078693305=EA Stolk(5 eq),,
0,,ok,Jennifer Jelsma,1,1,11,1713-RA;2013110;2014200;2016120;2016180;20170250;20170540;20170650;20190030;20190500;20191210,17881,University of Cape Town,https://euroqol.org/about-us/our-members/member-detail/?memberid=17881,A5064611767,https://openalex.org/A5064611767,Jennifer Jelsma,0000-0003-4049-8395,https://orcid.org/0000-0003-4049-8395,University of Cape Town,49,162,A5139685966=Jennifer Jelsma(3 eq),,
0,,ok,Stefan Lipman,1,1,11,120-RA;1783-RA;1992-RA;20190080R1;20190860;20190890;205-RA;2404-RA;245-RA;416-RA;417-RA,17992,"Erasmus School of Health Policy & Management (ESHPM), Erasmus University Rotterdam",https://euroqol.org/about-us/our-members/member-detail/?memberid=17992,A5078862538,https://openalex.org/A5078862538,Stefan A. Lipman,0000-0002-8784-9650,https://orcid.org/0000-0002-8784-9650,National Institute for Public Health and the Environment,21,56,,,
0,,ok,You-Shan Feng,1,1,11,127-RA;1593-RA;1600-RA;1898-RA;1901-RA;1902-RA;2200-RA;2312-BT;2373-RA;2544-RA;329-RA,18018,"Medical University Tübingen, Germany",https://euroqol.org/about-us/our-members/member-detail/?memberid=18018,A5091571513,https://openalex.org/A5091571513,You‐Shan Feng,0000-0003-1509-3409,https://orcid.org/0000-0003-1509-3409,Universitätsklinikum Tübingen,20,67,A5140621214=You-Shan Feng(1 eq),,
0,,ok,Abraham Gebregziabiher,1,1,10,133-RA;1798-RA;20170480;20180500;20191010;2124-RA;225-RA;313-PHD;340-RA;89-RA,17787,"1School of Pharmacy, College of Health Science, Mekelle University.",https://euroqol.org/about-us/our-members/member-detail/?memberid=17787,A5061701004,https://openalex.org/A5061701004,Abraham Gebregziabiher Welie,0000-0003-4661-7287,https://orcid.org/0000-0003-4661-7287,Mekelle University,4,6,A5113330806=Abraham Gebregziabiher(1 eq),,
0,,ok,Bas Janssen,1,1,10,155-RA;157-RA;2012040;2015450;2016620;20170600;240-RA;2594-RA;458-RA;461-RA,19005,,https://euroqol.org/about-us/our-members/member-detail/?memberid=19005,A5020933378,https://openalex.org/A5020933378,Mathieu F. Janssen,0000-0001-6602-6949,https://orcid.org/0000-0001-6602-6949,Erasmus MC,92,117,A5111827091=Bas Janssen(37 eq); A5058167663=MF Bas Janssen(1 eq),,
0,,ok,Dominik Golicki,1,1,10,1575-VS;2015240;2015280;2016110;2038-RA;2100-EOI;214-RA;2479-RA;337-RA;339-RA,17831,Medical Univeristy of Warsaw,https://euroqol.org/about-us/our-members/member-detail/?memberid=17831,A5035126117,https://openalex.org/A5035126117,Dominik Golicki,0000-0001-7741-4760,https://orcid.org/0000-0001-7741-4760,Medical University of Warsaw,97,162,,,
0,,ok,Federico Augustovski,1,1,10,1605-RA;1891-RA;2012-RA;2013070;2015-RA;2016360;20170170;20170660;20180580;2119-RA,17849,Institute for Clinical Effectiveness and Health Policy (IECS),https://euroqol.org/about-us/our-members/member-detail/?memberid=17849,A5053077563,https://openalex.org/A5053077563,Federico Augustovski,0000-0002-2914-5022,https://orcid.org/0000-0002-2914-5022,Instituto de Efectividad Clínica y Sanitaria,44,342,A5075446732=Federico Augustovski(1 eq),,
0,,ok,Simon Pickard,1,1,10,2014130;2015190;2016090;2016210;2016470;20180080;20180520;20190360;20190410;20190800,17988,University of Illinois - Chicago,https://euroqol.org/about-us/our-members/member-detail/?memberid=17988,A5058888906,https://openalex.org/A5058888906,A. Simon Pickard,0000-0001-5645-7091,https://orcid.org/0000-0001-5645-7091,University of Illinois Chicago,140,306,A5103487818=AS Pickard(21 eq),,
0,,ok,Cate Bailey,1,1,9,1559-RA;1566-RA;1772-RA;1872-RA;2032-RA;2096-RA;2439-RA;2440-RA;295-RA,21677,University of Melbourne,https://euroqol.org/about-us/our-members/member-detail/?memberid=21677,A5020867003,https://openalex.org/A5020867003,Cate Bailey,0000-0001-5030-430X,https://orcid.org/0000-0001-5030-430X,The University of Melbourne,13,88,A5018812334=Cate Bailey(1 eq); A5007805675=Cate Bailey(1 eq),,
0,,ok,Gouke Bonsel,1,1,9,2013150;2014090;2016160;2016670;2016750;20170360;238-RA;512-RA;645-RA,17861,EuroQol Research Foundation,https://euroqol.org/about-us/our-members/member-detail/?memberid=17861,A5047977076,https://openalex.org/A5047977076,Gouke J. Bonsel,0000-0002-8364-1086,https://orcid.org/0000-0002-8364-1086,,77,362,,,
0,,ok,Juan M. Ramos-Goñi,1,1,9,2013320;2014210;2016430;2016510;2016610;20170310R2;2588-TR;450-RA;74-RA,17893,Maths in Health,https://euroqol.org/about-us/our-members/member-detail/?memberid=17893,A5047957689,https://openalex.org/A5047957689,Juan Manuel Ramos-Goñi,0000-0002-9568-5190,https://orcid.org/0000-0002-9568-5190,SGH Warsaw School of Economics,72,96,A5049678494=Juan Manuel Ramos Goñi(9 eq); A5136612135=Juan M. Ramos-Goñi(1 eq),,
0,,ok,Koonal Shah,1,1,8,117-RA;2015050;2015440;2016150;2016370;20190490;20190660;82-RA,17901,NICE,https://euroqol.org/about-us/our-members/member-detail/?memberid=17901,A5083575745,https://openalex.org/A5083575745,Koonal Shah,0000-0002-4927-7858,https://orcid.org/0000-0002-4927-7858,National Institute for Health and Care Excellence,65,151,,,
0,,ok,Ling Jie Cheng,1,1,8,1663-TVG;1961-EO;2078-RA;2246-EO;2267-EO;2329-RA;2531-EO;2605-RA,19028,University of Oxford,https://euroqol.org/about-us/our-members/member-detail/?memberid=19028,A5082193621,https://openalex.org/A5082193621,Ling Jie Cheng,0000-0002-5338-578X,https://orcid.org/0000-0002-5338-578X,National University of Singapore,32,150,A5002268768=Ling Cheng(1 eq); A5100430876=Xi Zhang(6 eq),,
0,,ok,Nils Gutacker,1,1,8,123-RA;1479-TVG;1925-TVG;2016450;20190910;2192-RA;2415-TVG;2653-TVG,17954,"Centre for Health Economics, University of York",https://euroqol.org/about-us/our-members/member-detail/?memberid=17954,A5023093255,https://openalex.org/A5023093255,Nils Gutacker,0000-0002-2833-0621,https://orcid.org/0000-0002-2833-0621,University of York,19,120,,,
0,,ok,Paula Lorgelly,1,1,8,1573-RA;1655-EO;1680-RA;1881-RA;20191030;2053-EO;2443-BT;291-RA,17966,University of Auckland | Waipapa Taumata Rau,https://euroqol.org/about-us/our-members/member-detail/?memberid=17966,A5027424571,https://openalex.org/A5027424571,Paula Lorgelly,0000-0002-8990-9514,https://orcid.org/0000-0002-8990-9514,University of Auckland,23,203,,,
0,,ok,Zhuxin Mao,1,1,8,103-RA;1580-RA;1588-RA;20190990;20191000;2084-RA;2422-RA;398-RA,18021,University of Antwerp,https://euroqol.org/about-us/our-members/member-detail/?memberid=18021,A5002022038,https://openalex.org/A5002022038,Zhuxin Mao,0000-0002-7444-1584,https://orcid.org/0000-0002-7444-1584,University of Antwerp,34,69,A5116549914=Zhuxin Mao(1 eq); A5123300040=Zhuxin Mao(2 eq),,
0,,ok,Bram Roudijk,1,1,7,100-RA;169-RA;1694-RA;1923-RA;20180340R1;20190780;2647-RA,17805,EuroQol Research Foundation,https://euroqol.org/about-us/our-members/member-detail/?memberid=17805,A5028508726,https://openalex.org/A5028508726,Bram Roudijk,0000-0001-5000-0875,https://orcid.org/0000-0001-5000-0875,Erasmus MC,48,58,,,
0,,ok,Maja Kuharic,1,1,7,1514-RA;1811-RA;1915-RA;2037-RA;2040-RA;2042-RA;414-PHD,19030,Northwestern University,https://euroqol.org/about-us/our-members/member-detail/?memberid=19030,A5007210675,https://openalex.org/A5007210675,Maja Kuharić,0000-0003-3696-9086,https://orcid.org/0000-0003-3696-9086,Northwestern University,43,84,A5060066674=Bruce W. Sherman(1 eq); A5137004902=Maja Kuharic(2 eq); A5139409824=Maja Kuharic(2 eq),,
0,,ok,Nick Bansback,1,1,7,1624-EO;1880-TVG;2013290;2015040;2016030;20190470;2133-TVG,17952,School of Population and Public Health,https://euroqol.org/about-us/our-members/member-detail/?memberid=17952,A5052496992,https://openalex.org/A5052496992,Nick Bansback,0000-0002-1510-3462,https://orcid.org/0000-0002-1510-3462,Providence Health Care,53,335,A5108322539=Nick Bansback(3 eq),,
0,,ok,Bernhard Michalowsky,1,1,6,152-RA;1592-RA;1791-RA;2002-RA;244-RA;349-RA,17803,"German Center for Neurodegenerative Diseases (DZNE), Greifswald, Germany & McMaster University, Hamilton, Canada",https://euroqol.org/about-us/our-members/member-detail/?memberid=17803,A5088093819,https://openalex.org/A5088093819,Bernhard Michalowsky,0000-0002-3425-0089,https://orcid.org/0000-0002-3425-0089,,34,174,A5113279604=Bernhard Michalowsky(4 eq),,
0,,ok,Carlos Wong,1,1,6,2012030;2014050;20180530;20190250;2421-RA;333-RA,17811,London School Hygiene & Tropical Medicine,https://euroqol.org/about-us/our-members/member-detail/?memberid=17811,A5041610413,https://openalex.org/A5041610413,Carlos King Ho Wong,0000-0002-6895-6071,https://orcid.org/0000-0002-6895-6071,University of Leicester,79,487,,,
0,,ok,Clara Mukuria,1,1,6,1892-RA;2016240;20190310;2217-TR;2234-TVG;326-RA,17819,University of Sheffield,https://euroqol.org/about-us/our-members/member-detail/?memberid=17819,A5043083823,https://openalex.org/A5043083823,Clara Mukuria,0000-0003-4318-1481,https://orcid.org/0000-0003-4318-1481,University of Sheffield,80,128,A5140592939=Clara Mukuria(1 eq),,
0,,ok,Eleanor Pullenayegum,1,1,6,109-RA;2015130;2015140;20190270;20190430;2340-RA,17835,The Hospital for Sick Children,https://euroqol.org/about-us/our-members/member-detail/?memberid=17835,A5029465719,https://openalex.org/A5029465719,Eleanor Pullenayegum,0000-0003-4265-1330,https://orcid.org/0000-0003-4265-1330,University of Toronto,56,327,A5023955515=E. Pullenayegum(7 eq),,
0,,ok,Fanni Rencz,1,1,6,119-RA;1700-RA;1800-RA;192-VS;2000-RA;20170500,17845,"Corvinus University of Budapest, Department of Health Policy",https://euroqol.org/about-us/our-members/member-detail/?memberid=17845,A5024021740,https://openalex.org/A5024021740,Fanni Rencz,0000-0001-9674-620X,https://orcid.org/0000-0001-9674-620X,Semmelweis University,148,245,A5117412551=Fanni Rencz(1 eq); A5123176482=Fanni Rencz(1 eq); A5128705474=Fanni Rencz(1 eq); A5124885266=Fanni Rencz(1 eq),,
