name,institute,member_id,profile_url
Harri Sintonen,University of Helsinki/Department of Public Health,17865,https://euroqol.org/about-us/our-members/member-detail/?memberid=17865
Henry Bailey,The University of the West Indies,17867,https://euroqol.org/about-us/our-members/member-detail/?memberid=17867
Ines Buchholz,None,17869,https://euroqol.org/about-us/our-members/member-detail/?memberid=17869
James Shaw,Takeda Pharmaceuticals,17871,https://euroqol.org/about-us/our-members/member-detail/?memberid=17871
Jan Abel Olsen,"Department of Community Medicine, UiT The Arctic University of Norway",17873,https://euroqol.org/about-us/our-members/member-detail/?memberid=17873
Jan Busschbach,Erasmus MC,17875,https://euroqol.org/about-us/our-members/member-detail/?memberid=17875
Janine Verstraete,University of Cape Town,17877,https://euroqol.org/about-us/our-members/member-detail/?memberid=17877
Jeffrey Johnson,University of Alberta,17879,https://euroqol.org/about-us/our-members/member-detail/?memberid=17879
Jennifer Jelsma,University of Cape Town,17881,https://euroqol.org/about-us/our-members/member-detail/?memberid=17881
Johannes Clouth,Retired,17883,https://euroqol.org/about-us/our-members/member-detail/?memberid=17883
John Brazier,University of Sheffield,17885,https://euroqol.org/about-us/our-members/member-detail/?memberid=17885
John Hartman,GSK,17887,https://euroqol.org/about-us/our-members/member-detail/?memberid=17887
John Yfantopoulos,University of Athens,17889,https://euroqol.org/about-us/our-members/member-detail/?memberid=17889
Juan Cabasés,"Department of Economics, Universidad Pública de Navarra",17891,https://euroqol.org/about-us/our-members/member-detail/?memberid=17891
Juan M. Ramos-Goñi,Maths in Health,17893,https://euroqol.org/about-us/our-members/member-detail/?memberid=17893
Juanita Haagsma,Erasmus MC,17895,https://euroqol.org/about-us/our-members/member-detail/?memberid=17895
Kim Rand,"Maths in Health and the Health Services Research Centre, Akershus University Hospital",17897,https://euroqol.org/about-us/our-members/member-detail/?memberid=17897
Knut Stavem,Akershus University Hospital,17899,https://euroqol.org/about-us/our-members/member-detail/?memberid=17899
Koonal Shah,NICE,17901,https://euroqol.org/about-us/our-members/member-detail/?memberid=17901
Kristina Ludwig,"(1) Department of Health Economics & Health Care Management, School of Public Health, Bielefeld University, Germany; (2) EuroQol Research Foundation",17905,https://euroqol.org/about-us/our-members/member-detail/?memberid=17905
Kristina Secnik Boye,Eli Lilly and Company,17907,https://euroqol.org/about-us/our-members/member-detail/?memberid=17907
Leida Lamers,"Ministry of Health, Welfare and Sports",17909,https://euroqol.org/about-us/our-members/member-detail/?memberid=17909
Lidia Engel,Monash University,17911,https://euroqol.org/about-us/our-members/member-detail/?memberid=17911
Ling Jie CHENG,University of Oxford,19028,https://euroqol.org/about-us/our-members/member-detail/?memberid=19028
Ling-Hsiang Chuang,,17913,https://euroqol.org/about-us/our-members/member-detail/?memberid=17913
Liv Ariane Augestad,University of Oslo,17914,https://euroqol.org/about-us/our-members/member-detail/?memberid=17914
Louise Longworth,Arrow Health Economics,17916,https://euroqol.org/about-us/our-members/member-detail/?memberid=17916
Lucila Rey Ares,,17918,https://euroqol.org/about-us/our-members/member-detail/?memberid=17918
Maja Kuharic,Northwestern University,19030,https://euroqol.org/about-us/our-members/member-detail/?memberid=19030
Marcel Jonker,,17920,https://euroqol.org/about-us/our-members/member-detail/?memberid=17920
Marisa Da Santos,Instituto Nacional de Cardiologia,17922,https://euroqol.org/about-us/our-members/member-detail/?memberid=17922
Mark Oppe,EuroQol Research Foundation,17924,https://euroqol.org/about-us/our-members/member-detail/?memberid=17924
Matthijs Versteegh,Huygens & Versteegh,17928,https://euroqol.org/about-us/our-members/member-detail/?memberid=17928
Michael Herdman,Insight Consulting & Research,17930,https://euroqol.org/about-us/our-members/member-detail/?memberid=17930
Michał Jakubczyk,"SGH Warsaw School of Economics, Poland",17934,https://euroqol.org/about-us/our-members/member-detail/?memberid=17934
Mihir Gandhi,Duke-NUS Medical School,17936,https://euroqol.org/about-us/our-members/member-detail/?memberid=17936
Milad Karimi,,17937,https://euroqol.org/about-us/our-members/member-detail/?memberid=17937
Mimmi Åström,Karolinska Institutet,17938,https://euroqol.org/about-us/our-members/member-detail/?memberid=17938
Min-Woo Jo,"Department of Preventive Medicine, University of Ulsan College of Medicine",17940,https://euroqol.org/about-us/our-members/member-detail/?memberid=17940
Mina Bahrampour,University of Technology Sydney,19032,https://euroqol.org/about-us/our-members/member-detail/?memberid=19032
Minghui Li,University of Tennessee,17942,https://euroqol.org/about-us/our-members/member-detail/?memberid=17942
Márta Péntek,Obuda University,19179,https://euroqol.org/about-us/our-members/member-detail/?memberid=19179
Nan Luo,National University of Singapore,17944,https://euroqol.org/about-us/our-members/member-detail/?memberid=17944
Nancy Devlin,University of Melbourne,17946,https://euroqol.org/about-us/our-members/member-detail/?memberid=17946
Narcis Gusi,University of Extremadura (Spain),17948,https://euroqol.org/about-us/our-members/member-detail/?memberid=17948
Nick Bansback,School of Population and Public Health,17952,https://euroqol.org/about-us/our-members/member-detail/?memberid=17952
Nils Gutacker,"Centre for Health Economics, University of York",17954,https://euroqol.org/about-us/our-members/member-detail/?memberid=17954
Ning Yan Gu,University of San Francisco,17956,https://euroqol.org/about-us/our-members/member-detail/?memberid=17956
Ole Marten,Bielefeld University,17958,https://euroqol.org/about-us/our-members/member-detail/?memberid=17958
Oliver Rivero-Arias,University of Oxford,17960,https://euroqol.org/about-us/our-members/member-detail/?memberid=17960
Paul Kind,"Health Economics Policy Lab (HEPL), University College London",17962,https://euroqol.org/about-us/our-members/member-detail/?memberid=17962
Paul Krabbe,University Medical Center Groningen,17964,https://euroqol.org/about-us/our-members/member-detail/?memberid=17964
Paula Lorgelly,University of Auckland | Waipapa Taumata Rau,17966,https://euroqol.org/about-us/our-members/member-detail/?memberid=17966
Peep Stalmeier,Radboudumc,17968,https://euroqol.org/about-us/our-members/member-detail/?memberid=17968
Rachel Tan,IQVIA,18648,https://euroqol.org/about-us/our-members/member-detail/?memberid=18648
Richard Brooks,Retirement Association,17973,https://euroqol.org/about-us/our-members/member-detail/?memberid=17973
Richard Norman,Curtin University,17974,https://euroqol.org/about-us/our-members/member-detail/?memberid=17974
Richard Xu,The Hong Kong Polytechnic University,21678,https://euroqol.org/about-us/our-members/member-detail/?memberid=21678
Rosalie Viney,University of Technology Sydney,17976,https://euroqol.org/about-us/our-members/member-detail/?memberid=17976
Rosalind de Charro,,17978,https://euroqol.org/about-us/our-members/member-detail/?memberid=17978
Ruixuan Jiang,"Merck & Co., Inc.,",17980,https://euroqol.org/about-us/our-members/member-detail/?memberid=17980
Sarah Derrett,University of Otago,17982,https://euroqol.org/about-us/our-members/member-detail/?memberid=17982
Sarah Dewilde,SHE,17984,https://euroqol.org/about-us/our-members/member-detail/?memberid=17984
Simon Pickard,University of Illinois - Chicago,17988,https://euroqol.org/about-us/our-members/member-detail/?memberid=17988
Simone Schieskow (née Kreimeier),"Bielefeld University, School of Public Health, Department of Health Economics and Health Care Management",17990,https://euroqol.org/about-us/our-members/member-detail/?memberid=17990
Stefan Lipman,"Erasmus School of Health Policy & Management (ESHPM), Erasmus University Rotterdam",17992,https://euroqol.org/about-us/our-members/member-detail/?memberid=17992
Stirling Bryan,University of British Columbia,17994,https://euroqol.org/about-us/our-members/member-detail/?memberid=17994
Sun Sun,Parexel/Umeå University,17996,https://euroqol.org/about-us/our-members/member-detail/?memberid=17996
Tessa Peasgood,University of Sheffield,17998,https://euroqol.org/about-us/our-members/member-detail/?memberid=17998
Thomas Kohlmann,University of Greifswald,18000,https://euroqol.org/about-us/our-members/member-detail/?memberid=18000
Tianxin Pan,,18002,https://euroqol.org/about-us/our-members/member-detail/?memberid=18002
Trudy Sullivan,University of Otago,18004,https://euroqol.org/about-us/our-members/member-detail/?memberid=18004
Ulrike Ravens-Sieberer,University Medical Center Hamburg-Eppendorf,21548,https://euroqol.org/about-us/our-members/member-detail/?memberid=21548
Valentina Prevolnik Rupel,Institute for Economic Research,18006,https://euroqol.org/about-us/our-members/member-detail/?memberid=18006
Victor Zarate,MSD,18008,https://euroqol.org/about-us/our-members/member-detail/?memberid=18008
Wolfgang Greiner,Bielefeld University,18010,https://euroqol.org/about-us/our-members/member-detail/?memberid=18010
Xuejing (Jennifer) Jin,Beijing University of Chinese Medicine,18012,https://euroqol.org/about-us/our-members/member-detail/?memberid=18012
Yaling Yang,Oxford University,18014,https://euroqol.org/about-us/our-members/member-detail/?memberid=18014
Yan Feng,Queen Mary University of London,18016,https://euroqol.org/about-us/our-members/member-detail/?memberid=18016
You-Shan Feng,"Medical University Tübingen, Germany",18018,https://euroqol.org/about-us/our-members/member-detail/?memberid=18018
Zhihao Yang,Guizhou Medical University,18019,https://euroqol.org/about-us/our-members/member-detail/?memberid=18019
Zhuxin Mao,University of Antwerp,18021,https://euroqol.org/about-us/our-members/member-detail/?memberid=18021
