name,raw_names,is_project_leader,is_member,n_projects,project_ids,member_id,member_affiliation,member_profile_url,possible_same_person
Andrew Lenny,Andrew Lenny,1,0,1,239-RA,,,,
Andrew Lloyd,Andrew Lloyd,1,1,3,1475-RA;1806-RA;20190510,17791,Acaster Lloyd,https://euroqol.org/about-us/our-members/member-detail/?memberid=17791,
Ann Charlotte Egmar,Ann Charlotte Egmar,1,0,1,2013060,,,,
Anna Krabbe-Lugner,Anna Krabbe-Lugner;Anna Lugner,1,1,1,2015010,17793,"Ministry of Infrastructure and Water Management, the Netherlands",https://euroqol.org/about-us/our-members/member-detail/?memberid=17793,
Annette Regan,Annette Regan,1,0,3,1796-RA;260-RA;384-RA,,,,
Annushiah Vasan Thakumar,Annushiah Vasan Thakumar,1,0,2,2297-EO;2629-RA,,,,
Antony Martin,Antony Martin,1,0,1,319-RA,,,,
Arjun Bhadhuri,Arjun Bhadhuri,1,0,1,2506-RA,,,,
Arthur Attema,Arthur Attema,1,0,4,1602-RA;236-RA;237-RA;435-RA,,,,
Arto Ohinmaa,Arto Ohinmaa,1,1,2,1744-EO;2015380,17795,"School of Public Health, University of Alberta, Edmonton, Canada",https://euroqol.org/about-us/our-members/member-detail/?memberid=17795,
Asrul Shafie,Asrul Shafie,1,0,3,2016100;2016190;20190290,,,,
Ataru Igarashi,Ataru Igarashi,0,1,0,,17797,The University of Tokyo,https://euroqol.org/about-us/our-members/member-detail/?memberid=17797,
Aureliano Finch,A Finch;Aureliano Finch;Aureliano Paolo Finch,1,1,4,122-RA;1927-RA;20170210;20190460,19003,"EuroQol Office, EuroQol Research Foundation",https://euroqol.org/about-us/our-members/member-detail/?memberid=19003,
Ava Hoogenboom,Ava Hoogenboom,1,0,1,1934-TVG,,,,
Aysenur Ahsen,Aysenur Ahsen,1,0,1,2206-RA,,,,
Barbara Spady,Barbara Spady,0,1,0,,17798,University of Calgary,https://euroqol.org/about-us/our-members/member-detail/?memberid=17798,
Bas Janssen,Bas (MF) Janssen;Bas Janssen,1,1,10,155-RA;157-RA;2012040;2015450;2016620;20170600;240-RA;2594-RA;458-RA;461-RA,19005,,https://euroqol.org/about-us/our-members/member-detail/?memberid=19005,
Beata Koń,Beata Koń,1,0,1,91-RA,,,,
Begashaw Melaku Gebresillassie,Begashaw Melaku Gebresillassie,1,0,2,1591-RA;436-RA,,,,
Ben Van Hout,Ben Van Hout,1,1,2,2014025;20190940,17799,Open Health/University of Sheffield,https://euroqol.org/about-us/our-members/member-detail/?memberid=17799,
Benedicte Lescrauwaet,Benedicte Lescrauwaet,1,0,1,2403-BT,,,,
Benjamin Matthew Craig,Benjamin Craig;Benjamin M. Craig;Benjamin Matthew Craig,1,1,15,1769-RA;1850-RA;2013100;2013130;2015030;2015290;2016020;2016720;20170260;2266-TVG;2337-RA;2501-RA;302-EO;304-PHD;464-RA,19813,"University of South Florida, Tampa, USA",https://euroqol.org/about-us/our-members/member-detail/?memberid=19813,
Bernhard Michalowsky,"Bernhard Michalowsky;Michalowsky, Bernhard",1,1,6,152-RA;1592-RA;1791-RA;2002-RA;244-RA;349-RA,17803,"German Center for Neurodegenerative Diseases (DZNE), Greifswald, Germany & McMaster University, Hamilton, Canada",https://euroqol.org/about-us/our-members/member-detail/?memberid=17803,
Bernhard Slaap,Bernhard Slaap,1,0,1,20200050,,,,
Birol Yetim,Birol Yetim,1,0,1,2247-VS,,,,
Bosiljka Djikanovic,Bosiljka Djikanovic,1,0,1,2128-VS,,,,
Bram Roudijk,Bram Roudijk,1,1,7,100-RA;169-RA;1694-RA;1923-RA;20180340R1;20190780;2647-RA,17805,EuroQol Research Foundation,https://euroqol.org/about-us/our-members/member-detail/?memberid=17805,
Brendan Mulhern,Brendan Mulhern,1,1,13,1903-RA;1926-RA;1976-TVG;2014010;2015460;2016260;2016650;20170670;20180300;20180460;234-VS;322-RA;99-RA,17807,University of Technology Sydney,https://euroqol.org/about-us/our-members/member-detail/?memberid=17807,
Brigitte Essers,Brigitte Essers,1,0,1,2016740,,,,
Caitlyn Solem,Caitlyn Solem,0,1,0,,17809,GSK,https://euroqol.org/about-us/our-members/member-detail/?memberid=17809,
Camilla Falivena,Camilla Falivena,1,0,1,354-RA,,,,
Carlos Wong,Carlos Wong,1,1,6,2012030;2014050;20180530;20190250;2421-RA;333-RA,17811,London School Hygiene & Tropical Medicine,https://euroqol.org/about-us/our-members/member-detail/?memberid=17811,
Carrie-Anne Ng,Carrie-Anne Ng,1,0,1,2157-RA,,,,
Cate Bailey,Cate Bailey;Dr Cate Bailey,1,1,9,1559-RA;1566-RA;1772-RA;1872-RA;2032-RA;2096-RA;2439-RA;2440-RA;295-RA,21677,University of Melbourne,https://euroqol.org/about-us/our-members/member-detail/?memberid=21677,
Cathrine Elgaard Jensen,Cathrine Elgaard Jensen,1,0,1,1606-RA,,,,
Chris Flood,Chris Flood;Professor Chris Flood,1,0,1,2005-SG,,,,
Chris Sampson,Chris Sampson,1,1,3,116-RA;2112-EOI;427-RA,17815,Office of Health Economics,https://euroqol.org/about-us/our-members/member-detail/?memberid=17815,
Christine Mpundu-Kaambwa,Christine Mpundu-Kaambwa;Dr Christine Mpundu-Kaambwa,1,0,2,1709-RA;2129-RA,,,,
Ciaran O'Neill,Ciaran O'Neill,1,0,1,2013280,,,,
Claire Gudex,Claire Gudex,1,1,1,20170400,17817,University of Southern Denmark,https://euroqol.org/about-us/our-members/member-detail/?memberid=17817,
Clara Mukuria,Clara Mukuria,1,1,6,1892-RA;2016240;20190310;2217-TR;2234-TVG;326-RA,17819,University of Sheffield,https://euroqol.org/about-us/our-members/member-detail/?memberid=17819,
Clement Cheuk Wai Ng,Clement Cheuk Wai Ng,1,0,3,1691-RA;1703-RA;211-RA,,,,
Corneliu Bolbocean,Corneliu Bolbocean,1,0,1,1869-SG,,,,
Cristina Guttierez,Cristina Guttierez,1,0,1,20180290,,,,
Cynthia L. Gong,Cynthia L. Gong,1,0,1,328-RA,,,,
Daliya Kaskirbayeva,Daliya Kaskirbayeva,1,0,1,2013-RA,,,,
Darshini Govindasamy,Darshini Govindasamy,1,0,1,144-RA,,,,
David Mott,David Mott,1,1,2,104-RA;432-RA,17821,Office of Health Economics,https://euroqol.org/about-us/our-members/member-detail/?memberid=17821,
David Parkin,David Parkin,1,1,1,20170440,17823,,https://euroqol.org/about-us/our-members/member-detail/?memberid=17823,
David Whitehurst,David Whitehurst,1,1,1,2016350,17825,Simon Fraser University,https://euroqol.org/about-us/our-members/member-detail/?memberid=17825,
Deborah Marshall,Deborah Marshall,1,0,1,1752-RA,,,,
Deborah Street,Deborah Street,1,1,1,20190350,17827,University of Technology Sydney,https://euroqol.org/about-us/our-members/member-detail/?memberid=17827,
Des Scott,Des Scott;Desiree Scott,1,1,1,2248-TR,17829,University of Cape Town,https://euroqol.org/about-us/our-members/member-detail/?memberid=17829,
Dominik Golicki,Dominik Golicki,1,1,10,1575-VS;2015240;2015280;2016110;2038-RA;2100-EOI;214-RA;2479-RA;337-RA;339-RA,17831,Medical Univeristy of Warsaw,https://euroqol.org/about-us/our-members/member-detail/?memberid=17831,
Donna Rowen,Donna Rowen,1,1,5,134-RA;1524-VS;20190140;2201-RA;222-RA,17833,University of Sheffield,https://euroqol.org/about-us/our-members/member-detail/?memberid=17833,
Edward Webb,Edward JD Webb;Edward Webb,1,1,2,2316-RA;289-RA,18646,University of Leeds,https://euroqol.org/about-us/our-members/member-detail/?memberid=18646,
Edwine Barasa,Edwine Barasa,1,0,1,2233-VS,,,,
Eleanor Pullenayegum,Eleanor Pullenayegum,1,1,6,109-RA;2015130;2015140;20190270;20190430;2340-RA,17835,The Hospital for Sick Children,https://euroqol.org/about-us/our-members/member-detail/?memberid=17835,
Elena Olariu,Elena Olariu,1,0,1,20180030R1,,,,
Eliza Wong,Eliza Wong,1,0,1,20180750,,,,
Elizabeth Tompkins,Elizabeth Tompkins;Elizabeth Tompkins (known as Elizabeth Goodwin),1,0,1,1572-RA,,,,
Elly Stolk,Elly Stolk,1,1,11,1721-RA;1761-EO;2013090;2013300;2014060;2015430;2016410;2138-TR;2219-PCG;2262-RA;2644-EO,17837,EuroQol Research Foundation,https://euroqol.org/about-us/our-members/member-detail/?memberid=17837,
Elske van den Akker-van Marle,Elske van den Akker-van Marle;M. Elske van den Akker-van Marle,1,0,4,1447-RA;1792-SG;2408-RA;2420-BT,,,,
Emelie Heintz,Emelie Heintz,1,0,1,20180760,,,,
Emily McDool,Emily McDool,1,0,3,1455-RA;1665-RA;2097-RA,,,,
Emma Pleeging,Dr. Emma Pleeging;Emma Pleeging,1,0,1,2186-RA,,,,
Eri Hoshino,Eri Hoshino,1,0,1,2085-VS,,,,
Erica Lubetkin,Erica Lubetkin,0,1,0,,17839,City University of New York School of Medicine,https://euroqol.org/about-us/our-members/member-detail/?memberid=17839,
Ernest Law,Ernest Law,0,1,0,,17841,Pfizer,https://euroqol.org/about-us/our-members/member-detail/?memberid=17841,
Erwin Birnie,Erwin Birnie,1,0,1,20200060,,,,
Esther de Bekker-Grob,Esther de Bekker-Grob,1,0,1,2095-EO,,,,
Eszter Szlávicz,Eszter Szlávicz,1,0,1,2400-RA,,,,
Fan Yang,Fan Yang,0,1,0,,17843,Analysis Group,https://euroqol.org/about-us/our-members/member-detail/?memberid=17843,
Fanni Rencz,Fanni Rencz,1,1,6,119-RA;1700-RA;1800-RA;192-VS;2000-RA;20170500,17845,"Corvinus University of Budapest, Department of Health Policy",https://euroqol.org/about-us/our-members/member-detail/?memberid=17845,
Fatima Al Sayah,Fatima Al Sayah,1,1,13,102-RA;1465-VS;1696-RA;1931-RA;1974-VS;1984-RA;20190050;2116-EOI;2413-RA;2487-TVG;2490-EO;2560-RA;96-EO,17847,"University of Alberta (Canada), Centre for Clinical, Health Economics, and Outcomes Research, CCHO (Lebanon, UAE, KSA)",https://euroqol.org/about-us/our-members/member-detail/?memberid=17847,
Federico Augustovski,Federico Augustovski,1,1,10,1605-RA;1891-RA;2012-RA;2013070;2015-RA;2016360;20170170;20170660;20180580;2119-RA,17849,Institute for Clinical Effectiveness and Health Policy (IECS),https://euroqol.org/about-us/our-members/member-detail/?memberid=17849,
Felix Masiye,Felix Masiye,1,0,1,2238-VS,,,,
Feng Xie,FENG XIE;Feng Xie,1,1,22,137-RA;1587-TVG;1704-RA;1793-RA;2013050;2013180;2013230;2013270;2015120;2016-RA;2016060;2016080;2016540;20170100;20180310;20191110;2023-RA;2170-RA;2566-RA;2593-RA;342-RA;345-PHD,17851,McMaster University,https://euroqol.org/about-us/our-members/member-detail/?memberid=17851,
Fernando Argento,Fernando Argento,1,0,3,2169-RA;2171-RA;2436-RA,,,,
Frank De Charro,Frank De Charro;Frank de Charro,1,1,1,2013080,17853,,https://euroqol.org/about-us/our-members/member-detail/?memberid=17853,
Fredrick Purba,"Fredrick Dermawan Purba;Fredrick Dermawan Purba, PhD;Fredrick Purba",1,1,16,1644-RA;1910-RA;1914-RA;2016420;20180140;20180430;20190130;20190440;2035-RA;2113-EOI;2177-RA;2203-RA;242-RA;2463-RA;2466-RA;442-RA,17855,Universitas Padjadjaran,https://euroqol.org/about-us/our-members/member-detail/?memberid=17855,
Gerard De Pouvourville,Gerard De Pouvourville,1,0,2,20170510;20190020,,,,
Gerkens Sophie,Gerkens Sophie,1,0,1,20170491,,,,
Girma Tekle Gebremariam,Girma  Tekle Gebremariam;Girma Tekle Gebremariam,1,0,1,343-RA,,,,
Gisela Cristiane Miyamoto,Gisela Cristiane Miyamoto,1,0,4,2308-VS;2410-RA;2468-RA;2482-EO,,,,
Goitom Molalign Takele,Goitom Molalign;Goitom Molalign Takele;goitom molalign,1,0,4,1735-RA;227-RA;317-RA;449-RA,,,,
Gordon Liu,Gordon Liu,1,0,1,2012010,,,,
Gouke Bonsel,Gouke Bonsel,1,1,9,2013150;2014090;2016160;2016670;2016750;20170360;238-RA;512-RA;645-RA,17861,EuroQol Research Foundation,https://euroqol.org/about-us/our-members/member-detail/?memberid=17861,
Guangjie Zhang,Guangjie Zhang,1,0,2,1758-EO;1985-EO,,,,
Hajer Falfel,Hajer Falfel,1,0,1,20190040,,,,
Hannah Hussain,Hannah Hussain,1,0,1,1967-RA,,,,
Hannah Penton,Hannah Penton,1,1,3,1453-RA;1493-RA;1494-RA,17863,,https://euroqol.org/about-us/our-members/member-detail/?memberid=17863,
Haode Wang,Haode Wang,1,0,2,1963-RA;2107-TVG,,,,
Harri Sintonen,Harri Sintonen,0,1,0,,17865,University of Helsinki/Department of Public Health,https://euroqol.org/about-us/our-members/member-detail/?memberid=17865,
Helen Harcombe,Helen Harcombe,1,0,1,2015160,,,,
Henry Bailey,Henry Bailey,1,1,6,1414-EO;1767-RA;20170390;20180040R1;341-RA;357-RA,17867,The University of the West Indies,https://euroqol.org/about-us/our-members/member-detail/?memberid=17867,
Hesam Ghiasvand,Hesam Ghiasvand,1,0,1,2423-BT,,,,
Hilton Lam,Hilton Lam,1,0,1,20170230,,,,
Hoang Van Mi,Hoang Van Mi,1,0,1,20170220,,,,
Hsiang-Wen Lin,Hsiang-Wen Lin,1,0,1,2016440,,,,
Ilan Koppen,Ilan Koppen,1,0,1,1468-RA,,,,
Ilias Goranitis,Ilias Goranitis,1,0,1,454-RA,,,,
Ines Buchholz,Ines Buchholz,1,1,2,1785-RA;2016170,17869,None,https://euroqol.org/about-us/our-members/member-detail/?memberid=17869,
Irina Kinchin,Irina Kinchin,1,0,3,1676-RA;1912-RA;235-RA,,,,
Iwan van der Horst,Iwan van der Horst,1,0,1,1539-SG,,,,
Jahangir Khan,Jahangir Khan,1,0,2,1669-VS;2480-EO,,,,
James Shaw,James Shaw,0,1,0,,17871,Takeda Pharmaceuticals,https://euroqol.org/about-us/our-members/member-detail/?memberid=17871,
Jan Abel Olsen,Jan Abel Olsen;Professor Jan Abel Olsen,1,1,3,1830-RA;1973-TVG;2295-RA,17873,"Department of Community Medicine, UiT The Arctic University of Norway",https://euroqol.org/about-us/our-members/member-detail/?memberid=17873,
Jan Busschbach,Jan Busschbach,1,1,5,2013240;2015230;2016040;2016421;20170160,17875,Erasmus MC,https://euroqol.org/about-us/our-members/member-detail/?memberid=17875,
Jan Faller,Jan Faller,1,0,2,1851-TVG;2197-EO,,,,
Jan Heijdra Suasnabar,Jan Heijdra Suasnabar,1,0,2,2265-EO;2301-RA,,,,
Jan Henrik Terheyden,"Jan Henrik Terheyden;Terheyden, Jan Henrik",1,0,1,2357-BT,,,,
Jan Verhaar,Jan Verhaar,1,0,1,200-RA,,,,
Janine van Til,Janine van Til,1,0,1,285-PHD,,,,
Janine Verstraete,Janine Verstraete,1,1,13,142-RA;147-RA;1681-RA;1859-TVG;1928-RA;20180730;20190200;20190670;2226-TR;2633-TVG;365-RA;425-RA;426-RA,17877,University of Cape Town,https://euroqol.org/about-us/our-members/member-detail/?memberid=17877,
Jarinne Woudstra-de Jong,Jarinne Woudstra-de Jong,1,0,2,2289-BT;2326-RA,,,,
Jeffrey Johnson,Jeff Johnson;Jeffrey A Johnson;Jeffrey A. Johnson;Jeffrey Johnson,1,1,13,1871-RA;1989-SG;2016500;2016520;20170610;20180170R1;20190690;20190810;216-RA;2257-RA;2553-RA;367-RA;445-RA,17879,University of Alberta,https://euroqol.org/about-us/our-members/member-detail/?memberid=17879,
Jennifer Jelsma,Jennifer Jelsma,1,1,11,1713-RA;2013110;2014200;2016120;2016180;20170250;20170540;20170650;20190030;20190500;20191210,17881,University of Cape Town,https://euroqol.org/about-us/our-members/member-detail/?memberid=17881,
Jenny Downs,Jenny Downs,1,0,1,429-RA,,,,
Jeremy Dietz,Jeremy Dietz,1,0,1,1879-EO,,,,
Jermaine Dambi,Jermaine Dambi,1,0,1,212-RA,,,,
Jeshika Singh,Jeshika Singh,1,0,1,2015390,,,,
Jessica Roydhouse,Jessica Roydhouse,1,0,2,1557-RA;2134-RA,,,,
Jia Jia Lee,Jia Jia Lee,1,0,4,1971-EO;2125-RA;2179-RA;2299-EO,,,,
Jiabi Wen,Jiabi Wen,1,0,1,2288-EO,,,,
Jill Carlton,Jill Carlton,1,0,2,1988-RA;2148-RA,,,,
Jiyoung Park,Jiyoung Park,1,0,1,2450-RA,,,,
Johannes Clouth,Johannes Clouth,0,1,0,,17883,Retired,https://euroqol.org/about-us/our-members/member-detail/?memberid=17883,
John Brazier,John Brazier,1,1,3,2014080;2016660;2016710,17885,University of Sheffield,https://euroqol.org/about-us/our-members/member-detail/?memberid=17885,
John Hartman,John Hartman,1,1,3,2016680;2016690;20180560,17887,GSK,https://euroqol.org/about-us/our-members/member-detail/?memberid=17887,
John Yfantopoulos,John (Yannis) Yfantopoulos;John Yfantopoulos,1,1,1,1710-VS,17889,University of Athens,https://euroqol.org/about-us/our-members/member-detail/?memberid=17889,
Jonathan Nazari,Jonathan Nazari,1,0,3,2264-EO;2414-RA;2583-EO,,,,
Jose Luis Pinto-Prades,Jose Luis Pinto-Prades,1,0,1,2015210,,,,
Josephine Walker,Josephine Walker,1,0,1,1732-VS,,,,
Joshua Bonsel,Joshua Bonsel,1,0,3,145-RA;1483-TVG;287-PHD,,,,
Juan Cabasés,Juan Cabasés,0,1,0,,17891,"Department of Economics, Universidad Pública de Navarra",https://euroqol.org/about-us/our-members/member-detail/?memberid=17891,
Juan M. Ramos-Goñi,Juan M. Ramos-Goñi;Juan Manuel Ramos-Goñi,1,1,9,2013320;2014210;2016430;2016510;2016610;20170310R2;2588-TR;450-RA;74-RA,17893,Maths in Health,https://euroqol.org/about-us/our-members/member-detail/?memberid=17893,
Juan Pedro Alonso,Juan Pedro Alonso,1,0,1,2592-RA,,,,
Juanita Haagsma,Juanita Haagsma,1,1,17,141-RA;1498-PHD;151-RA;1604-RA;1954-RA;20180330;20180380;20180630;20190120;2159-RA;2426-PHD;243-RA;2456-BT;315-RA;420-RA;460-RA;77-RA,17895,Erasmus MC,https://euroqol.org/about-us/our-members/member-detail/?memberid=17895,
Judith Bosmans,Judith Bosmans,1,0,1,71-RA,,,,
Julia Fox-Rushby,Julia Fox-Rushby;Professor Julia Fox-Rushby,1,0,1,2109-RA,,,,
Julie Ratcliffe,Julie Ratcliffe,1,0,1,194-RA,,,,
Juntana Pattanaphesaj,Juntana Pattanaphesaj,1,0,1,2013030,,,,
Katie Page,Katie Page,1,0,1,20180301,,,,
Katie Spencer,Katie Spencer,1,0,1,20180670,,,,
Katy Gallop,Katy Gallop,1,0,4,1884-RA;2011-RA;2014-RA;2432-BT,,,,
Kelly de Ligt,Kelly de Ligt,1,0,1,2317-RA,,,,
Kidu Gidey,Kidu Gidey,1,0,1,1627-RA,,,,
Kim Dalziel,Kim Dalziel,1,0,4,111-RA;2017-RA;330-PHD;361-RA,,,,
Kim Rand,Kim Rand,1,1,14,1507-VS;1854-EO;2014070;2015070;2015250;2015260;2015270;20190580;20191190;209-RA;2471-RA;2540-EO;2626-RA;309-RA,17897,"Maths in Health and the Health Services Research Centre, Akershus University Hospital",https://euroqol.org/about-us/our-members/member-detail/?memberid=17897,
Klas Goran Sahlen,Klas Goran Sahlen,1,0,1,20180770,,,,
KM Vermeulen,KM Vermeulen,1,0,1,2016700,,,,
Knut Stavem,Knut Stavem,1,1,1,1816-RA,17899,Akershus University Hospital,https://euroqol.org/about-us/our-members/member-detail/?memberid=17899,
Kompal Sinha,Kompal Sinha,1,0,1,430-RA,,,,
Koonal Shah,Koonal Shah,1,1,8,117-RA;2015050;2015440;2016150;2016370;20190490;20190660;82-RA,17901,NICE,https://euroqol.org/about-us/our-members/member-detail/?memberid=17901,
Kristina Burström,Kristina Burström,1,0,1,2016480,,,,
Kristina Ludwig,Kristina Ludwig,1,1,1,1762-RA,17905,"(1) Department of Health Economics & Health Care Management, School of Public Health, Bielefeld University, Germany; (2) EuroQol Research Foundation",https://euroqol.org/about-us/our-members/member-detail/?memberid=17905,
Kristina Secnik Boye,Kristina Secnik Boye,0,1,0,,17907,Eli Lilly and Company,https://euroqol.org/about-us/our-members/member-detail/?memberid=17907,
Lan Gao,Lan Gao,1,0,4,1771-RA;198-RA;2141-RA;2363-BT,,,,
Lars Ehlers,Lars Ehlers,1,0,1,20170401,,,,
Leida Lamers,Leida Lamers,0,1,0,,17909,"Ministry of Health, Welfare and Sports",https://euroqol.org/about-us/our-members/member-detail/?memberid=17909,
Lidia Engel,Lidia Engel,1,1,6,1481-PHD;150-RA;2008-RA;20190960;2173-RA;2453-RA,17911,Monash University,https://euroqol.org/about-us/our-members/member-detail/?memberid=17911,
Lina Maria Serna Higuita,Lina Maria Serna Higuita,1,0,1,2338-RA,,,,
Ling Jie Cheng,Ling Jie CHENG;Ling Jie Cheng,1,1,8,1663-TVG;1961-EO;2078-RA;2246-EO;2267-EO;2329-RA;2531-EO;2605-RA,19028,University of Oxford,https://euroqol.org/about-us/our-members/member-detail/?memberid=19028,
Ling-Hsiang Chuang,Ling-Hsiang Chuang,1,1,3,1482-RA;2407-BT;241-RA,17913,,https://euroqol.org/about-us/our-members/member-detail/?memberid=17913,
Liv Ariane Augestad,Liv Ariane Augestad,0,1,0,,17914,University of Oslo,https://euroqol.org/about-us/our-members/member-detail/?memberid=17914,
Louise Longworth,Louise Longworth,1,1,4,2013190;2016300;20200020;2115-EOI,17916,Arrow Health Economics,https://euroqol.org/about-us/our-members/member-detail/?memberid=17916,
Lucila Rey Ares,Lucila Rey Ares,1,1,2,2015340;2016340,17918,,https://euroqol.org/about-us/our-members/member-detail/?memberid=17918,
Lucky Ngwira,Lucky Gift Ngwira;Lucky Ngwira,1,0,5,1734-TVG;1943-EO;20200030;2025-RA;2252-EO,,,,
Luis Rajmil,Luis Rajmil,1,0,1,2016490,,,,
Lyazzat Kosherbayeva,Lyazzat Kosherbayeva,1,0,1,2232-VS,,,,
madeeha malik,Madeeha Malik;madeeha malik,1,0,3,1670-VS;20180660;344-VS,,,,
Maja Kuharic,Maja Kuharic,1,1,7,1514-RA;1811-RA;1915-RA;2037-RA;2040-RA;2042-RA;414-PHD,19030,Northwestern University,https://euroqol.org/about-us/our-members/member-detail/?memberid=19030,
Maksat Jumamyradov,Maksat Jumamyradov,1,0,3,1716-TVG;207-RA;2428-RA,,,,
Malin Regardt,Malin Regardt,1,0,1,352-RA,,,,
Marcel Jonker,"Marcel Jonker;Marcel Jonker, PhD",1,1,18,1413-RA;1484-RA;1489-RA;1611-RA;1612-RA;163-RA;1679-RA;1693-RA;1695-RA;1919-RA;20180320;20190170;20191070;20191180;2178-RA;2204-RA;356-PHD;415-RA,17920,,https://euroqol.org/about-us/our-members/member-detail/?memberid=17920,
Maresa Buchholz,Maresa Buchholz,1,0,2,1582-RA;2057-TVG,,,,
Margreet Franken,Margreet Franken,1,0,1,196-RA,,,,
María Belizán,María Belizan;María Belizán,1,0,3,1885-RA;2412-BT;2589-RA,,,,
Marisa Da Santos,MARISA SANTOS;Marisa Da Santos;Marisa Santos,1,1,2,1445-RA;20190630,17922,Instituto Nacional de Cardiologia,https://euroqol.org/about-us/our-members/member-detail/?memberid=17922,
Mark Oppe,Mark Oppe,1,1,5,2013220;2015300;2016140;2016590;452-RA,17924,EuroQol Research Foundation,https://euroqol.org/about-us/our-members/member-detail/?memberid=17924,
Mark Sculpher,Mark Sculpher,1,0,1,20180710,,,,
Márta Péntek,Márta Péntek,0,1,0,,19179,Obuda University,https://euroqol.org/about-us/our-members/member-detail/?memberid=19179,
Martijn Doeleman,Martijn Doeleman,1,0,1,2101-EO,,,,
Martin Härter,Martin Härter,1,0,1,1719-RA,,,,
Martine Hoogendoorn,Martine Hoogendoorn;Martine Hoogendoorn-Lips,1,0,2,20190850;2339-BT,,,,
Marufa Sultana,Marufa Sultana,1,0,3,1646-RA;2106-RA;2417-RA,,,,
Matthijs Versteegh,Matthijs Versteegh,1,1,2,2013310;2359-PHD,17928,Huygens & Versteegh,https://euroqol.org/about-us/our-members/member-detail/?memberid=17928,
Maureen Rutten-van Molken,Maureen Rutten-van Molken,1,0,1,2015020,,,,
Meixia Liao,Meixia Liao,1,0,1,1979-EO,,,,
Meles Tekie,Meles Tekie,1,0,1,223-RA,,,,
Merhawit Gerezgiher,Merhawit Gerezgiher,1,0,1,1490-RA,,,,
Michael Herdman,Michael Herdman,1,1,2,2014110;2016730,17930,Insight Consulting & Research,https://euroqol.org/about-us/our-members/member-detail/?memberid=17930,
Michał Jakubczyk,Michal Jakubczyk;Michał Jakubczyk,1,1,14,1530-RA;1574-RA;1585-RA;1689-RA;1930-RA;2009-RA;2015320;2016640;20190070;2132-RA;2143-RA;2144-RA;404-RA;431-RA,17934,"SGH Warsaw School of Economics, Poland",https://euroqol.org/about-us/our-members/member-detail/?memberid=17934,
Michela Meregaglia,Michela Meregaglia,1,0,2,2043-RA;351-RA,,,,
Mihir Gandhi,Mihir Gandhi,1,1,3,20170180;2224-RA;389-RA,17936,Duke-NUS Medical School,https://euroqol.org/about-us/our-members/member-detail/?memberid=17936,
Mihretab Gebreslassie,Mihretab Gebreslassie,1,0,2,1781-RA;2564-RA,,,,
Milad Karimi,Milad Karimi,1,1,2,2016560;20190550,17937,,https://euroqol.org/about-us/our-members/member-detail/?memberid=17937,
Mimmi Åström,Mimmi Åström,1,1,3,1776-RA;2015400;20190980,17938,Karolinska Institutet,https://euroqol.org/about-us/our-members/member-detail/?memberid=17938,
Min-Joo Woo,Min-Joo Woo,1,0,1,2013020,,,,
Min-Woo Jo,Min-Woo Jo,0,1,0,,17940,"Department of Preventive Medicine, University of Ulsan College of Medicine",https://euroqol.org/about-us/our-members/member-detail/?memberid=17940,
