name,scale_status,next_action,review_reason,resolution_status,chosen_id,additional_profile_ids_held,chosen_name,orcid,affiliation,member_affiliation,total_works,eq_works,alternatives,project_ids,is_member,cached_profile_path
Fredrick Purba,ready,use_cached_profile,,ok,A5059806422,,Fredrick Dermawan Purba,0000-0002-7336-3043,Padjadjaran University,Universitas Padjadjaran,148,62,A5126954425=Fredrick Purba(1 eq),1644-RA;1910-RA;1914-RA;2016420;20180140;20180430;20190130;20190440;2035-RA;2113-EOI;2177-RA;2203-RA;242-RA;2463-RA;2466-RA;442-RA,1,artefacts/03_works/A5059806422.json
Benjamin Matthew Craig,ready,use_cached_profile,,ok,A5029949490,,Benjamin M. Craig,0000-0003-1121-1316,University of South Florida,"University of South Florida, Tampa, USA",118,43,A5008541510=Benjamin Thomas(3 eq); A5085528800=Joshua D. Stein(2 eq),1769-RA;1850-RA;2013100;2013130;2015030;2015290;2016020;2016720;20170260;2266-TVG;2337-RA;2501-RA;302-EO;304-PHD;464-RA,1,artefacts/03_works/A5029949490.json
Kim Rand,ready,use_cached_profile,,ok,A5041551368,,Kim Rand,0000-0001-7692-4099,Akershus University Hospital,"Maths in Health and the Health Services Research Centre, Akershus University Hospital",66,33,A5043214580=and Kim Rand(1 eq),1507-VS;1854-EO;2014070;2015070;2015250;2015260;2015270;20190580;20191190;209-RA;2471-RA;2540-EO;2626-RA;309-RA,1,artefacts/03_works/A5041551368.json
Michał Jakubczyk,ready,use_cached_profile,,ok,A5015781187,,Michał Jakubczyk,0000-0002-0006-6769,SGH Warsaw School of Economics,"SGH Warsaw School of Economics, Poland",128,30,,1530-RA;1574-RA;1585-RA;1689-RA;1930-RA;2009-RA;2015320;2016640;20190070;2132-RA;2143-RA;2144-RA;404-RA;431-RA,1,artefacts/03_works/A5015781187.json
Brendan Mulhern,ready,use_cached_profile,,ok,A5090013218,,Brendan Mulhern,0000-0003-3656-8063,University of Technology Sydney,University of Technology Sydney,294,164,A5009868132=Brendan J. Mulhern(1 eq); A5132596277=Brendan Mulhern(1 eq); A5122901134=Mulhern Brendan(1 eq),1903-RA;1926-RA;1976-TVG;2014010;2015460;2016260;2016650;20170670;20180300;20180460;234-VS;322-RA;99-RA,1,artefacts/03_works/A5090013218.json
Fatima Al Sayah,ready,use_cached_profile,,ok,A5026033494,A5058978537,Fatima Al Sayah,0000-0003-3891-5452,University of Alberta,"University of Alberta (Canada), Centre for Clinical, Health Economics, and Outcomes Research, CCHO (Lebanon, UAE, KSA)",103,66,A5058978537=Fatima Hussein Al Sayah(6 eq); A5130247173=Fatima Al Sayah(1 eq),102-RA;1465-VS;1696-RA;1931-RA;1974-VS;1984-RA;20190050;2116-EOI;2413-RA;2487-TVG;2490-EO;2560-RA;96-EO,1,artefacts/03_works/A5026033494.json
Janine Verstraete,ready,use_cached_profile,,ok,A5006452129,,Janine Verstraete,0000-0002-1148-4747,University of Cape Town,University of Cape Town,88,46,A5095559141=Verstraete Janine(1 eq),142-RA;147-RA;1681-RA;1859-TVG;1928-RA;20180730;20190200;20190670;2226-TR;2633-TVG;365-RA;425-RA;426-RA,1,artefacts/03_works/A5006452129.json
Paul Kind,ready,use_cached_profile,,ok,A5013594779,,Paul Kind,0000-0003-2377-1652,University of Leeds,"Health Economics Policy Lab (HEPL), University College London",240,139,A5136640933=Paul Kind(1 eq),1583-RA;1786-RA;2009018;2010011;2014120;2014220;2015350;2015420;2016050;2016200;20191040;20191050;78-RA,1,artefacts/03_works/A5013594779.json
Tessa Peasgood,ready,use_cached_profile,,ok,A5022446221,A5137019908,Tessa Peasgood,0000-0001-8024-7801,University of Sheffield,University of Sheffield,121,62,A5137019908=Tessa Peasgood(4 eq); A5140631355=Tessa Peasgood(1 eq),1823-RA;1916-RA;20180350;20190260;2207-RA;224-RA;2366-EO;2470-RA;2488-TVG;2493-RA;282-RA;348-PHD,1,artefacts/03_works/A5022446221.json
Wolfgang Greiner,ready,use_cached_profile,,ok,A5001823062,A5076750502,Wolfgang Greiner,0000-0001-9552-6969,Bielefeld University,Bielefeld University,570,85,A5076750502=Wolfgang Greiner(4 eq),1603-RA;2012020;2013200;2014030;2014160;2015200;2016530;20170020;20180010;20180260;20180510;2433-RA,1,artefacts/03_works/A5001823062.json
Elly Stolk,ready,use_cached_profile,,ok,A5033903811,A5078693305,Elly Stolk,0000-0001-5968-0416,,EuroQol Research Foundation,161,79,A5078693305=EA Stolk(5 eq),1721-RA;1761-EO;2013090;2013300;2014060;2015430;2016410;2138-TR;2219-PCG;2262-RA;2644-EO,1,artefacts/03_works/A5033903811.json
Jennifer Jelsma,ready,use_cached_profile,,ok,A5064611767,A5139685966,Jennifer Jelsma,0000-0003-4049-8395,University of Cape Town,University of Cape Town,162,49,A5139685966=Jennifer Jelsma(3 eq),1713-RA;2013110;2014200;2016120;2016180;20170250;20170540;20170650;20190030;20190500;20191210,1,artefacts/03_works/A5064611767.json
Stefan Lipman,ready,use_cached_profile,,ok,A5078862538,,Stefan A. Lipman,0000-0002-8784-9650,National Institute for Public Health and the Environment,"Erasmus School of Health Policy & Management (ESHPM), Erasmus University Rotterdam",56,21,,120-RA;1783-RA;1992-RA;20190080R1;20190860;20190890;205-RA;2404-RA;245-RA;416-RA;417-RA,1,artefacts/03_works/A5078862538.json
You-Shan Feng,ready,use_cached_profile,,ok,A5091571513,,You‐Shan Feng,0000-0003-1509-3409,Universitätsklinikum Tübingen,"Medical University Tübingen, Germany",67,20,A5140621214=You-Shan Feng(1 eq),127-RA;1593-RA;1600-RA;1898-RA;1901-RA;1902-RA;2200-RA;2312-BT;2373-RA;2544-RA;329-RA,1,artefacts/03_works/A5091571513.json
Abraham Gebregziabiher,ready,use_cached_profile,,ok,A5061701004,,Abraham Gebregziabiher Welie,0000-0003-4661-7287,Mekelle University,"1School of Pharmacy, College of Health Science, Mekelle University.",6,4,A5113330806=Abraham Gebregziabiher(1 eq),133-RA;1798-RA;20170480;20180500;20191010;2124-RA;225-RA;313-PHD;340-RA;89-RA,1,artefacts/03_works/A5061701004.json
Bas Janssen,ready,use_cached_profile,,ok,A5020933378,A5111827091,Mathieu F. Janssen,0000-0001-6602-6949,Erasmus MC,,117,92,A5111827091=Bas Janssen(37 eq); A5058167663=MF Bas Janssen(1 eq),155-RA;157-RA;2012040;2015450;2016620;20170600;240-RA;2594-RA;458-RA;461-RA,1,artefacts/03_works/A5020933378.json
Dominik Golicki,ready,use_cached_profile,,ok,A5035126117,,Dominik Golicki,0000-0001-7741-4760,Medical University of Warsaw,Medical Univeristy of Warsaw,162,97,,1575-VS;2015240;2015280;2016110;2038-RA;2100-EOI;214-RA;2479-RA;337-RA;339-RA,1,artefacts/03_works/A5035126117.json
Federico Augustovski,ready,use_cached_profile,,ok,A5053077563,,Federico Augustovski,0000-0002-2914-5022,Instituto de Efectividad Clínica y Sanitaria,Institute for Clinical Effectiveness and Health Policy (IECS),342,44,A5075446732=Federico Augustovski(1 eq),1605-RA;1891-RA;2012-RA;2013070;2015-RA;2016360;20170170;20170660;20180580;2119-RA,1,artefacts/03_works/A5053077563.json
Simon Pickard,ready,use_cached_profile,,ok,A5058888906,A5103487818,A. Simon Pickard,0000-0001-5645-7091,University of Illinois Chicago,University of Illinois - Chicago,306,140,A5103487818=AS Pickard(21 eq),2014130;2015190;2016090;2016210;2016470;20180080;20180520;20190360;20190410;20190800,1,artefacts/03_works/A5058888906.json
Cate Bailey,ready,use_cached_profile,,ok,A5020867003,,Cate Bailey,0000-0001-5030-430X,The University of Melbourne,University of Melbourne,88,13,A5018812334=Cate Bailey(1 eq); A5007805675=Cate Bailey(1 eq),1559-RA;1566-RA;1772-RA;1872-RA;2032-RA;2096-RA;2439-RA;2440-RA;295-RA,1,artefacts/03_works/A5020867003.json
Gouke Bonsel,ready,use_cached_profile,,ok,A5047977076,,Gouke J. Bonsel,0000-0002-8364-1086,,EuroQol Research Foundation,362,77,,2013150;2014090;2016160;2016670;2016750;20170360;238-RA;512-RA;645-RA,1,artefacts/03_works/A5047977076.json
Juan M. Ramos-Goñi,ready,use_cached_profile,,ok,A5047957689,A5049678494,Juan Manuel Ramos-Goñi,0000-0002-9568-5190,SGH Warsaw School of Economics,Maths in Health,96,72,A5049678494=Juan Manuel Ramos Goñi(9 eq); A5136612135=Juan M. Ramos-Goñi(1 eq),2013320;2014210;2016430;2016510;2016610;20170310R2;2588-TR;450-RA;74-RA,1,artefacts/03_works/A5047957689.json
Koonal Shah,ready,use_cached_profile,,ok,A5083575745,,Koonal Shah,0000-0002-4927-7858,National Institute for Health and Care Excellence,NICE,151,65,,117-RA;2015050;2015440;2016150;2016370;20190490;20190660;82-RA,1,artefacts/03_works/A5083575745.json
Ling Jie Cheng,ready,use_cached_profile,,ok,A5082193621,,Ling Jie Cheng,0000-0002-5338-578X,National University of Singapore,University of Oxford,150,32,A5002268768=Ling Cheng(1 eq); A5100430876=Xi Zhang(6 eq),1663-TVG;1961-EO;2078-RA;2246-EO;2267-EO;2329-RA;2531-EO;2605-RA,1,artefacts/03_works/A5082193621.json
Nils Gutacker,ready,use_cached_profile,,ok,A5023093255,,Nils Gutacker,0000-0002-2833-0621,University of York,"Centre for Health Economics, University of York",120,19,,123-RA;1479-TVG;1925-TVG;2016450;20190910;2192-RA;2415-TVG;2653-TVG,1,artefacts/03_works/A5023093255.json
Paula Lorgelly,ready,use_cached_profile,,ok,A5027424571,,Paula Lorgelly,0000-0002-8990-9514,University of Auckland,University of Auckland | Waipapa Taumata Rau,203,23,,1573-RA;1655-EO;1680-RA;1881-RA;20191030;2053-EO;2443-BT;291-RA,1,artefacts/03_works/A5027424571.json
Zhuxin Mao,ready,use_cached_profile,,ok,A5002022038,A5123300040,Zhuxin Mao,0000-0002-7444-1584,University of Antwerp,University of Antwerp,69,34,A5116549914=Zhuxin Mao(1 eq); A5123300040=Zhuxin Mao(2 eq),103-RA;1580-RA;1588-RA;20190990;20191000;2084-RA;2422-RA;398-RA,1,artefacts/03_works/A5002022038.json
Bram Roudijk,ready,use_cached_profile,,ok,A5028508726,,Bram Roudijk,0000-0001-5000-0875,Erasmus MC,EuroQol Research Foundation,58,48,,100-RA;169-RA;1694-RA;1923-RA;20180340R1;20190780;2647-RA,1,artefacts/03_works/A5028508726.json
Maja Kuharic,ready,use_cached_profile,,ok,A5007210675,A5137004902;A5139409824,Maja Kuharić,0000-0003-3696-9086,Northwestern University,Northwestern University,84,43,A5060066674=Bruce W. Sherman(1 eq); A5137004902=Maja Kuharic(2 eq); A5139409824=Maja Kuharic(2 eq),1514-RA;1811-RA;1915-RA;2037-RA;2040-RA;2042-RA;414-PHD,1,artefacts/03_works/A5007210675.json
Nick Bansback,ready,use_cached_profile,,ok,A5052496992,A5108322539,Nick Bansback,0000-0002-1510-3462,Providence Health Care,School of Population and Public Health,335,53,A5108322539=Nick Bansback(3 eq),1624-EO;1880-TVG;2013290;2015040;2016030;20190470;2133-TVG,1,artefacts/03_works/A5052496992.json
Bernhard Michalowsky,ready,use_cached_profile,,ok,A5088093819,A5113279604,Bernhard Michalowsky,0000-0002-3425-0089,,"German Center for Neurodegenerative Diseases (DZNE), Greifswald, Germany & McMaster University, Hamilton, Canada",174,34,A5113279604=Bernhard Michalowsky(4 eq),152-RA;1592-RA;1791-RA;2002-RA;244-RA;349-RA,1,artefacts/03_works/A5088093819.json
Carlos Wong,ready,use_cached_profile,,ok,A5041610413,,Carlos King Ho Wong,0000-0002-6895-6071,University of Leicester,London School Hygiene & Tropical Medicine,487,79,,2012030;2014050;20180530;20190250;2421-RA;333-RA,1,artefacts/03_works/A5041610413.json
Clara Mukuria,ready,use_cached_profile,,ok,A5043083823,,Clara Mukuria,0000-0003-4318-1481,University of Sheffield,University of Sheffield,128,80,A5140592939=Clara Mukuria(1 eq),1892-RA;2016240;20190310;2217-TR;2234-TVG;326-RA,1,artefacts/03_works/A5043083823.json
Eleanor Pullenayegum,ready,use_cached_profile,,ok,A5029465719,A5023955515,Eleanor Pullenayegum,0000-0003-4265-1330,University of Toronto,The Hospital for Sick Children,327,56,A5023955515=E. Pullenayegum(7 eq),109-RA;2015130;2015140;20190270;20190430;2340-RA,1,artefacts/03_works/A5029465719.json
Fanni Rencz,ready,use_cached_profile,,ok,A5024021740,,Fanni Rencz,0000-0001-9674-620X,Semmelweis University,"Corvinus University of Budapest, Department of Health Policy",245,148,A5117412551=Fanni Rencz(1 eq); A5123176482=Fanni Rencz(1 eq); A5128705474=Fanni Rencz(1 eq); A5124885266=Fanni Rencz(1 eq),119-RA;1700-RA;1800-RA;192-VS;2000-RA;20170500,1,artefacts/03_works/A5024021740.json
Henry Bailey,ready,use_cached_profile,,ok,A5090969739,,Henry Bailey,0000-0002-4479-9948,University of the West Indies,The University of the West Indies,41,34,,1414-EO;1767-RA;20170390;20180040R1;341-RA;357-RA,1,artefacts/03_works/A5090969739.json
Lidia Engel,ready,use_cached_profile,,ok,A5039737173,A5126529010,Lidia Engel,0000-0002-7959-3149,Australian Regenerative Medicine Institute,Monash University,141,51,A5117412550=Lidia Engel(1 eq); A5126529010=Lidia Engel(8 eq); A5133152037=Lidia Engel(1 eq),1481-PHD;150-RA;2008-RA;20190960;2173-RA;2453-RA,1,artefacts/03_works/A5039737173.json
Richard Norman,ready,use_cached_profile,,ok,A5101841802,,Richard Norman,0000-0002-3112-3893,Curtin University,Curtin University,468,103,A5063203369=Richard N. Jones(8 eq),1578-RA;2015310;2016250;20170410;20170560;83-VS,1,artefacts/03_works/A5101841802.json
victor zarate,ready,use_cached_profile,,ok,A5074565937,,V Zárate,0000-0001-9145-3694,"Merck & Co., Inc., Rahway, NJ, USA (United States)",MSD,43,21,A5036153783=Víctor Zárate(1 eq),2015370;2016380;2016390;20170470;20170630;462-RA,1,artefacts/03_works/A5074565937.json
Alexander Arons,ready,use_cached_profile,,ok,A5044999875,,Alexander M. M. Arons,,Novartis (Netherlands),,13,8,,2013120;2013250;2013260;2014140;2016220,0,artefacts/03_works/A5044999875.json
Alice Yu,ready,use_cached_profile,,ok,A5055148154,,Alice L. Yu,0000-0003-2444-0505,Chang Gung University,Centre for Health Economics and Research Evaluation (CHERE),492,2,,1888-RA;1890-RA;20180150;2335-RA;2584-RA,1,artefacts/03_works/A5055148154.json
Donna Rowen,ready,use_cached_profile,,ok,A5067226056,,Donna Rowen,0000-0003-3018-5109,,University of Sheffield,274,123,A5141744635=Donna Rowen(1 eq),134-RA;1524-VS;20190140;2201-RA;222-RA,1,artefacts/03_works/A5067226056.json
Jan Busschbach,ready,use_cached_profile,,ok,A5020122364,A5136664917,Jan J.V. Busschbach,0000-0002-8602-0381,Erasmus MC,Erasmus MC,523,145,A5136664917=Jan Busschbach(2 eq),2013240;2015230;2016040;2016421;20170160,1,artefacts/03_works/A5020122364.json
Lucky Ngwira,ready,use_cached_profile,,ok,A5063482306,,Lucky G. Ngwira,0000-0002-2695-8917,Kamuzu Central Hospital,,41,6,,1734-TVG;1943-EO;20200030;2025-RA;2252-EO,0,artefacts/03_works/A5063482306.json
Mark Oppe,ready,use_cached_profile,,ok,A5023709885,,Mark Oppe,0000-0003-4286-8855,Erasmus MC,EuroQol Research Foundation,109,59,,2013220;2015300;2016140;2016590;452-RA,1,artefacts/03_works/A5023709885.json
Sarah Derrett,ready,use_cached_profile,,ok,A5021576811,,Sarah Derrett,0000-0003-2867-0498,University of Otago,University of Otago,237,60,,1543-RA;1812-PHD;2014190;2015170;2229-TR,1,artefacts/03_works/A5021576811.json
Sarah Dewilde,ready,use_cached_profile,,ok,A5043932217,,Sarah Dewilde,0000-0002-7315-3230,Department of Health Services,SHE,85,25,A5124247816=Sarah Dewilde(1 eq),124-VS;1601-RA;20180640;20180641;2167-RA,1,artefacts/03_works/A5043932217.json
Tianxin Pan,ready,use_cached_profile,,ok,A5044860561,,Tianxin Pan,0000-0002-2243-8818,The University of Melbourne,,50,22,,1472-PD;2284-BT;233-RA;2347-RA;428-RA,1,artefacts/03_works/A5044860561.json
Valentina Prevolnik Rupel,ready,use_cached_profile,,ok,A5091343801,,Valentina Prevolnik Rupel,0000-0002-1238-7156,,Institute for Economic Research,104,47,A5109424218=Valentina Prevolnik-Rupel(1 eq),1687-RA;2013160;2013210;20170280;377-VS,1,artefacts/03_works/A5091343801.json
Yan Feng,ready,use_cached_profile,,ok,A5053760337,,Feng Yan,0000-0001-8663-6859,State Key Laboratory of Hydrology-Water Resources and Hydraulic Engineering,Queen Mary University of London,545,1,,1650-RA;2015090;2015330;2016330;20180740,1,artefacts/03_works/A5053760337.json
