record_id,doi,title,metadata_match,openalex_ids,euroqol_award_ids,assessment_status,funding_raw,funding_scope,project_link
P64c5339b0827,10.1002/hec.3560,New methods for modelling EQ-5D-5L value sets: An application to English data,1,W2344898234,,assessed,explicit_euroqol,study_funding,probable
P7b8a6079aed9,10.1002/hec.3564,Valuing health-related quality of life: An EQ-5D-5L value set for England,1,W2343426002,,assessed,explicit_euroqol,study_funding,probable
P5adb70ae1f53,10.1177/0272989x14559542,A Comparison of Methods for Converting DCE Values onto the Full Health-Dead QALY Scale,0,,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
P2a585bd1b140,10.1016/j.jval.2014.04.002,A Program of Methodological Research to Arrive at the New International EQ-5D-5L Valuation Protocol,0,,,assessed,explicit_euroqol,study_funding,possible
P3398c4c18697,10.1016/j.vhri.2014.06.001,Interim EQ-5D-5L Value Set for Poland: First Crosswalk Value Set in Central and Eastern Europe,0,,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
P99f16afecff5,10.1186/1756-0500-7-438,Predicting preference-based utility values using partial proportional odds models.,0,,,assessed,no_funding_statement,no_funding_statement,none
P363da78cc35f,10.3109/17453674.2013.865097,Eliciting health state utilities for Dupuytren’s contracture using a discrete choice experiment,0,,,assessed,other_funding_only,other_funding_only,none
P4bbb249162d3,10.1002/hec.2819,A COMPARISON OF ALTERNATIVE VARIANTS OF THE LEAD AND LAG TIME TTO,0,,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
P1141bb655825,10.1007/bf03262491,Estimating Preference-Based EQ-5D Health State Utilities or Item Responses from Neuropathic Pain Scores,0,,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
Pa82d5e634a3d,10.1016/j.jval.2011.10.016,Estimating Preference-Based Single Index Measures for Dementia Using DEMQOL and DEMQOL-Proxy,0,,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
P54d14ed7d4e4,10.1016/j.jval.2012.02.008,Interim Scoring for the EQ-5D-5L: Mapping the EQ-5D-5L to EQ-5D-3L Value Sets,0,,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
P997a842f2a31,10.1186/1477-7525-9-119,Mapping of the Insomnia Severity Index and other sleep measures to EuroQol EQ-5D health state utilities,0,,,assessed,other_funding_only,other_funding_only,none
Pbed3bd8561f9,10.1177/135581960000500210,A Fair Approach to Discounting Future Effects: Taking a Societal Perspective,0,,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
Pa5cece391e47,10.1016/s0167-6296(99)00008-9,Estimating parametric relationships between health description and health valuation with an application to the EuroQol EQ-5D.,0,,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
P5f3cb6513ef9,10.1002/(sici)1099-1050(1998110)7:7<581::aid-hec380>3.0.co;2-u,Discounting costs and effects: a reconsideration,0,,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
P9b77a57aa69d,10.1016/0168-8510(90)90421-9,EuroQol-a new facility for the measurement of health-related quality of life,0,,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
P060e13fe92fe,10.1007/s40273-023-01300-8,"Using Age-Specific Values for Pediatric HRQoL in Cost-Effectiveness Analysis: Is There a Problem to Be Solved? If So, How?",1,W4384120431,grant 202-2020RA.,assessed,explicit_euroqol,study_funding,none
Pd4ad2b88f325,10.1016/j.jval.2018.05.010,"Overview, Update, and Lessons Learned From the International EQ-5D-5L Valuation Work: Version 2 of the EQ-5D-5L Valuation Protocol",0,,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
P402e54ee500b,10.1097/mlr.0000000000000178,Multinational Evidence of the Applicability and Robustness of Discrete Choice Modeling for Deriving EQ-5D-5L Health-State Values,0,,,assessed,no_funding_statement,no_funding_statement,none
P66c6a996b172,10.1016/j.jval.2023.08.005,"UK Valuation of EQ-5D-5L, a Generic Measure of Health-Related Quality of Life: A Study Protocol",1,W4386800054,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
P6ca0c804f48e,10.1016/j.socscimed.2022.115227,"Assessing the comparative feasibility, acceptability and equivalence of videoconference interviews and face-to-face interviews using the time trade-off technique",1,W4289941621,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
Pf73875a260e0,10.1007/s41669-021-00314-2,Examining the Association between Polish Migrant Status and Health Preferences Using a Novel Application of a Smaller Design EQ-5D-5L Valuation Study,1,W4210278940,,assessed,other_funding_only,other_funding_only,none
P595e0df3a2cf,10.1007/s41669-020-00244-5,An Exploration on Attribute Non-attendance Using Discrete Choice Experiment Data from the Irish EQ-5D-5L National Valuation Study,0,,,assessed,other_funding_only,other_funding_only,probable
P695dbe6ca4ca,10.1016/j.healthpol.2020.03.005,Do people with private health insurance attach a higher value to health than those without insurance? Results from an EQ-5D-5 L valuation study in Ireland,0,,,assessed,no_funding_statement,no_funding_statement,probable
P0cd61e3fa9f6,10.1016/j.jval.2020.03.003,Estimation of an Instrument-Defined Minimally Important Difference in EQ-5D-5L Index Scores Based on Scoring Algorithms Derived Using the EQ-VT Version 2 Valuation Protocols,0,,,assessed,other_funding_only,other_funding_only,possible
P8f639f3647b7,10.1016/j.socscimed.2020.112801,Examining the transnational health preferences of a group of Eastern European migrants relative to a European host population using the EQ-5D-5L,1,W2998837677,,assessed,no_funding_statement,no_funding_statement,probable
P4afbf0a657c1,10.1186/s12955-018-0985-9,"Euthanasia, religiosity and the valuation of health states: results from an Irish EQ5D5L valuation study and their implications for anchor values",1,W2887909338,,assessed,explicit_euroqol,study_funding,probable
P80d13ed3ef16,10.12688/hrbopenres.12848.1,The health of the residents of Ireland: Population norms for Ireland based on the EQ-5D-5L descriptive system – a cross sectional study,1,W2891742044,,assessed,explicit_euroqol,study_funding,probable
P776803e6fb45,10.1007/s40273-018-0690-x,Utility Values for Health States in Ireland: A Value Set for the EQ-5D-5L,1,W2883512800,,assessed,explicit_euroqol,study_funding,probable
Pa6c33007eeb2,10.1007/s40273-025-01476-1,A Taxonomy for Assessing Whether HRQoL Value Sets Are Obsolete,1,W4407630154,EQ 1578-RA,assessed,explicit_euroqol,unclear,explicit
Pae69b62079e2,10.1016/j.jval.2025.12.016,Valuing Child and Adolescent Health States to Derive Utilities for Use in Economic Evaluation: A Good Practices Report of an ISPOR Task Force.,0,,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
Pb639d0f3b20e,10.1007/s40258-025-00989-2,Measuring and Valuing Health Using EuroQol Instruments: New Developments 2025 and Beyond,1,W4412631456,,assessed,explicit_euroqol,study_funding,none
P8d488800e756,10.1186/s12955-025-02391-x,Optimal DCE design for modelling nonlinear time preferences in EQ-5D-5L valuation studies: exploration of data from Denmark and Peru,1,W4411316975,,assessed,other_funding_only,other_funding_only,possible
P47d62d0ee023,10.1007/s40273-025-01483-2,The Use of EQ-5D in the Middle East and North Africa Region: A Systematic Literature Review,0,,,assessed,other_funding_only,other_funding_only,none
P4694bf3b6982,10.1007/s10198-025-01789-0,Valuing health states for infants and toddlers: challenges and methodological considerations in EQ-TIPS preference elicitation,1,W4412491438,,assessed,explicit_euroqol,no_euroqol_support,possible
Pd988aa68ef3e,10.1186/s41687-024-00770-4,Transitioning between the EQ-5D youth and adult descriptive systems in a group of adolescents.,1,W4401513906,EQ147-2020,assessed,explicit_euroqol,study_funding,none
P2cab3c27ba65,10.3389/fpsyg.2023.1175402,An investigation of age dependency in Dutch and Chinese values for EQ-5D-Y.,1,W4387303705,,assessed,explicit_euroqol,study_funding,explicit
Pcb3368138711,10.1007/s10198-023-01647-x,Exploring non-iterative time trade-off methods for valuation of EQ-5D-5L health states.,1,W4389900131,20190150R1,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
P3e2170e62c8b,10.1016/j.jval.2022.08.011,Modifying the Composite Time Trade-Off Method to Improve Its Discriminatory Power.,1,W4306173790,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
Pe8f86ffb599b,10.1007/s10198-021-01412-y,Reliability and validity of using EQ-5D-5L among healthy and adolescents with major mental health disorders in Ethiopia.,1,W4206672650,EQ-project-20180500,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
P407092b97b3c,10.1007/s40273-022-01208-9,The Egyptian EQ-5D-5L Extensive Pilot Study: Lessons Learned.,1,W4310080997,EQ-Project 335-RA,assessed,explicit_euroqol,nonfinancial_support_only,explicit
P0ebf930aca13,10.1186/s12955-022-01998-8,Valuing EQ-5D-Y: the current state of play.,0,,,assessed,explicit_euroqol,study_funding,none
P423aa11928d1,10.1177/0272989x211001859,Valuation Survey of EQ-5D-Y Based on the International Common Protocol: Development of a Value Set in Japan,0,,,assessed,explicit_euroqol,nonfinancial_support_only,explicit
P9562cbd1e70a,10.1007/s40273-020-00909-3,International Valuation Protocol for the EQ-5D-Y-3L,1,W3017192319,,assessed,explicit_euroqol,study_funding,none
P594ced259c8b,10.1016/j.jval.2020.05.004,Peruvian Valuation of the EQ-5D-5L: A Direct Comparison of Time Trade-Off and Discrete Choice Experiments,1,W3043149599,20170170,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
P0c48b2afb94d,10.1016/j.vhri.2019.08.475,Valuing Health State: An EQ-5D-5L Value Set for Ethiopians,1,W2905944219,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
P092aa08c9320,10.1016/j.jval.2018.06.015,Effect of Health State Sampling Methods on Model Predictions of EQ-5D-5L Values: Small Designs Can Suffice,0,,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
Pc0366f265fd4,10.1177/0272989x19847983,Exploring the Impact of Adding a Respiratory Dimension to the EQ-5D-5L,0,,,assessed,explicit_euroqol,nonfinancial_support_only,none
P51751f1493e3,10.1007/s40273-018-0704-8,Health State Utilities for Acute Myeloid Leukaemia: A Time Trade-off Study,0,,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
P85481b1179a6,10.1016/j.jval.2018.12.008,How Prevalent Are Implausible EQ-5D-5L Health States and How Do They Affect Valuation? A Study Combining Quantitative and Qualitative Evidence,1,W2921640856,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
P8c273438ab63,10.1177/0272989x19849461,"The Fold-in, Fold-out Design for DCE Choice Tasks: Application to Burden of Disease",1,W2947872232,,assessed,other_funding_only,other_funding_only,none
P930cba5247e3,10.1016/j.jval.2019.06.008,Toward a Smaller Design for EQ-5D-5L Valuation Studies,1,W2971328364,EQ Project 20170160,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
P99751effc1c9,10.1016/j.jval.2018.01.016,Advocating a Paradigm Shift in Health-State Valuations: The Estimation of Time-Preference Corrected QALY Tariffs,0,,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
Pd79e2191e0da,10.1016/j.jval.2017.09.016,Choice Defines Value: A Predictive Modeling Competition in Health Preference Research,0,,,assessed,explicit_euroqol,study_funding,possible
P716dece10838,10.1016/j.jval.2017.10.013,Evaluation of Split Version and Feedback Module on the Improvement of Time Trade-Off Data,0,,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
P078c03b5efce,10.1016/j.jval.2017.09.001,Selecting Health States for EQ-5D-3L Valuation Studies: Statistical Considerations Matter,0,,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
P9f5e73c36b66,10.1007/s40273-018-0694-6,Severity-Stratified Discrete Choice Experiment Designs for Health State Evaluations,1,W2884270615,2015300,assessed,explicit_euroqol,unclear,explicit
P955a79621a42,10.1016/j.jval.2018.05.002,"Valuation of EuroQol Five-Dimensional Questionnaire, Youth Version (EQ-5D-Y) and EuroQol Five-Dimensional Questionnaire, Three-Level Version (EQ-5D-3L) Health States: The Impact of Wording and Perspective",1,W2885527383,2014160,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
P51c1f94e8fe3,10.1136/bmjopen-2017-017831,ABC Index: Quantifying experienced burden of COPD in a discrete choice experiment and predicting costs,0,,,assessed,other_funding_only,other_funding_only,none
P80bae15dd798,10.1002/hec.3445,Are Health State Valuations from the General Public Biased? A Test of Health State Reference Dependency Using Self-assessed Health and an Efficient Discrete Choice Experiment,1,W2544856061,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
Pfb44a46bf1af,10.1186/s12963-017-0125-5,Establishing disability weights for congenital pediatric surgical conditions: A multi-modal approach,0,,,assessed,other_funding_only,other_funding_only,none
P65833dc071f5,10.1007/s10198-016-0841-y,Head-to-head comparison of health-state values derived by a probabilistic choice model and scores on a visual analogue scale,1,W2547396267,,assessed,no_funding_statement,no_funding_statement,none
P05ea14c529fc,10.1016/j.jval.2016.10.012,Quality Control Process for EQ-5D-5L Valuation Studies,1,W2567299962,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
P8590e631ed76,10.5334/ijic.3637,The Assessment of Burden of COPD (ABC) tool: a shared decision-making instrument that is predictive of healthcare costs,0,,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
P402a8ba12b72,10.1016/j.jval.2016.01.003,Dutch Tariff for the Five-Level Version of EQ-5D,0,,,assessed,explicit_euroqol,study_funding,none
Pa9991d03e2fc,10.1007/s11136-016-1375-6,EQ-5D in Central and Eastern Europe: 2000–2015,1,W2484016290,,assessed,unclear,unclear,none
P4c6f1f6e59cc,10.1016/j.jval.2016.09.1217,Exploring The Impact of Adding A Respiratory Dimension to The EQ-5D-5L,0,,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
P89b70ae51f32,10.1016/j.vhri.2016.07.010,Toward Explicit Prioritization for the Caribbean: An EQ-5D Value Set for Trinidad and Tobago,0,,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
P921bc7a720bd,10.1007/s10198-013-0508-x,"Time trade-off: One methodology, different methods",0,,,assessed,explicit_euroqol,study_funding,none
Pae28a7c2b9cb,10.1016/j.jval.2011.12.003,Condition-specific preference-based measures: Benefit or burden?,0,,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
Pd99436ecd76c,10.1016/j.socscimed.2013.11.050,Quality of life instruments for economic evaluations in health and social care for older people: A systematic review,0,,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
P66e000c1a289,10.1007/s10198-013-0540-x,Validity and responsiveness of the EQ-5D and the KIDSCREEN-10 in children with ADHD,0,,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
Pa1a951f05c97,10.1007/s10198-013-0507-y,Time to tweak the TTO: Results from a comparison of alternative specifications of the TTO,0,,,assessed,explicit_euroqol,study_funding,none
P10d2724e57c3,10.1177/0272989x13482524,US valuation of the SF-6D,0,,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
P382bf609810b,10.1007/s10198-013-0503-2,Introducing the composite time trade-off: A test of feasibility and face validity,0,,,assessed,explicit_euroqol,study_funding,none
Pb599996d5562,10.1007/s10198-013-0504-1,The effects of lead time and visual aids in TTO valuation: A study of the EQ-VT framework,0,,,assessed,explicit_euroqol,study_funding,none
Pa617a338a645,10.1111/j.1524-4733.2010.00783.x,Discrete choice modeling for the quantification of health states: The case of the EQ-5D,0,,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
Pb10092022224,10.1002/hec.2804,Lead time TTO: Leading to better health state valuations?,0,,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
P659b9e581813,10.1007/s10198-013-0511-2,Dealing with the health state 'dead' when using discrete choice experiments to obtain values for EQ-5D-5L heath states,0,,,assessed,explicit_euroqol,study_funding,none
P9783a01b4c2a,10.1177/0272989x11427761,"Mapping QLQ-C30, HAQ, and MSIS-29 on EQ-5D",0,,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
P3fa1cf03065a,10.1186/1477-7525-8-141,Mapping onto Eq-5 D for patients in poor health,0,,,assessed,no_funding_statement,no_funding_statement,none
P29d8cf63a7c6,10.1016/j.jhealeco.2004.10.001,A nonparametric elicitation of the equity-efficiency trade-off in cost-utility analysis,0,,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
Pbc1c4aba0fe4,10.1016/j.socscimed.2004.04.032,Acceptability of less than perfect health states,0,,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
P9aaca33920e9,10.1016/j.healthpol.2005.01.018,Equity in health care prioritisation: An empirical inquiry into social value,0,,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
P034f025c9af2,10.1016/s1262-3636(07)70154-4,Diabetic foot ulcers and amputations: Estimates of health utility for use in cost-effectiveness analyses of new treatments,0,,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
P3e8fad37e4bc,10.1016/s0090-4295(02)02516-5,Are patients and the general public like-minded about the effect of erectile dysfunction on quality of life?,0,,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
Pd461625584c7,10.1023/a:1023453405252,Validity and feasibility of the use of condition-specific outcome measures in economic evaluation,0,,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
P711bb3c4e60e,10.1016/s0302-2838(02)00403-7,The valuation of the international prostate symptom score (IPSS) for use in economic evaluations,0,,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
P9f2e9056474e,10.1023/a:1008923029886,Performance of the EuroQol in children with imperforate anus,0,,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
Pf53a5ee15eef,10.1016/j.vhri.2025.101121,Adaptation of the Experimental Version of EQ-5D-Y-5L Into Bahasa Indonesia,0,,,assessed,explicit_euroqol,study_funding,explicit
Pdd3d4c609f52,10.1007/s11136-025-03930-1,Valuing health-related quality of life: an EQ-5D-5L value set for Morocco.,1,W4408042021,1411-VS,assessed,explicit_euroqol,study_funding,explicit
P5e758f731736,10.1177/0272989x231180134,Evaluation of EuroQol Valuation Technology (EQ-VT) Designs to Generate National Value Sets: Learnings from the Development of an EQ-5D Value Set for India Using an Extended Design (DEVINE) Study.,0,,,assessed,explicit_euroqol,publication_support_only,none
P837f91603190,10.1186/s12889-023-16003-0,"Indonesia youth population norms for EQ-5D-Y-3 L, EQ-5D-Y-5 L and the PedsQL generic core scale: lower health related quality of life relates to high economic status and stress.",1,W4380422518,,assessed,explicit_euroqol,study_funding,possible
P21b08206cd9b,10.1016/j.jval.2021.11.1370,Development of an EQ-5D Value Set for India Using an Extended Design (DEVINE) Study: The Indian 5-Level Version EQ-5D Value Set.,1,W4205139067,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
P6958d2dbffde,10.1186/s12955-022-01996-w,EQ-5D-Y-3L and EQ-5D-Y-5L proxy report: psychometric performance and agreement with self-report.,1,W4281702460,EQ Project 20180140,assessed,explicit_euroqol,study_funding,explicit
P9cd3ec6c2594,10.1007/s40273-022-01210-1,Estimating an EQ-5D-Y-3L Value Set for Indonesia by Mapping the DCE onto TTO Values.,1,W4308558743,EQ Project 20180490,assessed,explicit_euroqol,study_funding,explicit
P5e59af1995bc,10.1186/s12955-021-01889-4,Comparing measurement properties of EQ-5D-Y-3L and EQ-5D-Y-5L in paediatric patients.,1,W3212036572,20180140,assessed,explicit_euroqol,no_euroqol_support,explicit
P239faea706d6,10.1186/s12955-026-02575-z,A randomised equivalence study of the EQ-5D-5L Shona versions: evaluation of measurement equivalence between digital and paper formats,1,W7166508976,Project 212-RA,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
P9d705ba2d740,10.1177/0272989x261446644,Exploring Perceived Interactions between EQ-5D-5L and Bolt-ons Using Composite Time-Tradeoff Valuations: A Qualitative Study,1,W7162664709,1883-RA,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
P75339c6d635f,10.1007/s11136-026-04319-4,The EQ-5D-5L valuation study in Nigeria,1,W7164819429,,assessed,explicit_euroqol,study_funding,none
P1de4bedca39b,10.1017/s0266462326103602,WHAT DO HTA AGENCIES NEED FOR GENERATING HEALTH-RELATED QUALITY OF LIFE EVIDENCE? FINDINGS FROM A GLOBAL SURVEY,1,W7131776276,,assessed,explicit_euroqol,study_funding,explicit
P9d193fc1cb20,10.52225/narra.v5i2.1314,Assessing health-related quality of life in schizophrenia patients using EQ-5D-5L index: Insights from patients and caregivers,0,,,assessed,no_funding_statement,no_funding_statement,none
Pa06ed50f6556,10.1016/j.jval.2025.06.008,Comparisons of Preferences Toward EQ-5D-Y-3L Health States Between Adult Own and Child Perspectives,0,,,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
P47b90029fc2b,10.1080/20008066.2025.2543629,Cross-cultural adaptation and psychometric validation of the Indonesian version of the PTSD Checklist for DSM-5 (PCL-5) in a trauma-exposed sample of women,0,,,assessed,other_funding_only,other_funding_only,none
Pae5185ee3e27,10.1007/s11136-025-04074-y,Design and implementation of data quality controls in the EQ-DAPHNIE study: insights from the pilot phase and 15-country analysis,1,W4416297506,367-RA,assessed,explicit_euroqol,study_funding,explicit
P3c8f282ec847,10.1007/s11136-025-03983-2,EuroQol data for assessment of population health needs and instrument evaluation (EQ-DAPHNIE): a study for enhancing population health assessment,1,W4410056786,367-RA,assessed,explicit_euroqol,study_funding,explicit
P5e2520ed6043,10.1186/s12955-025-02397-5,Findings from a roundtable discussion with Pakistani stakeholders on measuring and valuing health and health-related quality of life for children and adolescents,1,W4411895617,,assessed,explicit_euroqol,study_funding,explicit
Pc9a77fba9c71,10.2147/prbm.s498021,Indonesian Translation and Adaptation of Social Appearance Anxiety Scale (SAAS) for Early Adolescent Girls in Indonesia,0,,,assessed,no_funding_statement,no_funding_statement,none
Pcf6c6fa55dfb,10.1016/j.vhri.2025.101543,"Psychometric Performance of EQ-HWB and EQ-HWB-9 Self-Complete and Interviewer-Administered Versions in Literate, Low-Literacy, and Patient Populations in Indonesia",1,W4416415267,442-RA,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable,not_assessed_fulltext_unavailable
P31ff012c0beb,10.1186/s41687-024-00706-y,"Content validity of the EQ-HWB and EQ-HWB-S in a sample of Italian patients, informal caregivers and members of the general public",0,,,assessed,no_funding_statement,no_funding_statement,none
