record_id,year,doi,title,disposition,revisit,basis
Pb83e60aaab21,2019,10.1001/jamaneurol.2018.4561,Prediction Tools for Psychiatric Adverse Effects After Levetiracetam Prescription,outside_scope,no,"Operator scope screen, 2026-08-26. Topic unrelated to EuroQol instrument work or any listed funded project; the abstract screen routed it on an author or name link. See docs/SCOPE_SCREEN_RESULT.md."
Pc9504a7a0426,2019,10.1302/0301-620x.101b11.bjj-2019-0515.r1,Underarm bracing for adolescent idiopathic scoliosis leads to flatback deformity,outside_scope,no,"Operator scope screen, 2026-08-26. Topic unrelated to EuroQol instrument work or any listed funded project; the abstract screen routed it on an author or name link. See docs/SCOPE_SCREEN_RESULT.md."
Pf246baab0a8f,2019,10.7454/msk.v23i1.10147,"Quality of Life of Primary Brain Tumor Patients Before and 3 Months After Discharge from a Hospital in Bandung, Indonesia",outside_scope,no,"Operator scope screen, 2026-08-26. Topic unrelated to EuroQol instrument work or any listed funded project; the abstract screen routed it on an author or name link. See docs/SCOPE_SCREEN_RESULT.md."
Pf766fd75ca35,2019,10.1089/neu.2019.6764,Toward a New Multi-Dimensional Classification of Traumatic Brain Injury: A Collaborative European NeuroTrauma Effectiveness Research for Traumatic Brain Injury Study,outside_scope,no,"Operator scope screen, 2026-08-26. Topic unrelated to EuroQol instrument work or any listed funded project; the abstract screen routed it on an author or name link. See docs/SCOPE_SCREEN_RESULT.md."
P4fb1c805bd41,2020,10.26452/ijrps.v11i3.2421,Evaluation of prescribing pattern at basic health care facilities of Islamabad Pakistan,outside_scope,no,"Operator scope screen, 2026-08-26. Topic unrelated to EuroQol instrument work or any listed funded project; the abstract screen routed it on an author or name link. See docs/SCOPE_SCREEN_RESULT.md."
P5fb9fbe8e76a,2020,10.1302/0301-620x.102b7.bjj-2019-1766.r2,Comparative study of the use of Paediatric Quality Of Life Inventory 4.0 generic core scales in paediatric patients with spine and limb pathologies,outside_scope,no,"Operator scope screen, 2026-08-26. Topic unrelated to EuroQol instrument work or any listed funded project; the abstract screen routed it on an author or name link. See docs/SCOPE_SCREEN_RESULT.md."
P634a9fe45d3a,2020,10.1089/neu.2020.7228,Differences between Men and Women in Treatment and Outcome after Traumatic Brain Injury,outside_scope,no,"Operator scope screen, 2026-08-26. Topic unrelated to EuroQol instrument work or any listed funded project; the abstract screen routed it on an author or name link. See docs/SCOPE_SCREEN_RESULT.md."
P91799ae88e45,2020,10.5588/ijtld.19.0652,Modeling the likely economic cost of non-adherence to TB medicines in the Philippines,outside_scope,no,"Operator scope screen, 2026-08-26. Topic unrelated to EuroQol instrument work or any listed funded project; the abstract screen routed it on an author or name link. See docs/SCOPE_SCREEN_RESULT.md."
P94e87d3717fb,2020,10.1136/oemed-2020-106597,Predictors of subsequent injury at work: findings from a prospective cohort of injured workers in New Zealand.,outside_scope,no,"Operator scope screen, 2026-08-26. Topic unrelated to EuroQol instrument work or any listed funded project; the abstract screen routed it on an author or name link. See docs/SCOPE_SCREEN_RESULT.md."
Pb2df4df860c6,2020,10.1515/sjpain-2020-0050,A cost-utility analysis of multimodal pain rehabilitation in primary healthcare,outside_scope,no,"Operator scope screen, 2026-08-26. Topic unrelated to EuroQol instrument work or any listed funded project; the abstract screen routed it on an author or name link. See docs/SCOPE_SCREEN_RESULT.md."
Pc5d8eaabeac4,2020,10.37532/2041-6792.2020.10(3).170,Healthy Behaviours and Depression among Overweight and Obese: A Social Taboo in Pakistan,outside_scope,no,"Operator scope screen, 2026-08-26. Topic unrelated to EuroQol instrument work or any listed funded project; the abstract screen routed it on an author or name link. See docs/SCOPE_SCREEN_RESULT.md."
Pd008a92c93d4,2020,10.21037/aol-20-21,Effectiveness and safety of pembrolizumab as bridging to hematopoietic stem cell transplantation in relapsed and refractory classical Hodgkin’s lymphoma: a retrospective observational study,outside_scope,no,"Operator scope screen, 2026-08-26. Topic unrelated to EuroQol instrument work or any listed funded project; the abstract screen routed it on an author or name link. See docs/SCOPE_SCREEN_RESULT.md."
P379c6813a76b,2021,10.7196/samj.2021.v111i5.15351,HIV care coverage among HIV-positive adolescent girls and young women in South Africa: Results from the HERStory Study,outside_scope,no,"Operator scope screen, 2026-08-26. Topic unrelated to EuroQol instrument work or any listed funded project; the abstract screen routed it on an author or name link. See docs/SCOPE_SCREEN_RESULT.md."
Pabd5b13f0afe,2021,10.5694/mja2.51242,What price quality in aged care? Findings from a national survey of more than 6500 income taxpayers.,outside_scope,no,"Operator scope screen, 2026-08-26. Topic unrelated to EuroQol instrument work or any listed funded project; the abstract screen routed it on an author or name link. See docs/SCOPE_SCREEN_RESULT.md."
Pb7ffb9b71f03,2021,10.1017/s0266462321000647,A framework for action to improve patient and public involvement in health technology assessment.,outside_scope,no,"Operator scope screen, 2026-08-26. Topic unrelated to EuroQol instrument work or any listed funded project; the abstract screen routed it on an author or name link. See docs/SCOPE_SCREEN_RESULT.md."
Pf0bb1572b33a,2021,10.1002/14651858.cd014428,Telerehabilitation for neck pain,outside_scope,no,"Operator scope screen, 2026-08-26. Topic unrelated to EuroQol instrument work or any listed funded project; the abstract screen routed it on an author or name link. See docs/SCOPE_SCREEN_RESULT.md."
P1f0f736b19f1,2022,10.1017/s0266462322002203,PP93 The Impact Of Using Different EQ-5D Scoring Methods On Cost-Utility Outcomes: A Simulation Study,outside_scope,no,"Operator scope screen, 2026-08-26. Topic unrelated to EuroQol instrument work or any listed funded project; the abstract screen routed it on an author or name link. See docs/SCOPE_SCREEN_RESULT.md."
P2a7c7f3a1b36,2022,10.2337/db22-1152-p,1152-P: Achieving Diabetic Management Targets in People with Type 1 Diabetes,outside_scope,no,"Operator scope screen, 2026-08-26. Topic unrelated to EuroQol instrument work or any listed funded project; the abstract screen routed it on an author or name link. See docs/SCOPE_SCREEN_RESULT.md."
P4995de2db688,2022,10.3233/jad-220219,Understanding the Quality of Life Impacts of Providing Informal Care to People with Dementia: A Systematic Review of Qualitative Studies,outside_scope,no,"Operator scope screen, 2026-08-26. Topic unrelated to EuroQol instrument work or any listed funded project; the abstract screen routed it on an author or name link. See docs/SCOPE_SCREEN_RESULT.md."
P4a3c6ae9b8ac,2022,10.2106/jbjs.21.00597,"The Effect of Patient Age and Surgical Appropriateness and Their Influence on Surgeon Recommendations for Primary TKA: A Cross-Sectional Study of 2,037 Patients.",outside_scope,no,"Operator scope screen, 2026-08-26. Topic unrelated to EuroQol instrument work or any listed funded project; the abstract screen routed it on an author or name link. See docs/SCOPE_SCREEN_RESULT.md."
P8e9ebb761be3,2022,10.23889/ijpds.v7i3.1862,The Registry of Senior Australians: Informing Aged Care Policy Reforms.,outside_scope,no,"Operator scope screen, 2026-08-26. Topic unrelated to EuroQol instrument work or any listed funded project; the abstract screen routed it on an author or name link. See docs/SCOPE_SCREEN_RESULT.md."
Pb1aa8a43bd54,2022,10.2215/cjn.05940522,How the Routine Use of Patient-Reported Outcome Measures for Hemodialysis Care Influences Patient-Clinician Communication,outside_scope,no,"Operator scope screen, 2026-08-26. Topic unrelated to EuroQol instrument work or any listed funded project; the abstract screen routed it on an author or name link. See docs/SCOPE_SCREEN_RESULT.md."
Pf03b949976d8,2022,10.1056/evidoa2200105,Parenteral Vitamin C in Patients with Severe Infection: A Systematic Review,outside_scope,no,"Operator scope screen, 2026-08-26. Topic unrelated to EuroQol instrument work or any listed funded project; the abstract screen routed it on an author or name link. See docs/SCOPE_SCREEN_RESULT.md."
P25f89e60f0c5,2023,10.1542/hpeds.2023-007332,Patient and Family Experience With Discharge Directly Home From the Pediatric ICU,outside_scope,no,"Operator scope screen, 2026-08-26. Topic unrelated to EuroQol instrument work or any listed funded project; the abstract screen routed it on an author or name link. See docs/SCOPE_SCREEN_RESULT.md."
P85b7b883cf1c,2023,10.1155/2023/5839776,Measuring Quality of Life in Residential Aged Care Using the EQ-5D-5L: A Cross-Sectional Study on the Impact of Cognition Level and Proxy Perspective on Interrater Agreement,outside_scope,no,"Operator scope screen, 2026-08-26. Topic unrelated to EuroQol instrument work or any listed funded project; the abstract screen routed it on an author or name link. See docs/SCOPE_SCREEN_RESULT.md."
Pd0ad756e0694,2023,10.1017/ice.2023.126,Estimating the cost of inappropriate antibiotic prophylaxis prior to dental procedures.,outside_scope,no,"Operator scope screen, 2026-08-26. Topic unrelated to EuroQol instrument work or any listed funded project; the abstract screen routed it on an author or name link. See docs/SCOPE_SCREEN_RESULT.md."
P0e7a6038d4b8,2020,10.47102/annals-acadmed.sg.2019248,Assessing the Content Validity of the EQ-5D Questionnaire Among Asians inSingapore: A Qualitative Study,duplicate,no,Second record for a publication already retrieved and verified under another record id.
P27aee738b8ae,2026,10.1371/journal.pgph.0004296.s001,<p>Description of variables.</p>,supplement_only,no,"Crossref type is ""component"": the record is a supplementary data file of 10.1371/journal.pgph.0004296, not a publication."
Pce03a3266867,2026,10.1371/journal.pone.0349194.s001,<p>This is the supporting file for Appendix Tables.</p>,supplement_only,no,"Crossref type is ""component"": the record is a supplementary appendix of 10.1371/journal.pone.0349194, not a publication."
Pf2faa2741478,2021,10.1016/j.ekir.2021.03.539,POS-511 'YOU NEED A TEAM' - PERSPECTIVES ON MULTIDISCIPLINARY SYMPTOM MANAGEMENT USING PATIENT-REPORTED OUTCOME MEASURES IN HEMODIALYSIS CARE: A QUALITATIVE STUDY,abstract_only,no,"Conference poster abstract (POS-511), Kidney International Reports supplement, pages S221-S222. No full text exists."
P7aae2aabadea,2010,10.1097/mrr.0b013e32832bb0f7,A comparison of the performance of the EQ-5D and the EQ-5D-Y Health-Related Quality of Life instruments in South African children,not_accessible,yes,Publisher served a paywall; no Ruhr-Universitaet Bochum entitlement for this title.
P07aa07c981f8,2018,10.1093/fampra/cmy064,"Patients on levothyroxine replacement in the community: association between hypothyroidism symptoms, co-morbidities and their quality of life",not_accessible,yes,Publisher served a paywall; no Ruhr-Universitaet Bochum entitlement for this title.
Pdbff9f517b31,2018,10.1080/14737167.2018.1494574,The EQ-5D-5L Valuation study in Thailand,not_accessible,yes,Publisher served a paywall; no Ruhr-Universitaet Bochum entitlement for this title.
Pe596eeeecc41,2018,10.1080/14737167.2019.1557048,Valuation of EQ-5D-5L health states: a comparison of seven Asian populations,not_accessible,yes,Publisher served a paywall; no Ruhr-Universitaet Bochum entitlement for this title.
P0aa8ec6bf606,2019,10.1080/1034912x.2018.1562159,Schooling of Children with Rare Diseases and Disability in Europe,not_accessible,yes,Publisher served a paywall; no Ruhr-Universitaet Bochum entitlement for this title.
P5b8dd948c75e,2020,10.1016/j.soard.2020.04.050,Improvement in patient-reported outcomes in Chinese adults after bariatric surgery: 1-year follow-up of a prospective cohort,not_accessible,yes,Publisher served a paywall; no Ruhr-Universitaet Bochum entitlement for this title.
P9563d130e807,2020,10.1097/opx.0000000000001588,Randomized Controlled Trial of a Spectacle Lens for Macular Degeneration,not_accessible,yes,Publisher served a paywall; no Ruhr-Universitaet Bochum entitlement for this title.
Pb5e3d18e5bac,2020,10.5588/ijtld.20.0085,Health-related quality of life of inpatients and outpatients with TB in rural Malawi,not_accessible,yes,Publisher route attempted in the browser; no full text served.
P15d69db02d1d,2022,10.1080/09638288.2020.1810786,The development of a consensus statement for the prescription of powered wheelchair standing devices in Duchenne muscular dystrophy.,not_accessible,yes,Publisher served a paywall; no Ruhr-Universitaet Bochum entitlement for this title.
P637de92eca8a,2022,10.1080/14737167.2021.1909477,"Comparing multi-attribute utility instruments: CP-6D, a Cerebral palsy specific instrument, vs AQoL-4D.",not_accessible,yes,Publisher served a paywall; no Ruhr-Universitaet Bochum entitlement for this title.
P52a20da2872a,2023,10.1108/qaoa-07-2022-0046,From the ground up: assessing the face validity of the Quality of Life – Aged Care Consumers (QOL-ACC) measure with older Australians,not_accessible,yes,No publisher PDF route located; title is behind a subscription platform.
P8bfb67ba2021,2023,10.1089/jpm.2022.0498,What If… Caregivers' Subsequent Workforce Participation Was a Measure of Palliative Care Services' Impact? An Hypothesis-Generating Study,not_accessible,yes,No publisher PDF route located; title is behind a subscription platform.
Pf9f001f4b61d,2023,10.1080/14737167.2023.2189590,Comparing measurement properties of EQ-5D and SF-6D in East and South-East Asian populations: a scoping review,not_accessible,yes,Publisher served a paywall; no Ruhr-Universitaet Bochum entitlement for this title.
P6cdb53fc9b60,2024,10.1067/j.cpradiol.2024.08.007,Success factors for interventions to reduce low-value imaging. Six crucial lessons learned from a practical case study in Norway,not_accessible,yes,Publisher route attempted in the browser; no full text served.
P88bbd3a0fc13,2024,10.1080/14737167.2024.2393332,Valuing quality of life for economic evaluations in cancer: navigating multiple methods,not_accessible,yes,Publisher served a paywall; no Ruhr-Universitaet Bochum entitlement for this title.
Pd2f34ec21873,2024,10.1080/17518423.2024.2398159,Italian Version of QI-Disability for QoL Evaluation in Children and Adolescents with Intellectual Disability: Translation and Cross-Cultural Adaptation Process,not_accessible,yes,Publisher served a paywall; no Ruhr-Universitaet Bochum entitlement for this title.
Pd817c836ad44,2024,10.1080/08959420.2022.2134691,What quality of life domains are most important to older adults in residential care?,not_accessible,yes,Publisher served a paywall; no Ruhr-Universitaet Bochum entitlement for this title.
P717d9e32cabe,2025,10.2105/ajph.2024.307899,"Uptake of Recommended Vaccines During Pregnancy Among Publicly and Privately Insured People in the United States, December 2020-September 2022.",not_accessible,yes,Publisher route attempted in the browser; no full text served.
Pd6e12d21ddf0,2025,10.1080/17582024.2025.2481818,Advanced Parkinson’s disease and eligibility for device-aided therapies in Morocco: a multicenter cross-sectional study,not_accessible,yes,Publisher served a paywall; no Ruhr-Universitaet Bochum entitlement for this title.
P47a2c086b81b,2026,10.2196/85110,The Effectiveness and Exploratory Cost-Effectiveness of Regular Meditation for Improving Quality of Life: Protocol for a Prospective Longitudinal Cohort Study.,not_accessible,yes,"Open access on researchprotocols.org, but the site refuses scripted fetch (HTTP 202 challenge). One browser click should retrieve it."
P28d533aed327,2012,,"Disability in poorly resourced areas of the Western Cape, South Africa",not_found,yes,"Record has no DOI. Title search on Google Scholar and Europe PMC returned abstract, poster or blog records only."
P3836b64b0572,2012,,Causes of disability in poorly resourced areas of Cape Town,not_found,yes,"Record has no DOI. Title search on Google Scholar and Europe PMC returned abstract, poster or blog records only."
P496820145968,2012,,Health state valuation and mode of administration:head to head comparison of online and CAPI,not_found,yes,"Record has no DOI. Title search on Google Scholar and Europe PMC returned abstract, poster or blog records only."
P2be79b9a4ce9,2013,,1 Spanish EQ-5D-5L valuation a descriptive overview and preliminary results,not_found,yes,"Record has no DOI. Title search on Google Scholar and Europe PMC returned abstract, poster or blog records only."
P8ec36198d8bc,2016,,The Impact of Extremes in Outdoor Temperature and Sunshine Exposure on Birth Weight.,not_found,yes,"Record has no DOI. Title search on Google Scholar and Europe PMC returned abstract, poster or blog records only."
Pe0b0fd50748f,2016,,THE VALIDITY OF QALYS UNDER NON-EXPECTED,not_found,yes,"Record has no DOI. Title search on Google Scholar and Europe PMC returned abstract, poster or blog records only."
P8571a49d8976,2017,,Verwachtingen en tevredenheid bij totale knieprothese,not_found,yes,"Record has no DOI. Title search on Google Scholar and Europe PMC returned abstract, poster or blog records only."
Pd4603f59909e,2017,,Patient expectations and satisfaction concerning total knee arthroplasty Background,not_found,yes,"Record has no DOI. Title search on Google Scholar and Europe PMC returned abstract, poster or blog records only."
P73063c3d85dd,2018,,Local Elected Leaders (“Panchayat”) can Play Key Role for Enrolment under National Health Protection Mission (NHPM) under ‘Ayushman Bharat’: lessons learnt from Rashtriya Swasth Bima Yojna (RSBY) implementation,not_found,yes,"Record has no DOI. Title search on Google Scholar and Europe PMC returned abstract, poster or blog records only."
P73c797a8fc2b,2018,,A new generic patient-centered instrument to generate health-status values:CS-Base,not_found,yes,"Record has no DOI. Title search on Google Scholar and Europe PMC returned abstract, poster or blog records only."
P7b9a84a509cf,2018,,DOES PRE-OPERATIVE PATIENT-REPORTED HEALTH STATUS DETERMINE MORTALITY AFTER TOTAL HIP ARTHROPLASTY?,not_found,yes,"Record has no DOI. Title search on Google Scholar and Europe PMC returned abstract, poster or blog records only."
Pb0cf1eef2864,2019,,Valuing EQ-5D-Y Health States Using a Discrete Choice Experiment: Do Adult and Adolescent Preferences Differ?,not_found,yes,"Record has no DOI. Title search on Google Scholar and Europe PMC returned abstract, poster or blog records only."
