registry_id	alias
instrument:pedsql-4-generic-core	PedsQL generic core 4.0
instrument:preparation-decision-making-scale	Preparation for Decision Making Scale (PDMS)
instrument:qol-acc	QOL-ACC
instrument:qwb-sa	Quality of Well Being Self-Administered (QWB-SA)
instrument:r129-p028-objective-financial-toxicity-questions	Questions on objective financial toxicity (OFT)
instrument:r129-p127-nhs-satisfaction-scale	Satisfaction with the National Health System (NHS) 1 to 10 scale
instrument:r129-p129-dietary-information-questionnaire	Self-designed dietary information questionnaire
instrument:sf-36	Short Form-36 (SF-36)
instrument:sf-36-item-1-five-level	five-level self-rated general health (SRH) question (item 1 of the SF-36)
instrument:sf-6d-v1	Short-form 6-Dimension version 1 (SF-6Dv1)
instrument:system-usability-scale	System Usability Scale (SUS)
instrument:wemwbs	Warwick Edinburgh Mental Wellbeing Scale (WEMWBS)
instrument:zarit-burden-interview-22	22-item ZBI
method:analysis-of-variance	ANOVA
method:analysis-of-variance	ANOVA analysis
method:analysis-of-variance	ANOVA comparisons across severity levels
method:analysis-of-variance	ANOVAs with planned comparisons
method:analysis-of-variance	one-way ANOVAs
method:automated-item-selection	automated item selection procedure (AISP)
method:backward-selection	backward selection method
method:backward-selection	stepwise removal of non-significant variables
method:bayesian-mcmc	Bayesian Markov chain Monte Carlo (MCMC) methods
method:bonferroni-correction	Bonferroni correction for multiple comparisons
method:bootstrap-resampling-1000	1000 bootstrap samples
method:bws	best-worst scaling
method:bws	best–worst scaling (BWS)
method:bws-case-2	best–worst scaling case 2 (BWS case 2)
method:c50-p028-database-and-citation-search	Electronic database search in CINAHL, PsycInfo, Embase and MEDLINE, supplemented with forward and backward citation searches in Scopus
method:c50-p028-independent-dual-screening	Independent dual screening with disagreement resolution by a senior reviewer
method:c50-p032-cluster-bootstrap	cluster bootstrap techniques with replacement, block-specific strata and 1000 iterations
method:c50-p032-panel-vendor-32-quota-recruitment	panel-vendor recruitment using 32 quotas
method:c50-p045-qc-formal-task-time	total time spent on the formal 10 C-TTO tasks < 5 minutes
method:c50-p045-qc-lead-time-explanation	no explanation of the lead-time TTO in the wheelchair example
method:c50-p045-qc-logical-inconsistency	significant logical inconsistency in the derived C-TTO values
method:c50-p045-qc-wheelchair-time	time spent on explaining the wheelchair example < 3 minutes
method:ceiling-and-floor-percentages	ceiling and floor effects
method:chi-square-test	Chi square tests
method:chi-square-test	chi-square
method:chi-square-test	Chi-squared tests
method:chi-square-test	chi-squared tests
method:chi-square-test	χ2 goodness-of-fit test
method:cnf-p002-multiple-switch-qc	TTO scores were flagged as inconsistent if more than one preference switch occurred
method:cnf-p003-adapted-penton-response-framework	framework adapted from the existing model of response issues by Penton et al.
method:cnf-p005-ssi-panel-recruitment	Survey Sampling International (SSI) online panel
method:cnf-p006-post-screening-clinic-recruitment	recruitment after the surgical screening appointment at a high-volume urban hip and knee clinic
method:cnf-p008-eq-vt-qc-tool	QC tool
method:cnf-p008-pictorial-tool-feedback	asking them about their feedback
method:cnf-p009-database-search	Database search in Ovid MEDLINE, Ovid EMBASE, and EconLit
method:cnf-p009-self-report-scoring-category	Self-reporting scoring system
method:cnf-p011-adapted-tourangeau-coding-framework	adapted coding framework from van Leeuwen et al. based on Tourangeau’s model of survey response
method:cnf-p012-dynata-panel-recruitment	Recruitment from Dynata existing voluntary panels
method:cnf-p013-alberta-norm-matched-comparison	comparison with Alberta general population norms matched by age and sex
method:cnf-p016-qualtrics-panel-recruitment	Qualtrics caregiver panel recruitment
method:cognitive-interview	cognitive interviews
method:cognitive-interview	semi-structured cognitive interviews
method:cognitive-think-aloud-interview	cognitive think-aloud interviews
method:cohens-d	Cohen’s d effect sizes
method:computer-assisted-personal-interview	computer-assisted personal interviews
method:concurrent-think-aloud	concurrent think-aloud techniques
method:consecutive-sampling	recruited consecutively
method:convenience-sampling	prospective convenience sample
method:cross-validation	Cross validation of the MEs
method:cross-validation	cross-validation procedure
method:ctto	composite time trade off (cTTO)
method:ctto	composite time trade-off
method:ctto	composite time trade‐off (cTTO)
method:ctto	composite time tradeoff
method:ctto	composite TTO (C-TTO)
method:data-saturation-assessment	data saturation assessment
method:dce	discrete choice experiment
method:dce	discrete choice experiment (DCE)
method:dce	discrete choice experiment (DCE) with kaizen tasks
method:dce	discrete choice experiment (DCE) with paired comparisons
method:dce	discrete choice experiments
method:dce	discrete choice experiments (DCE)
method:dce	discrete choice experiments (DCEs)
method:dce	standard DCE
method:dce-death	DCE-death
method:dce-duration	DCE-duration
method:descriptive-analysis	descriptive analysis by EQ‐5D‐5L dimension, index, and visual analog scale scores
method:descriptive-statistics	Descriptive statistics including proportions and their 95% confidence intervals (95% CIs)
method:dif-hybrid-logistic-ordinal-irt	Differential item functioning (DIF) analysis using a hybrid logistic ordinal regression/IRT approach
method:exact-case-control-matching	case-control matching procedure (1:1 exact matching based on sex and age)
method:forest-plot	Forest plots
method:framework-analysis	framework analysis method outlined by Ritchie & Spencer
method:gwet-ac1	Gwet’s AC1
method:gwet-ac2	Gwet’s AC2 coefficient
method:gwet-agreement-coefficient	Gwet’s agreement coefficient (Gwet’s AC) test
method:health-state-density-curve	health state density curves (HSDCs)
method:health-state-density-index	health state density indices (HSDIs)
method:health-state-frequency	health state frequencies
method:health-utility-mortality-kaplan-meier	reporting health-utility alongside mortality on Kaplan-Meier curves
method:heterogeneous-dce-design	heterogeneous DCE design algorithms
method:independent-t-test	independent t-tests
method:integrated-inductive-deductive-thematic-analysis	integrated thematic analysis involving inductive coding and deductive coding
method:intraclass-correlation-coefficient	intraclass correlation coefficient (ICC)
method:intraclass-correlation-coefficient	intraclass correlation coefficients
method:intraclass-correlation-two-way-random-absolute-agreement	intra-class correlation coefficient (ICC, two-way random effects, absolute agreement)
method:kruskal-wallis-test	Kruskal Wallis U test
method:kruskal-wallis-test	Kruskal-Wallis analysis
method:kruskal-wallis-test	Kruskal-Wallis tests
method:lins-concordance-correlation-coefficient	Lin’s concordance coefficient
method:lins-concordance-correlation-coefficient	Lin’s concordance correlation coefficient (CCC)
method:loevinger-h	Loevinger’s homogeneity coefficients H
method:longitudinal-structured-survey	structured survey administered during baseline and follow-up assessments
method:manifest-invariant-item-ordering	manifest invariant item ordering (MIIO)
method:mann-whitney-u-test	Mann-Whitney test
method:mann-whitney-u-test	Mann-Whitney U tests
method:mann-whitney-u-test	Mann–Whitney-U test
method:maximum-likelihood	maximum likelihood
method:mean-error	mean errors (MEs)
method:minimal-detectable-change	minimal detectable change (MDC) calculation
method:minimally-important-difference-mid	previously published minimally important differences (MID): 0.04 for the EQ‐5D‐5L index and 7.0 for the VAS
method:missingness-analysis	missing values
method:missingness-analysis	rates of missing data
method:mixed-online-postal-survey	mixed-mode (online and postal questionnaires) method
method:multistage-stratified-quota-sampling	Multi-stage stratified quota sampling
method:multistage-stratified-quota-sampling	multistage stratified quota method
method:multistage-stratified-quota-sampling	multistratified quota sampling
method:narrative-synthesis	Descriptive summary
method:narrative-synthesis	Narrative summary
method:one-sample-proportion-z-test	one sample z-test for a population proportion
method:online-survey	online evaluation survey
method:online-survey	web-based survey
method:open-ended-survey-questions	open-ended questions in the online evaluation survey
method:paired-comparison	paired comparison (PC)
method:paired-t-test	paired t-tests
method:parallel-analysis	parallel analysis technique
method:paretian-classification-of-health-change	Paretian Classification of Health Change (PCHC)
method:paretian-classification-of-health-change	Pareto Classification of Health Change (PCHC)
method:pearson-correlation	correlation analysis by means of Pearson coefficient
method:pearson-correlation	Pearson's correlation
method:pearson-correlation	Pearson’s coefficient
method:pearson-correlation	Pearson’s correlations
method:principal-component-analysis	principal component analysis (PCA)
method:probability-of-superiority	probability of superiority (PS)
method:pto	person trade-off
method:pto	person tradeoff
method:quota-sampling	quota sampling method
method:quota-sampling	quota-based sampling approach
method:r129-p001-adapted-lipman-validation-task	adaptation of the validation task developed by Lipman et al. (2020a)
method:r129-p014-descriptive-statistics-bundle	Mean (standard deviation), median, mode, minimum and maximum
method:r129-p018-researcher-advisor-consultation	presentations and discussion with researchers and advisors associated with the ‘Extending the QALY’ project
method:r129-p038-demographic-quota-sampling	18 demographic quotas based on gender, age, and race/ethnicity
method:r129-p064-5l-3l-responsiveness-ratio	5L/3L ratio of the SRM and SES statistics
method:r129-p110-household-selection	Streets were randomly selected from CSO maps and 1 in every 4 houses visited; respondents were selected based on the most recent birthday method
method:r129-p110-panel-recruitment-email	Survey company panel recruitment by survey links via e-mail
method:r129-p110-panel-recruitment-public-places	Survey company panel recruitment by online links, with recruiters in public places
method:r129-p129-dimension-score-frequency	distribution of frequency of dimension scores across patient care groups
method:retrospective-think-aloud	retrospective think-aloud techniques
method:roc-curve-analysis	receiver operating characteristic (ROC) curve
method:roc-curve-analysis	receiver operating characteristic curves and area under the curve assessments
method:semi-structured-interview	semi-structured health interviews
method:semi-structured-interview	semistructured, face-to-face, one-on-one interviews
method:severity-stratified-dce-design	severity-stratified designs
method:sg	standard gamble
method:sg	standard gamble (SG)
method:spearman-rank-correlation	Spearman correlation coefficient
method:spearman-rank-correlation	Spearman rank-order coefficients
method:spearman-rank-correlation	Spearman's Rho correlation coefficient
method:spearman-rank-correlation	Spearman’s correlation coefficients
method:spearman-rank-correlation	Spearman’s correlations
method:spearman-rank-correlation	Spearman’s rank correlation
method:spearman-rank-correlation	Spearman’s rho
method:standardized-effect-size	effect size (ES)
method:standardized-effect-size	effect size of change calculated as average change score divided by baseline score standard deviation
method:standardized-effect-size	effect size of the change
method:standardized-effect-size	standardised effect sizes (SES)
method:standardized-effect-size	standardized effect size (SES)
method:standardized-response-mean	standardised response means (SRM)
method:standardized-response-mean	standardized response mean (SRM)
method:t-test	t-tests
method:thematic-analysis	thematic analysis following Braun and Clarke’s six-phase framework
method:tto	time trade-off
method:tto	time trade-off (TTO)
method:tto	Time Trade-off (TTO) method
method:tto	time tradeoff
method:unstratified-efficient-dce-design	unstratified efficient designs
method:vas	visual analog scale
method:vas	visual analog scale (VAS)
method:vas	visual analogue scale
method:vas	Visual Analogue Scale (VAS)
method:welch-anova	Welch’s ANOVA
method:welch-t-test	Welch's unequal variances t-test
method:welch-t-test	Welch’s t-test
method:wilcoxon-signed-rank-test	Wilcoxon Signed Rank Test for paired samples
method:wilcoxon-signed-rank-test	Wilcoxon signed-rank tests
method:wilcoxon-signed-rank-test	Wilcoxon tests
model:add20-i	ADD20-I model accounting for heteroskedasticity
model:ancova	analysis of covariance (ANCOVA)
model:cnf-p015-heteroskedastic-interaction	interaction model (controlling heteroskedasticity)
model:conditional-logit	conditional logistic regression models
model:conditional-logit	main-effects conditional logit model
model:confirmatory-factor-analysis	confirmatory factor analysis (CFA)
model:double-monotonicity	double monotonicity model (DMM)
model:exploratory-factor-analysis	exploratory factor analysis (EFA)
model:generalized-least-squares	general least square (GLS)
model:graded-response	graded response model (GRM)
model:heteroskedastic-conditional-logit	heteroskedastic conditional logit (HCL) model
model:heteroskedastic-salc	heteroskedastic scale-adjusted latent class (SALC) model
model:hybrid-ctto-dce-left-censored-minus-1	hybrid model assuming left-censoring of the C-TTO at -1 excluding heteroscedasticity and constant
model:item-level-linear-regression-eq-vas	item-level linear regression analyses using EQ VAS as the outcome and incremental decrements in each item as predictors
model:logistic-regression	logistic regression models
model:monotone-homogeneity	monotone homogeneity model (MHM)
model:multilevel-meta-regression-reml	multi-level meta-regression using the restricted maximum likelihood method
model:multinomial-logistic-regression-by-domain	five multinomial logistic regression models, one by each domain
model:multiple-linear-regression	multiple linear regression analyses
model:multiple-linear-regression	Multiple linear regression model for EQ VAS
model:multiple-linear-regression	Multiple linear regression model for EQ-5D-5L LSS
model:multiple-linear-regression	multiple regression analysis with the VAS as dependent variable and dummy variables representing the different levels of the dimensions
model:multiple-linear-regression	Regression Analysis of the VAS score
model:multivariable-censored-linear-regression	multivariable censored linear regression model adjusted for severity of health states
model:multivariable-ordered-logit	multivariable ordered logit models
model:ordinal-logit	ordinal logistic models
model:ordinal-logit	Ordinal logistic regression
model:ordinal-logit	Separate ordinal logistic regression models for each of the four EQ-HWB physical pain and discomfort items
model:ordinary-least-squares-regression	multivariable ordinary least squares (OLS) models
model:ordinary-least-squares-regression	OLS regression
model:ordinary-least-squares-regression	ordinary least square (OLS)
model:ordinary-least-squares-regression	ordinary least squares regression model for the modified Kakwani index decomposition
model:tobit	Tobit
model:tobit	tobit modelling
model:tobit	Tobit regression
model:two-level-random-intercept	two-level random intercept model
model:univariate-censored-linear-regression	univariate censored linear regression models adjusted for severity of health states
product:eq-5d-3l-ca	Canada — 3L
product:eq-5d-3l-cn	China — 3L
product:eq-5d-3l-de	Germany — 3L
product:eq-5d-3l-es	Spain — 3L
product:eq-5d-3l-european-vas	European value set
product:eq-5d-3l-gb	England/UK — 3L
product:eq-5d-3l-gb	UK value set
product:eq-5d-3l-jp	Japan — 3L
product:eq-5d-3l-kr	South Korea — 3L
product:eq-5d-3l-nl	The Netherlands — 3L
product:eq-5d-3l-pl	Poland — 3L
product:eq-5d-3l-us	US — 3L
product:eq-5d-5l-ca	Canada — 5L
product:eq-5d-5l-ca	Canadian scoring algorithm for the EQ-5D index
product:eq-5d-5l-cn	China — 5L
product:eq-5d-5l-de	Germany — 5L
product:eq-5d-5l-de	recommended value set for Germany by Ludwig et al.
product:eq-5d-5l-england	England/UK — 5L
product:eq-5d-5l-es	Spain — 5L
product:eq-5d-5l-et-2020	Ethiopian value sets
product:eq-5d-5l-id-2017	Indonesian EQ-5D-5L value set
product:eq-5d-5l-id-2017	new Indonesian value set
product:eq-5d-5l-jp	Japan — 5L
product:eq-5d-5l-kr	South Korea — 5L
product:eq-5d-5l-nl-2016	Dutch tariff
product:eq-5d-5l-nl-2016	Dutch tariff (Versteegh et al., 2016)
product:eq-5d-5l-nl-2016	original Dutch EQ-5D-5L values
product:eq-5d-5l-nl-2016	The Netherlands — 5L
product:eq-5d-5l-nl-pits-2022	Dutch EQ-5D-5L value set on a pits scale
product:eq-5d-5l-pl	Poland — 5L
product:eq-5d-5l-sg-2025	Singapore EQ-5D-5L value set estimated using the ADD20-I model
product:eq-5d-5l-tt-2024	2024 Trinidad and Tobago EQ-5D-5L value set
product:eq-5d-5l-tt-2024	index values from the 2022–2023 Trinidad and Tobago valuation study
product:eq-5d-5l-us	US — 5L
product:eq-5d-5l-van-hout-crosswalk-2012	algorithm derived from the crosswalk 3L value sets
product:eq-5d-5l-van-hout-crosswalk-2012	US Measurement and Valuation of Health
product:eq-hwb-s-gb-pilot-2023	UK pilot value set
product:level-sum-score	EQ-5D-5L Level Sum Score (LSS)
product:level-sum-score	Level sum score (LSS)
product:level-sum-score	level sum score (LSS)
product:level-sum-score	Level Sum Score (LSS) calculated by summing the scores across all five EQ-5D-5L dimensions
product:level-sum-score	level sum scores (LSS)
product:msis-8d-gb	published algorithm based on the preferences of a representative sample of the general UK population
protocol:c50-p032-two-wave-eq-tips-5l-choice-task	two-wave protocol for assessing the EQ-TIPS-5L descriptive system using alternative choice tasks
protocol:cnf-p003-interview-topic-guide	protocol and topic guide outlined in Appendix 2
protocol:cnf-p009-review-quality-checklist	checklist developed for this review
protocol:coreq	COnsolidated criteria for REporting Qualitative research (CORE-Q)
protocol:coreq	Consolidated Criteria for Reporting Qualitative Research (COREQ) checklist
protocol:cosmin-reporting-guideline-revised	revised COSMIN reporting guideline for studies on measurement properties of patient-reported outcome measures
protocol:cosmin-risk-of-bias-checklist	COSMIN risk of bias checklist
protocol:eq-5d-5l-valuation-lite	‘lite’ version of the EuroQol’s EQ-5D-5L valuation protocol
protocol:eq-5d-5l-valuation-qc-2017	QC process for the EQ-5D-5L valuation studies
protocol:eq-5d-5l-valuation-qc-2017	standard quality control process developed by the EuroQol Group
protocol:eq-vt	EQ‐VT protocol
protocol:eq-vt	EuroQol Valuation Technology
protocol:eq-vt	EuroQol Valuation Technology Platform (EQ-VT)
protocol:eq-vt-2-0	EQ-5D-5L valuation protocol
protocol:eq-vt-2-0	EuroQol Valuation Technology version 2.0, EQ-VT 2.0
protocol:eq-vt-2-1	EQ-VT-2.1 protocol
protocol:eq-vt-2-1	EuroQol Valuation Technology 2.1
protocol:eq-vt-2-6-1	EuroQol Valuation Technology 2.6.1
protocol:mmat	Mixed Methods Appraisal Tool (MMAT)
protocol:prisma	Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines
protocol:prospero-crd42023429906	PROSPERO ID: CRD42023429906
protocol:prospero-crd42023434651	PROSPERO CRD42023434651
protocol:r129-p049-adapted-translated-eq-vt	adapted translated version of the EQ-VT
protocol:record-checklist	REporting of studies Conducted using Observational Routinely collected health Data (RECORD) checklist
