record_id	paper_id	article_path	article_sha256	article_bytes	xml_path	xml_sha256	xml_bytes	coverage_reason
CNF-P011	10.1007/s40271-023-00647-6	corpus/150-RA/doi_10.1007_s40271-023-00647-6.md	f032730cdf77833b1eae4a7f589c16e23726fa1ed7e4d061286b8e9670d9f1f2	75984	input/projects/150-RA/papers/doi_10.1007_s40271-023-00647-6.xml	7e525370e4416d9dc5fd1662fa7b9c2928d18b3f6eefe7c60a27ff71feff8726	118045	think-aloud face validity across four preference-weighted measures
CNF-P012	10.1007/s11136-026-04285-x	corpus/460-RA/doi_10.1007_s11136-026-04285-x.md	d62ced1967083428bb2c81d5a06b79c932bc7ad0e62f8d7f596dd038ff9ef1fc	89156	input/projects/460-RA/papers/doi_10.1007_s11136-026-04285-x.xml	48a11a77aa0db598cc9ac3be264317f009a2d98874e87f03bcdd345725b996a5	131604	six-country socioeconomic inequality analysis using EQ-5D-5L
CNF-P013	10.1002/hsr2.70308	corpus/20190690/doi_10.1002_hsr2.70308.md	343051bd13c04d48c1fad267f6e6fe42b1b3d09fb2b7ba32a4ad0bfb36f4cf79	58585	input/projects/20190690/papers/doi_10.1002_hsr2.70308.xml	e5c106eb9ec417ba5c636ae86dabe9944319c6643e3594008b1c7328ee503edc	107682	routine PROM application across two primary-care programs
CNF-P014	10.1007/s11136-026-04229-5	corpus/1572-RA/doi_10.1007_s11136-026-04229-5.md	2edd82f5849a21778052e471312bd497b678bf45b8c0eb51d166cbb68f175bb4	98062	input/projects/1572-RA/papers/doi_10.1007_s11136-026-04229-5.xml	1a748073e9280046e6ab2ac4581f27084752a92fecab8dea4eee537ad13c45ae	160623	longitudinal acceptability validity and responsiveness comparison
CNF-P015	10.1186/s12955-022-01989-9	corpus/2016220/doi_10.1186_s12955-022-01989-9.md	209283abeeae1c8a093dc950bb4818a5d88633d08160d2d163675feedf806a04	130037	input/projects/2016220/papers/doi_10.1186_s12955-022-01989-9.xml	fb4cda4696ba5cafbc14672878c18e66090efee71924d757d6bfe4eb94a3a249	192968	heteroskedasticity and heterogeneity in valuation modeling
CNF-P016	10.1007/s11136-025-04003-z	corpus/1811-RA/doi_10.1007_s11136-025-04003-z.md	b94ca45ec043a5b7b81d28380e4d24256b09bb60f846c3a8b8ac80a0090ee5a8	58977	input/projects/1811-RA/papers/doi_10.1007_s11136-025-04003-z.xml	6a95591a561b1a2461d87fd0808cfad0f402646db4182e62d27b662f15973bb1	96901	EQ-HWB frequency- versus severity-response-scale psychometrics
CNF-P017	10.1186/s12955-021-01719-7	corpus/2015200/doi_10.1186_s12955-021-01719-7.md	4c6b2739bc907147316f2fe0db47f10f23607ce62818c8a55f6d2eb25e0d3be8	87701	input/projects/2015200/papers/doi_10.1186_s12955-021-01719-7.xml	9646c84da3962cf7385fdf62185fc46bbd44fa22a7f35c95a7d73b3227c5dbf2	156264	German elderly-population EQ-5D-5L reference values
CNF-P018	10.5492/wjccm.v11.i4.236	corpus/299-RA/doi_10.5492_wjccm.v11.i4.236.md	c2388c8eb6b001069963a3ad99a7e75c9b7695ddb372a31b6a6c3e41bd8b9bdb	42232	input/projects/299-RA/papers/doi_10.5492_wjccm.v11.i4.236.xml	729a4255e6d7db8d96f9cd7e86688239e670a0324b355507133a0f010f512fa4	84439	conceptual guidance on HRQoL utility and QALY reporting in critical care
CNF-P019	10.1136/bmjopen-2020-048176	corpus/2016480/doi_10.1136_bmjopen-2020-048176.md	b89de0d7ad8c1f7cb18997088bba2c234c2d02c91fc6d68e0da63a4b50b6d0ff	131677	input/projects/2016480/papers/doi_10.1136_bmjopen-2020-048176.xml	45fc2157c840889ce250d2472610a7b52490db719f3b2c234d3dc27ebc935bce	222656	longitudinal health outcomes across 11 national quality registers
CNF-P020	10.1007/s11136-021-02922-1	corpus/20170130/doi_10.1007_s11136-021-02922-1.md	8fa7e4ee78bbb8bd6bf393a22c7728963cb473780518d3d64ebd4ec65dd7fe76	71168	input/projects/20170130/papers/doi_10.1007_s11136-021-02922-1.xml	31a12c3b6a3a92ad42477d7a58d561a571922c320f30927ee5af4421efd9a849	138153	level-summary scoring with non-parametric item response theory
