registry_id	alias	use_type
instrument:eq-5d-5l	EQ-5D-5L (EuroQol health-related quality of life questionnaire), prepandemic recall administration (Diwali 2019)	Instrument
instrument:eq-5d-5l	EQ-5D-5L (self-complete version)	Instrument
instrument:eq-5d-5l	EQ-5D-5L (self-rated health state)	Instrument
instrument:eq-5d-5l	EQ-5D-5L (self-reported health section of the EQ-VT interview)	Instrument
instrument:eq-5d-5l	EQ-5D-5L (self-reported health)	Instrument
instrument:eq-5d-5l	EQ-5D-5L (standard self-report version for adults)	Instrument
instrument:eq-5d-5l	EQ-5D-5L descriptive system	Instrument
instrument:eq-5d-5l	EQ-5D-5L descriptive system (mobility, self-care, usual activities, pain/discomfort, anxiety/depression)	Instrument
instrument:eq-5d-5l	EQ-5D-5L descriptive system (self-reported own health)	Instrument
instrument:eq-5d-5l	EQ-5D-5L descriptive system (self-reported)	Instrument
instrument:eq-5d-5l	EQ-5D-5L hypothetical health states	Instrument
instrument:eq-5d-5l	EQ‐5D‐5L instrument	Instrument
instrument:eq-5d-5l	EQ-5D-5L questionnaire	Instrument
instrument:eq-5d-5l	EQ-5D-5L self-description form	Instrument
instrument:eq-5d-5l	EQ-5D-5L states from 2012	Instrument
instrument:eq-5d-5l	EuroQoL 5-Dimension 5-Level (EQ-5D-5L)	Instrument
instrument:eq-5d-5l	EuroQoL 5-Dimension 5-Level questionnaire (EQ-5D-5L)	Instrument
instrument:eq-5d-5l	self-rated EQ-5D-5L health state	Instrument
instrument:eq-5d-5l	self-report EQ-5D-5L	Instrument
instrument:eq-5d-5l	Self-reported EQ-5D-5L	Instrument
instrument:eq-5d-5l	self-reported EQ-5D-5L descriptive system	Instrument
instrument:eq-5d-5l	self-reported EQ-5D-5L, collected in the 2012 to 2013 National Health Survey	Instrument
instrument:eq-5d-5l-am-et	Amharic (Ethiopia) EQ-5D-5L self-complete-paper	Instrument
instrument:eq-5d-5l-am-et	Amharic version of EQ-5D	Instrument
instrument:eq-5d-5l-am-et	Amharic version of EQ-5D (descriptive system, five dimensions and five levels)	Instrument
instrument:eq-5d-5l-am-et	Amharic version of EQ-5D (EuroQoL five-dimensions five level, EQ-5D-5L)	Instrument
instrument:eq-5d-5l-am-et	Amharic version of EQ-5D-5L	Instrument
instrument:eq-5d-5l-am-et	Amharic version of the EQ-5D-5L	Instrument
instrument:eq-5d-5l-ar-ae	EQ-5D-5L Arabic version for UAE	Instrument
instrument:eq-5d-5l-ar-eg	Arabic version of the EQ-5D-5L	Instrument
instrument:eq-5d-5l-ar-eg	EQ-5D-5L (Arabic version for Egypt)	Instrument
instrument:eq-5d-5l-ar-eg	EQ-5D-5L (Arabic version for Egypt) self-reported health	Instrument
instrument:eq-5d-5l-ar-eg	EQ-5D-5L (Egyptian Arabic, self-reported own health)	Instrument
instrument:eq-5d-5l-bolton-breathing	breathing bolt-on (5-level)	Instrument
instrument:eq-5d-5l-bolton-breathing	Breathing problems bolt-on for the EQ-5D-5L	Instrument
instrument:eq-5d-5l-bolton-breathing	EQ-5D-5L breathing problems bolt-on (beta version)	Instrument
instrument:eq-5d-5l-bolton-cognition	Cognition bolt-on for the EQ-5D-5L	Instrument
instrument:eq-5d-5l-bolton-hearing	Hearing bolt-on for the EQ-5D-5L	Instrument
instrument:eq-5d-5l-bolton-self-confidence	self-confidence bolt-on (5-level)	Instrument
instrument:eq-5d-5l-bolton-self-confidence	Self-confidence bolt-on for the EQ-5D-5L	Instrument
instrument:eq-5d-5l-bolton-skin-irritation	Skin irritation bolt-on for the EQ-5D-5L	Instrument
instrument:eq-5d-5l-bolton-sleep	sleep bolt-on (5-level)	Instrument
instrument:eq-5d-5l-bolton-sleep	Sleep bolt-on for the EQ-5D-5L	Instrument
instrument:eq-5d-5l-bolton-social-relationships	social relationships bolt-on (5-level)	Instrument
instrument:eq-5d-5l-bolton-social-relationships	Social relationships bolt-on for the EQ-5D-5L	Instrument
instrument:eq-5d-5l-bolton-tiredness	tiredness bolt-on (5-level)	Instrument
instrument:eq-5d-5l-bolton-tiredness	Tiredness bolt-on for the EQ-5D-5L	Instrument
instrument:eq-5d-5l-bolton-vision	vision bolt-on (5-level)	Instrument
instrument:eq-5d-5l-bolton-vision	Vision bolt-on for the EQ-5D-5L	Instrument
instrument:eq-5d-5l-en-au	EQ-5D-5L (Australian English-language version for interviewer administration)	Instrument
instrument:eq-5d-5l-en-au	EQ-5D-5L (Australian English-language version)	Instrument
instrument:eq-5d-5l-en-au	EQ-5D-5L (Australian version)	Instrument
instrument:eq-5d-5l-en-gb	English EQ-5D-5L version validated for the United Kingdom	Instrument
instrument:eq-5d-5l-en-gb	EQ-5D-5L (English digital version for the UK, version 1.0)	Instrument
instrument:eq-5d-5l-en-gb	EQ-5D-5L English source version (adult 5L)	Instrument
instrument:eq-5d-5l-en-us	EQ-5D-5L (U.S. version)	Instrument
instrument:eq-5d-5l-en-us	EQ-5D-5L instrument (US English V.1.0, modified version in background section)	Instrument
instrument:eq-5d-5l-en-us	US English version of the EQ-5D-5L instrument	Instrument
instrument:eq-5d-5l-id-id	EQ-5D-5L (official Bahasa Indonesia version provided by the EuroQol Group)	Instrument
instrument:eq-5d-5l-id-id	EQ-5D-5L Bahasa Indonesia	Instrument
instrument:eq-5d-5l-id-id	official EQ-5D-5L Bahasa Indonesia version	Instrument
instrument:eq-5d-5l-id-id	official EQ-5D-5L Bahasa Indonesia version 1.0	Instrument
instrument:eq-5d-5l-it-it	EQ-5D-5L (official Italian questionnaire version, descriptive system)	Instrument
instrument:eq-5d-5l-nl-nl	Dutch EQ-5D-5L (5-level version)	Instrument
instrument:eq-5d-5l-nl-nl	EQ-5D-5L (Dutch language version)	Instrument
instrument:eq-5d-5l-nl-nl	EQ-5D-5L (Dutch translation)	Instrument
instrument:eq-5d-5l-proxy-v2	EQ-5D-5L proxy version 2 (proxy-person perspective)	Instrument
instrument:eq-5d-5l-split-ad	EQ-5D-5L with amended split version of the anxiety and depression subdimensions	Instrument
instrument:eq-5d-5l-sv-se	EQ-5D-5L (official Swedish version provided by the EuroQol Group)	Instrument
instrument:eq-5d-5l-zh-hant-tw	EQ-5D-5L (official traditional Chinese character Taiwan version)	Instrument
instrument:eq-5d-5l-zh-hant-tw	official EQ-5D-5L traditional Chinese character Taiwan version	Instrument
instrument:eq-5d-bolton-cognition	Cognition (CO) bolt-on	Instrument
instrument:eq-5d-bolton-cognition	cognition (CO) bolt-on	Instrument
instrument:eq-5d-bolton-cognition	cognition bolt-on	Instrument
instrument:eq-5d-bolton-cognition	cognition bolt-on for the EQ-5D (EQ-6D/EQ-5D+C)	Instrument
instrument:eq-5d-bolton-dining	dining (DI) bolt-on	Instrument
instrument:eq-5d-bolton-gastrointestinal	gastrointestinal problems (GI) bolt-on	Instrument
instrument:eq-5d-bolton-self-confidence	self-confidence bolt-on	Instrument
instrument:eq-5d-bolton-skin-irritation	skin irritation bolt-on	Instrument
instrument:eq-5d-bolton-sleep	sleep (SL) bolt-on	Instrument
instrument:eq-5d-bolton-sleep	sleep bolt-on	Instrument
instrument:eq-5d-bolton-social-participation	Social participation (SP) bolt-on	Instrument
instrument:eq-5d-bolton-social-relationships	social relationships bolt-on	Instrument
instrument:eq-5d-bolton-tiredness	tiredness (TI) bolt-on	Instrument
instrument:eq-5d-bolton-tiredness	tiredness bolt-on	Instrument
instrument:eq-5d-bolton-vision	vision bolt-on	Instrument
instrument:eq-5d-y	EQ-5D-Y (including EQ-5D-Y-5L)	Instrument
instrument:eq-5d-y	EQ-5D-Y descriptive profile	Instrument
instrument:eq-5d-y	EQ-5D-Y descriptive system (DS)	Instrument
instrument:eq-5d-y	EQ-5D-Y instrument (self-reported health warm-up task)	Instrument
instrument:eq-5d-y	EuroQol Youth	Instrument
instrument:eq-5d-y	Self-reported EQ-5D-Y	Instrument
instrument:eq-5d-y-3l	EQ- 5D-Y- 3L	Instrument
instrument:eq-5d-y-3l	EQ-5D-Y (EQ-5D-Y-3L)	Instrument
instrument:eq-5d-y-3l	EQ-5D-Y 3L	Instrument
instrument:eq-5d-y-3l	EQ-5D-Y-3L (3-level version of EQ-5D-Y)	Instrument
instrument:eq-5d-y-3l	EQ-5D-Y-3L (EuroQol Group's Youth instrument with three response options)	Instrument
instrument:eq-5d-y-3l	EQ-5D-Y-3L (self-complete version on article)	Instrument
instrument:eq-5d-y-3l	EQ-5D-Y-3L (self-complete)	Instrument
instrument:eq-5d-y-3l	EQ-5D-Y-3L (self-completed, children aged over 6 years)	Instrument
instrument:eq-5d-y-3l	EQ-5D-Y-3L (three-level version of EQ-5D-Y)	Instrument
instrument:eq-5d-y-3l	EQ-5D-Y-3L (Y-3L) descriptive system	Instrument
instrument:eq-5d-y-3l	EQ-5D-Y-3L (Y-3L) self-complete version	Instrument
instrument:eq-5d-y-3l	EQ-5D-Y-3L descriptive system	Instrument
instrument:eq-5d-y-3l	EQ-5D-Y-3L English source version	Instrument
instrument:eq-5d-y-3l	EQ-5D-Y-3L original version	Instrument
instrument:eq-5d-y-3l	EQ-5D-Y-3L self-report version	Instrument
instrument:eq-5d-y-3l	EQ-5D-Y-3L self-reported version	Instrument
instrument:eq-5d-y-3l-am-et-proxy	Amharic proxy version of the EQ-5D-Y-3L	Instrument
instrument:eq-5d-y-3l-ar-eg	EQ-5D-Y-3L Arabic version for Egypt	Instrument
instrument:eq-5d-y-3l-en-gb	UK English EQ-5D-Y-3L	Instrument
instrument:eq-5d-y-3l-en-sg	Singapore English EQ-5D-Y-3L	Instrument
instrument:eq-5d-y-3l-en-sg	Singaporean English EQ-5D-Y-3L	Instrument
instrument:eq-5d-y-3l-guidance-under-5	EQ-5D-Y-3L adapted version with guidance notes (children aged ≤4 years)	Instrument
instrument:eq-5d-y-3l-hu-hu	EQ-5D-Y-3L (official Hungarian version)	Instrument
instrument:eq-5d-y-3l-id-id	EQ-5D-Y-3L Bahasa Indonesia	Instrument
instrument:eq-5d-y-3l-ny-mw	EQ-5D-Y-3L Chichewa version	Instrument
instrument:eq-5d-y-3l-proxy-v1	EQ-5D-Y-3L (proxy version 1)	Instrument
instrument:eq-5d-y-3l-proxy-v1	EQ-5D-Y-3L proxy version	Instrument
instrument:eq-5d-y-3l-pt-br	EQ-5D-Y-3L (Brazilian Portuguese version)	Instrument
instrument:eq-5d-y-3l-sv-se	EQ-5D-Y-3L (Swedish version)	Instrument
instrument:eq-5d-y-3l-zh-hans-cn	EQ-5D-Y-3L (self-complete version, Chinese)	Instrument
instrument:eq-5d-y-3l-zh-hans-cn	EQ-5D-Y-3L (simplified Chinese version)	Instrument
instrument:eq-5d-y-3l-zh-hans-cn	EQ-5D-Y-3L (Y-3L), self-complete Chinese (for China) version	Instrument
instrument:eq-5d-y-3l-zh-hans-cn	EQ-5D-Y-3L self-complete version (responses scored with the Chinese Y-3L value set)	Instrument
instrument:eq-5d-y-3l-zh-hans-cn	EQ-5D-Y-3L self-complete version (Y-3Ls), official Chinese (for China) version	Instrument
instrument:eq-5d-y-3l-zh-hans-cn	simplified Chinese version of the EQ-5D-Y-3 L instrument	Instrument
instrument:eq-5d-y-3l-zh-hans-cn-proxy-v1	EQ-5D-Y-3L (Y-3L), proxy version 1, Chinese (for China)	Instrument
instrument:eq-5d-y-3l-zh-hans-cn-proxy-v1	EQ-5D-Y-3L proxy version 1 (Chinese)	Instrument
instrument:eq-5d-y-3l-zh-hans-cn-proxy-v1	EQ-5D-Y-3L proxy version 1 (responses scored with the Chinese Y-3L value set)	Instrument
instrument:eq-5d-y-3l-zh-hans-cn-proxy-v1	EQ-5D-Y-3L proxy version 1 (Y-3Lp)	Instrument
instrument:eq-5d-y-4l	EQ-5D-Y-4L (preliminary four-level draft version)	Instrument
instrument:eq-5d-y-5l	EQ- 5D-Y- 5L	Instrument
instrument:eq-5d-y-5l	EQ-5D-Y 5L	Instrument
instrument:eq-5d-y-5l	EQ-5D-Y-5L (5-level version of EQ-5D-Y)	Instrument
instrument:eq-5d-y-5l	EQ-5D-Y-5L (EuroQol Group's Youth instrument with five response options)	Instrument
instrument:eq-5d-y-5l	EQ-5D-Y-5L (experimental version, English)	Instrument
instrument:eq-5d-y-5l	EQ-5D-Y-5L (five-level version of EQ-5D-Y)	Instrument
instrument:eq-5d-y-5l	EQ-5D-Y-5L (not including EQ VAS)	Instrument
instrument:eq-5d-y-5l	EQ-5D-Y-5L (preliminary five-level draft version)	Instrument
instrument:eq-5d-y-5l	EQ-5D-Y-5L (self-complete)	Instrument
instrument:eq-5d-y-5l	EQ-5D-Y-5L (Y-5L) self-complete version	Instrument
instrument:eq-5d-y-5l	EQ-5D-Y-5L English version	Instrument
instrument:eq-5d-y-5l	EQ-5D-Y-5L instrument	Instrument
instrument:eq-5d-y-5l	EQ-5D-Y-5L original version	Instrument
instrument:eq-5d-y-5l-ar-eg	EQ-5D-Y-5L Arabic (Modern Standard Arabic) version for Egypt, paper and digital	Instrument
instrument:eq-5d-y-5l-ar-eg-consensus-v2	Second Arabic consensus version of the EQ-5D-Y-5L questionnaire	Instrument
instrument:eq-5d-y-5l-en-gb	beta EQ-5D-Y-5L (English-language UK source version)	Instrument
instrument:eq-5d-y-5l-en-gb	EQ-5D-Y (English-language UK source version)	Instrument
instrument:eq-5d-y-5l-en-gb	EQ-5D-Y-5L English version for the UK	Instrument
instrument:eq-5d-y-5l-en-gb	EQ-HWB (experimental English version for the UK, version 1.2, 25 items)	Instrument
instrument:eq-5d-y-5l-en-gb	UK English EQ-5D-Y-5L	Instrument
instrument:eq-5d-y-5l-en-sg	Singapore English EQ-5D-Y-5L	Instrument
instrument:eq-5d-y-5l-guidance-under-5	EQ-5D-Y-5L adapted version with guidance notes (children aged ≤4 years)	Instrument
instrument:eq-5d-y-5l-id-id	EQ-5D-Y-5L Bahasa Indonesia	Instrument
instrument:eq-5d-y-5l-id-id	EQ-5D-Y-5L Bahasa Indonesia version	Instrument
instrument:eq-5d-y-5l-id-id	EQ-5D-Y-5L self-report version (experimental, Bahasa Indonesia)	Instrument
instrument:eq-5d-y-5l-id-id-consensus-v2	EQ-5D-Y-5L Bahasa Indonesia (second consensus version)	Instrument
instrument:eq-5d-y-5l-id-id-proxy-v1	EQ-5D-Y-5L proxy (experimental version 1, Bahasa Indonesia)	Instrument
instrument:eq-5d-y-5l-ny-mw	Chichewa (Malawi) beta EQ-5D-Y-5L	Instrument
instrument:eq-5d-y-5l-ny-mw	EQ-5D-Y-5L Chichewa version	Instrument
instrument:eq-5d-y-5l-proxy-v1	EQ-5D-Y-5L (proxy report version)	Instrument
instrument:eq-5d-y-5l-proxy-v1	EQ-5D-Y-5L (proxy version 1)	Instrument
instrument:eq-5d-y-5l-proxy-v1	EQ-5D-Y-5L (proxy version completed by parents for the child)	Instrument
instrument:eq-5d-y-5l-proxy-v1-beta	EQ-5D-Y-5L proxy version 1 beta (Y-5Lp)	Instrument
instrument:eq-5d-y-5l-self-beta	EQ-5D-Y-5L self-complete beta version (Y-5Ls)	Instrument
instrument:eq-5d-y-5l-zh-hans-cn-beta	EQ-5D-Y-5L (Y-5L), self-complete Chinese (for China) experimental version	Instrument
instrument:eq-5d-y-5l-zh-hans-cn-proxy-v1-beta	EQ-5D-Y-5L (Y-5L), proxy version 1, Chinese (for China)	Instrument
instrument:eq-5d-y-proxy-v1	proxy version of EQ-5D-Y	Instrument
instrument:eq-hwb	EQ Health and Well-being (EQ-HWB)	Instrument
instrument:eq-hwb	EQ Health and Wellbeing	Instrument
instrument:eq-hwb	EQ Health and Wellbeing (EQ-HWB)	Instrument
instrument:eq-hwb	EQ Health and Wellbeing (EQ-HWB), 25 items	Instrument
instrument:eq-hwb	EQ Health and Wellbeing (EQ-HWB), 25-item	Instrument
instrument:eq-hwb	EQ Health and Wellbeing instrument (EQ-HWB), 25 items	Instrument
instrument:eq-hwb	EQ-HWB (25 items) administered in the baseline and 2-day follow-up survey	Instrument
instrument:eq-hwb	EQ-HWB (25 items, experimental version)	Instrument
instrument:eq-hwb	EQ-HWB (25-item long form)	Instrument
instrument:eq-hwb	EQ-HWB (25-item)	Instrument
instrument:eq-hwb	EQ-HWB (EQ health and wellbeing instrument)	Instrument
instrument:eq-hwb	EQ-HWB (EQ Health and Wellbeing Instrument), experimental 25-item long measure, self-report version	Instrument
instrument:eq-hwb	EQ-HWB (EQ Health and Wellbeing, 25-item)	Instrument
instrument:eq-hwb	EQ-HWB (experimental version, 25-item profile measure)	Instrument
instrument:eq-hwb	EQ-HWB (Health and Well-being Scale)	Instrument
instrument:eq-hwb	EQ-HWB-25	Instrument
instrument:eq-hwb	EQ-HWB-25 (25-item EQ Health and Wellbeing profile measure)	Instrument
instrument:eq-hwb	EuroQol Health and Wellbeing instrument (EQ-HWB)	Instrument
instrument:eq-hwb-25-en-au	Australian English 'experimental' version of the 25 EQ-HWB items	Instrument
instrument:eq-hwb-25-en-au	EQ-HWB (25-item English version for Australia)	Instrument
instrument:eq-hwb-25-proxy-en-au-v2	25-item EQ-HWB proxy version 2 (English version for Australia)	Instrument
instrument:eq-hwb-25-zh-hans-v1-1	experimental Simplified Chinese EQ-HWB (v1.1), 25 items	Instrument
instrument:eq-hwb-64-candidate-item-pool	EuroQol Health and Well-Being instrument (EQ-HWB), preliminary version, 64 candidate items	Instrument
instrument:eq-hwb-9-emv1-1	modified experimental EQ-HWB-9 (EQ-HWB-9 EMV1.1) / EQ-HWB-9_mod	Instrument
instrument:eq-hwb-9-emv1-2	EQ-HWB-9 ('experimental modified', 2024, v1.2)	Instrument
instrument:eq-hwb-9-es-ar-emv1-2	Argentina (Spanish) EQ-HWB-9 Experimental Modified Paper Self-Complete v1.2 (modified EQ-HWB-9)	Instrument
instrument:eq-hwb-9-es-ar-ev1-1	Argentina (Spanish) EQ-HWB-9 Experimental Paper Self-Complete v1.1 (EQ-HWB-9)	Instrument
instrument:eq-hwb-9-ev1-0	EQ Health and Wellbeing Short (EQ-HWB-S), experimental version 1.0	Instrument
instrument:eq-hwb-9-ev1-0	EQ-HWB-9 (2022 version, EV1.0)	Instrument
instrument:eq-hwb-9-ev1-0	EQ-HWB-9 (experimental EQ-HWB-9 (2022) version)	Instrument
instrument:eq-hwb-9-ev1-0	EQ-HWB-9 EV1.0 (original experimental version)	Instrument
instrument:eq-hwb-9-ev1-1	EQ-HWB-9 ('experimental', 2022, v1.1)	Instrument
instrument:eq-hwb-9-proxy-en-au-v1	proxy version of the experimental EQ-HWB-9 (2022) questionnaire (English for Australia; version 1)	Instrument
instrument:eq-hwb-id-id	EQ-HWB (Indonesian version)	Instrument
instrument:eq-hwb-proxy-v2	EQ-HWB proxy version 2 (proxy-person perspective)	Instrument
instrument:eq-hwb-s	EQ Health and Well-being Short Form (EQ-HWB-S)	Instrument
