source_id,source,target_id,target,weight
person:author:f9e85aa8b2ca48a1,Kim Rand-Hendriksen,person:openalex:A5072072897,Nang Latt,1
person:author:f9e85aa8b2ca48a1,Kim Rand-Hendriksen,person:openalex:A5102760533,Whay Kuang Chia,1
person:author:f9e85aa8b2ca48a1,Kim Rand-Hendriksen,person:openalex:A5102868937,Raymond Ng,1
person:author:f9e85aa8b2ca48a1,Kim Rand-Hendriksen,person:openalex:A5103370973,Faridah Yusof,1
person:eqmember:17787,Abraham Gebregziabiher,person:eqmember:17819,Clara Mukuria,2
person:eqmember:17787,Abraham Gebregziabiher,person:eqmember:17837,Elly Stolk,3
person:eqmember:17787,Abraham Gebregziabiher,person:eqmember:17877,Janine Verstraete,1
person:eqmember:17787,Abraham Gebregziabiher,person:eqmember:17962,Paul Kind,1
person:eqmember:17787,Abraham Gebregziabiher,person:eqmember:18019,Zhihao Yang,1
person:eqmember:17787,Abraham Gebregziabiher,person:eqmember:19005,Bas Janssen,1
person:eqmember:17787,Abraham Gebregziabiher,person:leader:5fdc94f27d8c,Girma Tekle Gebremariam,1
person:eqmember:17787,Abraham Gebregziabiher,person:leader:d9674d98607b,Yared Belete Belay,1
person:eqmember:17787,Abraham Gebregziabiher,person:openalex:A5008794902,Murray Krahn,2
person:eqmember:17787,Abraham Gebregziabiher,person:openalex:A5013846934,Fikre Enquoselassie,1
person:eqmember:17787,Abraham Gebregziabiher,person:openalex:A5019890398,Eskinder Eshetu Ali,1
person:eqmember:17787,Abraham Gebregziabiher,person:openalex:A5032844648,Beate Sander,1
person:eqmember:17787,Abraham Gebregziabiher,person:openalex:A5040701844,Gebremedhin Beedemariam Gebretekle,3
person:eqmember:17787,Abraham Gebregziabiher,person:openalex:A5050491421,Abdu Mengesha,1
person:eqmember:17787,Abraham Gebregziabiher,person:openalex:A5057552039,Biruck Gashawbeza,1
person:eqmember:17787,Abraham Gebregziabiher,person:openalex:A5063317279,Teferi Gedif Fenta,1
person:eqmember:17787,Abraham Gebregziabiher,person:openalex:A5072165119,Wondemagegnhu Tigneh,1
person:eqmember:17789,Agota Szende,person:eqmember:17891,Juan Cabasés,1
person:eqmember:17789,Agota Szende,person:eqmember:17893,Juan M. Ramos-Goñi,2
person:eqmember:17789,Agota Szende,person:eqmember:19005,Bas Janssen,2
person:eqmember:17789,Agota Szende,person:leader:5b6527858de5,Kristina Burström,1
person:eqmember:17789,Agota Szende,person:openalex:A5083951614,Gemma Vilagut,1
person:eqmember:17789,Agota Szende,person:openalex:A5112493707,H.‐H. König,1
person:eqmember:17790,Aki Tsuchiya,person:eqmember:17791,Andrew Lloyd,1
person:eqmember:17790,Aki Tsuchiya,person:eqmember:17799,Ben Van Hout,1
person:eqmember:17790,Aki Tsuchiya,person:eqmember:17807,Brendan Mulhern,6
person:eqmember:17790,Aki Tsuchiya,person:eqmember:17819,Clara Mukuria,3
person:eqmember:17790,Aki Tsuchiya,person:eqmember:17833,Donna Rowen,4
person:eqmember:17790,Aki Tsuchiya,person:eqmember:17849,Federico Augustovski,1
person:eqmember:17790,Aki Tsuchiya,person:eqmember:17885,John Brazier,5
person:eqmember:17790,Aki Tsuchiya,person:eqmember:17905,Kristina Ludwig,1
person:eqmember:17790,Aki Tsuchiya,person:eqmember:17911,Lidia Engel,1
person:eqmember:17790,Aki Tsuchiya,person:eqmember:17916,Louise Longworth,1
person:eqmember:17790,Aki Tsuchiya,person:eqmember:17937,Milad Karimi,1
person:eqmember:17790,Aki Tsuchiya,person:eqmember:17944,Nan Luo,1
person:eqmember:17790,Aki Tsuchiya,person:eqmember:17946,Nancy Devlin,4
person:eqmember:17790,Aki Tsuchiya,person:eqmember:17952,Nick Bansback,5
person:eqmember:17790,Aki Tsuchiya,person:eqmember:17958,Ole Marten,2
person:eqmember:17790,Aki Tsuchiya,person:eqmember:17960,Oliver Rivero-Arias,2
person:eqmember:17790,Aki Tsuchiya,person:eqmember:17974,Richard Norman,1
person:eqmember:17790,Aki Tsuchiya,person:eqmember:17988,Simon Pickard,1
person:eqmember:17790,Aki Tsuchiya,person:eqmember:17998,Tessa Peasgood,2
person:eqmember:17790,Aki Tsuchiya,person:eqmember:18010,Wolfgang Greiner,1
person:eqmember:17790,Aki Tsuchiya,person:eqmember:18016,Yan Feng,1
person:eqmember:17790,Aki Tsuchiya,person:eqmember:18019,Zhihao Yang,1
person:eqmember:17790,Aki Tsuchiya,person:eqmember:19030,Maja Kuharic,1
person:eqmember:17790,Aki Tsuchiya,person:leader:320b99af03c2,María Belizán,1
person:eqmember:17790,Aki Tsuchiya,person:leader:4a5cd1710c94,Emily McDool,1
person:eqmember:17790,Aki Tsuchiya,person:leader:63cb6b329986,Jill Carlton,2
person:eqmember:17790,Aki Tsuchiya,person:leader:b95f9aa0caf2,Andrea L. Monteiro,1
person:eqmember:17790,Aki Tsuchiya,person:leader:c4ed61eb8dc6,Philip Clarke,1
person:eqmember:17790,Aki Tsuchiya,person:leader:e448059d8472,Philip Powell,1
person:eqmember:17790,Aki Tsuchiya,person:leader:fb586bce648f,Nyantara Wickramasekera,1
person:eqmember:17790,Aki Tsuchiya,person:openalex:A5006054437,Georgios Kavetsos,1
person:eqmember:17790,Aki Tsuchiya,person:openalex:A5009254879,Carl Tilling,1
person:eqmember:17790,Aki Tsuchiya,person:openalex:A5012881493,Luz Gibbons,1
person:eqmember:17790,Aki Tsuchiya,person:openalex:A5013596229,John Cairns,1
person:eqmember:17790,Aki Tsuchiya,person:openalex:A5025235129,J A Elliott,1
person:eqmember:17790,Aki Tsuchiya,person:openalex:A5029535790,Jennifer Roberts,1
person:eqmember:17790,Aki Tsuchiya,person:openalex:A5033965888,Simone Kreimeier,1
person:eqmember:17790,Aki Tsuchiya,person:openalex:A5035507557,Anne Spencer,1
person:eqmember:17790,Aki Tsuchiya,person:openalex:A5037958944,Janice Connell,2
person:eqmember:17790,Aki Tsuchiya,person:openalex:A5044553114,Karen Jones,2
person:eqmember:17790,Aki Tsuchiya,person:openalex:A5044759541,Han Bleichrodt,1
person:eqmember:17790,Aki Tsuchiya,person:openalex:A5051630157,Ruth Wong,1
person:eqmember:17790,Aki Tsuchiya,person:openalex:A5067896668,Paul Dolan,1
person:eqmember:17790,Aki Tsuchiya,person:openalex:A5072547675,Bhash Naidoo,2
person:eqmember:17790,Aki Tsuchiya,person:openalex:A5074255418,Ken Buckingham,2
person:eqmember:17790,Aki Tsuchiya,person:openalex:A5076030034,Juan Carlos Rejón-Parrilla,2
person:eqmember:17790,Aki Tsuchiya,person:openalex:A5079445531,Stacey Rand,2
person:eqmember:17790,Aki Tsuchiya,person:openalex:A5081727669,Arne Risa Hole,5
person:eqmember:17790,Aki Tsuchiya,person:openalex:A5102906407,Rhiannon Tudor Edwards,1
person:eqmember:17790,Aki Tsuchiya,person:openalex:A5111788632,Rosemary Lovett,2
person:eqmember:17791,Andrew Lloyd,person:eqmember:17799,Ben Van Hout,1
person:eqmember:17791,Andrew Lloyd,person:eqmember:17817,Claire Gudex,1
person:eqmember:17791,Andrew Lloyd,person:eqmember:17823,David Parkin,2
person:eqmember:17791,Andrew Lloyd,person:eqmember:17829,Des Scott,1
person:eqmember:17791,Andrew Lloyd,person:eqmember:17831,Dominik Golicki,1
person:eqmember:17791,Andrew Lloyd,person:eqmember:17845,Fanni Rencz,1
person:eqmember:17791,Andrew Lloyd,person:eqmember:17853,Frank De Charro,1
person:eqmember:17791,Andrew Lloyd,person:eqmember:17861,Gouke Bonsel,1
person:eqmember:17791,Andrew Lloyd,person:eqmember:17875,Jan Busschbach,1
person:eqmember:17791,Andrew Lloyd,person:eqmember:17877,Janine Verstraete,2
person:eqmember:17791,Andrew Lloyd,person:eqmember:17881,Jennifer Jelsma,2
person:eqmember:17791,Andrew Lloyd,person:eqmember:17885,John Brazier,1
person:eqmember:17791,Andrew Lloyd,person:eqmember:17901,Koonal Shah,2
person:eqmember:17791,Andrew Lloyd,person:eqmember:17911,Lidia Engel,1
person:eqmember:17791,Andrew Lloyd,person:eqmember:17930,Michael Herdman,3
person:eqmember:17791,Andrew Lloyd,person:eqmember:17942,Minghui Li,2
person:eqmember:17791,Andrew Lloyd,person:eqmember:17944,Nan Luo,2
person:eqmember:17791,Andrew Lloyd,person:eqmember:17946,Nancy Devlin,2
person:eqmember:17791,Andrew Lloyd,person:eqmember:17960,Oliver Rivero-Arias,1
person:eqmember:17791,Andrew Lloyd,person:eqmember:17962,Paul Kind,2
person:eqmember:17791,Andrew Lloyd,person:eqmember:17974,Richard Norman,1
person:eqmember:17791,Andrew Lloyd,person:eqmember:17984,Sarah Dewilde,1
person:eqmember:17791,Andrew Lloyd,person:eqmember:17988,Simon Pickard,1
person:eqmember:17791,Andrew Lloyd,person:eqmember:18000,thomas kohlmann,1
person:eqmember:17791,Andrew Lloyd,person:eqmember:18018,You-Shan Feng,1
person:eqmember:17791,Andrew Lloyd,person:eqmember:19005,Bas Janssen,3
person:eqmember:17791,Andrew Lloyd,person:leader:63cb6b329986,Jill Carlton,1
person:eqmember:17791,Andrew Lloyd,person:leader:78acf91f717f,Katy Gallop,1
person:eqmember:17791,Andrew Lloyd,person:leader:c4ed61eb8dc6,Philip Clarke,2
person:eqmember:17791,Andrew Lloyd,person:openalex:A5001536254,L Scalone,1
person:eqmember:17791,Andrew Lloyd,person:openalex:A5003762466,David W. Parkin,1
person:eqmember:17791,Andrew Lloyd,person:openalex:A5004026303,Susan Griffin,1
person:eqmember:17791,Andrew Lloyd,person:openalex:A5005775947,Matias Fuentes Becerra,1
person:eqmember:17791,Andrew Lloyd,person:openalex:A5008401931,Claire Hulme,1
person:eqmember:17791,Andrew Lloyd,person:openalex:A5013140231,Marina Otten,1
person:eqmember:17791,Andrew Lloyd,person:openalex:A5016682735,Christine Blome,1
person:eqmember:17791,Andrew Lloyd,person:openalex:A5023175139,John Cullinan,1
person:eqmember:17791,Andrew Lloyd,person:openalex:A5025500663,Eve Wittenberg,1
person:eqmember:17791,Andrew Lloyd,person:openalex:A5031125763,Millie Gaydon,1
person:eqmember:17791,Andrew Lloyd,person:openalex:A5031592947,Becky Pennington,1
person:eqmember:17791,Andrew Lloyd,person:openalex:A5035507557,Anne Spencer,1
person:eqmember:17791,Andrew Lloyd,person:openalex:A5037802250,Nalin Payakachat,1
person:eqmember:17791,Andrew Lloyd,person:openalex:A5044759541,Han Bleichrodt,1
person:eqmember:17791,Andrew Lloyd,person:openalex:A5044770070,Christoph Heesen,1
person:eqmember:17791,Andrew Lloyd,person:openalex:A5045131736,Laurence Roope,1
person:eqmember:17791,Andrew Lloyd,person:openalex:A5051630157,Ruth Wong,1
person:eqmember:17791,Andrew Lloyd,person:openalex:A5053906209,Werner Brouwer,1
person:eqmember:17791,Andrew Lloyd,person:openalex:A5055442587,Thomas Wilkinson,1
person:eqmember:17791,Andrew Lloyd,person:openalex:A5055869562,Raymond Duch,1
person:eqmember:17791,Andrew Lloyd,person:openalex:A5061171982,Mara Violato,1
person:eqmember:17791,Andrew Lloyd,person:openalex:A5070135412,Jack Pollard,1
person:eqmember:17791,Andrew Lloyd,person:openalex:A5073325531,Luz María Peña-Longobardo,1
person:eqmember:17791,Andrew Lloyd,person:openalex:A5074307362,Gordon G. Liu,1
person:eqmember:17791,Andrew Lloyd,person:openalex:A5076078427,Julie Chevalier,1
person:eqmember:17791,Andrew Lloyd,person:openalex:A5077825106,Pritaporn Kingkaew,1
person:eqmember:17791,Andrew Lloyd,person:openalex:A5080976462,Hareth Al‐Janabi,1
person:eqmember:17791,Andrew Lloyd,person:openalex:A5083390736,Wendy J. Ungar,1
person:eqmember:17791,Andrew Lloyd,person:openalex:A5089239024,Edward Henry,1
person:eqmember:17791,Andrew Lloyd,person:openalex:A5090671455,Anna-Katrine Sussex,1
person:eqmember:17791,Andrew Lloyd,person:openalex:A5093565451,Giselle Abangma,2
person:eqmember:17791,Andrew Lloyd,person:openalex:A5102076784,M.H.M. Janssen,1
person:eqmember:17791,Andrew Lloyd,person:openalex:A5102906407,Rhiannon Tudor Edwards,1
person:eqmember:17791,Andrew Lloyd,person:openalex:A5107867567,Lisa A. Prosser,1
person:eqmember:17791,Andrew Lloyd,person:openalex:A5111900822,Andrew Briggs,2
person:eqmember:17793,Anna Krabbe-Lugner,person:eqmember:17964,Paul Krabbe,1
person:eqmember:17795,Arto Ohinmaa,person:eqmember:17835,Eleanor Pullenayegum,6
person:eqmember:17795,Arto Ohinmaa,person:eqmember:17847,Fatima Al Sayah,13
person:eqmember:17795,Arto Ohinmaa,person:eqmember:17851,Feng Xie,6
person:eqmember:17795,Arto Ohinmaa,person:eqmember:17879,Jeffrey Johnson,15
person:eqmember:17795,Arto Ohinmaa,person:eqmember:17952,Nick Bansback,4
person:eqmember:17795,Arto Ohinmaa,person:eqmember:17994,Stirling Bryan,3
person:eqmember:17795,Arto Ohinmaa,person:eqmember:18012,Xuejing Jin,3
person:eqmember:17795,Arto Ohinmaa,person:leader:1e73a1e0f92c,Jiabi Wen,1
person:eqmember:17795,Arto Ohinmaa,person:leader:6998de5ea5d5,Deborah Marshall,2
person:eqmember:17795,Arto Ohinmaa,person:leader:e441983c0a65,Shitong Xie,1
person:eqmember:17795,Arto Ohinmaa,person:openalex:A5017484136,Markus Lahtinen,2
person:eqmember:17795,Arto Ohinmaa,person:openalex:A5019735060,Allison Soprovich,1
person:eqmember:17795,Arto Ohinmaa,person:openalex:A5022113389,Hilary Short,3
person:eqmember:17795,Arto Ohinmaa,person:openalex:A5022167472,Lise Poissant,3
person:eqmember:17795,Arto Ohinmaa,person:openalex:A5024589021,Benjamín Higgins,1
person:eqmember:17795,Arto Ohinmaa,person:openalex:A5026943664,Katie Churchill,1
person:eqmember:17795,Arto Ohinmaa,person:openalex:A5032068645,Krista Brower,1
person:eqmember:17795,Arto Ohinmaa,person:openalex:A5035942115,Christopher Smith,1
person:eqmember:17795,Arto Ohinmaa,person:openalex:A5037182915,Brittany Humphries,2
person:eqmember:17795,Arto Ohinmaa,person:openalex:A5037250262,Andrews K. Tawiah,2
person:eqmember:17795,Arto Ohinmaa,person:openalex:A5037627667,F Xie,1
person:eqmember:17795,Arto Ohinmaa,person:openalex:A5039516267,Roland Simon,2
person:eqmember:17795,Arto Ohinmaa,person:openalex:A5039868255,Susan M. Jack,2
person:eqmember:17795,Arto Ohinmaa,person:openalex:A5039966501,Maryna Derkach,1
person:eqmember:17795,Arto Ohinmaa,person:openalex:A5040717022,Lisa Warner,1
person:eqmember:17795,Arto Ohinmaa,person:openalex:A5058639972,Eileen Keogh,1
person:eqmember:17795,Arto Ohinmaa,person:openalex:A5058941234,Katelynn Crick,1
person:eqmember:17795,Arto Ohinmaa,person:openalex:A5080252318,Lawrence W. Svenson,1
person:eqmember:17795,Arto Ohinmaa,person:openalex:A5085348599,Nathan S. McClure,2
person:eqmember:17795,Arto Ohinmaa,person:openalex:A5087826589,Rebecca Hsin-Ling Liu,1
person:eqmember:17795,Arto Ohinmaa,person:openalex:A5089253685,Tahmid Kashem,1
person:eqmember:17795,Arto Ohinmaa,person:openalex:A5108550041,Kathy Gaebel,2
person:eqmember:17795,Arto Ohinmaa,person:openalex:A5108712913,Al‐Bakir Ali,1
person:eqmember:17795,Arto Ohinmaa,person:openalex:A5109325922,JC Johnson,1
person:eqmember:17795,Arto Ohinmaa,person:openalex:A5119658150,Angel Ruhil,1
person:eqmember:17797,Ataru Igarashi,person:eqmember:17823,David Parkin,1
person:eqmember:17797,Ataru Igarashi,person:eqmember:17835,Eleanor Pullenayegum,1
person:eqmember:17797,Ataru Igarashi,person:eqmember:17851,Feng Xie,1
person:eqmember:17797,Ataru Igarashi,person:eqmember:17855,Fredrick Purba,1
person:eqmember:17797,Ataru Igarashi,person:eqmember:17875,Jan Busschbach,1
person:eqmember:17797,Ataru Igarashi,person:eqmember:17893,Juan M. Ramos-Goñi,1
person:eqmember:17797,Ataru Igarashi,person:eqmember:17930,Michael Herdman,2
person:eqmember:17797,Ataru Igarashi,person:eqmember:17940,Min-Woo Jo,2
person:eqmember:17797,Ataru Igarashi,person:eqmember:17944,Nan Luo,2
person:eqmember:17797,Ataru Igarashi,person:eqmember:17946,Nancy Devlin,1
person:eqmember:17797,Ataru Igarashi,person:eqmember:17988,Simon Pickard,1
person:eqmember:17797,Ataru Igarashi,person:eqmember:18016,Yan Feng,1
person:eqmember:17797,Ataru Igarashi,person:eqmember:18019,Zhihao Yang,2
person:eqmember:17797,Ataru Igarashi,person:eqmember:18648,Rachel Tan,1
person:eqmember:17797,Ataru Igarashi,person:leader:09fa3c498378,Asrul Shafie,1
person:eqmember:17797,Ataru Igarashi,person:leader:31a5417532b0,Eliza Wong,1
person:eqmember:17797,Ataru Igarashi,person:leader:4001f58df21c,Takeru Shiroiwa,1
person:eqmember:17797,Ataru Igarashi,person:leader:53444d26184b,Hsiang-Wen Lin,1
person:eqmember:17797,Ataru Igarashi,person:leader:557995e71b4d,Shunya Ikeda,2
person:eqmember:17797,Ataru Igarashi,person:leader:ad6bbe401f11,Juntana Pattanaphesaj,1
person:eqmember:17797,Ataru Igarashi,person:leader:c776fcba6574,Hilton Lam,1
person:eqmember:17797,Ataru Igarashi,person:openalex:A5005167530,Jeonghoon Ahn,1
person:eqmember:17797,Ataru Igarashi,person:openalex:A5010029872,Jie Jiang,1
person:eqmember:17797,Ataru Igarashi,person:openalex:A5031788907,Charles S. Cleeland,1
person:eqmember:17797,Ataru Igarashi,person:openalex:A5042163989,Shinichi Noto,1
person:eqmember:17797,Ataru Igarashi,person:openalex:A5055351763,Kojiro Shimozuma,1
person:eqmember:17797,Ataru Igarashi,person:openalex:A5059651488,Hoàng Văn Minh,1
person:eqmember:17797,Ataru Igarashi,person:openalex:A5089912389,Floortje van Nooten,1
person:eqmember:17797,Ataru Igarashi,person:openalex:A5102876935,Takashi Fukuda,1
person:eqmember:17797,Ataru Igarashi,person:openalex:A5103082005,Shinya Saito,1
person:eqmember:17799,Ben Van Hout,person:eqmember:17807,Brendan Mulhern,5
person:eqmember:17799,Ben Van Hout,person:eqmember:17831,Dominik Golicki,1
person:eqmember:17799,Ben Van Hout,person:eqmember:17833,Donna Rowen,1
person:eqmember:17799,Ben Van Hout,person:eqmember:17837,Elly Stolk,2
person:eqmember:17799,Ben Van Hout,person:eqmember:17851,Feng Xie,1
person:eqmember:17799,Ben Van Hout,person:eqmember:17853,Frank De Charro,1
person:eqmember:17799,Ben Van Hout,person:eqmember:17875,Jan Busschbach,1
person:eqmember:17799,Ben Van Hout,person:eqmember:17885,John Brazier,1
person:eqmember:17799,Ben Van Hout,person:eqmember:17893,Juan M. Ramos-Goñi,1
person:eqmember:17799,Ben Van Hout,person:eqmember:17897,Kim Rand,1
person:eqmember:17799,Ben Van Hout,person:eqmember:17901,Koonal Shah,6
person:eqmember:17799,Ben Van Hout,person:eqmember:17905,Kristina Ludwig,1
person:eqmember:17799,Ben Van Hout,person:eqmember:17924,Mark Oppe,2
person:eqmember:17799,Ben Van Hout,person:eqmember:17930,Michael Herdman,1
person:eqmember:17799,Ben Van Hout,person:eqmember:17937,Milad Karimi,2
person:eqmember:17799,Ben Van Hout,person:eqmember:17946,Nancy Devlin,9
person:eqmember:17799,Ben Van Hout,person:eqmember:17962,Paul Kind,1
person:eqmember:17799,Ben Van Hout,person:eqmember:17964,Paul Krabbe,2
person:eqmember:17799,Ben Van Hout,person:eqmember:17988,Simon Pickard,2
person:eqmember:17799,Ben Van Hout,person:eqmember:18000,thomas kohlmann,1
person:eqmember:17799,Ben Van Hout,person:eqmember:18016,Yan Feng,5
person:eqmember:17799,Ben Van Hout,person:eqmember:18018,You-Shan Feng,1
person:eqmember:17799,Ben Van Hout,person:eqmember:19005,Bas Janssen,2
