publication_id,doi,publication_year,author_order,author_name,person_id,display_name,orcid,openalex_id,entity_kind,corresponding,resolution_status,affiliations
Pd973a2060b41,,2020,9,"Yang, Zhihao",person:author:f72e22bbbf2f349a,"Yang, Zhihao",,,PERSON,0,UNRESOLVED,
Pd973a2060b41,,2020,10,María Belizán,person:leader:320b99af03c2,María Belizán,0000-0002-8739-5249,A5058351382,PERSON,0,ACCEPTED,
Pd973a2060b41,,2020,11,"Rodriguez, Rocio",person:author:8f027de2f7985f54,"Rodriguez, Rocio",,,PERSON,0,UNRESOLVED,
Pd973a2060b41,,2020,12,A Monteiro,person:leader:b95f9aa0caf2,Andrea L. Monteiro,0000-0001-9763-3485,A5024494805,PERSON,0,ACCEPTED,
Pd973a2060b41,,2020,13,Maja Kuharić,person:eqmember:19030,Maja Kuharic,0000-0003-3696-9086,A5007210675,PERSON,0,ACCEPTED,
Pd973a2060b41,,2020,14,Brendan Mulhern,person:eqmember:17807,Brendan Mulhern,0000-0003-3656-8063,A5090013218,PERSON,0,ACCEPTED,
Pd973a2060b41,,2020,15,AS Pickard,person:openalex:A5103487818,AS Pickard,,A5103487818,PERSON,0,ACCEPTED,
Pd973a2060b41,,2020,16,Na Luo,person:openalex:A5053596607,Na Luo,,A5053596607,PERSON,0,ACCEPTED,
Pd973a2060b41,,2020,17,Federico Augustovski,person:eqmember:17849,Federico Augustovski,0000-0002-2914-5022,A5053077563,PERSON,0,ACCEPTED,
Pd973a2060b41,,2020,18,Wolfgang Greiner,person:eqmember:18010,Wolfgang Greiner,0000-0001-9552-6969,A5001823062,PERSON,0,ACCEPTED,
doi:10.1002/alz.089782,10.1002/alz.089782,2024,1,Maresa Buchholz,person:leader:b74a5997703c,Maresa Buchholz,0000-0002-4486-8632,A5061680498,PERSON,0,ACCEPTED,
doi:10.1002/alz.089782,10.1002/alz.089782,2024,2,Lidia Engel,person:eqmember:17911,Lidia Engel,0000-0002-7959-3149,A5039737173,PERSON,0,ACCEPTED,
doi:10.1002/alz.089782,10.1002/alz.089782,2024,3,Niklas Weber,person:openalex:A5112901636,Niklas Weber,,A5112901636,PERSON,0,ACCEPTED,
doi:10.1002/alz.089782,10.1002/alz.089782,2024,4,Bernhard Michalowsky,person:eqmember:17803,Bernhard Michalowsky,0000-0002-3425-0089,A5088093819,PERSON,0,ACCEPTED,
doi:10.1002/hec.1596,10.1002/hec.1596,2010,1,Nancy Devlin,person:eqmember:17946,Nancy Devlin,0000-0002-1561-5361,A5103206776,PERSON,0,ACCEPTED,
doi:10.1002/hec.1596,10.1002/hec.1596,2010,2,Aki Tsuchiya,person:eqmember:17790,Aki Tsuchiya,0000-0003-4245-5399,A5015417862,PERSON,0,ACCEPTED,
doi:10.1002/hec.1596,10.1002/hec.1596,2010,3,Ken Buckingham,person:openalex:A5074255418,Ken Buckingham,,A5074255418,PERSON,0,ACCEPTED,
doi:10.1002/hec.1596,10.1002/hec.1596,2010,4,Carl Tilling,person:openalex:A5009254879,Carl Tilling,,A5009254879,PERSON,0,ACCEPTED,
doi:10.1002/hec.3444,10.1002/hec.3444,2016,1,Feng Xie,person:eqmember:17851,Feng Xie,0000-0003-3454-6266,A5102994482,PERSON,0,ACCEPTED,
doi:10.1002/hec.3444,10.1002/hec.3444,2016,2,Eleanor Pullenayegum,person:eqmember:17835,Eleanor Pullenayegum,0000-0003-4265-1330,A5029465719,PERSON,0,ACCEPTED,
doi:10.1002/hec.3444,10.1002/hec.3444,2016,3,A. Simon Pickard,person:eqmember:17988,Simon Pickard,0000-0001-5645-7091,A5058888906,PERSON,0,ACCEPTED,
doi:10.1002/hec.3444,10.1002/hec.3444,2016,4,Juan Manuel Ramos Goñi,person:eqmember:17893,Juan M. Ramos-Goñi,0000-0002-9568-5190,A5047957689,PERSON,0,ACCEPTED,
doi:10.1002/hec.3444,10.1002/hec.3444,2016,5,Min‐Woo Jo,person:eqmember:17940,Min-Woo Jo,0000-0002-4574-1318,A5015763173,PERSON,0,ACCEPTED,
doi:10.1002/hec.3444,10.1002/hec.3444,2016,6,Ataru Igarashi,person:eqmember:17797,Ataru Igarashi,0000-0001-6307-6916,A5071771037,PERSON,0,ACCEPTED,
doi:10.1002/hec.3445,10.1002/hec.3445,2016,1,Marcel F. Jonker,person:eqmember:17920,Marcel Jonker,0000-0001-8433-1402,A5063358434,PERSON,0,ACCEPTED,
doi:10.1002/hec.3445,10.1002/hec.3445,2016,2,Arthur E. Attema,person:leader:78f0dc6cb8d8,Arthur Attema,0000-0003-3607-6579,A5082166488,PERSON,0,ACCEPTED,
doi:10.1002/hec.3445,10.1002/hec.3445,2016,3,Bas Donkers,person:openalex:A5033508635,Bas Donkers,0000-0002-0412-4276,A5033508635,PERSON,0,ACCEPTED,
doi:10.1002/hec.3445,10.1002/hec.3445,2016,4,Elly Stolk,person:eqmember:17837,Elly Stolk,0000-0001-5968-0416,A5033903811,PERSON,0,ACCEPTED,
doi:10.1002/hec.3445,10.1002/hec.3445,2016,5,Matthijs Versteegh,person:eqmember:17928,Matthijs Versteegh,0000-0003-4804-235x,A5086031530,PERSON,0,ACCEPTED,
doi:10.1002/hec.3560,10.1002/hec.3560,2018,1,Yan Feng,person:eqmember:18016,Yan Feng,0000-0001-8663-6859,A5027316988,PERSON,0,ACCEPTED,1 Office of Health Economics London UK
doi:10.1002/hec.3560,10.1002/hec.3560,2018,2,Nancy J. Devlin,person:eqmember:17946,Nancy Devlin,0000-0002-1561-5361,A5103206776,PERSON,0,ACCEPTED,1 Office of Health Economics London UK | 2 School of Health and Related Research University of Sheffield Sheffield UK
doi:10.1002/hec.3560,10.1002/hec.3560,2018,3,Koonal K. Shah,person:eqmember:17901,Koonal Shah,0000-0002-4927-7858,A5083575745,PERSON,0,ACCEPTED,1 Office of Health Economics London UK
doi:10.1002/hec.3560,10.1002/hec.3560,2018,4,Brendan Mulhern,person:eqmember:17807,Brendan Mulhern,0000-0003-3656-8063,A5090013218,PERSON,0,ACCEPTED,2 School of Health and Related Research University of Sheffield Sheffield UK | 3 Centre for Health Economics Research and Evaluation University of Technology Sydney Sydney NSW Australia
doi:10.1002/hec.3560,10.1002/hec.3560,2018,5,Ben van Hout,person:eqmember:17799,Ben Van Hout,0000-0001-9698-6094,A5032690231,PERSON,1,ACCEPTED,2 School of Health and Related Research University of Sheffield Sheffield UK
doi:10.1002/hec.3564,10.1002/hec.3564,2017,1,Nancy J Devlin,person:eqmember:17946,Nancy Devlin,0000-0002-1561-5361,A5103206776,PERSON,0,ACCEPTED,"1Office of Health Economics, London, UK | 2School of Health and Related Research, University of Sheffield, Sheffield, UK"
doi:10.1002/hec.3564,10.1002/hec.3564,2017,2,Koonal K Shah,person:eqmember:17901,Koonal Shah,0000-0002-4927-7858,A5083575745,PERSON,0,ACCEPTED,"1Office of Health Economics, London, UK"
doi:10.1002/hec.3564,10.1002/hec.3564,2017,3,Yan Feng,person:eqmember:18016,Yan Feng,0000-0001-8663-6859,A5027316988,PERSON,0,ACCEPTED,"1Office of Health Economics, London, UK"
doi:10.1002/hec.3564,10.1002/hec.3564,2017,4,Brendan Mulhern,person:eqmember:17807,Brendan Mulhern,0000-0003-3656-8063,A5090013218,PERSON,0,ACCEPTED,"2School of Health and Related Research, University of Sheffield, Sheffield, UK | 3Centre for Health Economics Research and Evaluation, University of Technology Sydney, Sydney, NSW, Australia"
doi:10.1002/hec.3564,10.1002/hec.3564,2017,5,Ben van Hout,person:eqmember:17799,Ben Van Hout,0000-0001-9698-6094,A5032690231,PERSON,0,ACCEPTED,"2School of Health and Related Research, University of Sheffield, Sheffield, UK"
doi:10.1002/hec.3773,10.1002/hec.3773,2018,1,Yan Feng,person:eqmember:18016,Yan Feng,0000-0001-8663-6859,A5027316988,PERSON,0,ACCEPTED,"1Office of Health Economics, London, UK"
doi:10.1002/hec.3773,10.1002/hec.3773,2018,2,Arne Risa Hole,person:openalex:A5081727669,Arne Risa Hole,0000-0002-9413-8101,A5081727669,PERSON,0,ACCEPTED,"2Department of Economics, University of Sheffield, Sheffield, UK"
doi:10.1002/hec.3773,10.1002/hec.3773,2018,3,Milad Karimi,person:eqmember:17937,Milad Karimi,0000-0002-5298-174x,A5076374306,PERSON,0,ACCEPTED,"3Erasmus School of Health Policy & Management, Erasmus Universiteit Rotterdam, Rotterdam, The Netherlands | 4School of Health and Related Research, University of Sheffield, Sheffield, UK"
doi:10.1002/hec.3773,10.1002/hec.3773,2018,4,Aki Tsuchiya,person:eqmember:17790,Aki Tsuchiya,0000-0003-4245-5399,A5015417862,PERSON,0,ACCEPTED,"2Department of Economics, University of Sheffield, Sheffield, UK | 4School of Health and Related Research, University of Sheffield, Sheffield, UK"
doi:10.1002/hec.3773,10.1002/hec.3773,2018,5,Ben van Hout,person:eqmember:17799,Ben Van Hout,0000-0001-9698-6094,A5032690231,PERSON,0,ACCEPTED,"4School of Health and Related Research, University of Sheffield, Sheffield, UK"
doi:10.1002/hec.3846,10.1002/hec.3846,2019,1,Marcel F. Jonker,person:eqmember:17920,Marcel Jonker,0000-0001-8433-1402,A5063358434,PERSON,1,ACCEPTED,1 Erasmus Choice Modelling Centre Erasmus University Rotterdam The Netherlands | 2 Duke Clinical Research Institute Duke University Durham North Carolina | 3 Erasmus School of Health Policy and Management Erasmus University Rotterdam The Netherlands
doi:10.1002/hec.3846,10.1002/hec.3846,2019,2,Bas Donkers,person:openalex:A5033508635,Bas Donkers,0000-0002-0412-4276,A5033508635,PERSON,0,ACCEPTED,1 Erasmus Choice Modelling Centre Erasmus University Rotterdam The Netherlands | 4 Erasmus School of Economics Erasmus University Rotterdam The Netherlands
doi:10.1002/hec.3846,10.1002/hec.3846,2019,3,Esther de Bekker‐Grob,person:openalex:A5007711014,Esther W. de Bekker‐Grob,0000-0001-7645-6168,A5007711014,PERSON,0,ACCEPTED,1 Erasmus Choice Modelling Centre Erasmus University Rotterdam The Netherlands | 3 Erasmus School of Health Policy and Management Erasmus University Rotterdam The Netherlands
doi:10.1002/hec.3846,10.1002/hec.3846,2019,4,Elly A. Stolk,person:eqmember:17837,Elly Stolk,0000-0001-5968-0416,A5033903811,PERSON,0,ACCEPTED,1 Erasmus Choice Modelling Centre Erasmus University Rotterdam The Netherlands | 5 EuroQol Research Foundation Rotterdam The Netherlands
doi:10.1002/hec.4179,10.1002/hec.4179,2020,1,P. Schneider,person:leader:0a4ba2690908,Paul Schneider,0000-0003-3552-1087,A5007136182,PERSON,0,ACCEPTED,
doi:10.1002/hec.4399,10.1002/hec.4399,2021,1,Edward Webb,person:eqmember:18646,Edward Webb,0000-0001-7918-839x,A5011344482,PERSON,0,ACCEPTED,
doi:10.1002/hec.4399,10.1002/hec.4399,2021,2,Paul Kind,person:eqmember:17962,Paul Kind,0000-0003-2377-1652,A5013594779,PERSON,0,ACCEPTED,
doi:10.1002/hec.4399,10.1002/hec.4399,2021,3,David Meads,person:openalex:A5086640521,David Meads,0000-0003-1369-2483,A5086640521,PERSON,0,ACCEPTED,
doi:10.1002/hec.4399,10.1002/hec.4399,2021,4,Adam Martin,person:openalex:A5023608008,Adam Martin,0000-0002-2559-6483,A5023608008,PERSON,0,ACCEPTED,
doi:10.1002/hec.4457,10.1002/hec.4457,2022,1,Marcel F. Jonker,person:eqmember:17920,Marcel Jonker,0000-0001-8433-1402,A5063358434,PERSON,1,ACCEPTED,1 Erasmus School of Health Policy & Management Erasmus University Rotterdam Rotterdam the Netherlands | 2 Erasmus Choice Modelling Centre Erasmus University Rotterdam Rotterdam the Netherlands | 3 Duke Clinical Research Institute Duke University Durham North Carolina USA
doi:10.1002/hec.4457,10.1002/hec.4457,2022,2,Richard Norman,person:eqmember:17974,Richard Norman,0000-0002-3112-3893,A5101841802,PERSON,0,ACCEPTED,4 School of Public Health Curtin University Perth Western Australia Australia
doi:10.1002/hec.4529,10.1002/hec.4529,2022,1,Stefan A Lipman,person:eqmember:17992,Stefan Lipman,0000-0002-8784-9650,A5078862538,PERSON,0,ACCEPTED,"1 Erasmus Centre for Health Economics Rotterdam, Erasmus School of Health Policy & Management, Erasmus University Rotterdam, Rotterdam, Netherlands"
doi:10.1002/hec.4529,10.1002/hec.4529,2022,2,Arthur E Attema,person:leader:78f0dc6cb8d8,Arthur Attema,0000-0003-3607-6579,A5082166488,PERSON,0,ACCEPTED,"1 Erasmus Centre for Health Economics Rotterdam, Erasmus School of Health Policy & Management, Erasmus University Rotterdam, Rotterdam, Netherlands"
doi:10.1002/hec.4529,10.1002/hec.4529,2022,3,Matthijs M Versteegh,person:eqmember:17928,Matthijs Versteegh,0000-0003-4804-235x,A5086031530,PERSON,0,ACCEPTED,"2 Institute for Medical Technology Assessment, Erasmus University Rotterdam, Rotterdam, Netherlands"
doi:10.1002/hec.4863,10.1002/hec.4863,2024,1,Chris Sampson,person:eqmember:17815,Chris Sampson,0000-0001-9470-2369,A5002636040,PERSON,0,ACCEPTED,
doi:10.1002/hec.4863,10.1002/hec.4863,2024,2,David Parkin,person:eqmember:17823,David Parkin,0000-0002-9990-8208,A5081956728,PERSON,0,ACCEPTED,
doi:10.1002/hec.4863,10.1002/hec.4863,2024,3,Nancy Devlin,person:eqmember:17946,Nancy Devlin,0000-0002-1561-5361,A5103206776,PERSON,0,ACCEPTED,
doi:10.1002/hpm.2406,10.1002/hpm.2406,2017,1,Agung Budi Sutiono,person:openalex:A5112063284,Agung Budi Sutiono,,A5112063284,PERSON,0,ACCEPTED,
doi:10.1002/hpm.2406,10.1002/hpm.2406,2017,2,Ahmad Faried,person:openalex:A5059493933,Ahmad Faried,0000-0003-2967-8125,A5059493933,PERSON,0,ACCEPTED,
doi:10.1002/hpm.2406,10.1002/hpm.2406,2017,3,Susan McAllister,person:openalex:A5087251816,Susan McAllister,0000-0001-7881-6622,A5087251816,PERSON,0,ACCEPTED,
doi:10.1002/hpm.2406,10.1002/hpm.2406,2017,4,Amelia Ganefianty,person:openalex:A5007020233,Amelia Ganefianty,0000-0003-3303-1519,A5007020233,PERSON,0,ACCEPTED,
doi:10.1002/hpm.2406,10.1002/hpm.2406,2017,5,Kalih Sarjono,person:openalex:A5089178690,Kalih Sarjono,,A5089178690,PERSON,0,ACCEPTED,
doi:10.1002/hpm.2406,10.1002/hpm.2406,2017,6,Muhammad Arifin,person:openalex:A5102901545,Muhammad Arifin,0000-0003-2529-9371,A5102901545,PERSON,0,ACCEPTED,
doi:10.1002/hpm.2406,10.1002/hpm.2406,2017,7,Sarah Derrett,person:eqmember:17982,Sarah Derrett,0000-0003-2867-0498,A5021576811,PERSON,0,ACCEPTED,
doi:10.1002/hpm.2408,10.1002/hpm.2408,2017,1,Susan McAllister,person:openalex:A5087251816,Susan McAllister,0000-0001-7881-6622,A5087251816,PERSON,0,ACCEPTED,
doi:10.1002/hpm.2408,10.1002/hpm.2408,2017,2,Amelia Ganefianty,person:openalex:A5007020233,Amelia Ganefianty,0000-0003-3303-1519,A5007020233,PERSON,0,ACCEPTED,
doi:10.1002/hpm.2408,10.1002/hpm.2408,2017,3,Ahmad Faried,person:openalex:A5059493933,Ahmad Faried,0000-0003-2967-8125,A5059493933,PERSON,0,ACCEPTED,
doi:10.1002/hpm.2408,10.1002/hpm.2408,2017,4,Agung Budi Sutiono,person:openalex:A5112063284,Agung Budi Sutiono,,A5112063284,PERSON,0,ACCEPTED,
doi:10.1002/hpm.2408,10.1002/hpm.2408,2017,5,Kalih Sarjono,person:openalex:A5089178690,Kalih Sarjono,,A5089178690,PERSON,0,ACCEPTED,
doi:10.1002/hpm.2408,10.1002/hpm.2408,2017,6,Regina Melia,person:openalex:A5081619394,Regina Melia,,A5081619394,PERSON,0,ACCEPTED,
doi:10.1002/hpm.2408,10.1002/hpm.2408,2017,7,Sheila Sumargo,person:openalex:A5023389774,Sheila Sumargo,,A5023389774,PERSON,0,ACCEPTED,
doi:10.1002/hpm.2408,10.1002/hpm.2408,2017,8,Muhammad Arifin,person:openalex:A5102901545,Muhammad Arifin,0000-0003-2529-9371,A5102901545,PERSON,0,ACCEPTED,
doi:10.1002/hpm.2408,10.1002/hpm.2408,2017,9,Sarah Derrett,person:eqmember:17982,Sarah Derrett,0000-0003-2867-0498,A5021576811,PERSON,0,ACCEPTED,
doi:10.1002/hsr2.70308,10.1002/hsr2.70308,2024,1,Allison L. Soprovich,person:openalex:A5019735060,Allison Soprovich,0000-0002-6143-1555,A5019735060,PERSON,1,ACCEPTED,"1 Alberta PROMs and EQ‐5D Research and Support Unit (APERSU), School of Public Health University of Alberta Edmonton Alberta Canada"
doi:10.1002/hsr2.70308,10.1002/hsr2.70308,2024,2,Hilary Short,person:openalex:A5022113389,Hilary Short,0000-0002-7142-3364,A5022113389,PERSON,0,ACCEPTED,"1 Alberta PROMs and EQ‐5D Research and Support Unit (APERSU), School of Public Health University of Alberta Edmonton Alberta Canada"
doi:10.1002/hsr2.70308,10.1002/hsr2.70308,2024,3,Al‐Bakir Ali,person:openalex:A5108712913,Al‐Bakir Ali,,A5108712913,PERSON,0,ACCEPTED,2 Edmonton O‐day'min Primary Care Network Edmonton Alberta Canada
doi:10.1002/hsr2.70308,10.1002/hsr2.70308,2024,4,Krista Brower,person:openalex:A5032068645,Krista Brower,,A5032068645,PERSON,0,ACCEPTED,2 Edmonton O‐day'min Primary Care Network Edmonton Alberta Canada
doi:10.1002/hsr2.70308,10.1002/hsr2.70308,2024,5,Arto Ohinmaa,person:eqmember:17795,Arto Ohinmaa,0000-0002-7094-1573,A5087246819,PERSON,0,ACCEPTED,"1 Alberta PROMs and EQ‐5D Research and Support Unit (APERSU), School of Public Health University of Alberta Edmonton Alberta Canada"
doi:10.1002/hsr2.70308,10.1002/hsr2.70308,2024,6,Jeffrey A. Johnson,person:eqmember:17879,Jeffrey Johnson,0000-0001-8290-2857,A5067514299,PERSON,0,ACCEPTED,"1 Alberta PROMs and EQ‐5D Research and Support Unit (APERSU), School of Public Health University of Alberta Edmonton Alberta Canada"
doi:10.1002/ppul.71031,10.1002/ppul.71031,2025,1,Wenjing Zhou,person:leader:73598c4735dd,Wenjing Zhou,0000-0003-0770-4564,A5080372262,PERSON,0,ACCEPTED,"1 Department of Pediatrics, Renji Hospital, School of Medicine, Shanghai Jiaotong University, Shanghai, China | 2 Department of Psychiatry, Section Medical Psychology and Psychotherapy, Erasmus Medical Center, Rotterdam, The Netherlands"
doi:10.1002/ppul.71031,10.1002/ppul.71031,2025,2,Michael Herdman,person:eqmember:17930,Michael Herdman,0000-0002-8189-5357,A5006750775,PERSON,0,ACCEPTED,"3 Office of Health Economics, London, UK | 4 Saw Swee Hock School of Public Health, National University of Singapore, Singapore, Singapore"
doi:10.1002/ppul.71031,10.1002/ppul.71031,2025,3,Zhihao Yang,person:eqmember:18019,Zhihao Yang,0000-0001-5468-0847,A5028809099,PERSON,0,ACCEPTED,"5 Health Services Management Department, Guizhou Medical University, Guiyang, China"
doi:10.1002/ppul.71031,10.1002/ppul.71031,2025,4,Bin Wu,person:openalex:A5103219361,Bin Wu,0000-0002-8314-8259,A5103219361,PERSON,0,ACCEPTED,"6 Medical Decision and Economic Group, Department of Pharmac, Ren Ji Hospital, School of Medicine, Shanghai Jiaotong University, Shanghai, China"
doi:10.1002/ppul.71031,10.1002/ppul.71031,2025,5,Pei Wang,person:leader:fa3dd095d626,pei wang,0000-0003-3661-3944,A5100462659,PERSON,0,ACCEPTED,"7 School of Public Health, Fudan University, Shanghai, China"
doi:10.1002/ppul.71031,10.1002/ppul.71031,2025,6,Jan Busschbach,person:eqmember:17875,Jan Busschbach,0000-0002-8602-0381,A5020122364,PERSON,0,ACCEPTED,"2 Department of Psychiatry, Section Medical Psychology and Psychotherapy, Erasmus Medical Center, Rotterdam, The Netherlands"
doi:10.1002/ppul.71031,10.1002/ppul.71031,2025,7,Yanming Lu,person:openalex:A5101609487,Yanming Lu,0000-0001-5559-2574,A5101609487,PERSON,0,ACCEPTED,"1 Department of Pediatrics, Renji Hospital, School of Medicine, Shanghai Jiaotong University, Shanghai, China"
doi:10.1002/ppul.71031,10.1002/ppul.71031,2025,8,Nan Luo,person:eqmember:17944,Nan Luo,0000-0001-7980-6979,A5064398143,PERSON,0,ACCEPTED,"4 Saw Swee Hock School of Public Health, National University of Singapore, Singapore, Singapore"
doi:10.1002/trc2.12486,10.1002/trc2.12486,2024,1,Maresa Buchholz,person:leader:b74a5997703c,Maresa Buchholz,0000-0002-4486-8632,A5061680498,PERSON,0,ACCEPTED,"1 German Center for Neurodegenerative Diseases (DZNE), Rostock/Greifswald, Greifswald, Germany"
doi:10.1002/trc2.12486,10.1002/trc2.12486,2024,2,Lidia Engel,person:eqmember:17911,Lidia Engel,0000-0002-7959-3149,A5039737173,PERSON,0,ACCEPTED,"2 Monash University Health Economics Group, School of Public Health and Preventive Medicine, Monash University, Melbourne, Australia"
doi:10.1002/trc2.12486,10.1002/trc2.12486,2024,3,Fabian Kleinke,person:openalex:A5042050033,Fabian Kleinke,0000-0003-0092-7263,A5042050033,PERSON,0,ACCEPTED,"3 Department of Epidemiology of Health Care and Community Health, Institute for Community Medicine, University Medicine Greifswald, Greifswald, Germany"
doi:10.1002/trc2.12486,10.1002/trc2.12486,2024,4,Franka Mühlichen,person:openalex:A5086347511,Franka Mühlichen,,A5086347511,PERSON,0,ACCEPTED,"1 German Center for Neurodegenerative Diseases (DZNE), Rostock/Greifswald, Greifswald, Germany"
doi:10.1002/trc2.12486,10.1002/trc2.12486,2024,5,Michelle Pfaff,person:openalex:A5039282412,M Pfaff,0009-0000-5239-1769,A5039282412,PERSON,0,ACCEPTED,"1 German Center for Neurodegenerative Diseases (DZNE), Rostock/Greifswald, Greifswald, Germany"
doi:10.1002/trc2.12486,10.1002/trc2.12486,2024,6,Moritz Platen,person:openalex:A5072137190,Moritz Platen,0000-0001-6438-7230,A5072137190,PERSON,0,ACCEPTED,"1 German Center for Neurodegenerative Diseases (DZNE), Rostock/Greifswald, Greifswald, Germany"
doi:10.1002/trc2.12486,10.1002/trc2.12486,2024,7,Anika Rädke,person:openalex:A5024031603,Anika Rädke,0000-0003-0634-8756,A5024031603,PERSON,0,ACCEPTED,"1 German Center for Neurodegenerative Diseases (DZNE), Rostock/Greifswald, Greifswald, Germany"
doi:10.1002/trc2.12486,10.1002/trc2.12486,2024,8,Annelie Scharf,person:openalex:A5067560109,Annelie Scharf,0000-0002-0910-088x,A5067560109,PERSON,0,ACCEPTED,"1 German Center for Neurodegenerative Diseases (DZNE), Rostock/Greifswald, Greifswald, Germany"
doi:10.1002/trc2.12486,10.1002/trc2.12486,2024,9,Niklas Weber,person:openalex:A5112901636,Niklas Weber,,A5112901636,PERSON,0,ACCEPTED,"1 German Center for Neurodegenerative Diseases (DZNE), Rostock/Greifswald, Greifswald, Germany"
doi:10.1002/trc2.12486,10.1002/trc2.12486,2024,10,Neeltje van den Berg,person:openalex:A5063980702,Neeltje van den Berg,0000-0001-6965-0544,A5063980702,PERSON,0,ACCEPTED,"3 Department of Epidemiology of Health Care and Community Health, Institute for Community Medicine, University Medicine Greifswald, Greifswald, Germany"
doi:10.1002/trc2.12486,10.1002/trc2.12486,2024,11,Wolfgang Hoffmann,person:openalex:A5056236835,Wolfgang Hoffmann,0000-0002-6359-8797,A5056236835,PERSON,0,ACCEPTED,"1 German Center for Neurodegenerative Diseases (DZNE), Rostock/Greifswald, Greifswald, Germany | 3 Department of Epidemiology of Health Care and Community Health, Institute for Community Medicine, University Medicine Greifswald, Greifswald, Germany"
doi:10.1002/trc2.12486,10.1002/trc2.12486,2024,12,Bernhard Michalowsky,person:eqmember:17803,Bernhard Michalowsky,0000-0002-3425-0089,A5088093819,PERSON,0,ACCEPTED,"1 German Center for Neurodegenerative Diseases (DZNE), Rostock/Greifswald, Greifswald, Germany"
doi:10.1007/s00415-025-13024-0,10.1007/s00415-025-13024-0,2025,1,Audrey Iskandar,person:openalex:A5110249394,Arif Iskandar,0009-0007-6400-507x,A5110249394,PERSON,1,ACCEPTED,"1https://ror.org/043j0f473grid.424247.30000 0004 0438 0426German Center for Neurodegenerative Diseases (DZNE), Site Rostock/Greifswald, Patient-Reported Outcomes & Health Economics Group, Ellernholzstrasse 1-2, 17489 Greifswald, Germany"
doi:10.1007/s00415-025-13024-0,10.1007/s00415-025-13024-0,2025,2,Maresa Buchholz,person:leader:b74a5997703c,Maresa Buchholz,0000-0002-4486-8632,A5061680498,PERSON,0,ACCEPTED,"1https://ror.org/043j0f473grid.424247.30000 0004 0438 0426German Center for Neurodegenerative Diseases (DZNE), Site Rostock/Greifswald, Patient-Reported Outcomes & Health Economics Group, Ellernholzstrasse 1-2, 17489 Greifswald, Germany"
doi:10.1007/s00415-025-13024-0,10.1007/s00415-025-13024-0,2025,3,Iris Blotenberg,person:openalex:A5066245933,Iris Blotenberg,0000-0002-2273-5564,A5066245933,PERSON,0,ACCEPTED,"1https://ror.org/043j0f473grid.424247.30000 0004 0438 0426German Center for Neurodegenerative Diseases (DZNE), Site Rostock/Greifswald, Patient-Reported Outcomes & Health Economics Group, Ellernholzstrasse 1-2, 17489 Greifswald, Germany"
doi:10.1007/s00415-025-13024-0,10.1007/s00415-025-13024-0,2025,4,Tanja Schmitz-Hübsch,person:openalex:A5072290180,Tanja Schmitz‐Hübsch,0000-0003-4833-5937,A5072290180,PERSON,0,ACCEPTED,"4https://ror.org/001w7jn25grid.6363.00000 0001 2218 4662Experimental and Clinical Research Center, A cooperation of Max-Delbrueck Center of Molecular Medicine and Charité, Universitätsmedizin Berlin, Berlin, Germany"
