limitation_id,study_id,publication_id,doi,publication_year,primary_research_family,statement,about_ids
P00957738e538:L3,P00957738e538:S1,doi:10.1007/s11136-021-02804-6,10.1007/s11136-021-02804-6,2021,VALUE_SET_DEVELOPMENT,"Only regions in European Russia were included, which limited geographical representativeness.",
P00957738e538:L4,P00957738e538:S1,doi:10.1007/s11136-021-02804-6,10.1007/s11136-021-02804-6,2021,VALUE_SET_DEVELOPMENT,"The Van Hout crosswalk sample included no Russian respondents, so differences in EQ-5D-3L and EQ-5D-5L response patterns could bias the mapped value set.",
P010b702a1a0b:lim_1,P010b702a1a0b:study_1,doi:10.1007/s11136-025-03947-6,10.1007/s11136-025-03947-6,2025,EVIDENCE_SYNTHESIS,"Because the topic was specialized, the authors used a targeted citation search based on four seed papers and did not conduct a broader systematic review.",
P010b702a1a0b:lim_2,P010b702a1a0b:study_1,doi:10.1007/s11136-025-03947-6,10.1007/s11136-025-03947-6,2025,EVIDENCE_SYNTHESIS,"Much early EQ VAS research was not formally published, and identification of relevant grey literature depended on communications with researchers involved in early EQ-5D development.",
P012214c3cce2:limitation_1,P012214c3cce2:study_1,doi:10.1007/s11136-025-03989-w,10.1007/s11136-025-03989-w,2025,METHODS_RESEARCH,"Recruitment through Prolific, an online survey company, may limit representativeness.",
P012214c3cce2:limitation_2,P012214c3cce2:study_1,doi:10.1007/s11136-025-03989-w,10.1007/s11136-025-03989-w,2025,METHODS_RESEARCH,"The cognitive-debrief interview itself may have influenced participant behavior; interviewers sometimes intervened to prevent prolonged struggles, so it is unclear whether participants would have resolved confusion independently.",
P012214c3cce2:limitation_3,P012214c3cce2:study_1,doi:10.1007/s11136-025-03989-w,10.1007/s11136-025-03989-w,2025,METHODS_RESEARCH,"The sample was small, which limited the presentation and interpretation of quantitative results, including age-group differences.",
P012214c3cce2:limitation_4,P012214c3cce2:study_1,doi:10.1007/s11136-025-03989-w,10.1007/s11136-025-03989-w,2025,METHODS_RESEARCH,"Participant views about using OPUF for decision-making were not analyzed because responses had limited depth, possibly because prompts came late in a long interview or were too open-ended.",
P02434cacc68a:L1,P02434cacc68a:S1,doi:10.1007/s11136-024-03601-7,10.1007/s11136-024-03601-7,2024,METHODS_RESEARCH,"The reused dataset did not contain wording equivalent to the current experimental EQ-HWB-S for three of nine items. The mobility and concentrating/thinking items had to be constructed from item pairs, and only the Australian sample permitted a combined sad/depressed analysis.",
P02434cacc68a:L2,P02434cacc68a:S1,doi:10.1007/s11136-024-03601-7,10.1007/s11136-024-03601-7,2024,METHODS_RESEARCH,"Only English-language EQ-HWB-S data were analyzed, although the source psychometric study included other languages.",
P02434cacc68a:L3,P02434cacc68a:S1,doi:10.1007/s11136-024-03601-7,10.1007/s11136-024-03601-7,2024,METHODS_RESEARCH,"The source dataset was not collected for the known-group comparisons, which limited those analyses.",
P02434cacc68a:L4,P02434cacc68a:S1,doi:10.1007/s11136-024-03601-7,10.1007/s11136-024-03601-7,2024,METHODS_RESEARCH,"Because the source survey sampled particular conditions and population groups, its composition could have contributed to the strong scalability and might not generalize to other patient populations.",
P02434cacc68a:L5,P02434cacc68a:S1,doi:10.1007/s11136-024-03601-7,10.1007/s11136-024-03601-7,2024,METHODS_RESEARCH,"The instrument is conceptually multidimensional, and an analysis with additional well-being items would provide more clarity about scalability.",
P02434cacc68a:L6,P02434cacc68a:S1,doi:10.1007/s11136-024-03601-7,10.1007/s11136-024-03601-7,2024,METHODS_RESEARCH,"Automated item selection can identify the wrong number of dimensions when factors are strongly correlated; therefore, its two-scale result requires cautious interpretation.",
P0267f1a39279:L1,P0267f1a39279:S1,doi:10.1007/s12471-022-01677-9,10.1007/s12471-022-01677-9,2022,EVIDENCE_SYNTHESIS,Data on subclinical myocarditis and pericarditis after COVID-19 in the general population were lacking.,
P0267f1a39279:L2,P0267f1a39279:S1,doi:10.1007/s12471-022-01677-9,10.1007/s12471-022-01677-9,2022,EVIDENCE_SYNTHESIS,The pathophysiological mechanisms of myocarditis and pericarditis after COVID-19 vaccination were not completely understood.,
P0267f1a39279:L3,P0267f1a39279:S1,doi:10.1007/s12471-022-01677-9,10.1007/s12471-022-01677-9,2022,EVIDENCE_SYNTHESIS,Long-term outcomes after vaccine-associated myocarditis and the safety of a subsequent mRNA vaccine dose remained uncertain and required prospective study.,
P028e859a3a23:LI1,P028e859a3a23:S1,doi:10.1007/s40273-023-01280-9,10.1007/s40273-023-01280-9,2023,VALUE_SET_DEVELOPMENT,The Slovenian translation of the most severe pain/discomfort level as unbearable rather than extreme pain may have exaggerated the disutility attached to that level.,
P028e859a3a23:LI2,P028e859a3a23:S1,doi:10.1007/s40273-023-01280-9,10.1007/s40273-023-01280-9,2023,VALUE_SET_DEVELOPMENT,"No modelling strategy is agreed for value-set estimation, and using cTTO data alone can deliver logically inconsistent estimates, although it did not do so here.",
P028e859a3a23:LI3,P028e859a3a23:S1,doi:10.1007/s40273-023-01280-9,10.1007/s40273-023-01280-9,2023,VALUE_SET_DEVELOPMENT,"DCE data were collected under the EuroQol protocol but were not used, because the current EuroQol DCE design and protocol do not allow a value set to be estimated from DCE data alone.",
P028e859a3a23:LI4,P028e859a3a23:S1,doi:10.1007/s40273-023-01280-9,10.1007/s40273-023-01280-9,2023,VALUE_SET_DEVELOPMENT,"No exclusions were made on data-quality grounds, and interviews failing the quality-control criteria were retained when the interviewer judged that the respondent understood the cTTO task.",
P0295f92e9c13:lim_1,P0295f92e9c13:study_1,doi:10.1136/bmjopen-2024-097598,10.1136/bmjopen-2024-097598,2025,METHODS_RESEARCH,The sample is too small for discrete choice modelling and estimation of coefficients needed to produce EQ-5D-Y-5L health-state utility values; the authors state that this would require about 1000 participants.,
P0295f92e9c13:lim_2,P0295f92e9c13:study_1,doi:10.1136/bmjopen-2024-097598,10.1136/bmjopen-2024-097598,2025,METHODS_RESEARCH,Snowball recruitment through community organisations may introduce selection bias and may under-represent eligible youth affected by socioeconomic disparities or access barriers.,
P0366b5734a4e:L1,P0366b5734a4e:S1,doi:10.1016/j.jval.2026.02.012,10.1016/j.jval.2026.02.012,2026,METHODS_RESEARCH,"The study did not use the existing Chinese EQ-5D-5L value set; it estimated core coefficients from newly collected data produced with the same design and interview team, which could favor compatibility and predictive performance.",
P0366b5734a4e:L2,P0366b5734a4e:S1,doi:10.1016/j.jval.2026.02.012,10.1016/j.jval.2026.02.012,2026,METHODS_RESEARCH,"The standalone bolt-on models used relatively small samples of about 200 respondents per arm, which limited power and could contribute to nonsignificant or nonmonotonic additive coefficients.",
P0366b5734a4e:L3,P0366b5734a4e:S1,doi:10.1016/j.jval.2026.02.012,10.1016/j.jval.2026.02.012,2026,METHODS_RESEARCH,The comparison was not a definitive test of model superiority because constrained scaling factor models borrow information from the core EQ-5D-5L data and trade model flexibility for consistency.,
P0366b5734a4e:L4,P0366b5734a4e:S1,doi:10.1016/j.jval.2026.02.012,10.1016/j.jval.2026.02.012,2026,METHODS_RESEARCH,Random-intercept Tobit models accounted for baseline preference heterogeneity but not individual variation in sensitivity to health-state severity or heteroscedasticity in cTTO responses.,
P0366b5734a4e:L5,P0366b5734a4e:S1,doi:10.1016/j.jval.2026.02.012,10.1016/j.jval.2026.02.012,2026,METHODS_RESEARCH,The by-state cross-validation was an internal validation and did not use a fully independent sample.,
P0366b5734a4e:L6,P0366b5734a4e:S1,doi:10.1016/j.jval.2026.02.012,10.1016/j.jval.2026.02.012,2026,METHODS_RESEARCH,The scaling factor model was tested only with cTTO data; the study did not evaluate DCE data or a hybrid cTTO-DCE approach.,
P03dcc963dc1a:L1,P03dcc963dc1a:S1,doi:10.5114/aoms.2015.52126,10.5114/aoms.2015.52126,2015,POPULATION_REFERENCE_DESCRIPTION,"Index values were based on an interim value set derived by crosswalk rather than on directly measured Polish EQ-5D-5L preferences, which the authors describe as a major limitation.",P03dcc963dc1a:MU5 | P03dcc963dc1a:O2 | P03dcc963dc1a:SCU1
P03dcc963dc1a:L2,P03dcc963dc1a:S1,doi:10.5114/aoms.2015.52126,10.5114/aoms.2015.52126,2015,POPULATION_REFERENCE_DESCRIPTION,"The cross-country comparison was qualitative only, with no formal statistical analysis.",P03dcc963dc1a:F5 | P03dcc963dc1a:MU3
P04394749b281:LIM1,P04394749b281:S1,doi:10.1007/s11136-022-03138-7,10.1007/s11136-022-03138-7,2022,CONCEPTUAL_FRAMEWORK_DEVELOPMENT,"The generic criteria may not be appropriate in all circumstances because health experiences are complex, so developers may need to adapt them to the context and health area.",
P04394749b281:LIM2,P04394749b281:S1,doi:10.1007/s11136-022-03138-7,10.1007/s11136-022-03138-7,2022,CONCEPTUAL_FRAMEWORK_DEVELOPMENT,"Some psychometric criteria may not be assessable with available data: construct validity needs valid comparator measures, and test-retest reliability and responsiveness need longitudinal data.",
P04394749b281:LIM3,P04394749b281:S1,doi:10.1007/s11136-022-03138-7,10.1007/s11136-022-03138-7,2022,CONCEPTUAL_FRAMEWORK_DEVELOPMENT,"The framework did not explicitly specify valuation criteria, although amenability to valuation informed several criteria; further research is needed on how bolt-ons should be valued.",
P04394749b281:LIM4,P04394749b281:S1,doi:10.1007/s11136-022-03138-7,10.1007/s11136-022-03138-7,2022,CONCEPTUAL_FRAMEWORK_DEVELOPMENT,Internal consistency and item response theory methods were excluded because bolt-ons are single-item dimensions and comparison with overlapping multi-item domains would be difficult to interpret as generic guidance.,
P046968c0295e:LIM1,P046968c0295e:S1,doi:10.1007/s11136-024-03875-x,10.1007/s11136-024-03875-x,2025,MEASUREMENT_PROPERTY_EVALUATION,"The simplified, self-reported severity screening question used for recruitment quotas often did not align with interview accounts or validated severity scores.",
P046968c0295e:LIM2,P046968c0295e:S1,doi:10.1007/s11136-024-03875-x,10.1007/s11136-024-03875-x,2025,MEASUREMENT_PROPERTY_EVALUATION,"Atopic dermatitis and chronic urticaria diagnoses were self-reported, so some participants might not have had a formal diagnosis; the recruitment and screening process reduced but did not remove this risk.",
P046968c0295e:LIM3,P046968c0295e:S1,doi:10.1007/s11136-024-03875-x,10.1007/s11136-024-03875-x,2025,MEASUREMENT_PROPERTY_EVALUATION,The chronic urticaria sample was imbalanced by subtype: 12 participants had chronic spontaneous urticaria and three had chronic inducible urticaria.,
P046968c0295e:LIM4,P046968c0295e:S1,doi:10.1007/s11136-024-03875-x,10.1007/s11136-024-03875-x,2025,MEASUREMENT_PROPERTY_EVALUATION,The study was conducted with English-speaking participants in the United Kingdom; the authors stated that other geographical and cultural contexts require further research.,
P04a390149f4a:LIM1,P04a390149f4a:S1,doi:10.1186/s12955-022-01938-6,10.1186/s12955-022-01938-6,2022,MEASUREMENT_PROPERTY_EVALUATION,"Feasibility assessment included only missing responses. The study did not collect completion time, qualitative assessment, or participant preference data.",
P04a390149f4a:LIM2,P04a390149f4a:S1,doi:10.1186/s12955-022-01938-6,10.1186/s12955-022-01938-6,2022,MEASUREMENT_PROPERTY_EVALUATION,The responsiveness results have limited generalizability because the heterogeneous group included non-elective management and the study did not collect data before and after the intervention.,
P04a390149f4a:LIM3,P04a390149f4a:S1,doi:10.1186/s12955-022-01938-6,10.1186/s12955-022-01938-6,2022,MEASUREMENT_PROPERTY_EVALUATION,"Recall bias could affect repeated responses if participants selected their best, worst, or average health state differently across assessments.",
P04a390149f4a:LIM4,P04a390149f4a:S1,doi:10.1186/s12955-022-01938-6,10.1186/s12955-022-01938-6,2022,MEASUREMENT_PROPERTY_EVALUATION,A recalibration response shift could bias the results if a participant's point of view changed during recovery.,
P04adc98177a2:L1,P04adc98177a2:S1,doi:10.1007/s11136-024-03837-3,10.1007/s11136-024-03837-3,2024,VALUE_SET_DEVELOPMENT,The COVID-19 pandemic prevented completion of the original face-to-face collection and caused a delay of approximately two and a half years before collection resumed.,
P04adc98177a2:L2,P04adc98177a2:S1,doi:10.1007/s11136-024-03837-3,10.1007/s11136-024-03837-3,2024,VALUE_SET_DEVELOPMENT,"The resumed study used video conferencing and new interviewers, but the revised protocol did not assess administration-mode or interviewer effects; values could therefore differ between the two collections.",
P04adc98177a2:L3,P04adc98177a2:S1,doi:10.1007/s11136-024-03837-3,10.1007/s11136-024-03837-3,2024,VALUE_SET_DEVELOPMENT,"The analyzed sample underrepresented people from the Southern region and people with lower education, although the final value set used population weighting and weighted and unweighted results differed only slightly.",
P05483abdfe8e:LIM1,P05483abdfe8e:S1,doi:10.1007/s11136-025-03925-y,10.1007/s11136-025-03925-y,2025,HEALTH_OUTCOME_RESEARCH,"The single-center sample included only female patients with breast cancer in one country, so findings may not generalize to other cancers, male patients, or poorer settings with less access to care.",
P05483abdfe8e:LIM2,P05483abdfe8e:S1,doi:10.1007/s11136-025-03925-y,10.1007/s11136-025-03925-y,2025,HEALTH_OUTCOME_RESEARCH,"Caregivers and core family members were not included. Because most patients were female homemakers and men are often household providers in Indonesia, the study may not have captured financial toxicity comprehensively.",
P05483abdfe8e:LIM3,P05483abdfe8e:S1,doi:10.1007/s11136-025-03925-y,10.1007/s11136-025-03925-y,2025,HEALTH_OUTCOME_RESEARCH,"Nearly all patients had treatment insurance, and limited response variability may have weakened associations for some sociodemographic covariates.",
P05483abdfe8e:LIM4,P05483abdfe8e:S1,doi:10.1007/s11136-025-03925-y,10.1007/s11136-025-03925-y,2025,HEALTH_OUTCOME_RESEARCH,FACIT-COST was developed in the United States and may not be the most suitable measure of financial well-being in the Indonesian context.,
P05483abdfe8e:LIM5,P05483abdfe8e:S1,doi:10.1007/s11136-025-03925-y,10.1007/s11136-025-03925-y,2025,HEALTH_OUTCOME_RESEARCH,"EQ-HWB-S index values used the United Kingdom pilot value set, which does not fully represent Indonesian population preferences.",
P05483abdfe8e:LIM6,P05483abdfe8e:S1,doi:10.1007/s11136-025-03925-y,10.1007/s11136-025-03925-y,2025,HEALTH_OUTCOME_RESEARCH,"The baseline cross-sectional analysis cannot establish causality; longitudinal research is needed, including assessment of possible mediators such as social support.",
P057b9f321815:LI1,P057b9f321815:S1,doi:10.1186/s12913-020-05557-z,10.1186/s12913-020-05557-z,2020,APPLIED_USE_RESEARCH,"The pragmatic design accepts necessary variation in how the intervention is implemented across renal programs, which limits the rigour of the evaluation of the efficacy of PROM interventions.",
P057b9f321815:LI2,P057b9f321815:S1,doi:10.1186/s12913-020-05557-z,10.1186/s12913-020-05557-z,2020,APPLIED_USE_RESEARCH,"To maintain anonymity of patient-reported experience data and because of drop-in and drop-out of dialysis patients, individual CAT surveys are anonymous, so the primary analysis compares unit-level mean CAT scores rather than individual change scores.",
P057b9f321815:LI3,P057b9f321815:S1,doi:10.1186/s12913-020-05557-z,10.1186/s12913-020-05557-z,2020,APPLIED_USE_RESEARCH,"No optimal sample size was calculated for adequate power; the sample was determined by unit eligibility, and the available sample gives 80% power only for a small effect size of 0.23 on the primary outcome.",
P057b9f321815:LI4,P057b9f321815:S1,doi:10.1186/s12913-020-05557-z,10.1186/s12913-020-05557-z,2020,APPLIED_USE_RESEARCH,"Blinding is not feasible, so the trial is open label and research staff, clinicians and patients are aware of group allocation.",
P057b9f321815:LI5,P057b9f321815:S1,doi:10.1186/s12913-020-05557-z,10.1186/s12913-020-05557-z,2020,APPLIED_USE_RESEARCH,"The instruments and delivery differ between programs (ESAS-r: Renal in AKC-North and Ontario, IPOS-Renal in AKC-South; report cards only in Alberta), so the intervention is not identical across sites.",
P05ea14c529fc:L1,P05ea14c529fc:S1,doi:10.1016/j.jval.2016.10.012,10.1016/j.jval.2016.10.012,2016,METHODS_RESEARCH,"The QC process is probably not the only cause of the observed differences, because protocol version 1.1 also introduced practice states and a confirmatory pop-up screen.",P05ea14c529fc:PU2 | P05ea14c529fc:SF1
P05ea14c529fc:L2,P05ea14c529fc:S1,doi:10.1016/j.jval.2016.10.012,10.1016/j.jval.2016.10.012,2016,METHODS_RESEARCH,"Improved interviewer training in Spain may have affected the data, impeding conclusions about causality and about how much improvement is attributable to the QC process.",P05ea14c529fc:SF1 | P05ea14c529fc:SF2
P05ea14c529fc:L3,P05ea14c529fc:S1,doi:10.1016/j.jval.2016.10.012,10.1016/j.jval.2016.10.012,2016,METHODS_RESEARCH,"Differences between respondents, including the shift from panel quota sampling to convenience samples, may affect the distribution of values by interviewer.",P05ea14c529fc:MU10 | P05ea14c529fc:MU9 | P05ea14c529fc:O3
P05ea14c529fc:L4,P05ea14c529fc:S1,doi:10.1016/j.jval.2016.10.012,10.1016/j.jval.2016.10.012,2016,METHODS_RESEARCH,Further studies are needed to clarify which parts of the QC process are most helpful.,P05ea14c529fc:PU3
P05f4d5a8fc7a:L1,P05f4d5a8fc7a:S1,doi:10.1007/s10198-021-01306-z,10.1007/s10198-021-01306-z,2021,METHODS_RESEARCH,A generic measure cannot include every relevant domain.,
P05f4d5a8fc7a:L2,P05f4d5a8fc7a:S1,doi:10.1007/s10198-021-01306-z,10.1007/s10198-021-01306-z,2021,METHODS_RESEARCH,Available valuation approaches constrain how many domains the classification system can contain.,
P05f4d5a8fc7a:L3,P05f4d5a8fc7a:S1,doi:10.1007/s10198-021-01306-z,10.1007/s10198-021-01306-z,2021,METHODS_RESEARCH,The measure was designed mainly for self-completion; proxy completion needs further work to determine which aspects an observer can meaningfully report.,
P05f4d5a8fc7a:L4,P05f4d5a8fc7a:S1,doi:10.1007/s10198-021-01306-z,10.1007/s10198-021-01306-z,2021,METHODS_RESEARCH,"Focusing on health-, social care-, and carer-related quality of life may limit relevance to sectors such as housing, prisons, and community interventions.",
P05f4d5a8fc7a:L5,P05f4d5a8fc7a:S1,doi:10.1007/s10198-021-01306-z,10.1007/s10198-021-01306-z,2021,METHODS_RESEARCH,Using service users and carers as the main source of domains may overlook concerns held by the general public.,
P05f4d5a8fc7a:L6,P05f4d5a8fc7a:S1,doi:10.1007/s10198-021-01306-z,10.1007/s10198-021-01306-z,2021,METHODS_RESEARCH,"Framing interviews around impacts of conditions, disability, care, and caring can emphasize deficits rather than positive human capacity and flourishing.",
P05f4d5a8fc7a:L7,P05f4d5a8fc7a:S1,doi:10.1007/s10198-021-01306-z,10.1007/s10198-021-01306-z,2021,METHODS_RESEARCH,"Expectations, adaptation, and response shift can affect both a respondent's assessment of functioning and outcomes and the self-report of that assessment.",
P0600c463db24:L1,P0600c463db24:S1,doi:10.1007/s11136-018-2027-9,10.1007/s11136-018-2027-9,2019,MEASUREMENT_PROPERTY_EVALUATION,"The EQ-5D-3L was always presented after the EQ-5D-5L and the order was not randomised, so sequence effects cannot be excluded.",P0600c463db24:O2
P0600c463db24:L2,P0600c463db24:S1,doi:10.1007/s11136-018-2027-9,10.1007/s11136-018-2027-9,2019,MEASUREMENT_PROPERTY_EVALUATION,"Baseline EQ-5D-5L was completed electronically while the retest was paper and pencil, which may have confounded test-retest results; actual health change was not measured at retest.",P0600c463db24:O5
P0600c463db24:L3,P0600c463db24:S1,doi:10.1007/s11136-018-2027-9,10.1007/s11136-018-2027-9,2019,MEASUREMENT_PROPERTY_EVALUATION,Quota and convenience sampling may cause selection bias and yielded few severe health responses; random household sampling might have included more frail respondents.,P0600c463db24:O1 | P0600c463db24:O3
P0600c463db24:L4,P0600c463db24:S1,doi:10.1007/s11136-018-2027-9,10.1007/s11136-018-2027-9,2019,MEASUREMENT_PROPERTY_EVALUATION,"Cognitive ability was assessed only informally by interviewers, and no data on exclusions or true response rate were kept.",
P060e13fe92fe:L1,P060e13fe92fe:S1,doi:10.1007/s40273-023-01300-8,10.1007/s40273-023-01300-8,2023,CONCEPTUAL_FRAMEWORK_DEVELOPMENT,"The candidate explanations cannot be empirically disentangled with existing evidence, so interpretation of the child effect on values remains ambiguous.",
P060e13fe92fe:L2,P060e13fe92fe:S1,doi:10.1007/s40273-023-01300-8,10.1007/s40273-023-01300-8,2023,CONCEPTUAL_FRAMEWORK_DEVELOPMENT,"The utility function for life-years is not observed and is perfectly confounded with the utility function for HRQoL, so stated preference tasks do not allow the underlying preferences to be identified.",
P060e13fe92fe:L3,P060e13fe92fe:S1,doi:10.1007/s40273-023-01300-8,10.1007/s40273-023-01300-8,2023,CONCEPTUAL_FRAMEWORK_DEVELOPMENT,It is unknown whether enough respondents hold the view that children are more resilient to drive the difference in the value scale of most EQ-5D-Y-3L value sets.,
P060e13fe92fe:L4,P060e13fe92fe:S1,doi:10.1007/s40273-023-01300-8,10.1007/s40273-023-01300-8,2023,CONCEPTUAL_FRAMEWORK_DEVELOPMENT,"There is no consensus on whose preferences should be sought for valuing child HRQoL, and the theoretical foundations of cost-effectiveness analysis give little guidance on age-specific versus age-invariant value sets.",
P060e13fe92fe:L5,P060e13fe92fe:S1,doi:10.1007/s40273-023-01300-8,10.1007/s40273-023-01300-8,2023,CONCEPTUAL_FRAMEWORK_DEVELOPMENT,The authors recognise the risk that raising these issues appears to undermine the progress made in developing EQ-5D-Y-3L and other pediatric value sets.,
P0640f26e484e:LIM1,P0640f26e484e:S1,doi:10.1186/s12955-024-02303-5,10.1186/s12955-024-02303-5,2024,MEASUREMENT_PROPERTY_EVALUATION,The sample included only female patients with one type of cancer.,
P0640f26e484e:LIM2,P0640f26e484e:S1,doi:10.1186/s12955-024-02303-5,10.1186/s12955-024-02303-5,2024,MEASUREMENT_PROPERTY_EVALUATION,"The study took place at one public referral hospital, and 99.7% of participants had insurance; this setting can limit generalizability and can help explain the absence of worst possible scores.",
P0640f26e484e:LIM3,P0640f26e484e:S1,doi:10.1186/s12955-024-02303-5,10.1186/s12955-024-02303-5,2024,MEASUREMENT_PROPERTY_EVALUATION,Some subgroup analyses may have had insufficient statistical power because subgroup sample sizes were small.,
P068928b2dacd:lim1,P068928b2dacd:st1,doi:10.1186/s41687-021-00369-z,10.1186/s41687-021-00369-z,2021,APPLIED_USE_RESEARCH,"The diversity of teams, services, and contexts prevented one standardized provincial implementation approach, and some teams had difficulty integrating the survey into workflow.",
P068928b2dacd:lim2,P068928b2dacd:st1,doi:10.1186/s41687-021-00369-z,10.1186/s41687-021-00369-z,2021,APPLIED_USE_RESEARCH,"Some clinicians found the EQ-5D-5L insufficiently specific or clinically valuable for their patient group, including wheelchair users for whom the mobility wording was not relevant.",
