product_id,study_id,publication_id,doi,publication_year,product,product_type,status,development_state,validation_state,deployment_state,approval_state,n_scoring_uses
P057b9f321815:PD1,P057b9f321815:S1,doi:10.1186/s12913-020-05557-z,10.1186/s12913-020-05557-z,2020,PROM report card generated by the electronic medical record with a check mark / caution sign / stop sign symbol scheme for PROM scores,CHECKLIST_OR_TOOL,DEPLOYMENT:Implemented in Alberta Kidney Care North and South electronic medical records; Ontario Renal Network stores completed paper PROMs in the chart instead,,,Implemented in Alberta Kidney Care North and South electronic medical records; Ontario Renal Network stores completed paper PROMs in the chart instead,,0
P057b9f321815:PD2,P057b9f321815:S1,doi:10.1186/s12913-020-05557-z,10.1186/s12913-020-05557-z,2020,"Symptom treatment aids for clinicians covering pain, pruritus, restless legs, sleeping problems, tiredness, nausea, shortness of breath, anxiety and depression",IMPLEMENTATION_GUIDANCE,DEVELOPMENT:Developed by each renal program and made available to clinicians at all study sites,Developed by each renal program and made available to clinicians at all study sites,,,,0
P057b9f321815:PD3,P057b9f321815:S1,doi:10.1186/s12913-020-05557-z,10.1186/s12913-020-05557-z,2020,Patient-facing self-management guides and symptom information handouts,IMPLEMENTATION_GUIDANCE,DEVELOPMENT:Developed and reviewed with patient partners,Developed and reviewed with patient partners,,,,0
P057b9f321815:PD4,P057b9f321815:S1,doi:10.1186/s12913-020-05557-z,10.1186/s12913-020-05557-z,2020,"Toolkit for using PROMs in the dialysis unit, with train-the-trainer clinician training materials",IMPLEMENTATION_GUIDANCE,DEPLOYMENT:Developed and shared with clinicians in all participating dialysis units,,,Developed and shared with clinicians in all participating dialysis units,,0
P05ea14c529fc:PR1,P05ea14c529fc:S1,doi:10.1016/j.jval.2016.10.012,10.1016/j.jval.2016.10.012,2016,EQ-VT quality control tool and standardized QC report,SOFTWARE_OR_DECISION_SUPPORT,,,,,,0
P05ea14c529fc:PR2,P05ea14c529fc:S1,doi:10.1016/j.jval.2016.10.012,10.1016/j.jval.2016.10.012,2016,"Cyclic quality control process for EQ-5D-5L valuation studies, including interview flagging criteria",PROTOCOL,DEPLOYMENT:Implemented in Spanish and Dutch EQ-VT follow-up studies and recommended for uptake in future valuation studies,,,Implemented in Spanish and Dutch EQ-VT follow-up studies and recommended for uptake in future valuation studies,,0
P05f4d5a8fc7a:PR1,P05f4d5a8fc7a:S1,doi:10.1007/s10198-021-01306-z,10.1007/s10198-021-01306-z,2021,EQ-HWB cross-sector health and wellbeing instrument,INSTRUMENT_VERSION,"DEVELOPMENT:Developed through the Extending the QALY project; this paper reports the approach used to identify and select its domains. | VALIDATION:Further evidence on validity and sensitivity across groups, interventions, sectors, and comparator instruments is required.",Developed through the Extending the QALY project; this paper reports the approach used to identify and select its domains.,"Further evidence on validity and sensitivity across groups, interventions, sectors, and comparator instruments is required.",,,0
P05f4d5a8fc7a:PR2,P05f4d5a8fc7a:S1,doi:10.1007/s10198-021-01306-z,10.1007/s10198-021-01306-z,2021,EQ-HWB domain-selection conceptual framework and criteria,TAXONOMY_OR_FRAMEWORK,DEVELOPMENT:Developed and applied to organize qualitative evidence and guide domain selection for EQ-HWB.,Developed and applied to organize qualitative evidence and guide domain selection for EQ-HWB.,,,,0
P060e13fe92fe:P1,P060e13fe92fe:S1,doi:10.1007/s40273-023-01300-8,10.1007/s40273-023-01300-8,2023,"Framework of four potential causes of the difference between child and adult EQ-5D values, each classified as an arguably legitimate difference or as a limit on comparability",TAXONOMY_OR_FRAMEWORK,,,,,,0
P060e13fe92fe:P2,P060e13fe92fe:S1,doi:10.1007/s40273-023-01300-8,10.1007/s40273-023-01300-8,2023,"Utility-theoretic exposition of the marginal rate of substitution between HRQoL and life-years, showing how a non-constant marginal utility of life-years by age raises TTO values for child health states",TAXONOMY_OR_FRAMEWORK,,,,,,0
P068928b2dacd:prod_dash,P068928b2dacd:st1,doi:10.1186/s41687-021-00369-z,10.1186/s41687-021-00369-z,2021,AHS Rehabilitation Model of Care Tableau Dashboard,SOFTWARE_OR_DECISION_SUPPORT,"DEPLOYMENT:Secure dashboard in use; routine PROM data are aggregated and uploaded monthly, with access restricted to leaders of participating sites",,,"Secure dashboard in use; routine PROM data are aggregated and uploaded monthly, with access restricted to leaders of participating sites",,0
P068928b2dacd:prod_rmoc,P068928b2dacd:st1,doi:10.1186/s41687-021-00369-z,10.1186/s41687-021-00369-z,2021,Alberta Health Services Rehabilitation Model of Care,IMPLEMENTATION_GUIDANCE,"DEPLOYMENT:Pilot implementation in 18 early-adopter teams, followed by spread and scale to 152 additional adult community rehabilitation sites across Alberta",,,"Pilot implementation in 18 early-adopter teams, followed by spread and scale to 152 additional adult community rehabilitation sites across Alberta",,0
P072254644ef6:prod_long,P072254644ef6:s1,doi:10.1016/j.jval.2022.01.009,10.1016/j.jval.2022.01.009,2022,"EQ-HWB, 25-item version",INSTRUMENT_VERSION,"DEVELOPMENT:Developed internationally as a 25-item generic health-and-wellbeing measure | VALIDATION:Item content was informed by international face validation and psychometric testing, but final-form validation remained necessary",Developed internationally as a 25-item generic health-and-wellbeing measure,"Item content was informed by international face validation and psychometric testing, but final-form validation remained necessary",,,0
P072254644ef6:prod_short,P072254644ef6:s1,doi:10.1016/j.jval.2022.01.009,10.1016/j.jval.2022.01.009,2022,"EQ-HWB-S, 9-item short version",INSTRUMENT_VERSION,"DEVELOPMENT:Developed as a nine-item subset designed to be amenable to preference valuation | VALIDATION:A small valuation pilot supported TTO and DCE feasibility, but final-form psychometric testing and full valuation remained necessary",Developed as a nine-item subset designed to be amenable to preference valuation,"A small valuation pilot supported TTO and DCE feasibility, but final-form psychometric testing and full valuation remained necessary",,,0
P081e2e40a5bc:prod_r1zh,P081e2e40a5bc:s1,doi:10.1007/s11136-025-04016-8,10.1007/s11136-025-04016-8,2025,Simplified Chinese Singapore version of the physical-impediment respiratory bolt-on (R1),INSTRUMENT_VERSION,"DEVELOPMENT:Culturally adapted, forward-backward translated, bilingual expert reviewed, finalized, and ethnographically pretested in 10 Mandarin-speaking OAD patients","Culturally adapted, forward-backward translated, bilingual expert reviewed, finalized, and ethnographically pretested in 10 Mandarin-speaking OAD patients",,,,0
P081e2e40a5bc:prod_r2zh,P081e2e40a5bc:s1,doi:10.1007/s11136-025-04016-8,10.1007/s11136-025-04016-8,2025,Simplified Chinese Singapore version of the symptom-based respiratory bolt-on (R2),INSTRUMENT_VERSION,"DEVELOPMENT:Culturally adapted, forward-backward translated, bilingual expert reviewed, finalized, and ethnographically pretested in 10 Mandarin-speaking OAD patients","Culturally adapted, forward-backward translated, bilingual expert reviewed, finalized, and ethnographically pretested in 10 Mandarin-speaking OAD patients",,,,0
P0872ff174764:PRD1,P0872ff174764:S1,doi:10.1016/j.jval.2020.04.1825,10.1016/j.jval.2020.04.1825,2020,Catalog of 796 EQ-5D-derived health state utility values for hematologic malignancies,DATASET,"DEVELOPMENT:Completed and published as Appendix Table 7 in the article supplemental materials, ready for use by researchers performing cost-utility analyses in hematology","Completed and published as Appendix Table 7 in the article supplemental materials, ready for use by researchers performing cost-utility analyses in hematology",,,,0
P094b23722cbb:PR1,P094b23722cbb:S1,doi:10.1007/s11136-021-02959-2,10.1007/s11136-021-02959-2,2021,Vietnamese EQ-5D-5L population norms,POPULATION_REFERENCE_DATA,DEVELOPMENT:Developed and reported,Developed and reported,,,,0
P0abbd9de1077:PROD1,P0abbd9de1077:S1,doi:10.1007/s41669-024-00486-7,10.1007/s41669-024-00486-7,2024,EQ-VT interviewer conversational-pattern scoring checklist,CHECKLIST_OR_TOOL,"DEVELOPMENT:Developed from conversation analysis and prior literature, then refined in a six-interview pilot | VALIDATION:Applied independently by two scorers to 42 interviews; formal external validation was not reported","Developed from conversation analysis and prior literature, then refined in a six-interview pilot",Applied independently by two scorers to 42 interviews; formal external validation was not reported,,,0
P0ac49d441611:PD1,P0ac49d441611:S1,doi:10.1016/j.jval.2016.03.1834,10.1016/j.jval.2016.03.1834,2016,"Japanese EQ-5D-5L value sets based on DCE (worst-state anchoring, mapping, and hybrid)",VALUE_SET,DEVELOPMENT:Japanese value sets based on DCE were demonstrated,Japanese value sets based on DCE were demonstrated,,,,1
P0c48b2afb94d:PRD1,P0c48b2afb94d:S1,doi:10.1016/j.vhri.2019.08.475,10.1016/j.vhri.2019.08.475,2019,Ethiopian EQ-5D-5L value set,VALUE_SET,DEVELOPMENT:Value set established for all 3125 EQ-5D-5L health states from the hybrid c-TTO and DCE model,Value set established for all 3125 EQ-5D-5L health states from the hybrid c-TTO and DCE model,,,,1
P0d85627227a0:ptools,P0d85627227a0:s1,doi:10.1007/s40273-025-01519-7,10.1007/s40273-025-01519-7,2025,Singapore EQ-5D-5L scoring code and calculator,SOFTWARE_OR_DECISION_SUPPORT,"DEVELOPMENT:R, Stata, and SPSS scoring code and a calculator for EQ-5D-5L index scores and 3L-to-5L crosswalk values were supplied as online resources","R, Stata, and SPSS scoring code and a calculator for EQ-5D-5L index scores and 3L-to-5L crosswalk values were supplied as online resources",,,,0
P0d85627227a0:pvset,P0d85627227a0:s1,doi:10.1007/s40273-025-01519-7,10.1007/s40273-025-01519-7,2025,Singapore EQ-5D-5L value set (2025),VALUE_SET,"DEVELOPMENT:Developed for all 3,125 EQ-5D-5L health states | VALIDATION:Selected by five-block cross-validation; final predictions were logically consistent across 759,375 ordered state pairs","Developed for all 3,125 EQ-5D-5L health states","Selected by five-block cross-validation; final predictions were logically consistent across 759,375 ordered state pairs",,,1
P0fcc839959a9:PROD1,P0fcc839959a9:S1,doi:10.1007/s11897-024-00686-6,10.1007/s11897-024-00686-6,2024,EQ-5D-5L T1: 1-week recall with original intensity response scale,INSTRUMENT_VERSION,DEVELOPMENT:Developed and selected for stage 2 testing | VALIDATION:Exploratory psychometric assessment completed in adults with asthma and/or COPD,Developed and selected for stage 2 testing,Exploratory psychometric assessment completed in adults with asthma and/or COPD,,,0
P0fcc839959a9:PROD2,P0fcc839959a9:S1,doi:10.1007/s11897-024-00686-6,10.1007/s11897-024-00686-6,2024,EQ-5D-5L T4: 4-week recall with original intensity response scale,INSTRUMENT_VERSION,DEVELOPMENT:Developed and selected for stage 2 testing | VALIDATION:Exploratory psychometric assessment completed in adults with asthma and/or COPD,Developed and selected for stage 2 testing,Exploratory psychometric assessment completed in adults with asthma and/or COPD,,,0
P0fcc839959a9:PROD3,P0fcc839959a9:S1,doi:10.1007/s11897-024-00686-6,10.1007/s11897-024-00686-6,2024,"EQ-5D-5L T1F1: 1-week recall with no, rarely, sometimes, very often, and always frequency response scale",INSTRUMENT_VERSION,DEVELOPMENT:Developed and selected for stage 2 testing | VALIDATION:Exploratory psychometric assessment completed in adults with asthma and/or COPD,Developed and selected for stage 2 testing,Exploratory psychometric assessment completed in adults with asthma and/or COPD,,,0
P0fcc839959a9:PROD4,P0fcc839959a9:S1,doi:10.1007/s11897-024-00686-6,10.1007/s11897-024-00686-6,2024,"EQ-5D-5L T4F2: 4-week recall with none, some, half, most, and every day frequency response scale",INSTRUMENT_VERSION,DEVELOPMENT:Developed and selected for stage 2 testing | VALIDATION:Exploratory psychometric assessment completed in adults with asthma and/or COPD,Developed and selected for stage 2 testing,Exploratory psychometric assessment completed in adults with asthma and/or COPD,,,0
P1005d07096bd:PROD1,P1005d07096bd:S1,doi:10.1007/s40273-023-01333-z,10.1007/s40273-023-01333-z,2024,RETRIEVE long checklist,CHECKLIST_OR_TOOL,DEVELOPMENT:Completed with 83 modular items | VALIDATION:Initial application to four studies suggested feasibility,Completed with 83 modular items,Initial application to four studies suggested feasibility,,,0
P1005d07096bd:PROD2,P1005d07096bd:S1,doi:10.1007/s40273-023-01333-z,10.1007/s40273-023-01333-z,2024,RETRIEVE short checklist,CHECKLIST_OR_TOOL,DEVELOPMENT:Completed with 14 items | VALIDATION:Initial application to four studies suggested feasibility,Completed with 14 items,Initial application to four studies suggested feasibility,,,0
P1005d07096bd:PROD3,P1005d07096bd:S1,doi:10.1007/s40273-023-01333-z,10.1007/s40273-023-01333-z,2024,RETRIEVE five-module conceptual model,TAXONOMY_OR_FRAMEWORK,DEVELOPMENT:Completed as a non-hierarchical five-module model,Completed as a non-hierarchical five-module model,,,,0
P1139e670202d:P1,P1139e670202d:S1,doi:10.1016/j.jval.2023.08.006,10.1016/j.jval.2023.08.006,2023,Six subgroup-based German EQ-5D-5L value sets (health state 11111 vs not 11111; no problems vs problems with pain/discomfort; severity level below 8 vs 8 or worse),VALUE_SET,DEVELOPMENT:Estimated with the 20-parameter model for comparison with the published German value set; not proposed for application,Estimated with the 20-parameter model for comparison with the published German value set; not proposed for application,,,,0
P11439ac3b145:PROD1,P11439ac3b145:S1,doi:10.1186/s12955-022-01989-9,10.1186/s12955-022-01989-9,2022,Dutch EQ-5D-5L pits-scale value set from the heteroskedastic SALC model,VALUE_SET,DEVELOPMENT:Produced in the completed study; values were anchored at 55555 = 0 and 11111 = 1 on a pits scale,Produced in the completed study; values were anchored at 55555 = 0 and 11111 = 1 on a pits scale,,,,0
P14ca8f994f8a:PROD_IE,P14ca8f994f8a:S1,doi:10.3389/fpubh.2022.917728,10.3389/fpubh.2022.917728,2022,Study-estimated native-Irish EQ-5D-5L utility function using Polish-migrant informative priors,VALUE_SET,"VALIDATION:Authors state that the estimates should not be considered representative of the native-Irish population because of the small, nonrepresentative sample and limited state design.",,"Authors state that the estimates should not be considered representative of the native-Irish population because of the small, nonrepresentative sample and limited state design.",,,0
P14ca8f994f8a:PROD_PL,P14ca8f994f8a:S1,doi:10.3389/fpubh.2022.917728,10.3389/fpubh.2022.917728,2022,Study-estimated Polish-migrant EQ-5D-5L utility function using native-Irish informative priors,VALUE_SET,"VALIDATION:Authors state that the estimates should not be considered representative of the Polish-migrant population because of the small, nonrepresentative sample and limited state design.",,"Authors state that the estimates should not be considered representative of the Polish-migrant population because of the small, nonrepresentative sample and limited state design.",,,0
P14ddca58f600:PR1,P14ddca58f600:S1,doi:10.1186/s12955-019-1129-6,10.1186/s12955-019-1129-6,2019,Canadian EQ-5D-5L value set,VALUE_SET,,,,,,1
P14ddca58f600:PR2,P14ddca58f600:S1,doi:10.1186/s12955-019-1129-6,10.1186/s12955-019-1129-6,2019,UK SF-6D value set,VALUE_SET,,,,,,1
P152337517358:PROD1,P152337517358:S1,doi:10.1186/s41927-021-00234-y,10.1186/s41927-021-00234-y,2022,Microsoft Excel model for rheumatic disease burden in Colombia,SOFTWARE_OR_DECISION_SUPPORT,"DEVELOPMENT:Built and programmed in Microsoft Excel for transparent use and application to other rheumatic disease scenarios | VALIDATION:Model parameters, structure, and estimates validated through expert panel consensus",Built and programmed in Microsoft Excel for transparent use and application to other rheumatic disease scenarios,"Model parameters, structure, and estimates validated through expert panel consensus",,,0
P152946a3db1c:PR1,P152946a3db1c:S1,doi:10.1186/s12955-018-0840-z,10.1186/s12955-018-0840-z,2018,United Kingdom EQ-5D-3L time trade-off value set used to score caregiver health states,VALUE_SET,,,,,,1
P17580be5c802:PR1,P17580be5c802:S1,doi:10.1007/s10198-018-0955-5,10.1007/s10198-018-0955-5,2018,"EQ-5D-3L population norms for 20 countries by age, gender and value set",POPULATION_REFERENCE_DATA,,,,,,0
P197cf1f57e96:product1,P197cf1f57e96:study1,doi:10.1007/s40273-025-01550-8,10.1007/s40273-025-01550-8,2025,15-item emerging framework of best-practice recommendations for collaborative engagement in health state valuation,TAXONOMY_OR_FRAMEWORK,DEVELOPMENT:Developed as an emerging 15-item framework and strategic starting point for guidance | VALIDATION:Not yet established as fit-for-purpose guidance; further research and consensus-based development are required,Developed as an emerging 15-item framework and strategic starting point for guidance,Not yet established as fit-for-purpose guidance; further research and consensus-based development are required,,,0
P1a1cd119163d:product_guidance,P1a1cd119163d:study_main,doi:10.5492/wjccm.v11.i4.236,10.5492/wjccm.v11.i4.236,2022,"Critical care HRQoL, health-utility, mortality, and QALY reporting framework",IMPLEMENTATION_GUIDANCE,DEVELOPMENT:Proposed in this paper,Proposed in this paper,,,,0
P1d1a27cc16eb:prod_revised,P1d1a27cc16eb:study_main,doi:10.1186/s12891-024-07304-5,10.1186/s12891-024-07304-5,2024,Revised ABJHI individualized total knee arthroplasty decision aid,SOFTWARE_OR_DECISION_SUPPORT,DEVELOPMENT:The study selected instruction and visualization changes. Further online usability testing and finalization were planned before large-scale implementation.,The study selected instruction and visualization changes. Further online usability testing and finalization were planned before large-scale implementation.,,,,0
P1d8b85eefffe:P1,P1d8b85eefffe:S1,doi:10.1007/s11136-025-04133-4,10.1007/s11136-025-04133-4,2026,Norwegian EQ-5D-5L breathing bolt-on beta adaptation,INSTRUMENT_VERSION,APPROVAL:Beta version; evidence is still needed to move the bolt-on to an approved version. | DEVELOPMENT:Adapted from the available English version and harmonized with an existing Swedish translation; described as a beta version. | VALIDATION:Data quality and construct-validity findings support further application in the studied non-hospitalized post-COVID-19 population.,Adapted from the available English version and harmonized with an existing Swedish translation; described as a beta version.,Data quality and construct-validity findings support further application in the studied non-hospitalized post-COVID-19 population.,,Beta version; evidence is still needed to move the bolt-on to an approved version.,0
P1d8b85eefffe:P2,P1d8b85eefffe:S1,doi:10.1007/s11136-025-04133-4,10.1007/s11136-025-04133-4,2026,Norwegian EQ-5D-5L cognition bolt-on adaptation,INSTRUMENT_VERSION,"APPROVAL:Beta-stage bolt-on; evidence is still needed to move the bolt-on to an approved version. | DEVELOPMENT:Adapted from the English version and harmonized with a Swedish version. | VALIDATION:Construct-validity evidence was supportive for self-reported comparator measures, but results were mixed for objective tests and EQ VAS explanatory contribution.",Adapted from the English version and harmonized with a Swedish version.,"Construct-validity evidence was supportive for self-reported comparator measures, but results were mixed for objective tests and EQ VAS explanatory contribution.",,Beta-stage bolt-on; evidence is still needed to move the bolt-on to an approved version.,0
P1ee2d617ca61:PR1,P1ee2d617ca61:S1,doi:10.1177/0272989x16651885,10.1177/0272989x16651885,2016,Regional EQ-5D-5L scoring algorithms for Canadian provinces,SCORING_ALGORITHM,DEPLOYMENT:Authors do not suggest that the regional algorithms presented here be used in practice,,,Authors do not suggest that the regional algorithms presented here be used in practice,,1
P1ee2d617ca61:PR2,P1ee2d617ca61:S1,doi:10.1177/0272989x16651885,10.1177/0272989x16651885,2016,Methodological framework for assessing whether regional variation in health state preferences is present and important,TAXONOMY_OR_FRAMEWORK,,,,,,0
P1f6b4b43f6fa:prod1,P1f6b4b43f6fa:s1,doi:10.1177/0272989x251407950,10.1177/0272989x251407950,2026,Australian adult EQ-5D-Y-5L nonlinear DCE health-state values,VALUE_SET,DEVELOPMENT:QALY-scale decrements and derived values for all EQ-5D-Y-5L health states were developed and reported,QALY-scale decrements and derived values for all EQ-5D-Y-5L health states were developed and reported,,,,0
P215079a9379a:PROD1,P215079a9379a:S1,doi:10.1007/s40271-021-00496-1,10.1007/s40271-021-00496-1,2021,Card-ranking exercise for testing EQ-5D-Y-5L severity-qualifier ordering,CHECKLIST_OR_TOOL,"DEPLOYMENT:Incorporated by the Version Management Committee into the translation protocol for beta EQ-5D-Y-5L versions | DEVELOPMENT:Developed through iterative consensus, child pre-testing, and linguistic review | VALIDATION:Pilot tested in South Africa and Indonesia; further testing in other countries and languages was underway","Developed through iterative consensus, child pre-testing, and linguistic review",Pilot tested in South Africa and Indonesia; further testing in other countries and languages was underway,Incorporated by the Version Management Committee into the translation protocol for beta EQ-5D-Y-5L versions,,0
P21b08206cd9b:PROD1,P21b08206cd9b:S1,doi:10.1016/j.jval.2021.11.1370,10.1016/j.jval.2021.11.1370,2022,Indian EQ-5D-5L value set,VALUE_SET,DEVELOPMENT:Final value set generated for all 3125 EQ-5D-5L health states,Final value set generated for all 3125 EQ-5D-5L health states,,,,1
P21eacbb47a7a:PR1,P21eacbb47a7a:S1,doi:10.1186/s41687-021-00374-2,10.1186/s41687-021-00374-2,2021,Integrated eight-step approach for selecting PROMs in health systems,IMPLEMENTATION_GUIDANCE,DEVELOPMENT:Proposed in the published article,Proposed in the published article,,,,0
P21eacbb47a7a:PR2,P21eacbb47a7a:S1,doi:10.1186/s41687-021-00374-2,10.1186/s41687-021-00374-2,2021,"Taxonomy of PROMs by focus, scope, and type of measurement",TAXONOMY_OR_FRAMEWORK,DEVELOPMENT:Presented in the published article,Presented in the published article,,,,0
P2278cf2a5c5a:product_spanish_y3l,P2278cf2a5c5a:study_main,doi:10.1016/j.jval.2021.10.013,10.1016/j.jval.2021.10.013,2021,Spanish EQ-5D-Y-3L value set,VALUE_SET,DEVELOPMENT:Presented as the final selected value set for use in cost-utility analysis in Spain,Presented as the final selected value set for use in cost-utility analysis in Spain,,,,1
P239faea706d6:prod_shona_eq5d5l,P239faea706d6:study_main,doi:10.1186/s12955-026-02575-z,10.1186/s12955-026-02575-z,2026,Shona-language EQ-5D-5L paper and digital instrument versions,INSTRUMENT_VERSION,"DEVELOPMENT:Developed by upgrade from the Shona EQ-5D-3L through forward translation, reconciliation, back-translation, expert review, and cognitive debriefing before field testing | VALIDATION:Digital and paper versions showed measurement equivalence, and the instrument showed known-groups validity in adults living with HIV","Developed by upgrade from the Shona EQ-5D-3L through forward translation, reconciliation, back-translation, expert review, and cognitive debriefing before field testing","Digital and paper versions showed measurement equivalence, and the instrument showed known-groups validity in adults living with HIV",,,0
P23ad4ce193cf:PRD1,P23ad4ce193cf:S1,doi:10.1002/hec.4179,10.1002/hec.4179,2020,"Framework of the role of the social tariff in health policy decision-making, with a democratic reformulation of the societal decision rule as a majority voting system over health programs",TAXONOMY_OR_FRAMEWORK,DEVELOPMENT:Proposed conceptual framework; the author states the proposed method is unlikely to be a viable alternative to the current system in the near future,Proposed conceptual framework; the author states the proposed method is unlikely to be a viable alternative to the current system in the near future,,,,0
P241e75447809:product_dataset,P241e75447809:study_main,doi:10.1007/s11136-026-04278-w,10.1007/s11136-026-04278-w,2026,"Lebanon 2024 food insecurity, psychological distress, and HRQoL survey dataset",DATASET,DEPLOYMENT:Not publicly available because of privacy; available from the corresponding author on reasonable request | DEVELOPMENT:Dataset generated and analyzed,Dataset generated and analyzed,,Not publicly available because of privacy; available from the corresponding author on reasonable request,,0
P24ce30099a07:PD1,P24ce30099a07:S1,doi:10.1007/s11136-020-02469-7,10.1007/s11136-020-02469-7,2020,Vietnamese EQ-5D-5L value set,VALUE_SET,"DEVELOPMENT:First EQ-5D-5L value set for Vietnam, developed and reported in full with disutility coefficients for all 3125 health states","First EQ-5D-5L value set for Vietnam, developed and reported in full with disutility coefficients for all 3125 health states",,,,0
P25a8a0815f71:PR1,P25a8a0815f71:S1,doi:10.1007/s10198-018-0993-z,10.1007/s10198-018-0993-z,2018,PUF-based social utility function value set,VALUE_SET,"DEVELOPMENT:Pilot value set derived from 60 respondents; intended only as a pilot, not for application","Pilot value set derived from 60 respondents; intended only as a pilot, not for application",,,,1
P25a8a0815f71:PR2,P25a8a0815f71:S1,doi:10.1007/s10198-018-0993-z,10.1007/s10198-018-0993-z,2018,PUF elicitation questionnaire and Excel-based interview tool,PROTOCOL,DEVELOPMENT:Prototype requiring further refinement of tasks and tooling,Prototype requiring further refinement of tasks and tooling,,,,0
