use_id,study_id,publication_id,doi,publication_year,part_id,use_type,source_label,canonical_label,registry_id,parent_registry_id,parent_label,variant_kind,language_code,jurisdiction,version,respondent_form,context,function,analytic_role
P00088d2d4963:PU1,P00088d2d4963:S1,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,,Product,Dutch EQ-5D-3L value set,Dutch EQ-5D-3L value set,product:dutch-eq-5d-3l-value-set,,,,,,,,DIRECT_CURRENT_ACTIVITY,ANALYSIS_OBJECT,
P00088d2d4963:SU1,P00088d2d4963:S1,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,,Software,IBM SPSS Statistics 24,IBM SPSS Statistics 24,software:ibm-spss-statistics-24,software:ibm-spss-statistics,IBM SPSS Statistics,SOFTWARE_VERSION,,,24,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_ANALYSIS,
P0018d6033430:IU1,P0018d6033430:S1,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,P0018d6033430:P1,Instrument,EQ-5D-5L,EQ-5D-5L,instrument:eq-5d-5l,instrument:eq-5d,EQ-5D,LEVEL_VERSION,,,5L,,DIRECT_CURRENT_ACTIVITY,HEALTH_STATE_DESCRIPTION,
P0018d6033430:IU2,P0018d6033430:S1,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,P0018d6033430:P1,Instrument,EQ-5D-5L,EQ-5D-5L,instrument:eq-5d-5l,instrument:eq-5d,EQ-5D,LEVEL_VERSION,,,5L,,DIRECT_CURRENT_ACTIVITY,VALUATION_TARGET,
P0018d6033430:IU3,P0018d6033430:S1,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,P0018d6033430:P2,Instrument,EQ-5D-5L,EQ-5D-5L,instrument:eq-5d-5l,instrument:eq-5d,EQ-5D,LEVEL_VERSION,,,5L,,DIRECT_CURRENT_ACTIVITY,CURRENT_HEALTH_MEASUREMENT,
P0018d6033430:IU4,P0018d6033430:S1,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,P0018d6033430:P2,Instrument,EQ VAS,EQ VAS,instrument:eq-vas,,,,,,,,DIRECT_CURRENT_ACTIVITY,OUTCOME_MEASURE,
P0018d6033430:IU5,P0018d6033430:S1,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,P0018d6033430:P2,Instrument,HeartQoL,HeartQoL,instrument:heartqol,,,,,,,,DIRECT_CURRENT_ACTIVITY,OUTCOME_MEASURE,
P0018d6033430:IU6,P0018d6033430:S1,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,P0018d6033430:P2,Instrument,New York Heart Association functional classification,New York Heart Association functional classification,instrument:new-york-heart-association-functional-classification,,,,,,,,DIRECT_CURRENT_ACTIVITY,PREDICTOR_MEASURE,
P0018d6033430:IU7,P0018d6033430:S1,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,P0018d6033430:P2,Instrument,Canadian Cardiovascular Society angina classification,Canadian Cardiovascular Society angina classification,instrument:canadian-cardiovascular-society-angina-classification,,,,,,,,DIRECT_CURRENT_ACTIVITY,PREDICTOR_MEASURE,
P0018d6033430:MOD1,P0018d6033430:S1,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,P0018d6033430:P1,Model,Linear mixed-effects model,Linear mixed-effects model,model:linear-mixed-effects,,,,,,,,DIRECT_CURRENT_ACTIVITY,STATISTICAL_ESTIMATION,PRIMARY_REPORTED
P0018d6033430:MOD2,P0018d6033430:S1,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,P0018d6033430:P1,Model,CALE,CALE,model:cale,,,,,,,,DIRECT_CURRENT_ACTIVITY,STATISTICAL_ESTIMATION,CANDIDATE
P0018d6033430:MU1,P0018d6033430:S1,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,,Method,Consecutive sampling,Consecutive sampling,method:consecutive-sampling,,,,,,,,DIRECT_CURRENT_ACTIVITY,SAMPLING,
P0018d6033430:MU2,P0018d6033430:S1,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,P0018d6033430:P1,Method,cTTO,cTTO,method:ctto,method:tto,TTO,METHOD_VARIANT,,,,,DIRECT_CURRENT_ACTIVITY,PREFERENCE_ELICITATION,
P0018d6033430:MU3,P0018d6033430:S1,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,P0018d6033430:P1,Method,"Bootstrap resampling, 1,000 samples","Bootstrap resampling, 1,000 samples",method:bootstrap-resampling-1000,,,METHOD_VARIANT,,,1000,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_ANALYSIS,
P0018d6033430:MU4,P0018d6033430:S1,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,P0018d6033430:P1,Method,Cross-validation,Cross-validation,method:cross-validation,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_ANALYSIS,
P0018d6033430:MU5,P0018d6033430:S1,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,P0018d6033430:P1,Method,Utility-value rescaling by one minus the model intercept,Utility-value rescaling by one minus the model intercept,method:utility-value-rescaling-by-one-minus-the-model-intercept,,,,,,,,DIRECT_CURRENT_ACTIVITY,MAPPING_OR_DERIVATION,
P0018d6033430:MU6,P0018d6033430:S1,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,P0018d6033430:P2,Method,Known-groups validity analysis,Known-groups validity analysis,method:known-groups-validity-analysis,,,,,,,,DIRECT_CURRENT_ACTIVITY,MEASUREMENT_PROPERTY_ANALYSIS,
P0018d6033430:MU7,P0018d6033430:S1,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,P0018d6033430:P2,Method,Analysis of variance,Analysis of variance,method:analysis-of-variance,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_ANALYSIS,
P0018d6033430:PRU1,P0018d6033430:S1,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,P0018d6033430:P1,Protocol,EQ-VT,EQ-VT,protocol:eq-vt,,,,,,,,DIRECT_CURRENT_ACTIVITY,VALUATION_PROTOCOL,
P0018d6033430:PRU2,P0018d6033430:S1,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,P0018d6033430:P1,Protocol,EQ-5D-5L valuation quality-control process,EQ-5D-5L valuation quality-control process,protocol:eq-5d-5l-valuation-qc-2017,,,PROTOCOL_VERSION,,,2017,,DIRECT_CURRENT_ACTIVITY,QUALITY_CONTROL_PROTOCOL,
P0018d6033430:SU1,P0018d6033430:S1,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,P0018d6033430:P1,Software,EuroQol Portable Valuation Technology,EuroQol Portable Valuation Technology,software:eq-pvt,,,,,,,,DIRECT_CURRENT_ACTIVITY,VALUATION_ADMINISTRATION,
P0018d6033430:SU2,P0018d6033430:S1,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,P0018d6033430:P1,Software,R,R,software:r,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_ANALYSIS,
P0018d6033430:SU3,P0018d6033430:S1,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,P0018d6033430:P1,Software,xreg,xreg,software:xreg,,,,,,,,DIRECT_CURRENT_ACTIVITY,MODEL_IMPLEMENTATION,
P0041e193c954:M1,P0041e193c954:S1,doi:10.1017/s0266462324002459,10.1017/s0266462324002459,2024,,Method,interview,interview,method:interview,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUALITATIVE_DATA_COLLECTION,
P0041e193c954:M2,P0041e193c954:S1,doi:10.1017/s0266462324002459,10.1017/s0266462324002459,2024,,Method,Thematic analysis,Thematic analysis,method:thematic-analysis,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUALITATIVE_ANALYSIS,
P0041e193c954:SW1,P0041e193c954:S1,doi:10.1017/s0266462324002459,10.1017/s0266462324002459,2024,,Software,NVivo,NVivo,software:nvivo,,,,,,,,DIRECT_CURRENT_ACTIVITY,DATA_MANAGEMENT,
P0076e3bd5c99:IU1,P0076e3bd5c99:S1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,,Instrument,EQ-HWB-S,EQ-HWB-S,instrument:eq-hwb-s,instrument:eq-hwb,EQ-HWB,FORM_VERSION,,,SHORT,,CURRENT_STUDY_OBJECT,MEASUREMENT_PROPERTY_TEST_OBJECT,
P0076e3bd5c99:IU10,P0076e3bd5c99:S1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,,Instrument,Overall Health Assessment,Overall Health Assessment,instrument:overall-health-assessment,,,,,,,,DIRECT_CURRENT_ACTIVITY,PREDICTOR_MEASURE,
P0076e3bd5c99:IU11,P0076e3bd5c99:S1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,,Instrument,"Overall Health Assessment, proxy version","Overall Health Assessment, proxy version",instrument:overall-health-assessment-proxy,instrument:overall-health-assessment,Overall Health Assessment,RESPONDENT_VERSION,,,,PROXY,DIRECT_CURRENT_ACTIVITY,PREDICTOR_MEASURE,
P0076e3bd5c99:IU2,P0076e3bd5c99:S1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,,Instrument,EQ-HWB-S,EQ-HWB-S,instrument:eq-hwb-s,instrument:eq-hwb,EQ-HWB,FORM_VERSION,,,SHORT,,DIRECT_CURRENT_ACTIVITY,CURRENT_HEALTH_MEASUREMENT,
P0076e3bd5c99:IU3,P0076e3bd5c99:S1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,,Instrument,EQ-5D-5L,EQ-5D-5L,instrument:eq-5d-5l,instrument:eq-5d,EQ-5D,LEVEL_VERSION,,,5L,,CURRENT_STUDY_OBJECT,MEASUREMENT_PROPERTY_TEST_OBJECT,
P0076e3bd5c99:IU4,P0076e3bd5c99:S1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,,Instrument,EQ-5D-5L,EQ-5D-5L,instrument:eq-5d-5l,instrument:eq-5d,EQ-5D,LEVEL_VERSION,,,5L,,DIRECT_CURRENT_ACTIVITY,CURRENT_HEALTH_MEASUREMENT,
P0076e3bd5c99:IU5,P0076e3bd5c99:S1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,,Instrument,EQ VAS,EQ VAS,instrument:eq-vas,,,,,,,,CURRENT_STUDY_OBJECT,MEASUREMENT_PROPERTY_TEST_OBJECT,
P0076e3bd5c99:IU6,P0076e3bd5c99:S1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,,Instrument,EQ VAS,EQ VAS,instrument:eq-vas,,,,,,,,DIRECT_CURRENT_ACTIVITY,CURRENT_HEALTH_MEASUREMENT,
P0076e3bd5c99:IU7,P0076e3bd5c99:S1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,,Instrument,EQ-TIPS,EQ-TIPS,instrument:eq-tips,,,,,,,PROXY,DIRECT_CURRENT_ACTIVITY,PREDICTOR_MEASURE,
P0076e3bd5c99:IU8,P0076e3bd5c99:S1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,,Instrument,"EQ-5D-Y-3L, Simplified Chinese, China","EQ-5D-Y-3L, Simplified Chinese, China",instrument:eq-5d-y-3l-zh-hans-cn,instrument:eq-5d-y-3l,EQ-5D-Y-3L,LANGUAGE_EDITION,zh-Hans,CN,,,DIRECT_CURRENT_ACTIVITY,PREDICTOR_MEASURE,
P0076e3bd5c99:IU9,P0076e3bd5c99:S1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,,Instrument,"EQ-5D-Y-3L, Simplified Chinese proxy version 1","EQ-5D-Y-3L, Simplified Chinese proxy version 1",instrument:eq-5d-y-3l-zh-hans-cn-proxy-v1,instrument:eq-5d-y-3l-zh-hans-cn,"EQ-5D-Y-3L, Simplified Chinese, China",RESPONDENT_VERSION,zh-Hans,CN,1,PROXY,DIRECT_CURRENT_ACTIVITY,PREDICTOR_MEASURE,
P0076e3bd5c99:MOD1,P0076e3bd5c99:S1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,P0076e3bd5c99:P1,Model,Gamma-log generalized linear model,Gamma-log generalized linear model,model:gamma-log-glm,model:generalized-linear,Generalized linear model,MODEL_VARIANT,,,,,DIRECT_CURRENT_ACTIVITY,STATISTICAL_ESTIMATION,PRIMARY_REPORTED
P0076e3bd5c99:MU1,P0076e3bd5c99:S1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,P0076e3bd5c99:P1,Method,Descriptive statistics,Descriptive statistics,method:descriptive-statistics,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_ANALYSIS,
P0076e3bd5c99:MU10,P0076e3bd5c99:S1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,P0076e3bd5c99:P3,Method,Glass’s delta,Glass’s delta,method:glass-delta,method:standardized-effect-size,Standardized effect size,METHOD_VARIANT,,,,,DIRECT_CURRENT_ACTIVITY,MEASUREMENT_PROPERTY_ANALYSIS,
P0076e3bd5c99:MU11,P0076e3bd5c99:S1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,P0076e3bd5c99:P3,Method,Paired t-test,Paired t-test,method:paired-t-test,method:t-test,t-test,METHOD_VARIANT,,,,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_ANALYSIS,
P0076e3bd5c99:MU12,P0076e3bd5c99:S1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,,Method,Snowball sampling,Snowball sampling,method:snowball-sampling,,,,,,,,DIRECT_CURRENT_ACTIVITY,SAMPLING,
P0076e3bd5c99:MU2,P0076e3bd5c99:S1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,P0076e3bd5c99:P1,Method,Known-groups validity analysis,Known-groups validity analysis,method:known-groups-validity-analysis,,,,,,,,DIRECT_CURRENT_ACTIVITY,MEASUREMENT_PROPERTY_ANALYSIS,
P0076e3bd5c99:MU3,P0076e3bd5c99:S1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,P0076e3bd5c99:P1,Method,Independent t-test,Independent t-test,method:independent-t-test,method:t-test,t-test,METHOD_VARIANT,,,,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_ANALYSIS,
P0076e3bd5c99:MU4,P0076e3bd5c99:S1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,P0076e3bd5c99:P1,Method,Cohen d effect size,Cohen d effect size,method:cohens-d,method:standardized-effect-size,Standardized effect size,METHOD_VARIANT,,,,,DIRECT_CURRENT_ACTIVITY,MEASUREMENT_PROPERTY_ANALYSIS,
P0076e3bd5c99:MU5,P0076e3bd5c99:S1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,P0076e3bd5c99:P1,Method,Chi-square test,Chi-square test,method:chi-square-test,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_ANALYSIS,
P0076e3bd5c99:MU6,P0076e3bd5c99:S1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,P0076e3bd5c99:P1,Method,Fisher's exact test,Fisher's exact test,method:fisher-exact-test,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_ANALYSIS,
P0076e3bd5c99:MU7,P0076e3bd5c99:S1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,P0076e3bd5c99:P1,Method,Modified Park test,Modified Park test,method:modified-park-test,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUALITY_CONTROL,
P0076e3bd5c99:MU8,P0076e3bd5c99:S1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,P0076e3bd5c99:P2,Method,Intraclass correlation coefficient,Intraclass correlation coefficient,method:intraclass-correlation-coefficient,,,,,,,,DIRECT_CURRENT_ACTIVITY,MEASUREMENT_PROPERTY_ANALYSIS,
P0076e3bd5c99:MU9,P0076e3bd5c99:S1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,P0076e3bd5c99:P2,Method,Gwet AC1 coefficient,Gwet AC1 coefficient,method:gwet-ac1,method:gwet-agreement-coefficient,Gwet agreement coefficient,METHOD_VARIANT,,,,,DIRECT_CURRENT_ACTIVITY,MEASUREMENT_PROPERTY_ANALYSIS,
P0076e3bd5c99:SW1,P0076e3bd5c99:S1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,,Software,IBM SPSS Statistics 26,IBM SPSS Statistics 26,software:ibm-spss-statistics-26,software:ibm-spss-statistics,IBM SPSS Statistics,SOFTWARE_VERSION,,,26,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_ANALYSIS,
P00957738e538:IU1,P00957738e538:S1,doi:10.1007/s11136-021-02804-6,10.1007/s11136-021-02804-6,2021,P00957738e538:P1,Instrument,EQ-5D-3L,EQ-5D-3L,instrument:eq-5d-3l,instrument:eq-5d,EQ-5D,LEVEL_VERSION,,,3L,,DIRECT_CURRENT_ACTIVITY,CURRENT_HEALTH_MEASUREMENT,
P00957738e538:IU2,P00957738e538:S1,doi:10.1007/s11136-021-02804-6,10.1007/s11136-021-02804-6,2021,P00957738e538:P1,Instrument,EQ-5D-3L,EQ-5D-3L,instrument:eq-5d-3l,instrument:eq-5d,EQ-5D,LEVEL_VERSION,,,3L,,DIRECT_CURRENT_ACTIVITY,VALUATION_TARGET,
P00957738e538:IU3,P00957738e538:S1,doi:10.1007/s11136-021-02804-6,10.1007/s11136-021-02804-6,2021,P00957738e538:P1,Instrument,EQ VAS,EQ VAS,instrument:eq-vas,,,,,,,,DIRECT_CURRENT_ACTIVITY,CURRENT_HEALTH_MEASUREMENT,
P00957738e538:IU4,P00957738e538:S1,doi:10.1007/s11136-021-02804-6,10.1007/s11136-021-02804-6,2021,P00957738e538:P2,Instrument,EQ-5D-3L,EQ-5D-3L,instrument:eq-5d-3l,instrument:eq-5d,EQ-5D,LEVEL_VERSION,,,3L,,DIRECT_CURRENT_ACTIVITY,MAPPING_SOURCE,
P00957738e538:IU5,P00957738e538:S1,doi:10.1007/s11136-021-02804-6,10.1007/s11136-021-02804-6,2021,P00957738e538:P2,Instrument,EQ-5D-5L,EQ-5D-5L,instrument:eq-5d-5l,instrument:eq-5d,EQ-5D,LEVEL_VERSION,,,5L,,DIRECT_CURRENT_ACTIVITY,MAPPING_TARGET,
P00957738e538:MD1,P00957738e538:S1,doi:10.1007/s11136-021-02804-6,10.1007/s11136-021-02804-6,2021,P00957738e538:P1,Model,Generalized least squares,Generalized least squares,model:generalized-least-squares,,,,,,,,DIRECT_CURRENT_ACTIVITY,STATISTICAL_ESTIMATION,CANDIDATE
P00957738e538:MD10,P00957738e538:S1,doi:10.1007/s11136-021-02804-6,10.1007/s11136-021-02804-6,2021,P00957738e538:P2,Model,Van Hout–Shaw EQ-5D-3L to EQ-5D-5L mapping model,Van Hout–Shaw EQ-5D-3L to EQ-5D-5L mapping model,model:van-hout-shaw-3l-to-5l-mapping,,,,,,,,DIRECT_CURRENT_ACTIVITY,MAPPING,PRIMARY_REPORTED
P00957738e538:MD2,P00957738e538:S1,doi:10.1007/s11136-021-02804-6,10.1007/s11136-021-02804-6,2021,P00957738e538:P1,Model,Random-intercept Tobit model,Random-intercept Tobit model,model:random-intercept-tobit,model:tobit,Tobit model,MODEL_VARIANT,,,,,DIRECT_CURRENT_ACTIVITY,STATISTICAL_ESTIMATION,CANDIDATE
P00957738e538:MD3,P00957738e538:S1,doi:10.1007/s11136-021-02804-6,10.1007/s11136-021-02804-6,2021,P00957738e538:P1,Model,Interval regression model,Interval regression model,model:interval-regression,,,,,,,,DIRECT_CURRENT_ACTIVITY,STATISTICAL_ESTIMATION,CANDIDATE
P00957738e538:MD4,P00957738e538:S1,doi:10.1007/s11136-021-02804-6,10.1007/s11136-021-02804-6,2021,P00957738e538:P1,Model,Conditional logit model,Conditional logit model,model:conditional-logit,,,,,,,,DIRECT_CURRENT_ACTIVITY,CHOICE_MODELING,CANDIDATE
P00957738e538:MD5,P00957738e538:S1,doi:10.1007/s11136-021-02804-6,10.1007/s11136-021-02804-6,2021,P00957738e538:P1,Model,Standard hybrid model,Standard hybrid model,model:hybrid-model,,,,,,,,DIRECT_CURRENT_ACTIVITY,STATISTICAL_ESTIMATION,CANDIDATE
P00957738e538:MD6,P00957738e538:S1,doi:10.1007/s11136-021-02804-6,10.1007/s11136-021-02804-6,2021,P00957738e538:P1,Model,"Hybrid cTTO-DCE model, left-censored at -1 without heteroscedasticity or constant","Hybrid cTTO-DCE model, left-censored at -1 without heteroscedasticity or constant",model:hybrid-ctto-dce-left-censored-minus-1,model:hybrid-model,Standard hybrid model,MODEL_VARIANT,,,,,DIRECT_CURRENT_ACTIVITY,STATISTICAL_ESTIMATION,CANDIDATE
P00957738e538:MD7,P00957738e538:S1,doi:10.1007/s11136-021-02804-6,10.1007/s11136-021-02804-6,2021,P00957738e538:P1,Model,hybrid model heteroskedastic without constant (HMH),hybrid model heteroskedastic without constant (HMH),model:hybrid-model-heteroskedastic-without-constant-hmh,,,,,,,,DIRECT_CURRENT_ACTIVITY,STATISTICAL_ESTIMATION,PRIMARY_REPORTED
P00957738e538:MD8,P00957738e538:S1,doi:10.1007/s11136-021-02804-6,10.1007/s11136-021-02804-6,2021,P00957738e538:P1,Model,hybrid model heteroskedastic without constant censored at – 1 (HMHC),hybrid model heteroskedastic without constant censored at – 1 (HMHC),model:hybrid-model-heteroskedastic-without-constant-censored-at-1-hmhc,,,,,,,,DIRECT_CURRENT_ACTIVITY,STATISTICAL_ESTIMATION,CANDIDATE
P00957738e538:MD9,P00957738e538:S1,doi:10.1007/s11136-021-02804-6,10.1007/s11136-021-02804-6,2021,P00957738e538:P1,Model,Generalized least squares,Generalized least squares,model:generalized-least-squares,,,,,,,,DIRECT_CURRENT_ACTIVITY,STATISTICAL_ESTIMATION,SENSITIVITY
P00957738e538:MU1,P00957738e538:S1,doi:10.1007/s11136-021-02804-6,10.1007/s11136-021-02804-6,2021,P00957738e538:P1,Method,Quota sampling,Quota sampling,method:quota-sampling,,,,,,,,DIRECT_CURRENT_ACTIVITY,SAMPLING,
P00957738e538:MU2,P00957738e538:S1,doi:10.1007/s11136-021-02804-6,10.1007/s11136-021-02804-6,2021,P00957738e538:P1,Method,cTTO,cTTO,method:ctto,method:tto,TTO,METHOD_VARIANT,,,,,DIRECT_CURRENT_ACTIVITY,PREFERENCE_ELICITATION,
P00957738e538:MU3,P00957738e538:S1,doi:10.1007/s11136-021-02804-6,10.1007/s11136-021-02804-6,2021,P00957738e538:P1,Method,DCE without duration,DCE without duration,method:dce-without-duration,method:dce,DCE,METHOD_VARIANT,,,,,DIRECT_CURRENT_ACTIVITY,PREFERENCE_ELICITATION,
P00957738e538:MU4,P00957738e538:S1,doi:10.1007/s11136-021-02804-6,10.1007/s11136-021-02804-6,2021,P00957738e538:P1,Method,Descriptive statistics,Descriptive statistics,method:descriptive-statistics,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_ANALYSIS,
P00957738e538:MU5,P00957738e538:S1,doi:10.1007/s11136-021-02804-6,10.1007/s11136-021-02804-6,2021,P00957738e538:P1,Method,Wheelchair-example explanation-time quality control,Wheelchair-example explanation-time quality control,method:wheelchair-example-explanation-time-quality-control,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUALITY_CONTROL,
P00957738e538:MU6,P00957738e538:S1,doi:10.1007/s11136-021-02804-6,10.1007/s11136-021-02804-6,2021,P00957738e538:P1,Method,cTTO logical-inconsistency quality control,cTTO logical-inconsistency quality control,method:ctto-logical-inconsistency-quality-control,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUALITY_CONTROL,
