study_id,publication_id,doi,publication_year,study_ordinal,label,primary_research_family,execution_status,source_status,purposes,countries,component_approach,temporal_structure,comparison_structure,allocation_structure,synthesis_design,mixed_method_integration,project_ids,n_parts,n_instrument_uses,n_method_uses,n_findings,n_limitations,n_products
P0295f92e9c13:study_1,doi:10.1136/bmjopen-2024-097598,10.1136/bmjopen-2024-097598,2025,1,Canadian youth EQ-5D-Y-5L DCE feasibility mixed methods study,METHODS_RESEARCH,DATA_COLLECTION_COMPLETE,NO_RESULTS_YET,HEALTH_STATE_VALUATION | METHOD_OR_PROTOCOL_QUALITY,Canada,,CROSS_SECTIONAL,,NOT_APPLICABLE,,CONVERGENT_PARALLEL,1704-RA,3,3,7,0,2,0
P0366b5734a4e:S1,doi:10.1016/j.jval.2026.02.012,10.1016/j.jval.2026.02.012,2026,1,General-population evaluation of the scaling factor model for EQ-5D-5L vision and cognition bolt-ons,METHODS_RESEARCH,COMPLETED,RESULTS_REPORTED,HEALTH_STATE_VALUATION | VALUATION_METHOD_EVALUATION,China,QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,BETWEEN_INSTRUMENT | BETWEEN_METHOD,RANDOMIZED,NOT_APPLICABLE,,,3,5,9,7,6,0
P03dcc963dc1a:S1,doi:10.5114/aoms.2015.52126,10.5114/aoms.2015.52126,2015,1,EQ-5D-5L Polish general population norms survey (2014),POPULATION_REFERENCE_DESCRIPTION,COMPLETED,RESULTS_REPORTED,OUTCOME_DESCRIPTION | POPULATION_NORMS,Poland,QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,BETWEEN_CONTEXT,NOT_APPLICABLE,,,,0,1,6,6,2,1
P04394749b281:S1,doi:10.1007/s11136-022-03138-7,10.1007/s11136-022-03138-7,2022,1,Development of criteria for EQ-5D bolt-on dimensions,CONCEPTUAL_FRAMEWORK_DEVELOPMENT,COMPLETED,RESULTS_REPORTED,CONCEPTUAL_FRAMEWORK_DEVELOPMENT | METHOD_OR_PROTOCOL_QUALITY,,CONCEPTUAL,NOT_APPLICABLE,NONCOMPARATIVE,NOT_APPLICABLE,NOT_APPLICABLE,,,0,1,2,5,4,1
P046968c0295e:S1,doi:10.1007/s11136-024-03875-x,10.1007/s11136-024-03875-x,2025,1,Content validity of EQ-5D-5L and four bolt-ons in atopic dermatitis and chronic urticaria,MEASUREMENT_PROPERTY_EVALUATION,COMPLETED,RESULTS_REPORTED,CONTENT_VALIDITY_EVALUATION | MEASUREMENT_PROPERTY_EVALUATION,United Kingdom,QUALITATIVE_INQUIRY,CROSS_SECTIONAL,BETWEEN_GROUP,NOT_APPLICABLE,NOT_APPLICABLE,,1475-RA,0,8,9,9,4,0
P04a390149f4a:S1,doi:10.1186/s12955-022-01938-6,10.1186/s12955-022-01938-6,2022,1,Head-to-head measurement properties and responsiveness study of EQ-5D-Y-5L and EQ-5D-Y-3L in acute orthopaedic care,MEASUREMENT_PROPERTY_EVALUATION,COMPLETED,RESULTS_REPORTED,MEASUREMENT_PROPERTY_EVALUATION,South Africa,QUANTITATIVE_EMPIRICAL,LONGITUDINAL_REPEATED,BETWEEN_INSTRUMENT | WITHIN_PERSON,NOT_APPLICABLE,NOT_APPLICABLE,,20180730,0,4,10,8,4,0
P04adc98177a2:S1,doi:10.1007/s11136-024-03837-3,10.1007/s11136-024-03837-3,2024,1,Norwegian EQ-5D-5L valuation study,VALUE_SET_DEVELOPMENT,COMPLETED,RESULTS_REPORTED,HEALTH_STATE_VALUATION | PREFERENCE_COMPARISON | VALUATION_METHOD_EVALUATION | VALUE_SET_DEVELOPMENT,Norway,,,,,,,1507-VS,3,2,8,8,3,2
P05483abdfe8e:S1,doi:10.1007/s11136-025-03925-y,10.1007/s11136-025-03925-y,2025,1,"Financial toxicity, health-related quality of life, and well-being in Indonesian patients with breast cancer",HEALTH_OUTCOME_RESEARCH,COMPLETED,RESULTS_REPORTED,OUTCOME_DESCRIPTION,Indonesia,QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,BETWEEN_GROUP,NOT_APPLICABLE,,,1644-RA,0,6,8,7,6,0
P057b9f321815:S1,doi:10.1186/s12913-020-05557-z,10.1186/s12913-020-05557-z,2020,1,EMPATHY: pragmatic multi-centre cluster randomized controlled trial of routine patient-reported outcome measure use in in-centre hemodialysis care in Canada,APPLIED_USE_RESEARCH,DATA_COLLECTION_ACTIVE,NO_RESULTS_YET,ECONOMIC_EVALUATION | IMPLEMENTATION_EVALUATION | OUTCOME_DESCRIPTION,Canada,QUALITATIVE_INQUIRY | QUANTITATIVE_EMPIRICAL,LONGITUDINAL_REPEATED,BETWEEN_GROUP | BETWEEN_INSTRUMENT,RANDOMIZED,NOT_APPLICABLE,CONVERGENT_PARALLEL,20180170R1,4,11,15,0,5,4
P05ea14c529fc:S1,doi:10.1016/j.jval.2016.10.012,10.1016/j.jval.2016.10.012,2016,1,"Development of a cyclic quality control process for EQ-5D-5L valuation studies and comparison of data quality between Spanish and Dutch valuation studies (EQ-VT protocol 1.0, no QC) and follow-up studies (protocol 1.1, with QC)",METHODS_RESEARCH,COMPLETED,RESULTS_REPORTED,DECISION_SUPPORT_DEVELOPMENT | METHOD_OR_PROTOCOL_QUALITY | VALUATION_METHOD_EVALUATION,Netherlands | Spain,QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,BETWEEN_METHOD,NONRANDOMIZED,,,,0,3,11,6,4,2
P05f4d5a8fc7a:S1,doi:10.1007/s10198-021-01306-z,10.1007/s10198-021-01306-z,2021,1,EQ-HWB domain-identification and domain-selection approach,METHODS_RESEARCH,COMPLETED,RESULTS_REPORTED,CONCEPTUAL_FRAMEWORK_DEVELOPMENT | INSTRUMENT_DEVELOPMENT | METHOD_OR_PROTOCOL_QUALITY,,,,,,,,2016710,3,1,3,8,7,2
P0600c463db24:S1,doi:10.1007/s11136-018-2027-9,10.1007/s11136-018-2027-9,2019,1,Psychometric comparison of Malay and Malaysian English EQ-5D-5L versus EQ-5D-3L in the Malaysian general population,MEASUREMENT_PROPERTY_EVALUATION,COMPLETED,RESULTS_REPORTED,MEASUREMENT_PROPERTY_EVALUATION,Malaysia,QUANTITATIVE_EMPIRICAL,LONGITUDINAL_REPEATED,BETWEEN_INSTRUMENT,NOT_APPLICABLE,,,2016100,0,5,6,5,4,0
P060e13fe92fe:S1,doi:10.1007/s40273-023-01300-8,10.1007/s40273-023-01300-8,2023,1,Conceptual analysis of why EQ-5D-Y-3L values differ from adult EQ-5D values and what that means for using age-specific pediatric values in cost-effectiveness analysis,CONCEPTUAL_FRAMEWORK_DEVELOPMENT,COMPLETED,RESULTS_REPORTED,CONCEPTUAL_FRAMEWORK_DEVELOPMENT | PREFERENCE_COMPARISON | VALUATION_METHOD_EVALUATION,,CONCEPTUAL,NOT_APPLICABLE,BETWEEN_INSTRUMENT,NOT_APPLICABLE,NOT_APPLICABLE,,202-RA,0,6,6,8,5,2
P0640f26e484e:S1,doi:10.1186/s12955-024-02303-5,10.1186/s12955-024-02303-5,2024,1,Psychometric validation of the Indonesian FACIT-COST v2 in breast cancer,MEASUREMENT_PROPERTY_EVALUATION,COMPLETED,RESULTS_REPORTED,MEASUREMENT_PROPERTY_EVALUATION,Indonesia,QUANTITATIVE_EMPIRICAL,LONGITUDINAL_REPEATED,BETWEEN_GROUP | WITHIN_PERSON,NOT_APPLICABLE,,,1644-RA,0,2,18,7,3,0
P068928b2dacd:st1,doi:10.1186/s41687-021-00369-z,10.1186/s41687-021-00369-z,2021,1,Routine EQ-5D-5L implementation in Alberta community rehabilitation,APPLIED_USE_RESEARCH,COMPLETED,RESULTS_REPORTED,IMPLEMENTATION_EVALUATION | OUTCOME_DESCRIPTION,Canada,,,,,,EMBEDDED,96-EO,2,3,3,7,4,2
P0718b780f1fa:S1,doi:10.1007/s11136-023-03462-6,10.1007/s11136-023-03462-6,2023,1,"Cross-sectional Australian online survey comparing the measurement relationship between EQ-5D-5L (descriptive system and Australian and US value sets), PROMIS-29 and PROPr",MEASUREMENT_PROPERTY_EVALUATION,COMPLETED,RESULTS_REPORTED,MEASUREMENT_PROPERTY_EVALUATION | PREFERENCE_COMPARISON,Australia,QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,BETWEEN_GROUP | BETWEEN_INSTRUMENT | WITHIN_PERSON,RANDOMIZED,NOT_APPLICABLE,,20190220,0,4,10,10,6,0
P072048e348ab:S1,doi:10.1016/j.jval.2018.11.001,10.1016/j.jval.2018.11.001,2019,1,"Narrative overview of EQ-5D-Y characteristics, development, registered use, and valuation challenges",EVIDENCE_SYNTHESIS,COMPLETED,RESULTS_REPORTED,EVIDENCE_SYNTHESIS | OUTCOME_DESCRIPTION | VALUATION_METHOD_EVALUATION,,CONCEPTUAL,NOT_APPLICABLE,NONCOMPARATIVE,NOT_APPLICABLE,NARRATIVE_SYNTHESIS,,,0,12,8,8,4,0
P072254644ef6:s1,doi:10.1016/j.jval.2022.01.009,10.1016/j.jval.2022.01.009,2022,1,International development of the EQ Health and Wellbeing measures,INSTRUMENT_VERSION_DEVELOPMENT,COMPLETED,RESULTS_REPORTED,CONTENT_VALIDITY_EVALUATION | HEALTH_STATE_VALUATION | INSTRUMENT_DEVELOPMENT | MEASUREMENT_PROPERTY_EVALUATION | VALUATION_METHOD_EVALUATION,Australia | China | Germany | United Kingdom | United States,,,,,,,,6,9,15,10,7,2
P078c03b5efce:S1,doi:10.1016/j.jval.2017.09.001,10.1016/j.jval.2017.09.001,2017,1,Comparison of health-state selection designs for EQ-5D-3L valuation using a saturated EQ-VAS dataset,METHODS_RESEARCH,COMPLETED,RESULTS_REPORTED,METHOD_OR_PROTOCOL_QUALITY | VALUATION_METHOD_EVALUATION,Netherlands,QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,BETWEEN_METHOD,NOT_APPLICABLE,,,2014090,0,2,8,6,3,0
P07e6c4915f5e:S1,doi:10.3390/ebj3020023,10.3390/ebj3020023,2022,1,Added value of itching and cognition items for EQ-5D-3L in adults with intermediate burns,MEASUREMENT_PROPERTY_EVALUATION,COMPLETED,RESULTS_REPORTED,MEASUREMENT_PROPERTY_EVALUATION,Netherlands,QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,BETWEEN_INSTRUMENT,NOT_APPLICABLE,NOT_APPLICABLE,,20180330,0,5,11,8,6,0
P081e2e40a5bc:s1,doi:10.1007/s11136-025-04016-8,10.1007/s11136-025-04016-8,2025,1,Mixed-method psychometric testing of two respiratory bolt-ons to EQ-5D-5L in obstructive airway disease,MEASUREMENT_PROPERTY_EVALUATION,COMPLETED,RESULTS_REPORTED,CONTENT_VALIDITY_EVALUATION | MEASUREMENT_PROPERTY_EVALUATION | TRANSLATION_AND_CULTURAL_ADAPTATION,Singapore,,,,,,SEQUENTIAL,274-RA,3,14,18,10,7,2
P084b1c3f957b:study_main,doi:10.1007/s11136-025-04023-9,10.1007/s11136-025-04023-9,2025,1,"Palliative-context EQ-5D-5L valuation study in Australia, Ireland, and the United Kingdom",HEALTH_PREFERENCE_RESEARCH,COMPLETED,RESULTS_REPORTED,HEALTH_STATE_VALUATION | INSTRUMENT_DEVELOPMENT | PREFERENCE_COMPARISON,Australia | United Kingdom,,,,,,SEQUENTIAL,235-RA,2,4,8,5,3,0
P0872ff174764:S1,doi:10.1016/j.jval.2020.04.1825,10.1016/j.jval.2020.04.1825,2020,1,Systematic review cataloging EQ-5D-derived health state utility values in hematologic malignancies,EVIDENCE_SYNTHESIS,COMPLETED,RESULTS_REPORTED,DECISION_SUPPORT_DEVELOPMENT | EVIDENCE_SYNTHESIS,Australia | Japan | Netherlands | South Africa | United Kingdom | United States,EVIDENCE_SYNTHESIS,VARIABLE_SOURCE_TIME,NONCOMPARATIVE,NOT_APPLICABLE,NARRATIVE_SYNTHESIS | SYSTEMATIC_REVIEW,,2015280,0,6,7,13,8,1
P0893cdb25bdf:S1,doi:10.1016/j.jval.2024.02.018,10.1016/j.jval.2024.02.018,2024,1,Systematic review and meta-analysis of EQ-5D-3L and EQ-5D-5L ceiling effects in general population surveys,EVIDENCE_SYNTHESIS,COMPLETED,RESULTS_REPORTED,EVIDENCE_SYNTHESIS | MEASUREMENT_PROPERTY_EVALUATION,,,VARIABLE_SOURCE_TIME,BETWEEN_CONTEXT | BETWEEN_INSTRUMENT,NOT_APPLICABLE,,,402-RA,2,2,14,12,4,0
P08961cd245d3:s1,doi:10.1016/j.jval.2025.02.001,10.1016/j.jval.2025.02.001,2025,1,Systematic review of statistical methods used to analyze EQ-5D treatment effects in randomized clinical trials,EVIDENCE_SYNTHESIS,COMPLETED,RESULTS_REPORTED,EVIDENCE_SYNTHESIS | METHOD_OR_PROTOCOL_QUALITY,,EVIDENCE_SYNTHESIS,VARIABLE_SOURCE_TIME,NONCOMPARATIVE,NOT_APPLICABLE,SYSTEMATIC_REVIEW,,345-PHD,0,2,7,6,3,0
P08f1e977074f:S1,doi:10.1007/s11136-023-03466-2,10.1007/s11136-023-03466-2,2023,1,"Think-aloud study of how older adults in South Australian residential aged care, with and without cognitive impairment, understand and respond to the EQ-5D-5L",MEASUREMENT_PROPERTY_EVALUATION,COMPLETED,RESULTS_REPORTED,CONTENT_VALIDITY_EVALUATION | MEASUREMENT_PROPERTY_EVALUATION,Australia,QUALITATIVE_INQUIRY | QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,BETWEEN_GROUP,NOT_APPLICABLE,NOT_APPLICABLE,EMBEDDED,194-RA,0,5,14,10,5,0
P092aa08c9320:S1,doi:10.1016/j.jval.2018.06.015,10.1016/j.jval.2018.06.015,2018,1,Saturated EQ-VAS dataset for all 3125 EQ-5D-5L states and comparison of health-state sampling designs,METHODS_RESEARCH,COMPLETED,RESULTS_REPORTED,METHOD_OR_PROTOCOL_QUALITY | VALUATION_METHOD_EVALUATION,China,QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,BETWEEN_METHOD,RANDOMIZED,,,20170160,0,3,7,5,4,0
P094b23722cbb:S1,doi:10.1007/s11136-021-02959-2,10.1007/s11136-021-02959-2,2021,1,Vietnamese EQ-5D-5L population norms and known-groups validity study,POPULATION_REFERENCE_DESCRIPTION,COMPLETED,RESULTS_REPORTED,MEASUREMENT_PROPERTY_EVALUATION | POPULATION_NORMS,Vietnam,,,,,,,,2,4,10,6,4,1
P0988dc752ec2:S1,doi:10.1007/s11136-016-1445-9,10.1007/s11136-016-1445-9,2017,1,Quality control and interviewer retraining within the Indonesian EQ-5D-5L (EQ-VT) valuation study,METHODS_RESEARCH,COMPLETED,RESULTS_REPORTED,METHOD_OR_PROTOCOL_QUALITY | VALUATION_METHOD_EVALUATION,Indonesia,,,,,,CONVERGENT_PARALLEL,2013240,2,3,7,6,8,0
P0998bdbbff4f:S1,doi:10.1186/s12955-024-02312-4,10.1186/s12955-024-02312-4,2024,1,Systematic review of PROM applications for improving patient-related outcomes,EVIDENCE_SYNTHESIS,COMPLETED,RESULTS_REPORTED,EVIDENCE_SYNTHESIS | IMPLEMENTATION_EVALUATION,,EVIDENCE_SYNTHESIS,VARIABLE_SOURCE_TIME,BETWEEN_CONTEXT,NOT_APPLICABLE,NARRATIVE_SYNTHESIS | SYSTEMATIC_REVIEW,,287-PHD,2,4,4,9,5,0
P0abbd9de1077:S1,doi:10.1007/s41669-024-00486-7,10.1007/s41669-024-00486-7,2024,1,Qualitative and quantitative assessment of interviewer performance in Italian EQ-5D-5L valuation interviews,METHODS_RESEARCH,COMPLETED,RESULTS_REPORTED,IMPLEMENTATION_EVALUATION | METHOD_OR_PROTOCOL_QUALITY,Italy,QUALITATIVE_INQUIRY | QUANTITATIVE_EMPIRICAL,LONGITUDINAL_REPEATED,WITHIN_PERSON,NOT_APPLICABLE,,SEQUENTIAL,351-RA,2,1,8,7,6,1
P0ac49d441611:S1,doi:10.1016/j.jval.2016.03.1834,10.1016/j.jval.2016.03.1834,2016,1,Japanese EQ-5D-5L valuation study: DCE and cTTO value sets and comparison of anchoring methods,VALUE_SET_DEVELOPMENT,COMPLETED,RESULTS_REPORTED,HEALTH_STATE_VALUATION | VALUATION_METHOD_EVALUATION | VALUE_SET_DEVELOPMENT,Japan,QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,BETWEEN_METHOD,RANDOMIZED,,,2013140,0,2,7,4,6,1
P0adeb60cafb3:study_eqhwb_cfa_cn,doi:10.1016/j.vhri.2025.101501,10.1016/j.vhri.2025.101501,2025,1,Replication of the Chinese-adjusted EQ-HWB confirmatory factor model,MEASUREMENT_PROPERTY_EVALUATION,COMPLETED,RESULTS_REPORTED,MEASUREMENT_PROPERTY_EVALUATION,,QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,BETWEEN_CONTEXT,NOT_APPLICABLE,,,20180600,2,1,3,3,3,0
P0af5c5d01430:S1,doi:10.1007/s40273-018-0623-8,10.1007/s40273-018-0623-8,2018,1,Head-to-head comparison of EQ-5D-3L and EQ-5D-5L descriptive systems and value sets from seven countries,MEASUREMENT_PROPERTY_EVALUATION,COMPLETED,RESULTS_REPORTED,MEASUREMENT_PROPERTY_EVALUATION | METHOD_OR_PROTOCOL_QUALITY | VALUATION_METHOD_EVALUATION,Denmark | Italy | Netherlands | Poland | United Kingdom,QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,BETWEEN_INSTRUMENT,NOT_APPLICABLE,,,2016620,0,3,13,6,5,0
P0b96a3c1a998:S1,doi:10.1007/s10198-022-01517-y,10.1007/s10198-022-01517-y,2022,1,Predictors of non-completion and slow completion of the time trade-off in the interrupted Norwegian EQ-5D-5L valuation study (2019-2020),METHODS_RESEARCH,COMPLETED,RESULTS_REPORTED,METHOD_OR_PROTOCOL_QUALITY | VALUATION_METHOD_EVALUATION,Norway,QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,BETWEEN_GROUP,NOT_APPLICABLE,NOT_APPLICABLE,,1507-VS,0,3,8,9,6,0
P0be39626de20:S1,doi:10.1136/bmjopen-2017-016969,10.1136/bmjopen-2017-016969,2017,1,Qualitative analysis of religious influence on health state perception among Emirati adults in an EQ-5D-5L valuation feasibility study,METHODS_RESEARCH,COMPLETED,RESULTS_REPORTED,OUTCOME_DESCRIPTION | VALUATION_METHOD_EVALUATION,,QUALITATIVE_INQUIRY,CROSS_SECTIONAL,NONCOMPARATIVE,NOT_APPLICABLE,,,2013040,0,1,5,4,4,0
P0c24e35a0d9c:S1,doi:10.1186/s12889-025-21366-7,10.1186/s12889-025-21366-7,2025,1,San Joaquin Valley air pollution policy favorability and health utility survey,APPLIED_USE_RESEARCH,COMPLETED,RESULTS_REPORTED,IMPLEMENTATION_EVALUATION | OUTCOME_DESCRIPTION,United States,QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,BETWEEN_GROUP,NOT_APPLICABLE,NOT_APPLICABLE,,,2,2,6,8,3,0
P0c459481c84e:study_corfu_24m,doi:10.1136/bmjopen-2024-093639,10.1136/bmjopen-2024-093639,2025,1,CORFU longitudinal study of post-COVID symptoms and health-related quality of life through 24 months,HEALTH_OUTCOME_RESEARCH,COMPLETED,RESULTS_REPORTED,OUTCOME_DESCRIPTION,Netherlands,QUANTITATIVE_EMPIRICAL,LONGITUDINAL_REPEATED,BETWEEN_GROUP,NOT_APPLICABLE,NOT_APPLICABLE,,420-RA,0,3,6,7,6,0
P0c47cd4a93bc:S1,doi:10.1007/s11136-025-04151-2,10.1007/s11136-025-04151-2,2026,1,Factors associated with EQ-5D-3L cTTO valuations in Jordan,HEALTH_PREFERENCE_RESEARCH,COMPLETED,RESULTS_REPORTED,OUTCOME_DESCRIPTION | PREFERENCE_COMPARISON,,QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,BETWEEN_GROUP,NOT_APPLICABLE,NOT_APPLICABLE,,60-VS,0,3,9,7,5,0
P0c48b2afb94d:S1,doi:10.1016/j.vhri.2019.08.475,10.1016/j.vhri.2019.08.475,2019,1,EQ-5D-5L valuation study in the Ethiopian general population using EQ-PVT (c-TTO and DCE),VALUE_SET_DEVELOPMENT,COMPLETED,RESULTS_REPORTED,HEALTH_STATE_VALUATION | METHOD_OR_PROTOCOL_QUALITY | VALUE_SET_DEVELOPMENT,Ethiopia,QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,BETWEEN_METHOD,RANDOMIZED,NOT_APPLICABLE,,20170480,2,4,14,9,4,1
P0d85627227a0:s1,doi:10.1007/s40273-025-01519-7,10.1007/s40273-025-01519-7,2025,1,Development of the 2025 Singapore EQ-5D-5L value set,VALUE_SET_DEVELOPMENT,COMPLETED,RESULTS_REPORTED,HEALTH_STATE_VALUATION | VALUATION_METHOD_EVALUATION | VALUE_SET_DEVELOPMENT,Singapore,,,,,,,1741-RA,2,3,5,6,4,2
P0dbfd351cbb8:s1,doi:10.1007/s10198-021-01307-y,10.1007/s10198-021-01307-y,2021,1,"Measurement properties of Chinese EQ-5D-Y-5L, EQ-5D-Y-3L, and KIDSCREEN-10 in Shanghai school pupils",MEASUREMENT_PROPERTY_EVALUATION,COMPLETED,RESULTS_REPORTED,MEASUREMENT_PROPERTY_EVALUATION,China,QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,BETWEEN_GROUP | BETWEEN_INSTRUMENT | WITHIN_PERSON,NOT_APPLICABLE,NOT_APPLICABLE,,20170330,0,4,11,6,5,0
P0de958f4f0dc:study_compass_hrqol,doi:10.1093/ehjopen/oeae083,10.1093/ehjopen/oeae083,2024,1,COMPASS trial health-related quality-of-life analysis,HEALTH_OUTCOME_RESEARCH,COMPLETED,RESULTS_REPORTED,OUTCOME_DESCRIPTION,,QUANTITATIVE_EMPIRICAL,LONGITUDINAL_REPEATED,BETWEEN_GROUP,RANDOMIZED,NOT_APPLICABLE,,137-RA,2,6,5,7,3,0
P0ebf930aca13:study1,doi:10.1186/s12955-022-01998-8,10.1186/s12955-022-01998-8,2022,1,Evaluation of the EQ-5D-Y valuation protocol through an expert workshop,METHODS_RESEARCH,COMPLETED,RESULTS_REPORTED,IMPLEMENTATION_EVALUATION | METHOD_OR_PROTOCOL_QUALITY,,QUALITATIVE_INQUIRY,CROSS_SECTIONAL,NONCOMPARATIVE,NOT_APPLICABLE,,,,0,1,6,7,1,0
