publication_id,doi,pmid,pmcid,title,publication_year,publication_date,journal,publisher,article_type,open_access,licence_url,canonical_url,full_text_format,euroqol_support,support_scope,project_ids,n_projects,study_ids,primary_research_families,countries,eq_instruments,instruments,n_authors,n_findings,n_limitations,n_products,cited_by_count,citation_match_status,citation_retrieved_at,keywords,funding_statement,abstract
doi:10.1007/s11136-024-03754-5,10.1007/s11136-024-03754-5,39269578,PMC11541259,"The performance relationship between the EQ-5D-5L composite “Anxiety/Depression” dimension and anxiety and depression symptoms in a large, general population sample",2024,2024-09-13,Quality of Life Research,,research-article,1,https://creativecommons.org/licenses/by/4.0/,https://doi.org/10.1007/s11136-024-03754-5,JATS,explicit,This study was supported by the EuroQol Research Foundation (grant number: EQ Project 243-RA).,243-RA,1,Pc034700873bf:study_main,MEASUREMENT_PROPERTY_EVALUATION,Italy | Netherlands | Sweden | United Kingdom | United States,EQ-5D-5L,EQ-5D-5L | GAD-7 | Patient Health Questionnaire-9,6,8,4,0,4,EXACT,2026-08-27T00:00:00Z,,,"AbstractPurposeThis cross-sectional study aims to understand the relationship between responses on the Anxiety/Depression (A/D) dimension of the EQ-5D-5L and symptoms of anxiety and depression on the GAD-7 and PHQ-9 instruments. In doing so, we investigate the comparative performance of the dimension between diagnostic groups (i.e. anxiety (GAD-7); depression (PHQ-9); anxiety & depression versus none). We additionally investigate the discriminatory performance between sub-populations based on gender, age, education and self-reported chronic conditions.Methods19,902 general population participants completed a health survey in May/June 2020, from five European countries and the United States. Performance of A/D was calculated using the Area Under the Receiver Operating Characteristic curve (AUROC), and was compared to having anxiety (GAD-7 ≥ 8), depression (PHQ-9 ≥ 10) and both versus none for the total population and sub-populations. Several additional sensitivity analyses were conducted, including calculations of the optimal A/D cut-off.ResultsThe performance in the total sample was good (AUROC > 0.8) and did not differ significantly between diagnostic groups. The performance differed significantly between the age groups, with worse performance in the younger groups, and differed between those with a singular chronic condition, with worse performance in those indicating having an anxiety or depression disorder. The performance did not differ significantly by gender, education, nor total chronic conditions.ConclusionThe A/D dimension captures symptoms of anxiety, depression or both equally well. Performance is worse in the younger population. Interpretation in those with a self-reported anxiety or depression disorder should be further investigated. This is the first-of-its-kind large population sample performance analysis, where we present evidence that the performance of the A/D dimension differs between ages, and thus intra-age comparative results may be flawed.Supplementary InformationThe online version contains supplementary material available at 10.1007/s11136-024-03754-5.Keywords: Anxiety, Depression, Discriminatory performance, Psychometric properties, Differential item functioning, Optimal cut-off"
doi:10.1007/s11136-024-03765-2,10.1007/s11136-024-03765-2,39207629,,He/She/They - gender inclusivity in developing and using health-related questionnaires: a scoping review.,2025,2025,PubMed,,Journal Article; Scoping Review,0,,https://doi.org/10.1007/s11136-024-03765-2,PDF,explicit,The scoping review and the work reported in the paper.,1543-RA,1,P3abf7ff7ea7e:S1,EVIDENCE_SYNTHESIS,,EQ-5D-3L | EQ-5D-5L | EQ-5D-Y,EQ-5D-3L | EQ-5D-5L | EQ-5D-Y,7,6,2,0,7,EXACT,2026-08-27T00:00:00Z,,F4320324164,"PURPOSE: To ensure the recognition and participation of all potential respondents in health research, surveys and care, including LGBTQIA + broadly, and trans people, specifically, the use of inclusive language should be considered. This scoping review aimed to identify and describe strategies considered for gender inclusivity in development and use of health questionnaires and Patient Reported Outcomes Measures (PROMs). METHODS: A systematic search of peer reviewed publications between January 2000 and September 2022 was conducted in Scopus, ProQuest Central, Ovid Medline (PubMed and EBSCO). Two reviewers independently screened identified publications titles and abstracts, followed by full text screening and data extraction from eligible articles. RESULTS: The search of over 5000 publications, retained 18; most acknowledged gaps in representation and advocated for gender-inclusive language. Eight articles discussed exclusion from health care and health research for gender minority groups due to the use of gendered language. Improved reliability, validity and response rates were associated with the use of gender-neutral language in seven articles. Only one article reported finding irritation among cisgender males when non-binary gender response options were used. One paper, focussing on instruments for Rheumatoid Arthritis, discussed gaps in representation if diverse gender identities were not considered when developing PROMs. CONCLUSION: This scoping review points to the importance of adopting gender-inclusive language in health questionnaires and surveys to reduce the risk of excluding gender minority groups. Despite finding very few specific examples of how others have used gender-inclusive language in health questionnaires, many strengths of gender-inclusive language usage were identified."
doi:10.1007/s11136-024-03770-5,10.1007/s11136-024-03770-5,39269579,PMC11541319,The impact of demographic change on value set validity and obsolescence,2024,2024,Quality of Life Research,,research-article,1,https://creativecommons.org/licenses/by/4.0/,https://doi.org/10.1007/s11136-024-03770-5,JATS,explicit,"Financial support for the work reported in the article through EuroQol Research Foundation grant EQ Project 1612-RA; the funder had no role in study conduct, analysis, interpretation, manuscript preparation, or publication decisions.",1612-RA,1,Pa07704f2a3a8:S1,METHODS_RESEARCH,,EQ-5D-3L,EQ-5D-3L,1,4,3,0,3,EXACT,2026-08-27T00:00:00Z,Demographic trends | EQ-5D | Value set obsolescence | Value set redundancy | Value set validity,http://dx.doi.org/10.13039/501100006419EuroQol Research Foundation1612-RA,"PurposeTo investigate the contribution of demographic trends in countries’ age and gender composition to value set validity and obsolescence.MethodsTime-trade off (TTO) valuation data from 3 EQ-5D-3L value sets of 20 years or older from the United Kingdom, Japan, and the United States were re-analyzed using Bayesian heteroskedastic Tobit models with sex and age group-specific scale parameters. Original value sets were obtained by weighting the original preference structures with the countries’ original demographic composition at the time of the data collection. Updated value sets were created using the original preference structure weighted using the countries’ most recent demographic composition. The differences between the original and updated value sets were monitored and compared based on 95% credible intervals.ResultsThe gender and age composition of the investigated countries changed in all 3 countries over time. The modelled health state preferences also depended on the respondents’ gender and age. However, the overall impact of this demographic change on the investigated value sets was negligeable in all 3 countries and this finding was robust to accounting for the impact of ethnicity trends in the United States.ConclusionValue sets may become redundant and obsolete for various reasons, but demographic change was not identified as a contributing factor.Supplementary InformationThe online version contains supplementary material available at 10.1007/s11136-024-03770-5."
doi:10.1007/s11136-024-03817-7,10.1007/s11136-024-03817-7,39461931,PMC11865160,Testing the psychometric characteristics of EQ-5D-5L and respiratory bolt-ons using a sample of the Australian population,2025,2025,Quality of Life Research,,research-article,1,https://creativecommons.org/licenses/by/4.0/,https://doi.org/10.1007/s11136-024-03817-7,JATS,explicit,The research reported in the paper.,466-RA,1,Pf86dde07ac65:s1,MEASUREMENT_PROPERTY_EVALUATION,Australia,"EQ VAS | EQ-5D-5L breathing bolt-on | EQ-5D-5L physical activity limitations bolt-on | EQ-5D-5L, English, Australia","EQ VAS | EQ-5D-5L breathing bolt-on | EQ-5D-5L physical activity limitations bolt-on | EQ-5D-5L, English, Australia | Modified Medical Research Council Dyspnea Scale | WHODAS 2.0, 12-item version",5,6,4,0,6,EXACT,2026-08-27T00:00:00Z,Bolt-on | Health related quality of life | Respiratory | Validity,University of Technology Sydney,"PurposeThe EQ-5D has been used to assess health related quality of life (HRQoL) in respiratory conditions. However, the core descriptive system may not be sensitive to all the HRQoL impacts of these conditions. To increase the sensitivity of the descriptive system, two respiratory specific bolt-ons, have been developed. Psychometric assessment of the bolt-ons in comparison to other validated instruments is required to facilitate their use. Therefore, the aim of this study is to test the psychometric characteristics of the EQ-5D-5L + R using a large dataset collected in Australia.MethodsA cross-sectional online survey was used to recruit adult respondents (≥ 18 years) representative of the Australian population. Descriptive and psychometric analyses were used to understand the performance of the EQ-5D-5L and bolt-ons in comparison to other validated instruments. The construct validity was estimated using correlations. Known-group validity was tested to determine the sensitivity of the instruments to differences across different severity groups.ResultsOverall 10,033 respondents (52% female) completed the survey, of which 300 had a respiratory condition. There were moderate to high correlation between bolt-ons with EQ-5D-5L and WHODAS. The EQ-5D-5L + bolt-ons slightly reduced the ceiling effect in comparison to the EQ-5D-5L. The effect size was larger for people with respiratory conditions than people who did not have a respiratory condition.ConclusionThe results show that adding the respiratory bolt-on to the EQ-5D-5L might slightly improve the instruments descriptive sensitivity. The choice of bolt-on may be driven by whether overall problems or limitations are being measured.Supplementary InformationThe online version contains supplementary material available at 10.1007/s11136-024-03817-7."
doi:10.1007/s11136-024-03821-x,10.1007/s11136-024-03821-x,39470874,,Quality of life of inflammatory bowel diseases patients in france with EQ-5D-5 L: the QALY-MICI study.,2025,2025,PubMed,,Journal Article,0,,https://doi.org/10.1007/s11136-024-03821-x,PDF,explicit,The QALY-MICI study and the work reported in this paper; funding was provided as an unrestricted research grant to ESSEC Business School.,20190020,1,Pc5fa68dfcef0:S1,HEALTH_OUTCOME_RESEARCH,France,EQ VAS | EQ-5D-5L,EQ VAS | EQ-5D-5L | Harvey-Bradshaw Index | Short Inflammatory Bowel Disease Questionnaire | Simple Clinical Colitis Activity Index,6,10,6,1,3,EXACT,2026-08-27T00:00:00Z,,F4320309941 | F4320323856 | F4320337415,"This study aimed to document utility values and the Visual Analog Scale (VAS) with the 5-level version of the EQ-5D questionnaire in a large sample of patients with inflammatory bowel disease (IBD), including Crohn's disease (CD) and ulcerative colitis (UC).
QALY-MICI was a cross-sectional survey across three sources in France. Data were collected between 2019 and 2022 for patients 18 and over. The EQ-5D-5 L, the EQ-VAS, the Short Inflammatory Bowel Disease Questionnaire (SIBDQ), the Harvey-Bradshaw Index (HBI) for CD, and the Walmsley Index for UC (SCCAI) were collected.
A total of 2,841 patients aged over 18 were recruited (1785 with CD, 1056 with UC). The mean age was 40.2 (SD 14.3). The time since diagnosis was 6 years and over for 61.9% of patients. The most impacted dimensions were usual activities, anxiety/ depression, and pain/ discomfort. The mean utility value was 0.863 (SD 0.172) versus 0.905 (SD 0.158) in the French population (p = 0.007). The mean VAS value was 68 (SD 19.2) versus 73.4 (SD 22.2) in the general population (p = 0.016). Utility values and VAS were similar for CD and UC and higher for men. There was a strong positive correlation between utility values, the VAS, and the SIBDQ score, and a negative correlation between the HBI and the SCCAI. The SIBDQ score and disease activity were the main predictors of utility and VAS.
The QALY-MICI is, to our knowledge, the first study documenting utility values and VAS using the EQ-5D-5 L questionnaire on a large sample, with a comparison to the general population."
doi:10.1007/s11136-024-03837-3,10.1007/s11136-024-03837-3,39565555,PMC11865167,EQ-5D-5L value set for Norway: a hybrid model using cTTO and DCE data,2024,2024-11-20,Quality of Life Research,,research-article,1,https://creativecommons.org/licenses/by/4.0/,https://doi.org/10.1007/s11136-024-03837-3,JATS,explicit,EuroQol Research Foundation funding applied to interview and training materials used in the reported valuation study.,1507-VS,1,P04adc98177a2:S1,VALUE_SET_DEVELOPMENT,Norway,EQ-5D-5L,EQ-5D-5L,4,8,3,2,14,EXACT,2026-08-27T00:00:00Z,,,"AbstractPurposeTo develop the Norwegian value set for the EQ-5D-5L based on interviews with a representative sample of the Norwegian adult population.MethodsRandom and quota sampling were used to recruit the sample of adults (age> 18 years) representative of the Norwegian general population. Data collection followed EQ-VT 2.1 undertaken before and after the COVID-19 pandemic from November 2019 to December 2022, using PC-assisted and video conferencing interviews, respectively. Each respondent valued 10 health states using composite time trade-off (cTTO) and 7 health states using a discrete choice experiment (DCE). Different statistical models were assessed for logical consistency and predictive accuracy using cTTO and DCE data alone or in combination as hybrid models.ResultsOf the 1,321 respondents, 1,237 met inclusion criteria. All statistical models demonstrated logical consistency. The weighted hybrid model combining both cTTOand DCE data was preferred and had the highest predictive accuracy. Predicted values ranged from -0.453 to 1, and the dimension of anxiety/depression was the most highly valued by respondents, followed by pain/discomfort, self-care, mobility, and usual activities. These findings are not dissimilar to those for most Western European countries, and regression coefficients are closest to those for other Scandinavian countries.ConclusionThis study provides the Norwegian value set for the EQ-5D-5L based on health state values obtained from members of the adult general population in Norway. This is an important contribution to economic evaluation and the broader application ofthe EQ-5D-5L in Norway including clinical and health services research, and quality measurement.Supplementary InformationThe online version contains supplementary material available at 10.1007/s11136-024-03837-3.Keywords: EQ-5D-5L, General population, Outcomes, Quality of life, Utilities, Value set"
doi:10.1007/s11136-024-03851-5,10.1007/s11136-024-03851-5,39579270,PMC11982117,A qualitative systematic review of the impact of hearing on quality of life,2025,2025,Quality of Life Research,,review-article,1,https://creativecommons.org/licenses/by/4.0/,https://doi.org/10.1007/s11136-024-03851-5,JATS,explicit,"Research, authorship, and/or publication of this article",116-RA,1,Pd5ee3ed10ae4:study_1,EVIDENCE_SYNTHESIS,Australia | Brazil | Canada | China | United Kingdom | United States,EQ-5D,Brief ICF Core Set for Hearing Loss | EQ-5D,5,8,5,1,27,EXACT,2026-08-27T00:00:00Z,Health-related quality of life | Hearing disorders | Patient reported outcome measures | Qualitative research,http://dx.doi.org/10.13039/501100006419EuroQol Research Foundation1162020-RASampsonChris,"PurposeHearing loss, deafness, and other hearing-related conditions can significantly impact quality of life; numerous qualitative studies have sought to describe these impacts. Synthesis of these findings may provide additional or more robust insights.MethodsA qualitative systematic review of studies reporting qualitative data relating to the impact of hearing problems on adults’ health-related quality of life. A subset of studies was included in the review and subsequently analysed using a thematic approach.ResultsThe literature search yielded 129 studies, of which 22 met our inclusion criteria and were included for analysis. The included studies, primarily from Australia, the UK, and the USA, involved approximately 450 participants with various hearing conditions. Semi-structured interviews and focus groups were the most common data collection methods, with thematic analysis being the predominant analytical approach. Three overarching categories of descriptive themes were identified: Physical, Mental, and Social. Physical encompassed sound localization, sound clarity, speech, and physical fatigue. Social included relationships, isolation, communication, independence, work function, social stigma, and confidence. Mental encompassed depression, anxiety, listening effort, mental fatigue, fear, and identity. The identified themes shed light on the diverse domains of health-related quality of life affected by hearing conditions.ConclusionDifferences in hearing function impact upon people’s health-related quality of life in a variety of ways relating to physical, mental, and social aspects of health, and these themes are clearly demonstrated across qualitative studies. These results will inform the development of hearing-specific questionnaire items for with the EQ-5D descriptive system, a commonly used patient-reported outcome measure.Supplementary InformationThe online version contains supplementary material available at 10.1007/s11136-024-03851-5."
doi:10.1007/s11136-024-03856-0,10.1007/s11136-024-03856-0,39602020,,Health utilities used in oncology cost-utility analyses: a registry-based analysis,2024,2024,Quality of Life Research,,article,0,,https://doi.org/10.1007/s11136-024-03856-0,PDF,explicit,The research grant funded this study and the work reported in the paper.,2016540,1,P80071270ac1b:S1,EVIDENCE_SYNTHESIS,,EQ-5D,15D | Assessment of Quality of Life | EQ-5D | Health Utilities Index | SF-6D,4,8,2,0,1,EXACT,2026-08-27T00:00:00Z,,F4320323856,"Background Health utility is a key input used to perform cost-utility analysis (CUA), which is increasingly used to inform resource allocation decisions. Objective To identify the sources and elicitation methods of health utilities used in CUAs in oncology. Methods We used the Tufts Cost-Effectiveness Analysis registry to identify oncology CUAs published in Medline between 1976 and 2021. Eligible CUAs had to include an oncology population (based on ICD-10 codes), report health utilities, and be published in English. The references of cited health utilities were traced to identify the original health utility study and the method of utility elicitation. Characteristic of included CUAs were summarized and the methods to derive health utilities were compared. Results A total of 1512 CUAs in oncology were identified. The majority of CUAs (n = 1428, 94.4%) were model-based. Malignant neoplasm of breast and female genital organs was the most common population considered (n = 424, 28.0%). Among these CUAs, 8714 health utilities were identified. Upon review, the sources of 2096 (24.1%) health utilities could not be traced. Of the remaining 6618 health utilities, 1718 (26.0%) were obtained from original health utility study embedded in CUA in which expert opinion (n = 547, 31.8%) or EQ-5D (n = 479, 27.9%) was most frequently used. The 4900 health utilities (74.0%) that were cited from external studies were most often derived using the standard gamble (n = 1258, 25.7%) or EQ-5D (n = 1190, 24.3%). Conclusion Published health utilities are widely used in oncology CUAs, especially for model-based analyses. However, the identification, selection, and use of health utilities is suboptimal."
doi:10.1007/s11136-024-03875-x,10.1007/s11136-024-03875-x,39673587,PMC11982113,"Exploring the content validity of the EQ-5D-5L and four bolt-ons (skin irritation, self-confidence, sleep, social relationships) in atopic dermatitis and chronic urticaria",2025,2025,Quality of Life Research,,research-article,1,https://creativecommons.org/licenses/by-nc-nd/4.0/,https://doi.org/10.1007/s11136-024-03875-x,JATS,explicit,The funded scope was the reported study of EQ-5D-5L and four bolt-on dimensions in adults with atopic dermatitis or chronic urticaria.,1475-RA,1,P046968c0295e:S1,MEASUREMENT_PROPERTY_EVALUATION,United Kingdom,"EQ VAS | EQ-5D-5L self-confidence bolt-on | EQ-5D-5L skin irritation bolt-on | EQ-5D-5L sleep bolt-on | EQ-5D-5L social relationships bolt-on | EQ-5D-5L, English, United Kingdom","EQ VAS | EQ-5D-5L self-confidence bolt-on | EQ-5D-5L skin irritation bolt-on | EQ-5D-5L sleep bolt-on | EQ-5D-5L social relationships bolt-on | EQ-5D-5L, English, United Kingdom | Patient-Oriented Eczema Measure | Urticaria Control Test",5,9,4,0,11,EXACT,2026-08-27T00:00:00Z,Atopic dermatitis | Bolt-ons | Chronic urticaria | Content validity | EQ-5D-5L | Itch | Self-confidence,http://dx.doi.org/10.13039/501100006419EuroQol Research Foundation1475GallopKaty,"BackgroundThe objective of this study was to assess the content validity of the EQ-5D-5L and four bolt-ons: skin irritation, self-confidence, social relationships and sleep, for people with atopic dermatitis (AD) and chronic urticaria (CU).MethodsAdults with AD or CU in the United Kingdom, with varying levels of severity, participated in either online or in-person semi-structured interviews. During the interviews, participants were first asked about the symptoms and impacts of their condition. They were then asked to complete the EQ-5D-5L and four bolt-ons using ‘think-aloud’ and retrospective probing. Interviews were recorded, transcribed, then analysed using content and thematic analysis.ResultsThirty participants (N = 15 with AD; N = 15 with CU) were interviewed. Participants spontaneously reported itch (AD: 100%; CU: 93%), self-confidence (AD: 100%, CU: 47%), sleep (AD: 53%; CU: 53%), and social relationships (AD: 27%; CU: 60%). The skin irritation bolt-on was the most important or relevant dimension for 60% of AD and 73% of CU participants. For all participants, skin irritation and self-confidence bolt-ons improved the EQ-5D-5L’s comprehensiveness. Social relationships was more frequently ranked as the least relevant among the other bolt-ons.ConclusionsThis study assessed the content validity of four EQ-5D-5L bolt-ons within two patient populations. Skin irritation, self-confidence and sleep bolt-ons showed good evidence of content validity for people with AD and CU, providing support for their application in other skin conditions. The value of a social relationships bolt-on was less clear. Quantitative psychometric research is recommended to further support the use of bolt-ons in CU and AD.Supplementary InformationThe online version contains supplementary material available at 10.1007/s11136-024-03875-x."
doi:10.1007/s11136-025-03917-y,10.1007/s11136-025-03917-y,39946036,PMC12119704,Evaluating the content validity of the EQ-5D-Y for Chinese children and adolescents,2025,2025,Quality of Life Research,,research-article,1,https://creativecommons.org/licenses/by-nc-nd/4.0/,https://doi.org/10.1007/s11136-025-03917-y,JATS,explicit,"This work was funded by EuroQol Foundation; the sponsor had no role in study design, data collection or management, analysis, interpretation, or publication decisions.",401-RA,1,P1ef2252322b4:S1,MEASUREMENT_PROPERTY_EVALUATION,China,"EQ VAS | EQ-5D-Y-3L, Simplified Chinese, China","EQ VAS | EQ-5D-Y-3L, Simplified Chinese, China",8,8,3,0,1,EXACT,2026-08-27T00:00:00Z,Children | China | Content validity | EQ-5D-Y-3L | Pediatric | Quality of life,http://dx.doi.org/10.13039/501100006419EuroQol Research Foundation401-RAWangPei,"PurposeHealth-related quality of life (HRQoL) is key for assessing healthcare outcomes in children and adolescents. The EQ-5D-Y-3 L, adapted from the adult version, is widely used to measure HRQoL among 8–18 year-olds. Despite its effectiveness, concerns about its content validity persist, particularly in Chinese populations. This study evaluates the EQ-5D-Y’s content validity in China, focusing on the comprehensiveness, relevance, and comprehensibility of its dimensions among both healthy and diseased children.MethodsA qualitative study was conducted with 30 participants (15 healthy, 15 diseased) aged 8–18 in Shanghai, China. The interviews explored participants’ perspectives on the EQ-5D-Y’s five dimensions, guided by the World Health Organization’s (WHO) definition of health. Data were analyzed using a framework approach, with response challenges identified through an adapted model of response issues.ResultsA total of 126 codes were generated, with 87 retained and categorized into three themes: physical (n = 16), mental (n = 30), and social health (n = 4). While responses reflected all five EQ-5D-Y dimensions, social health was notably mentioned as crucial but was absent in the EQ-5D-Y. Participants suggested enhancements in mental health coverage and more specific examples for the current dimensions.ConclusionThe EQ-5D-Y is relevant for assessing HRQoL in Chinese children and adolescents but requires improvements, especially in incorporating social health. Enhancing question clarity and specificity could also improve its effectiveness. These findings guide potential refinements to better capture the health experiences of children.Supplementary InformationThe online version contains supplementary material available at 10.1007/s11136-025-03917-y."
doi:10.1007/s11136-025-03925-y,10.1007/s11136-025-03925-y,39998755,PMC12119780,"Associations between financial toxicity, health-related quality of life, and well-being in Indonesian patients with breast cancer",2025,2025,Quality of Life Research,,research-article,1,https://creativecommons.org/licenses/by/4.0/,https://doi.org/10.1007/s11136-025-03925-y,JATS,explicit,Data collection for the reported study was funded by the EuroQol Research Foundation (1644-RA).,1644-RA,1,P05483abdfe8e:S1,HEALTH_OUTCOME_RESEARCH,Indonesia,"EQ VAS | EQ-5D-5L, Bahasa Indonesia | EQ-HWB, Bahasa Indonesia | EQ-HWB-S","EQ VAS | EQ-5D-5L, Bahasa Indonesia | EQ-HWB, Bahasa Indonesia | EQ-HWB-S | Indonesian FACIT-COST v2 | Objective financial toxicity coping-strategy questions",5,7,6,0,6,EXACT,2026-08-27T00:00:00Z,Breast cancer | EQ-5D | EQ-HWB | Financial toxicity | Heath-related quality of life | Well-being,Corvinus University of Budapest,"ObjectivesFinancial toxicity (FT) is the impairment of financial well-being experienced by patients with cancer, categorized into subjective (SFT) and objective (OFT) forms. This study aimed to investigate the associations between FT, health-related quality of life, and overall well-being in patients with breast cancer.MethodsWe analyzed baseline data from a single-center longitudinal study in Indonesia. Patients completed the EQ-5D-5L, EQ Health and Wellbeing (EQ-HWB), COST: A FACIT Measure of Financial Toxicity (FACIT-COST, for measuring SFT), and OFT-related questions. Ordinal logistic regression was used to examine the associations between FT and selected EQ-5D-5L and EQ-HWB items. Multivariable linear regression was used to assess the associations of FT and EQ-5D-5L and EQ-HWB-S index values. The main regression models were adjusted for socio-demographic and clinical factors such as age, income, metastasis status, and symptoms.ResultsThe survey included 300 female patients with breast cancer undergoing treatment (mean age = 51). Overall, 21% experienced high SFT (FACIT-COST ≤ 17.5) and 51% reported any OFT (e.g., incurring debt). Adjusted for covariates, higher SFT was associated with more problems in EQ-5D-5L pain/discomfort and anxiety/depression, and in EQ-HWB exhaustion, anxiety, sadness/depression, frustration, pain, and discomfort. OFT was associated with more problems in exhaustion. Higher SFT was associated with lower EQ-5D-5L and EQ-HWB-S index values, with explained variances of 46.3% for EQ-HWB-S and 31.2% for EQ-5D-5L.ConclusionsThis study is the first to explore the associations between financial toxicity, EQ-5D-5L, and EQ-HWB outcomes in breast cancer. Our findings provide insight into the cancer burden and its link to health and well-being.Supplementary InformationThe online version contains supplementary material available at 10.1007/s11136-025-03925-y."
doi:10.1007/s11136-025-03930-1,10.1007/s11136-025-03930-1,40019677,PMC12119695,Valuing health‐related quality of life: an EQ‐5D‐5L value set for Morocco,2025,2025-02-28,Quality of Life Research,,research-article,1,https://creativecommons.org/licenses/by-nc-nd/4.0/,https://doi.org/10.1007/s11136-025-03930-1,JATS,explicit,Funding applies to the Moroccan EQ-5D-5L valuation study reported in the paper.,1411-VS,1,Pdd3d4c609f52:study_morocco_5l,VALUE_SET_DEVELOPMENT,Morocco,EQ VAS | EQ-5D-5L,EQ VAS | EQ-5D-5L,13,8,2,1,6,EXACT,2026-08-27T00:00:00Z,,,"AbstractPurposeThere is a growing interest in Health Technology Assessment (HTA) in Morocco. A national EQ-5D-5L value set would allow for the computation of Quality Adjusted Life Years (QALYs) in economic evaluations of healthcare interventions to support decision-making. This study aimed to develop a Moroccan EQ-5D-5L value set based on data from a representative sample of the Moroccan adult general population.MethodsA Moroccan representative sample of adults was recruited using stratified quota sampling based on gender, age category, and place of residence. Data were collected between November 2022 and December 2023 using the international EuroQol valuation protocol, EQ-VT version 2.6.1. This protocol includes two elicitation techniques: the composite time trade-off (cTTO) and the discrete choice experiment (DCE). cTTO and DCE data were modeled using a heteroskedastic Tobit model and a conditional logit model, respectively. In addition, these models were combined using a hybrid model.ResultsA total of 976 respondents were included in the final analysis. The hybrid heteroskedastic model was considered the preferred model. The predicted utility values ranged from −1.492 for the worst health state (55555) to 1 for full health (11111), where the two mildest impaired states (11211 and 21111) had a utility value of 0.979. Pain/discomfort had the largest effect on health utility values, followed by anxiety/depression, mobility, self-care and usual activities.ConclusionMorocco is the third country in the Middle East and North Africa (MENA) region with an EQ-5D-5L value set. This study supports the use of EQ-5D-5L data for healthcare decision-making in the Moroccan context.Supplementary InformationThe online version contains supplementary material available at 10.1007/s11136-025-03930-1.Keywords: EQ-5D-5L, cTTO, DCE, Value set, EQ-VT, Utility"
doi:10.1007/s11136-025-03947-6,10.1007/s11136-025-03947-6,40285933,PMC12274267,Exploring the origin and conceptual framework of the EQ VAS,2025,2025,Quality of Life Research,,review-article,1,https://creativecommons.org/licenses/by/4.0/,https://doi.org/10.1007/s11136-025-03947-6,JATS,explicit,"The work reported in the paper, including the literature and grey-literature review of the EQ VAS origin and conceptual framework.",329-RA,1,P010b702a1a0b:study_1,EVIDENCE_SYNTHESIS,,EQ VAS,EQ VAS,4,10,2,0,11,EXACT,2026-08-27T00:00:00Z,EQ VAS | EQ-5D | Framework | VAS | Visual analogue scale,http://dx.doi.org/10.13039/501100006419EuroQol Research FoundationRA 329RA 329RA 329RA 329ChuangLing-HsiangKindPaulKohlmannThomasFengYou-Shan | Universitätsklinikum Tübingen (8868),"PurposeThe objective of this paper is to report on the origin of the EQ VAS and current understanding of the EQ VAS conceptual framework via a literature search based on the snowball approach.MethodsA review was conducted in two steps: (1) a citation search and (2) a search of the EuroQol group’s grey literature.ResultsThe findings indicate that the EQ VAS was originally designed as a warm-up task for valuing hypothetical health states. The characters of the EQ VAS reflect its valuation origin, such as drawing a line (the previous version), vertical orientation, and choice of end labels. None of these design elements of the EQ VAS were chosen for the purpose of measuring self-reported overall health. Despite this, the EQ VAS proves to be a valid self-reported health status measure with its psychometric properties demonstrated in various general and clinical populations. We found a dearth of literature addressing the conceptual framework of EQ VAS as a measure of self-rated overall health.ConclusionWith its potential as a powerful measure of overall health, further research into EQ VAS design, conceptual framework and empirical function is warranted.Supplementary InformationThe online version contains supplementary material available at 10.1007/s11136-025-03947-6."
