person_id,display_name,family_name,given_names,orcid,openalex_id,entity_kind,identity_status,euroqol_member,n_projects_as_pi,n_publications,first_publication_year,last_publication_year
group:author:aaeec9fc219d40e6,on behalf of the Canadian EQ-5D-5L Valuation Study Group,Group,on behalf of the Canadian EQ-5D-5L Valuation Study,,,GROUP,PUBLICATION_LOCAL,0,0,1,2016,2016
group:author:bdfc24ff835f39bb,the EQ-DAPHNIE Project TeamJohnsonJeffreyJanssenMathieu F.Al SayahFatimaBaileyHenryGhandiMihirGolickiDominikGutackerNilsMulhernBrendenPurbaFredrickScottDesSullivanTrudyYangZhihaoZarateVictorShortHilary,SayahFatimaBaileyHenryGhandiMihirGolickiDominikGutackerNilsMulhernBrendenPurbaFredrickScottDesSullivanTrudyYangZhihaoZarateVictorShortHilary,the EQ-DAPHNIE Project TeamJohnsonJeffreyJanssenMathieu F.Al,,,GROUP,PUBLICATION_LOCAL,0,0,1,2025,2025
group:author:cbd1a02c9aa67fea,The EUROSCA study group,group,The EUROSCA study,,,GROUP,PUBLICATION_LOCAL,0,0,2,2023,2024
group:author:d0625b503a150c09,For the OPTIMA Research Group within the Canadian Research Initiative in Substance Misuse,Misuse,For the OPTIMA Research Group within the Canadian Research Initiative in Substance,,,GROUP,PUBLICATION_LOCAL,0,0,1,2023,2023
group:author:ebe6d290156a1f8e,The Swedish Quality Register (SWEQR) Study Group,Group,The Swedish Quality Register (SWEQR) Study,,,GROUP,PUBLICATION_LOCAL,0,0,3,2021,2023
group:quokka-project-team,in collaboration with the Quality of Life in Kids: Key Evidence to Strengthen Decisions in Australia (QUOKKA) Project Team,Team,in collaboration with the Quality of Life in Kids: Key Evidence to Strengthen Decisions in Australia (QUOKKA) Project,,,GROUP,EXACT_CANONICAL_NAME,0,0,11,2021,2026
person:author:04f5bbabfc3858cf,Vincent Issac Lau,Lau,Vincent Issac,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:05c1db4000c637b3,R. Usha S. Rajah,S. Rajah,R. Usha,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:07d8e60b53c953b5,Eliza L Y Wong,Wong,Eliza L Y,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:08d5fca025dbb4b5,Jeffrey A. Johnson,Johnson,Jeffrey A.,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:0a7da3a0031576c7,Gabriela Schmajuk,Schmajuk,Gabriela,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:14fa1848528759e1,Ian Porter,Porter,Ian,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:167a5c511bbc60aa,Jose M. Valderas,Valderas,Jose M.,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:1afec391499f6ef2,IMPACT HTA HRQoL Group,Group,IMPACT HTA HRQoL,,,PERSON,PUBLICATION_LOCAL,0,0,1,2021,2021
person:author:1c109c0619453b71,Guoqing Hu,Hu,Guoqing,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:1c4e52cf799a6a05,Sebastià Josep Santaeugènia-González,Santaeugènia-González,Sebastià Josep,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:1df2f69ead5d3484,F W Asselbergs,Asselbergs,F W,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:2292d00fe892e23b,Abraham G Welie,Welie,Abraham G,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:26bdcc3aec7ce5d1,S R B Heymans,Heymans,S R B,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:295fc36031339ef3,Magnus Bäck,Bäck,Magnus,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:29889f395744eb5a,Holger Sültmann,Sültmann,Holger,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:2a92e19bfebde5e3,Annika L. Pickard,Pickard,Annika L.,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:2da4b109cc451b73,K. Rand,Rand,K,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:2e8dc0a43473e27f,Jae-Hong Kim,Kim,Jae-Hong,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:31e7a8042cb9f11c,Martin Sedlmayr,Sedlmayr,Martin,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:32ec0654a558307c,Kristiann Heesch,Heesch,Kristiann,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:3340f5a96f6cad71,Marià Monzó Planella,Monzó Planella,Marià,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:36d04600f865a8cb,Vitaly Omelyanovskiy,Omelyanovskiy,Vitaly,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:430e34508d074693,Jihye Kim,Kim,Jihye,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:43b5330c15491f12,Vlada Fediaeva,Fediaeva,Vlada,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:471296af073a364c,Luo Nan,Nan,Luo,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:4a087e8b3893b9ca,Nadine K Zawadzki,Zawadzki,Nadine K,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:4c68d40d466f46cc,M van Smeden,van Smeden,M,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:4e9d4c00e6eaa06f,Deborah J Cook,Cook,Deborah J,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:510dbf53269b6316,Maria Albanese,Albanese,Maria,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:542dab38e49431a9,Thomas Poder,Poder,Thomas,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:55dde72cf6a0f082,F J H Magdelijns,Magdelijns,F J H,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:56e3e7527ca5b98a,Vu Quynh Mai,Mai,Vu Quynh,,,PERSON,PUBLICATION_LOCAL,0,0,1,2022,2022
person:author:56fbda595b76316d,J. Cabases,Cabases,J,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:570af4ddc46bbdd0,Alemu Belayneh,Belayneh,Alemu,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:5982f0ae74798419,Sergio A Useche,Useche,Sergio A,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:5a1e6c2ff7288e4a,Jan van Busschbach,van Busschbach,Jan,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:5bda6e88deb26507,Pietro Ferrara,Ferrara,Pietro,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:60ec4dab5be41517,M. F. Janssen,Janssen,M. F.,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:6220877c8b5cb719,Christopher Booth,Booth,Christopher,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:633de7763b1e7992,Chao Li,Li,Chao,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:63d5f0ed10c320a6,Amy Yuen-Kwan Wong,Wong,Amy Yuen-Kwan,,,PERSON,PUBLICATION_LOCAL,0,0,1,2026,2026
person:author:664c4775ef520585,Nuriya Musina,Musina,Nuriya,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:6690b0e64e1460b7,О. В. Благова,Благова,О. В.,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:6cd985f6f0cbaaf6,John E. Brazier,Brazier,John E.,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:6f31e646c54d2294,Louise Maher,Maher,Louise,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:700484d52b8adc8a,Max Pini,Pini,Max,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:70cde7bfd804505e,Morten Jensen,Jensen,Morten,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:722e056d02f74fe6,Amy Y K Wong,Wong,Amy Y K,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:72d930afab4f1eae,Abby Palmer,Palmer,Abby,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:7a1c32524dab6839,Carla García-Lourve,García-Lourve,Carla,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:7e0b4e9fb90167f4,Tamara Oser,Oser,Tamara,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:877ba26f48fdc320,Songlin He,He,Songlin,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:891482c4b59b9005,R Tieleman,Tieleman,R,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:8952eb2b5c507b7d,I C C van der Horst,van der Horst,I C C,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:8ecfe8010f2ea049,Aliah Sagar,Sagar,Aliah,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:8f027de2f7985f54,"Rodriguez, Rocio",Rocio,"Rodriguez,",,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:97cd300dbe0ba5d9,Riccardo Polosa,Polosa,Riccardo,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:9f031a806b144cb4,Xavier Badia,Badia,Xavier,,,PERSON,PUBLICATION_LOCAL,0,0,1,2010,2010
person:author:a29b130a5bcf7a7f,Vicky He,He,Vicky,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:a4d1c7099233f576,Cathrine Jensen,Jensen,Cathrine,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:a52c22deab279a5d,Rajesh Raj,Raj,Rajesh,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:a54e05ad065b9db8,Penny Richards Fowler,Fowler,Penny Richards,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:aa563b557fb89d23,Rick Sawatzky,Sawatzky,Rick,,,PERSON,PUBLICATION_LOCAL,0,0,1,2026,2026
person:author:af6a0f8780a8f318,Ana M. Santos,Santos,Ana M.,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:b0bbdab830b5a8d0,Tanya Wolfe,Wolfe,Tanya,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:b27c6ab473e42c53,Ruinan Xie,Xie,Ruinan,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:bbae8445a87454e0,Emmanuel S Antonarakis,Antonarakis,Emmanuel S,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:bc53e84934e0c11f,Maria Donata Orfei,Orfei,Maria Donata,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:bc996c2164448fef,Gunther Eysenbach,Eysenbach,Gunther,,,PERSON,PUBLICATION_LOCAL,0,0,1,2019,2019
person:author:c06c8a0619570668,Lucinda Siyun Tan,Tan,Lucinda Siyun,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:c2c7c9db944b322e,Salah A Mohamed,Mohamed,Salah A,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:c3b9eeb785d2e173,Paul B Tchounwou,Tchounwou,Paul B,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:c571b7feeee91605,Mignon McCullogh,McCullogh,Mignon,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:d09a4fee156ef88f,Jie Wu,Wu,Jie,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:d52b42f0eda2590e,The GOAL Trial Investigators,Investigators,The GOAL Trial,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:d98953afb0bfc94b,Venera Tomaselli,Tomaselli,Venera,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:da3d0dc509240fa3,Susan Jowett,Jowett,Susan,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:e1a19193fb941b7c,Laura Duncan,Duncan,Laura,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:e2f3cde5d43d67a3,X Badia,Badia,X,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:e85b4fe322304f0f,Xin Hong,Hong,Xin,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:ebebfab3aff77b15,Carolina Burgos Díez,Burgos Díez,Carolina,,,PERSON,PUBLICATION_LOCAL,0,0,1,2020,2020
person:author:ee4875b298a58c23,Grupo ATDOM,ATDOM,Grupo,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:f28096098d5c8c73,Unknown group author,author,Unknown group,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:f594e9ab74a6b821,M Linschoten,Linschoten,M,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:f5f65be78a6a7cc2,Luciana Albano,Albano,Luciana,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:f71bb2323624605d,Ziran Yin,Yin,Ziran,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:f72e22bbbf2f349a,"Yang, Zhihao",Zhihao,"Yang,",,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:f9e85aa8b2ca48a1,Kim Rand-Hendriksen,Rand-Hendriksen,Kim,,,PERSON,PUBLICATION_LOCAL,0,0,2,2017,2019
person:author:fcf69833eab288a1,Paul Tchounwou,Tchounwou,Paul,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:author:ffa7c3c268f90b52,Ilana Ackerman,Ackerman,Ilana,,,PERSON,PUBLICATION_LOCAL,0,0,0,,
person:eqmember:17787,Abraham Gebregziabiher,Gebregziabiher,Abraham,0000-0003-4661-7287,A5061701004,PERSON,PROFILE_ACCEPTED,1,10,4,2019,2024
person:eqmember:17789,Agota Szende,Szende,Agota,0000-0002-5880-3354,A5002095623,PERSON,PROFILE_ACCEPTED,1,2,2,2018,2023
person:eqmember:17790,Aki Tsuchiya,Tsuchiya,Aki,0000-0003-4245-5399,A5015417862,PERSON,PROFILE_ACCEPTED,1,3,14,2005,2026
person:eqmember:17791,Andrew Lloyd,Lloyd,Andrew,0000-0002-7597-6556,A5031114648,PERSON,PROFILE_ACCEPTED,1,3,14,2011,2025
person:eqmember:17793,Anna Krabbe-Lugner,Krabbe-Lugner,Anna,,A5047866823,PERSON,PROFILE_ACCEPTED,1,1,1,2020,2020
person:eqmember:17795,Arto Ohinmaa,Ohinmaa,Arto,0000-0002-7094-1573,A5087246819,PERSON,PROFILE_ACCEPTED,1,2,19,2015,2026
person:eqmember:17797,Ataru Igarashi,Igarashi,Ataru,0000-0001-6307-6916,A5071771037,PERSON,PROFILE_NOT_ACCEPTED_FOR_DISCOVERY,1,0,5,2016,2022
person:eqmember:17798,Barbara Spady,Spady,Barbara,0000-0001-5674-4795,A5032609556,PERSON,PROFILE_ACCEPTED,1,0,0,,
person:eqmember:17799,Ben Van Hout,Hout,Ben Van,0000-0001-9698-6094,A5032690231,PERSON,PROFILE_ACCEPTED,1,2,12,2012,2023
person:eqmember:17803,Bernhard Michalowsky,Michalowsky,Bernhard,0000-0002-3425-0089,A5088093819,PERSON,PROFILE_ACCEPTED,1,6,13,2021,2026
person:eqmember:17805,Bram Roudijk,Roudijk,Bram,0000-0001-5000-0875,A5028508726,PERSON,PROFILE_ACCEPTED,1,7,45,2017,2026
person:eqmember:17807,Brendan Mulhern,Mulhern,Brendan,0000-0003-3656-8063,A5090013218,PERSON,PROFILE_ACCEPTED,1,13,78,2014,2026
person:eqmember:17809,Caitlyn Solem,Solem,Caitlyn,,A5090387330,PERSON,PROFILE_ACCEPTED,1,0,0,,
person:eqmember:17811,Carlos Wong,Wong,Carlos,0000-0002-6895-6071,A5041610413,PERSON,PROFILE_ACCEPTED,1,6,9,2019,2026
person:eqmember:17815,Chris Sampson,Sampson,Chris,0000-0001-9470-2369,A5002636040,PERSON,PROFILE_ACCEPTED,1,3,4,2022,2025
person:eqmember:17817,Claire Gudex,Gudex,Claire,0000-0003-3881-9890,A5047944478,PERSON,PROFILE_ACCEPTED,1,1,7,2011,2025
person:eqmember:17819,Clara Mukuria,Mukuria,Clara,0000-0003-4318-1481,A5043083823,PERSON,PROFILE_ACCEPTED,1,6,35,2019,2026
person:eqmember:17821,David Mott,Mott,David,0000-0001-5959-8447,A5009132187,PERSON,PROFILE_NOT_ACCEPTED_FOR_DISCOVERY,1,2,5,2021,2025
person:eqmember:17823,David Parkin,Parkin,David,0000-0002-9990-8208,A5081956728,PERSON,PROFILE_NOT_ACCEPTED_FOR_DISCOVERY,1,1,10,2011,2025
person:eqmember:17825,David Whitehurst,Whitehurst,David,0000-0002-7890-6756,A5045933977,PERSON,PROFILE_ACCEPTED,1,1,6,2021,2025
person:eqmember:17827,Deborah Street,Street,Deborah,0000-0002-4476-0656,A5053497885,PERSON,PROFILE_ACCEPTED,1,1,8,2019,2026
person:eqmember:17829,Des Scott,Scott,Des,0000-0003-3943-7392,A5038664789,PERSON,PROFILE_ACCEPTED,1,1,11,2017,2025
person:eqmember:17831,Dominik Golicki,Golicki,Dominik,0000-0001-7741-4760,A5035126117,PERSON,PROFILE_ACCEPTED,1,10,16,2012,2026
person:eqmember:17833,Donna Rowen,Rowen,Donna,0000-0003-3018-5109,A5067226056,PERSON,PROFILE_ACCEPTED,1,5,17,2014,2026
person:eqmember:17835,Eleanor Pullenayegum,Pullenayegum,Eleanor,0000-0003-4265-1330,A5029465719,PERSON,PROFILE_ACCEPTED,1,6,29,2013,2026
person:eqmember:17837,Elly Stolk,Stolk,Elly,0000-0001-5968-0416,A5033903811,PERSON,PROFILE_ACCEPTED,1,11,49,2013,2026
person:eqmember:17839,Erica Lubetkin,Lubetkin,Erica,0000-0001-9962-7775,A5037314317,PERSON,PROFILE_ACCEPTED,1,0,16,2010,2026
person:eqmember:17841,Ernest Law,Law,Ernest,0000-0002-6111-8008,A5040405517,PERSON,PROFILE_ACCEPTED,1,0,5,2017,2020
person:eqmember:17843,Fan Yang,Yang,Fan,0000-0003-4689-265x,A5056976700,PERSON,PROFILE_NOT_ACCEPTED_FOR_DISCOVERY,1,0,3,2018,2021
person:eqmember:17845,Fanni Rencz,Rencz,Fanni,0000-0001-9674-620x,A5024021740,PERSON,PROFILE_ACCEPTED,1,6,40,2016,2026
person:eqmember:17847,Fatima Al Sayah,Sayah,Fatima Al,0000-0003-3891-5452,A5026033494,PERSON,PROFILE_ACCEPTED,1,13,29,2015,2026
person:eqmember:17849,Federico Augustovski,Augustovski,Federico,0000-0002-2914-5022,A5053077563,PERSON,PROFILE_ACCEPTED,1,10,14,2013,2026
person:eqmember:17851,Feng Xie,Xie,Feng,0000-0003-3454-6266,A5102994482,PERSON,PROFILE_NOT_ACCEPTED_FOR_DISCOVERY,1,22,41,2013,2026
person:eqmember:17853,Frank De Charro,Charro,Frank De,,,PERSON,PROFILE_NOT_ACCEPTED_FOR_DISCOVERY,1,1,2,2012,2014
