finding_id,ordinal,publication_id,doi,publication_year,outcome,reported_value,unit,denominator,time,subgroup,comparator,direction,uncertainty
P00088d2d4963:F7,2,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,Explanatory power (R-squared) of EQ-5D-3L dimensions with and without cognition for EQ VAS,0.445 to 0.458,R-squared,,,Non-traumatic brain injury patients,EQ-5D versus EQ-5D+C,Increase of 1.3 percentage points,
P00088d2d4963:F8,1,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,,49.9 versus 47.5,median age in years,,,Responders versus non-responders,,,p < 0.01
P00088d2d4963:F8,2,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,,50.7 versus 43.4,% female,,,Responders versus non-responders,,,p < 0.01
P00088d2d4963:F8,3,doi:10.1007/s11136-019-02156-2,10.1007/s11136-019-02156-2,2019,,56.1 versus 46.9,% admitted to hospital,,,Responders versus non-responders,,,p < 0.01
P0018d6033430:FIND1,1,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,cTTO utility values and rescaled EQ-5D-5L value-set utilities,2359,responses,5760 cTTO responses,,,,worse than dead,41.0%
P0018d6033430:FIND1,2,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,cTTO utility values and rescaled EQ-5D-5L value-set utilities,5.4,percent of responses,,,,,clustered at utility 1,
P0018d6033430:FIND1,3,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,cTTO utility values and rescaled EQ-5D-5L value-set utilities,6.2,percent of responses,,,,,clustered at utility 0,
P0018d6033430:FIND1,4,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,cTTO utility values and rescaled EQ-5D-5L value-set utilities,18.0,percent of responses,,,,,clustered at utility -1,
P0018d6033430:FIND2,1,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,In-sample and out-of-sample predictive accuracy of candidate models,0.101,RMSE,,,cross-validation data,linear model with N45,lower is better,
P0018d6033430:FIND2,2,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,In-sample and out-of-sample predictive accuracy of candidate models,0.105,RMSE,,,cross-validation data,CALE model with N45,lower is better,
P0018d6033430:FIND2,3,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,In-sample and out-of-sample predictive accuracy of candidate models,0.079,RMSE,,,full data,linear model with N45,lower is better,
P0018d6033430:FIND2,4,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,In-sample and out-of-sample predictive accuracy of candidate models,0.089,RMSE,,,full data,CALE model with N45,lower is better,
P0018d6033430:FIND4,1,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,cTTO utility values and rescaled EQ-5D-5L value-set utilities,1,utility value,,,full health (11111),,,
P0018d6033430:FIND4,2,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,cTTO utility values and rescaled EQ-5D-5L value-set utilities,0.981,utility value,,,second-best state (11112),,,
P0018d6033430:FIND4,3,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,cTTO utility values and rescaled EQ-5D-5L value-set utilities,-0.727,utility value,,,worst state (55555),,,
P0018d6033430:FIND6,1,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,Known-groups discriminative ability of utilities from the preferred model,0.960,mean utility,,,NYHA class I,NYHA class III/IV,higher in better functional class,SD 0.093
P0018d6033430:FIND6,2,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,Known-groups discriminative ability of utilities from the preferred model,0.672,mean utility,,,NYHA class III/IV,NYHA class I,lower in worse functional class,SD 0.372
P0018d6033430:FIND6,3,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,Known-groups discriminative ability of utilities from the preferred model,0.949,mean utility,,,CCS class I,CCS class III/IV,higher in better functional class,SD 0.106
P0018d6033430:FIND6,4,doi:10.1016/j.jval.2021.09.010,10.1016/j.jval.2021.09.010,2021,Known-groups discriminative ability of utilities from the preferred model,0.596,mean utility,,,CCS class III/IV,CCS class I,lower in worse functional class,SD 0.377
P0076e3bd5c99:FIND1,1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,,0.74,EQ-HWB-S index mean,861 parental carers,Baseline,Child with COVID-19,0.88 in 231 healthy-control parents,Lower,
P0076e3bd5c99:FIND1,2,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,,0.77,EQ-5D-5L index mean,861 parental carers,Baseline,Child with COVID-19,0.88 in 231 healthy-control parents,Lower,
P0076e3bd5c99:FIND1,3,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,,72.2,EQ VAS mean,861 parental carers,Baseline,Child with COVID-19,83.6 in 231 healthy-control parents,Lower,
P0076e3bd5c99:FIND2,1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,,6.6,percent reporting EQ-HWB-S profile 111111111,Parents of children with COVID-19,Baseline,,25.9% reporting EQ-5D-5L profile 11111,Lower full-health proportion,
P0076e3bd5c99:FIND3,1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,,0.29-0.72,Cohen d effect size range,,Baseline,EQ-HWB-S,EQ-5D-5L effect size 0.26-0.65,Generally larger,
P0076e3bd5c99:FIND3,2,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,,0.21-0.80,Cohen d effect size range,,Baseline,EQ VAS,,Comparable discrimination,
P0076e3bd5c99:FIND5,1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,,0.76,intraclass correlation coefficient,65 stable parent carers,2-3 weeks,EQ-HWB-S index,EQ-5D-5L index ICC 0.77,Similar,95% CI 0.64-0.85
P0076e3bd5c99:FIND5,2,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,,0.70,intraclass correlation coefficient,65 stable parent carers,2-3 weeks,EQ VAS,,Good,95% CI 0.55-0.81
P0076e3bd5c99:FIND5,3,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,,0.33-0.79,Gwet AC1 range,65 stable parent carers,2-3 weeks,EQ-HWB-S dimensions,EQ-5D-5L range 0.40-0.76,Fair-to-good,
P0076e3bd5c99:FIND6,1,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,,0.62-0.74,Glass delta effect size range,,Baseline to follow-up,EQ-HWB-S index,EQ-5D-5L range 0.77-0.87,Smaller responsiveness,
P0076e3bd5c99:FIND6,2,doi:10.1007/s40273-025-01473-4,10.1007/s40273-025-01473-4,2025,,1.08-1.25,Glass delta effect size range,,Baseline to follow-up,EQ VAS,EQ-HWB-S and EQ-5D-5L,Largest responsiveness,
P00957738e538:F1,1,doi:10.1007/s11136-021-02804-6,10.1007/s11136-021-02804-6,2021,,300,respondents,313 recruited respondents,,Successfully completed and included in primary analysis,,,95.9%
P00957738e538:F1,2,doi:10.1007/s11136-021-02804-6,10.1007/s11136-021-02804-6,2021,,120,respondents,300 analyzed respondents,,EQ-5D-3L state 11111,,,40.0%
P00957738e538:F1,3,doi:10.1007/s11136-021-02804-6,10.1007/s11136-021-02804-6,2021,,80,EQ VAS points,300 analyzed respondents,,,,,Median; IQR 70-90
P00957738e538:F2,1,doi:10.1007/s11136-021-02804-6,10.1007/s11136-021-02804-6,2021,,600,cTTO values,"3,000 cTTO values",,Worse than dead,,,20.0%
P00957738e538:F2,2,doi:10.1007/s11136-021-02804-6,10.1007/s11136-021-02804-6,2021,,2360,cTTO values,"3,000 cTTO values",,Better than dead,,,78.7%
P00957738e538:F4,1,doi:10.1007/s11136-021-02804-6,10.1007/s11136-021-02804-6,2021,,-0.503,utility,EQ-5D-3L state 33333,,Preferred heteroskedastic hybrid model,,,
P00957738e538:F6,1,doi:10.1007/s11136-021-02804-6,10.1007/s11136-021-02804-6,2021,,0.06,utility units,EQ-5D-3L state 33333,,Sensitivity analysis including non-traders,Primary analysis excluding non-traders,Increase,
P010b702a1a0b:find_1,1,doi:10.1007/s11136-025-03947-6,10.1007/s11136-025-03947-6,2025,,27,papers,,Search through October 2021,Papers selected by the targeted search,,,
P010b702a1a0b:find_6,1,doi:10.1007/s11136-025-03947-6,10.1007/s11136-025-03947-6,2025,,6,studies,,,Studies of conceptual frameworks or measurement theories for general VAS scales,EQ VAS-specific framework studies,,
P010b702a1a0b:find_6,2,doi:10.1007/s11136-025-03947-6,10.1007/s11136-025-03947-6,2025,,2,studies,,,Qualitative studies that informed interpretation of the EQ VAS,,,
P010b702a1a0b:find_6,3,doi:10.1007/s11136-025-03947-6,10.1007/s11136-025-03947-6,2025,,7,studies,,,Empirical EQ VAS studies of associations with respondent or contextual variables,,,
P012214c3cce2:finding_1,1,doi:10.1007/s11136-025-03989-w,10.1007/s11136-025-03989-w,2025,Frequency and severity of task-specific concerns,27 (100%),interviews,27 interviews,,,,At least one concern,
P012214c3cce2:finding_1,2,doi:10.1007/s11136-025-03989-w,10.1007/s11136-025-03989-w,2025,Frequency and severity of task-specific concerns,18 (67%),participants,27 participants,,,Nine participants with only minor concerns,Had at least one major concern,
P012214c3cce2:finding_1,3,doi:10.1007/s11136-025-03989-w,10.1007/s11136-025-03989-w,2025,Frequency and severity of task-specific concerns,7 (26%),participants,27 participants,,,,Had major concerns in three or more tasks,
P012214c3cce2:finding_2,1,doi:10.1007/s11136-025-03989-w,10.1007/s11136-025-03989-w,2025,Frequency and severity of task-specific concerns,19%,participants,27 participants,,Ranking task,,Major concern,
P012214c3cce2:finding_2,2,doi:10.1007/s11136-025-03989-w,10.1007/s11136-025-03989-w,2025,Frequency and severity of task-specific concerns,30% in the abstract; seven participants in the main results,participants,27 participants,,Swing-weighting task,,Major concern,Internally inconsistent reporting
P012214c3cce2:finding_2,3,doi:10.1007/s11136-025-03989-w,10.1007/s11136-025-03989-w,2025,Frequency and severity of task-specific concerns,15 (56%),participants,27 participants,,Levels-rating task,,Major concern,
P012214c3cce2:finding_2,4,doi:10.1007/s11136-025-03989-w,10.1007/s11136-025-03989-w,2025,Frequency and severity of task-specific concerns,13 (48%),participants,27 participants,,Anchoring-dead task,,Major concern,
P012214c3cce2:finding_3,1,doi:10.1007/s11136-025-03989-w,10.1007/s11136-025-03989-w,2025,Participant comprehension and engagement across the five OPUF tasks,18 (67%),participants,27 participants,,Pairwise choice task,,Completed as expected,
P012214c3cce2:finding_3,2,doi:10.1007/s11136-025-03989-w,10.1007/s11136-025-03989-w,2025,Participant comprehension and engagement across the five OPUF tasks,0,participants,27 participants,,Pairwise choice task,,Major concern,
P012214c3cce2:finding_3,3,doi:10.1007/s11136-025-03989-w,10.1007/s11136-025-03989-w,2025,Participant comprehension and engagement across the five OPUF tasks,2,participants,27 participants,,Levels-rating task,,Completed without concerns,
P012214c3cce2:finding_3,4,doi:10.1007/s11136-025-03989-w,10.1007/s11136-025-03989-w,2025,Participant comprehension and engagement across the five OPUF tasks,9,participants,27 participants,,Anchoring-dead task,,Completed as expected,
P012214c3cce2:finding_4,1,doi:10.1007/s11136-025-03989-w,10.1007/s11136-025-03989-w,2025,Frequency and severity of task-specific concerns,36% versus 14%,participants,13 aged 50 or older; 14 younger than 50,,Swing-weighting task,50 years and older versus younger than 50,Higher in older group,Differences were based on a small sample
P012214c3cce2:finding_4,2,doi:10.1007/s11136-025-03989-w,10.1007/s11136-025-03989-w,2025,Frequency and severity of task-specific concerns,64% versus 43%,participants,13 aged 50 or older; 14 younger than 50,,Levels-rating task,50 years and older versus younger than 50,Higher in older group,Differences were based on a small sample
P012214c3cce2:finding_4,3,doi:10.1007/s11136-025-03989-w,10.1007/s11136-025-03989-w,2025,Frequency and severity of task-specific concerns,57% versus 36%,participants,13 aged 50 or older; 14 younger than 50,,Anchoring-dead task,50 years and older versus younger than 50,Higher in older group,Differences were based on a small sample
P02434cacc68a:F1,1,doi:10.1007/s11136-024-03601-7,10.1007/s11136-024-03601-7,2024,,0.448,Loevinger H lower-bound threshold,,,All respondents,"Below this threshold, all nine items formed one scale",threshold,
P02434cacc68a:F1,2,doi:10.1007/s11136-024-03601-7,10.1007/s11136-024-03601-7,2024,,9,items,EQ-HWB-S,,All respondents,One combined scale below the threshold,included,
P02434cacc68a:F1,3,doi:10.1007/s11136-024-03601-7,10.1007/s11136-024-03601-7,2024,,6,items,Psychosocial subscale,,All respondents,Three-item physical subscale,separated,
P02434cacc68a:F1,4,doi:10.1007/s11136-024-03601-7,10.1007/s11136-024-03601-7,2024,,3,items,Physical subscale,,All respondents,Six-item psychosocial subscale,separated,
P02434cacc68a:F2,1,doi:10.1007/s11136-024-03601-7,10.1007/s11136-024-03601-7,2024,,0.561,Loevinger H_S,,,Complete data; overall nine-item scale,,strong scalability,SE 0.008
P02434cacc68a:F2,2,doi:10.1007/s11136-024-03601-7,10.1007/s11136-024-03601-7,2024,,0.713,Loevinger H_S,,,Complete data; six-item psychosocial subscale,Overall scale,higher scalability,SE 0.007
P02434cacc68a:F2,3,doi:10.1007/s11136-024-03601-7,10.1007/s11136-024-03601-7,2024,,0.683,Loevinger H_S,,,Complete data; three-item physical subscale,Overall scale,higher scalability,SE 0.011
P02434cacc68a:F4,1,doi:10.1007/s11136-024-03601-7,10.1007/s11136-024-03601-7,2024,,0.219,H_T coefficient,,,Complete data; overall scale,,items could not be ordered,
P02434cacc68a:F4,2,doi:10.1007/s11136-024-03601-7,10.1007/s11136-024-03601-7,2024,,0.209,H_T coefficient,,,Complete data; psychosocial subscale,,items could not be ordered,
P02434cacc68a:F4,3,doi:10.1007/s11136-024-03601-7,10.1007/s11136-024-03601-7,2024,,0.183,H_T coefficient,,,Complete data; physical subscale,,items could not be ordered,
P02434cacc68a:F5,1,doi:10.1007/s11136-024-03601-7,10.1007/s11136-024-03601-7,2024,,4.80,eigenvalue,,,First factor,,dominant,
P02434cacc68a:F5,2,doi:10.1007/s11136-024-03601-7,10.1007/s11136-024-03601-7,2024,,just over 1.0,eigenvalue,,,Second factor,,above extraction threshold,
P02434cacc68a:F6,1,doi:10.1007/s11136-024-03601-7,10.1007/s11136-024-03601-7,2024,,>0.9,alpha and lambda,,,Overall and psychosocial scales,,excellent reliability,
P02434cacc68a:F6,2,doi:10.1007/s11136-024-03601-7,10.1007/s11136-024-03601-7,2024,,>0.8,alpha and lambda,,,Physical subscale,,good reliability,
P02434cacc68a:F6,3,doi:10.1007/s11136-024-03601-7,10.1007/s11136-024-03601-7,2024,,-0.55 to -0.62,Spearman rho,,,Overall and subscale level summary scores,EQ VAS,moderate negative correlation,
P02434cacc68a:F7,1,doi:10.1007/s11136-024-03601-7,10.1007/s11136-024-03601-7,2024,,36.11,median 0-100 level summary score,,,Carers,Non-carers: 27.78,more symptoms and problems,IQR 16.67-55.56
P02434cacc68a:F7,2,doi:10.1007/s11136-024-03601-7,10.1007/s11136-024-03601-7,2024,,36.11,median 0-100 level summary score,,,Participants with long-term conditions,No long-term condition: 16.67,more symptoms and problems,IQR 16.67-55.56
P02434cacc68a:F7,3,doi:10.1007/s11136-024-03601-7,10.1007/s11136-024-03601-7,2024,,<0.0001,p-value,,,All three scale and subscale comparisons by carer and long-term-condition status,,statistically significant,
P02434cacc68a:F8,1,doi:10.1007/s11136-024-03601-7,10.1007/s11136-024-03601-7,2024,,5.41,percent,Full-scale analysis sample,,Lowest full-scale score,,no problems on all items,176 respondents
P02434cacc68a:F8,2,doi:10.1007/s11136-024-03601-7,10.1007/s11136-024-03601-7,2024,,10.53,percent,Psychosocial subscale analysis sample,,Lowest psychosocial score,,no problems on all items,346 respondents
P02434cacc68a:F8,3,doi:10.1007/s11136-024-03601-7,10.1007/s11136-024-03601-7,2024,,20.54,percent,Physical subscale analysis sample,,Lowest physical score,,no problems on all items,676 respondents
P02434cacc68a:F8,4,doi:10.1007/s11136-024-03601-7,10.1007/s11136-024-03601-7,2024,,0,respondents,,,Worst possible full EQ-HWB-S score,,none,
P0267f1a39279:F1,1,doi:10.1007/s12471-022-01677-9,10.1007/s12471-022-01677-9,2022,,approximately 1–4,cases,"100,000 vaccinated persons",,All vaccinated persons across key cohorts,,rare,
P0267f1a39279:F1,2,doi:10.1007/s12471-022-01677-9,10.1007/s12471-022-01677-9,2022,,5.0–17.5,times higher incidence,,,Males aged 16–29,Other age and sex groups,higher,
P0267f1a39279:F2,1,doi:10.1007/s12471-022-01677-9,10.1007/s12471-022-01677-9,2022,,0.6–4,cases,"100,000 vaccinated persons",,Males,,,
P0267f1a39279:F2,2,doi:10.1007/s12471-022-01677-9,10.1007/s12471-022-01677-9,2022,,0–2,cases,"100,000 vaccinated persons",,Females,,,
P0267f1a39279:F3,1,doi:10.1007/s12471-022-01677-9,10.1007/s12471-022-01677-9,2022,,95,percent,identified patients,within days,Predominantly cases in two Israeli cohorts,,rapid resolution,
P0267f1a39279:F4,1,doi:10.1007/s12471-022-01677-9,10.1007/s12471-022-01677-9,2022,,37,patients,"16,368 hospitalized patients",median hospital stay 9 days,SARS-CoV-2-infected patients in CAPACITY-COVID and LEOSS,,,Interquartile range 5–18 days
P0267f1a39279:F4,2,doi:10.1007/s12471-022-01677-9,10.1007/s12471-022-01677-9,2022,,0.2,percent,hospitalized COVID-19 patients,during admission,,,,
P0267f1a39279:F4,3,doi:10.1007/s12471-022-01677-9,10.1007/s12471-022-01677-9,2022,,0.15,percent,hospitalized COVID-19 patients,during admission,,,,
P0267f1a39279:F5,1,doi:10.1007/s12471-022-01677-9,10.1007/s12471-022-01677-9,2022,,18.28,risk ratio,,,People with SARS-CoV-2 infection,Uninfected group,higher,95% CI 3.95–25.12
P0267f1a39279:F5,2,doi:10.1007/s12471-022-01677-9,10.1007/s12471-022-01677-9,2022,,10.96,"events per 100,000 patients",,,People with SARS-CoV-2 infection,Uninfected group,higher,95% CI 5.57–15.80
P0267f1a39279:F6,1,doi:10.1007/s12471-022-01677-9,10.1007/s12471-022-01677-9,2022,,"5,700",COVID-19 cases prevented,"1,000,000 second doses",17 weeks,Males aged 12–17,,prevented,
P0267f1a39279:F6,2,doi:10.1007/s12471-022-01677-9,10.1007/s12471-022-01677-9,2022,,215,hospitalizations prevented,"1,000,000 second doses",17 weeks,Males aged 12–17,,prevented,
P0267f1a39279:F6,3,doi:10.1007/s12471-022-01677-9,10.1007/s12471-022-01677-9,2022,,71,intensive care admissions prevented,"1,000,000 second doses",17 weeks,Males aged 12–17,,prevented,
P0267f1a39279:F6,4,doi:10.1007/s12471-022-01677-9,10.1007/s12471-022-01677-9,2022,,2,deaths prevented,"1,000,000 second doses",17 weeks,Males aged 12–17,,prevented,
P028e859a3a23:F1,1,doi:10.1007/s40273-023-01280-9,10.1007/s40273-023-01280-9,2023,Self-reported health of the valuation sample on the EQ-5D-5L descriptive system and EQ VAS,1012,respondents,,March-November 2022,,Target of 1000 respondents,,
P028e859a3a23:F1,2,doi:10.1007/s40273-023-01280-9,10.1007/s40273-023-01280-9,2023,Self-reported health of the valuation sample on the EQ-5D-5L descriptive system and EQ VAS,"49.60% male, 50.40% female",percent,1012 respondents,,Sex,"Population 49.99% male, 50.01% female",,
P028e859a3a23:F1,3,doi:10.1007/s40273-023-01280-9,10.1007/s40273-023-01280-9,2023,Self-reported health of the valuation sample on the EQ-5D-5L descriptive system and EQ VAS,48.10% with a university degree,percent,1012 respondents,,Education,Population 36.01%,Higher than population,
P028e859a3a23:F2,1,doi:10.1007/s40273-023-01280-9,10.1007/s40273-023-01280-9,2023,Self-reported health of the valuation sample on the EQ-5D-5L descriptive system and EQ VAS,38.5%,percent,1012 respondents,,No problems on any dimension,,,
P028e859a3a23:F2,2,doi:10.1007/s40273-023-01280-9,10.1007/s40273-023-01280-9,2023,Self-reported health of the valuation sample on the EQ-5D-5L descriptive system and EQ VAS,51.9%,percent,1012 respondents,,Any problems in pain/discomfort,,,
P028e859a3a23:F2,3,doi:10.1007/s40273-023-01280-9,10.1007/s40273-023-01280-9,2023,Self-reported health of the valuation sample on the EQ-5D-5L descriptive system and EQ VAS,11.2%,percent,1012 respondents,,Any problems in self-care,,,
P028e859a3a23:F2,4,doi:10.1007/s40273-023-01280-9,10.1007/s40273-023-01280-9,2023,Self-reported health of the valuation sample on the EQ-5D-5L descriptive system and EQ VAS,83.6,EQ VAS points,1012 respondents,,Mean self-rated health,,,SD 8.30
P028e859a3a23:F3,1,doi:10.1007/s40273-023-01280-9,10.1007/s40273-023-01280-9,2023,Logical consistency of parameter estimates and completeness of valuation responses,"10,120",cTTO responses,1012 respondents,,,,,
P028e859a3a23:F3,2,doi:10.1007/s40273-023-01280-9,10.1007/s40273-023-01280-9,2023,Logical consistency of parameter estimates and completeness of valuation responses,582 (57.5%),respondents,1012 respondents,,Flagged at least one health state,,,
P028e859a3a23:F3,3,doi:10.1007/s40273-023-01280-9,10.1007/s40273-023-01280-9,2023,Logical consistency of parameter estimates and completeness of valuation responses,9256,cTTO observations,1012 respondents,,Analysed,,,
P028e859a3a23:F4,1,doi:10.1007/s40273-023-01280-9,10.1007/s40273-023-01280-9,2023,Observed composite time trade-off values for the 86 valued EQ-5D-5L health states,-0.700,mean cTTO value,,,Health state 55555,,Lowest observed mean,
P028e859a3a23:F4,2,doi:10.1007/s40273-023-01280-9,10.1007/s40273-023-01280-9,2023,Observed composite time trade-off values for the 86 valued EQ-5D-5L health states,0.959,mean cTTO value,,,Health state 21111,,Highest observed mean,
P028e859a3a23:F4,3,doi:10.1007/s40273-023-01280-9,10.1007/s40273-023-01280-9,2023,Observed composite time trade-off values for the 86 valued EQ-5D-5L health states,29.6%,percent,mean cTTO values,,Negative values,,,
P028e859a3a23:F4,4,doi:10.1007/s40273-023-01280-9,10.1007/s40273-023-01280-9,2023,Observed composite time trade-off values for the 86 valued EQ-5D-5L health states,8%,percent,cTTO responses,,Values at -1,,,
P028e859a3a23:F5,1,doi:10.1007/s40273-023-01280-9,10.1007/s40273-023-01280-9,2023,Tobit disutility coefficients for each EQ-5D-5L dimension level,-0.014,disutility coefficient,,,UA5: unable to perform usual activities,Level 1 no problems,Not significant at 5%,SE 0.018
P028e859a3a23:F6,1,doi:10.1007/s40273-023-01280-9,10.1007/s40273-023-01280-9,2023,Tobit disutility coefficients for each EQ-5D-5L dimension level,-0.356,disutility coefficient,,,PD5: extreme pain/discomfort,Level 1 no problems,Largest disutility,SE 0.021; p<0.001
P028e859a3a23:F6,2,doi:10.1007/s40273-023-01280-9,10.1007/s40273-023-01280-9,2023,Tobit disutility coefficients for each EQ-5D-5L dimension level,-0.291,disutility coefficient,,,PD4: severe pain/discomfort,Level 1 no problems,,SE 0.018; p<0.001
P028e859a3a23:F6,3,doi:10.1007/s40273-023-01280-9,10.1007/s40273-023-01280-9,2023,Tobit disutility coefficients for each EQ-5D-5L dimension level,-0.241,disutility coefficient,,,AD4: severe anxiety/depression,Level 1 no problems,,SE 0.016; p<0.001
