batch_id,record_id,outcome,code,reason,year,linked_people,title
batch-0001,P06aa2f9b29bd,exclude,E2,"[E2] This policy methods guide concerns economic evaluation of health technologies, with QALYs used for cost-effectiveness analysis.",2026,Mark Sculpher,Revised methods guide for economic evaluation studies of health technologies in Portugal
batch-0001,P07202755f019,exclude,E4,"[E4] This develops prognostic models for end-of-life identification in heart failure, not health measurement or valuation.",2026,Begashaw Melaku Gebresillassie,Predicting end-of-life in older women with heart failure: development and internal validation of clinically actionable prognostic models using routinely collected national data
batch-0001,P080a278d9cfa,exclude,E3,[E3] The discrete choice experiment elicits preferences for features of digital neurorehabilitation services.,2026,thomas kohlmann,Unraveling acceptance of healthcare innovations in neurorehabilitation: results from a discrete choice experiment.
batch-0001,P0890d6e0df1b,exclude,E4,[E4] This epidemiological time-series study projects injury prevalence for planning rather than evaluating a measure or valuation method.,2026,Juanita Haagsma,"Past, present and future of injury prevalence in high-income countries: insights and projections up to 2030 from the Global Burden of Disease Study."
batch-0001,P08e7995031c6,exclude,E4,"[E4] This reviews a questionnaire about shared decision-making, not a health or wellbeing measurement instrument.",2026,Martin Härter,Measurement Properties of the 9-Item Shared Decision Making Questionnaire (SDM-Q-9)
batch-0002,P0a52eac4c669,exclude,E4,"[E4] This systematic review estimates maternal cardiac-disease burden and mortality, not health measurement or valuation.",2026,Oliver Rivero-Arias,"Incidence, prevalence, and mortality of maternal cardiac disease: a systematic review and meta-analysis"
batch-0002,P0b29cf258a35,exclude,E4,"[E4] This cross-sectional study assesses inter-professional collaboration attitudes, not a health measurement instrument or valuation method.",2026,madeeha malik,Attitude of healthcare professionals in Pakistan towards inter-professional collaborative competencies: A cross-sectional study
batch-0002,P0bc9312152e7,exclude,E1,"[E1] The trial evaluates surgical treatment, with pain and quality of life as clinical outcomes rather than research objects.",2026,Sander van Kuijk,Multicentre prospective randomised controlled non-inferiority trial on the efficacy and safety of minimally invasive SAIF vertebral reconstruction technique versus spinal fixation in unstable osteoporotic vertebral compression fractures: a protocol.
batch-0002,P0e57a000b7ff,exclude,E2,[E2] This economic model compares lymphoma treatments using QALYs as cost-effectiveness outcomes.,2026,Gerard De Pouvourville,Cost-Effectiveness Analysis of Second-Line Lisocabtagene Maraleucel in the Treatment of Refractory or Relapsed Large B-Cell Lymphoma.
batch-0002,P0e9ec634efe8,exclude,E1,[E1] Quality of life is a participant outcome in a study of mental-health service use and clinical change.,2026,Jan Faller,Who uses Better Access treatment services? A re-analysis of data from the usual care arms of two randomised controlled trials.
batch-0002,P0f3a4533561d,exclude,E4,[E4] This cohort study compares cancer-treatment costs and guideline-concordant care by insurance type.,2026,Aaron Winn,"Quality, Cost, and Timeliness of Cancer Treatment in Medicare Advantage and Traditional Medicare"
batch-0002,P0ffa7b2ba661,exclude,E4,[E4] This is a clinical evaluation of cleft-palate surgery and speech therapy outcomes.,2026,Sander van Kuijk,Velopharyngeal Insufficiency in Submucous Cleft Palate: Importance of Combined Surgical Cleft Palate Repair and Dedicated Speech Therapy
batch-0002,P1120c255b68e,exclude,E4,[E4] This cohort study evaluates ventilation management and clinical outcomes in patients with right ventricular dysfunction.,2026,Iwan van der Horst,Association of right ventricular dysfunction on electrocardiogram with outcomes and ventilatory response in patients monitored by electrical impedance tomography: A cohort study
batch-0002,P11590561c03a,exclude,E4,"[E4] This decision-tree analysis compares treatment costs per alopecia responder, not health measurement or valuation.",2026,Ernest Law,A Cost-per-Responder Analysis of Ritlecitinib vs Baricitinib in Severe Alopecia Areata
batch-0002,P11883259b067,exclude,E4,[E4] This qualitative study concerns treatment-related decision-making for inflammatory bowel disease.,2026,Deborah Marshall,"A cultural lens on decision-making in treatment decisions about inflammatory bowel disease: a qualitative analysis with South Asian patients, caregivers and clinicians in Canada."
batch-0002,P122ec0346d04,exclude,E4,[E4] This linkage study estimates associations of miscarriage with self-harm and psychiatric outcomes.,2026,Corneliu Bolbocean,"Miscarriage, self-harm, and psychiatric disorders in first-time pregnant women: Evidence from a linkage study"
batch-0002,P1299d930ba4c,exclude,E4,"[E4] This scoping review concerns cross-sectoral economic evaluations of health interventions, not measurement or valuation methods.",2026,Maureen Rutten-van Molken,Towards a Multi‑sectoral Approach to Population Health
batch-0002,P13bc2a13a414,exclude,E1,"[E1] The distress thermometer is used to describe distress trajectories after breast-cancer treatment, not evaluated as a measure.",2026,Aaron Winn,Patient-reported distress and correlates while on adjuvant endocrine therapy following breast cancer treatment among post-menopausal women: a group-based trajectory model analysis.
batch-0002,P14dad885d229,exclude,E4,[E4] This scoping review addresses implementation and economic considerations for point-of-care ultrasound.,2026,Lucky Ngwira,Implementation strategies and economic considerations for point-of-care ultrasound in Low- and Middle-Income Countries: A scoping review
batch-0002,P1784e86b0285,exclude,E4,"[E4] This project develops pricing, reimbursement, and cost-effectiveness approaches for health-technology access.",2026,Maureen Rutten-van Molken,"Bridging affordability and sustainability of health innovations via novel pricing, cost-effectiveness, and reimbursement models to improve patient access: The ASCERTAIN project"
batch-0002,P184fcaadcb36,exclude,E2,"[E2] This decision model evaluates ulcer dressings economically, with QALYs as cost-effectiveness results.",2026,Mark Sculpher,Modelling the cost-effectiveness of interventions to treat or prevent neuropathic ulcers arising from leprosy: application to L-PRF.
batch-0003,P18afd3c96c7b,exclude,E1,"[E1] EQ-5D-5L is used to estimate the HRQoL impact of COVID-19 infection, not evaluated as a measure.",2026,Arto Ohinmaa,The impact of testing positive versus negative for COVID-19 on health-related quality of life: cross-sectional evidence from the Alberta post-COVID-19 follow-up survey
batch-0003,P1bebb5a2595b,exclude,E4,"[E4] This discussion paper concerns generic causal-inference methods for health services research, not health measurement or valuation.",2026,Martin Härter,"Causal inference in health services research: concepts, methods and application perspectives."
batch-0003,P1eb443778f6b,exclude,E4,"[E4] This cohort study compares cardiovascular safety of endocrine treatments, not health measurement or valuation.",2026,Simon Pickard,Cardiovascular Risks of Aromatase Inhibitors versus Tamoxifen in Postmenopausal Breast Cancer: A Multinational Cohort Study.
batch-0003,P1f6b4db34267,exclude,E4,"[E4] This case-control study evaluates lung cancer screening and survival, not health measurement or valuation.",2026,Beata Koń,Low-dose Computed Tomography Lung Cancer Screening Participants Show Improved 10-year Survival Compared With Matched Controls: A Case–Control Study
batch-0003,P1f9b24ce45aa,exclude,E4,"[E4] This study examines family participation in child rehabilitation, not development or evaluation of a health measure.",2026,Jermaine Dambi,"Participation of fathers and siblings in home rehabilitation programmes for children with neuro-developmental delay: perspectives of fathers in Bulawayo, Zimbabwe."
batch-0003,P1ff8794c8a66,exclude,E1,"[E1] EQ-5D-5L utilities are outcomes used to describe epidermolysis bullosa disease burden, not the research object.",2026,Márta Péntek,Health-related quality of life in adults with epidermolysis bullosa: a cross-sectional study in seven European countries using EQ-5D-5L
batch-0003,P20689af7e149,exclude,E1,"[E1] EQ-5D-3L scores are outcomes for comparing refugee and population HRQoL, not evaluated as a measure.",2026,Rainer Reile; Taavi Lai,Health-Related Quality of Life Among Ukrainian War Refugees Compared to the General Population in Estonia
batch-0003,P21eb9d0e2a11,exclude,E4,"[E4] This survey analyzes perceived COVID-19 impacts and their correlates, not health measurement or valuation.",2026,Richard Norman,"COVID-19 pandemic perceived impacts on the Australian general population, a national survey exploring the role of socio-demographic and psychological factors"
batch-0003,P2215dca3ea17,exclude,E4,"[E4] This article updates a healthcare costing manual and web tool for economic evaluations, not a health measure or valuation method.",2026,Vivian Reckers-Droog,From Paper to Platform: Updating the Dutch Costing Manual and Launching a Web Application
batch-0003,P229b3f3fa6e1,exclude,E2,[E2] This economic model uses QALYs as results of a cost-utility analysis of alcohol screening.,2026,Shankar Prinja,Health and economic impact of universal screening and management of alcohol use disorders in India: An economic modelling study.
batch-0003,P237695e2b473,exclude,E4,"[E4] This review concerns patient experience and engagement with heart-rhythm monitoring devices, not health measurement development.",2026,Tomos Robinson,"Understanding patient preferences, experiences and engagement with ambulatory heart rhythm monitoring: a scoping review"
batch-0004,P241e75447809,exclude,E1,"[E1] EQ-5D-5L is used as an outcome in a cross-sectional study of food insecurity, distress, and HRQoL.",2026,Fatima Al Sayah,The association of food insecurity with psychological distress and health-related quality of life in the general adult population of Lebanon
batch-0004,P25754e884214,exclude,E1,[E1] EQ-5D-5L measures HRQoL outcomes across inflammatory arthritis disability groups rather than being evaluated itself.,2026,Deborah Marshall,"From disability to daily life: functional status, quality of life and work productivity in real-world inflammatory arthritis."
batch-0004,P278ce1a9bebf,exclude,E1,[E1] EQ-5D-5L dimensions and utility are outcomes used to quantify the impact of complex multimorbidity.,2026,Ciaran O'Neill,Analysing the impact of complex multimorbidity on health-related quality of life.
batch-0004,P27aee738b8ae,exclude,E4,"[E4] This mixed-methods study examines HIV-related intersectional stigma and caregiver wellbeing, not a measurement instrument or valuation method.",2026,Darshini Govindasamy,<p>Description of variables.</p>
batch-0004,P27fb0a56c1ed,exclude,E4,"[E4] This randomized trial evaluates befriending's effects on depression, anxiety, loneliness, and social support.",2026,Julie Ratcliffe,"Randomized Controlled Trial on the Impact of Befriending on Depression, Anxiety, Loneliness, and Social Support in Older People in Aged Care."
batch-0004,P298e61b9f889,exclude,E4,[E4] This protocol evaluates an AI diabetes insulin-dosing system; patient-reported outcomes are only secondary endpoints.,2026,Sander van Kuijk,Randomised Controlled Multicentre Trial to Investigate the Effectiveness of a <scp>Mobile Artificial</scp> Intelligence Solution for <scp>Diabetes</scp> Adapted Care: The <scp>MELISSA</scp> Trial Protocol
batch-0004,P2a338516176e,exclude,E4,"[E4] This qualitative study concerns parental vaccination decision-making and clinical counselling, not health measurement or valuation.",2026,thomas kohlmann,Konzepte der elterlichen Entscheidungsfindung zur Inanspruchnahme von Impfungen – eine qualitative Interviewstudie
batch-0004,P2c2d55d00804,exclude,E4,[E4] This clinical biomarker study tests serum amyloid A and other markers for predicting COVID-19 severity.,2026,Erwin Birnie,The Ability of Serum Amyloid A to Discriminate Coronavirus Disease 2019 ( <scp>COVID</scp> ‐19) Patients Who Stay Moderately Ill Versus Patients Who Become Severely Ill
batch-0004,P2c85704406c6,exclude,E4,[E4] This ophthalmology study quantifies retinal non-perfusion to characterize diabetic retinopathy and neovascularisation.,2026,Sarega Gurudas,Quantification of retinal non-perfusion in eyes with diabetic retinopathy to study the association with retinal neovascularisation: INSPIRED study report 3
batch-0004,P2ca0e54d348c,exclude,E4,[E4] This clinical observational study examines associations of fatigue with fitness and activity in inflammatory bowel disease.,2026,Sander van Kuijk,"Associations between fatigue, physical fitness, and physical activity in patients with inflammatory bowel disease."
batch-0004,P2d4bd1968a8b,exclude,E4,[E4] This ethnography studies clinical and logistical prioritization of patients awaiting elective surgery.,2026,Vivian Reckers-Droog,“They Are Not Going to Be Happy”: An Ethnographic Study of the Prioritization of Patients Awaiting Elective Surgery in an Academic Hospital in the Netherlands
batch-0004,P2d765b514b57,exclude,E4,[E4] This qualitative study explores patient and carer perspectives on reirradiation and future cancer trial design.,2026,Katie Spencer,"Patient perspectives on reirradiation for recurrent cancer, to inform future clinical trial design"
batch-0004,P2d9ddd5e9bc6,exclude,E4,"[E4] This Global Burden of Disease analysis reports prevalence and burden trends for mental disorders, not measurement-method research.",2026,Rainer Reile; Yared Belete Belay,"Updated trends in the global prevalence and burden of mental disorders, 1990–2023: a systematic analysis for the Global Burden of Disease Study 2023"
batch-0004,P2e309517146d,exclude,E1,[E1] PedsQL is used to quantify HRQoL outcomes and their clinical correlates in children with omphalocele.,2026,Tianxin Pan,Proxy-reported health-related quality of life in children with omphalocele: a cross-sectional study in China
batch-0005,P2e46fe9226d2,exclude,E4,[E4] This umbrella review assesses the clinical HbA1c effect of continuous glucose monitoring versus self-monitoring.,2026,Márta Péntek,Optimizing Glycemic Control Using Continuous Glucose Monitoring: An Umbrella Review of Systematic Reviews and Meta-Analysis
batch-0005,P2e7d447d56f1,exclude,E1,[E1] The qualitative study describes HRQoL impacts of obesity and bariatric surgery rather than developing or evaluating a measure.,2026,Jia Jia Lee,Health-related quality of life of people with obesity who have and have not received metabolic bariatric surgery: a qualitative study in Singapore
batch-0005,P2ea0c157acb1,exclude,E4,[E4] The cohort study quantifies healthcare use and costs during transition to adult care.,2026,Kim Dalziel,Trends in out-of-hospital healthcare use and costs in adolescents with complex conditions transitioning from pediatric care.
batch-0005,P30521c227125,exclude,E4,"[E4] This position paper concerns climate-resilient, low-carbon healthcare policy rather than health measurement or valuation.",2026,Martin Härter,"Perspektiven, Handlungsstrategien und Lösungsansätze für eine klimaresiliente und treibhausgasarme Gesundheitsversorgung."
batch-0005,P305fb1d6bead,exclude,E4,[E4] The study evaluates political turbulence and municipality financial performance.,2026,Camilla Falivena,Local government and political turbulences: evidence from municipality commissionership in Italy
batch-0005,P307710444a7d,exclude,E2,[E2] This cost-utility model uses QALYs to assess genetic-testing policy for hypertrophic cardiomyopathy screening.,2026,Marisa Da Santos,Genetic testing versus clinical screening for relatives of patients with hypertrophic cardiomyopathy in the Brazilian public health system: a cost-utility analysis
batch-0005,P3166a5813b06,exclude,E4,"[E4] The qualitative research develops an integrated-care service model, not a health measurement instrument.",2026,Sarah Derrett,Integrated Care Within New Zealand’s Specialist Mental Health and Addiction Services: Qualitative Research to Inform a New Model
batch-0005,P318f6f40e90d,exclude,E4,[E4] This randomized trial evaluates clinical and procedural outcomes of CT-guided ventricular tachycardia ablation.,2026,Maureen Rutten-van Molken,Computed tomography-guided vs conventional catheter ablation for ventricular tachycardia
batch-0005,P32487becaa3c,exclude,E4,[E4] This cross-sectional study identifies determinants of healthcare workers job satisfaction.,2026,Sayem Ahmed,The determinants of health workers' job satisfaction in the Saudi Arabian health facilities.
batch-0005,P32dec878df64,exclude,E1,[E1] Preference-based HRQoL utility scores are outcomes for associations with neonatal complications.,2026,Corneliu Bolbocean,Severe neonatal complications and long-term health-related quality of life in very preterm and/or very low birth weight survivors: evidence from the Dutch Project on preterm and small for gestational age cohort.
batch-0005,P3317b1bc3da4,exclude,E4,"[E4] This develops a resource- and time-use questionnaire for economic evaluation, not a health measurement or valuation method.",2026,Oliver Rivero-Arias,Development and Pretesting of the Children and Young People’s Time-Use Questionnaire for Use in Economic Evaluation
batch-0005,P342a0f781c4a,exclude,E2,[E2] This microsimulation calculates costs per QALY to compare multiple-sclerosis treatment sequences.,2026,Matthijs Versteegh,Cost-effectiveness of treatment sequences following first-line rituximab in relapsing-remitting multiple sclerosis: a Norwegian microsimulation study
batch-0005,P36c5c4814a5e,exclude,E1,[E1] WOMAC scores are clinical outcome measures used to study recovery after knee arthroplasty.,2026,Nick Bansback,WOMAC-based recovery after total knee arthroplasty in a multiethnic Asian cohort: a 5-year registry-based study of interval-specific predictors of improvement.
batch-0005,P37cfab7ad4a2,exclude,E2,[E2] This economic model calculates cost per QALY to compare atrial-fibrillation treatment sequences.,2026,Matthijs Versteegh,The Cost Utility of Rhythm Control Treatment Sequences in Patients with Atrial Fibrillation: Anti-arrhythmic Drugs Versus Catheter Ablation
batch-0006,P382d348d91f4,exclude,E4,"[E4] This evaluates healthcare use and costs after a pediatric emergency mental-health care bundle, not a measurement or valuation method.",2026,Arto Ohinmaa,Healthcare Cost Associated with an Acute Mental Healthcare Bundle in Pediatric Emergency Departments
batch-0006,P38ec898bd244,exclude,E4,"[E4] This network meta-analysis evaluates surgical excision margins and melanoma outcomes, not health measurement or valuation.",2026,Sander van Kuijk,Wide local excision margins in melanoma: a systematic review and network meta-analysis
batch-0006,P392eb28960ff,exclude,E4,[E4] This discusses legal and policy implications of EU health technology assessment rather than a health measure or valuation method.,2026,Maureen Rutten-van Molken,Legal implications of joint clinical assessments under the EU HTA regulation
batch-0006,P393ffa43e231,exclude,E2,"[E2] This cost-utility model uses QALYs to compare depression treatments, with QALYs as economic evaluation results.",2026,Lidia Engel; Yared Belete Belay,The Cost Effectiveness of Treatment Strategies for Depression in Ethiopia: A Multiple Cohort Markov Model Analysis.
batch-0006,P395843708e39,exclude,E1,[E1] This clinical trial protocol evaluates psychotherapy; EQ-5D-5L is a secondary quality-of-life outcome.,2026,Jan Busschbach,"Clinical and Cost-Effectiveness of Blended Cognitive Behavioral Therapy or Psychodynamic Therapy Versus Face-to-Face Psychotherapy for Depression (BLENDED Study): Protocol for a Pragmatic, Multicenter, Assessor-Blinded Randomized Controlled Noninferiority Trial."
batch-0006,P39dbfa6031b9,exclude,E4,"[E4] This survey describes clinical levetiracetam infusion practices and drug-compatibility priorities, not health measurement or valuation.",2026,Begashaw Melaku Gebresillassie,Subcutaneous Levetiracetam Use in Adult Palliative Care in Australia: A Cross-Sectional Survey
batch-0006,P39e2c8f4f39c,exclude,E4,[E4] This short report describes a patient-engagement network and PROM awareness activities rather than evaluating a health measurement instrument.,2026,Arto Ohinmaa,Patients as partners in a research advisory council role: describing the APERSU Patient Engagement Network
batch-0006,P39fa79b67f05,exclude,E4,"[E4] This cohort study describes post-injury work-participation trajectories and their predictors, not health measurement or valuation.",2026,Helen Harcombe; Sarah Derrett,Long-term follow-up of work participation among New Zealand workers following injury: A 12-year national cohort study.
batch-0006,P3a6bdbee3a6a,exclude,E1,[E1] This uses FACT-G7 quality-of-life scores to identify cancer patient trajectories and predictors rather than evaluating the measure.,2026,Maja Kuharic,Identifying Longitudinal Trajectories of Quality of Life and Associated Risk and Protective Factors Among Cancer Patients
batch-0006,P3b0b2e580102,exclude,E1,"[E1] This cross-sectional study describes child and caregiver HRQoL and associated factors, not a measurement method.",2026,Tianxin Pan,Health-related quality of life of children born with very low birth weight and their caregivers in China: a cross-sectional survey
batch-0006,P3c3cb82a8a4a,exclude,E4,[E4] This survey evaluates consumer experiences and outcomes of a publicly funded mental-health service.,2026,Jan Faller,Consumers' experiences with and outcomes from Better Access: Results from a national survey.
batch-0006,P3c5066d11ab9,exclude,E4,[E4] This latent-profile study examines social support and mental-health outcomes among housing-precarious residents.,2026,Eliza Wong,"Housing precarity and mental health among shoebox house residents in Hong Kong: latent profile analysis of perceived social support and its associations with loneliness, depression, anxiety and stress."
batch-0007,P3dc601d302ed,exclude,E4,"[E4] Assesses India's HTA ecosystem and policy processes, not a health measure or valuation method.",2026,Shankar Prinja,A Mixed-Methods Assessment of India's Health Technology Assessment Ecosystem.
batch-0007,P3f004c444d24,exclude,E2,[E2] Vaccine cost-effectiveness model uses QALYs as an outcome of an economic evaluation.,2026,Emelie Heintz,Informing decisions in light of parameter uncertainty - an economic evaluation of the adjuvanted recombinant herpes zoster vaccine in Sweden.
batch-0007,P404b5aaa0753,exclude,E4,[E4] Return-on-investment analysis evaluates alcohol-control policy impacts and monetary returns.,2026,Rainer Reile; Taavi Lai,Using a return on investment analysis to estimate the economic impact of potential changes to alcohol control policies in Estonia.
batch-0007,P41ebef78b1af,exclude,E1,[E1] Meta-analysis treats quality of life and satisfaction as outcomes of dolutegravir treatment.,2026,Abdulmuminu Isah,Impact of Dolutegravir-based regimens on patient satisfaction and quality of life among people living with HIV: a systematic review and meta-analysis
batch-0007,P41f2f2f7b3e7,exclude,E1,"[E1] Evaluates palliative-care service effects, with health and wellbeing scores as outcomes.",2026,Maureen Rutten-van Molken,Added value of a specialized mobile palliative care team compared to the usual care in the primary care setting of Croatia: a 3-month prospective cohort study
batch-0007,P430221291581,exclude,E4,[E4] Develops a reimbursement-pricing policy model rather than a health measurement or valuation method.,2026,Nils Gutacker,Value-based Pricing of Health Services with Health Equity Considerations
batch-0007,P430aceaeb386,exclude,E4,[E4] Survey describes complementary-medicine use and attitudes in pediatric gastrointestinal care.,2026,Ilan Koppen,"Attitudes toward the use of complementary and alternative medicine in children with gastrointestinal symptoms, a multicenter survey study among parents and pediatricians."
batch-0007,P43731963824d,exclude,E5,[E5] The supplied abstract identifies this publication as a commentary rather than an eligible research article.,2026,Janine Verstraete; Philip Powell; Simone Schieskow; Tessa Peasgood,Measuring health-related quality of life in infants and toddlers: conceptual challenges and proposed recommendations
batch-0007,P44109148d1dd,exclude,E3,[E3] Discrete choice experiment elicits public preferences for rare-drug reimbursement assessment pathways.,2026,Deborah Street,Societal Preferences for Assessment Pathways of Rare Disease Drugs: A Discrete Choice Experiment
batch-0007,P4451beb915c6,exclude,E4,[E4] Observational study examines breastfeeding associations with children's dietary habits.,2026,Narcis Gusi,Breastfeeding and dietary habits in childhood and adolescence: the PASOS study
batch-0007,P452e416bce5b,exclude,E4,[E4] Regulatory study compares oncology approval pathways across jurisdictions.,2026,Seungjin Bae,"FDA first to global follow-on: alignment in expedited oncology approvals across EMA, TGA, and PMDA"
batch-0007,P45bc99ad6a52,exclude,E4,[E4] Cohort study evaluates survivorship-care effects on disease burden and clinical outcomes.,2026,Juanita Haagsma,The impact of survivorship care on burden of disease among Hodgkin lymphoma survivors
batch-0007,P470669829dcb,exclude,E4,[E4] Systematic review concerns feedback to emergency physicians and diagnostic performance.,2026,Juanita Haagsma,The effect of feedback on the diagnostic process of physicians at the emergency department: a systematic review
batch-0007,P474d614fdd89,exclude,E4,[E4] Markov-model study estimates the real option value of cancer treatment innovations.,2026,Cynthia L. Gong,The value of innovation in breast cancer treatment: real option value of olaparib for first-line treatment of gBRCA-mutated HER2 negative metastatic breast cancer.
batch-0007,P47a2c086b81b,exclude,E1,"[E1] Protocol studies meditation effectiveness, with quality of life as a planned outcome.",2026,Cate Bailey,The Effectiveness and Exploratory Cost-Effectiveness of Regular Meditation for Improving Quality of Life: Protocol for a Prospective Longitudinal Cohort Study.
batch-0007,P4827ba0251a5,exclude,E1,"[E1] Compares hearing interventions, with utility and quality-of-life measures used as outcomes.",2026,Shankar Prinja,Comparison of utility measures and auditory performance in children with cochlear implants and hearing aids in India: a cross-sectional study
batch-0007,P48bb48897608,exclude,E4,[E4] Wastewater-surveillance study predicts COVID-19 cases and testing outcomes in care facilities.,2026,Arto Ohinmaa; Jiabi Wen,Site-specific wastewater-based surveillance in early detection of COVID-19 new cases and prediction of mass testing outcomes in long-term care facilities
batch-0008,P49e809239ee3,exclude,E2,[E2] This economic evaluation compares peanut allergy treatments using costs and QALYs as results.,2026,Kim Dalziel,Cost-Effectiveness of Oral Immunotherapy Treatments vs No Treatment for Peanut Allergy in Children
batch-0008,P4a2cfec8655b,exclude,E4,[E4] This difference-in-differences study evaluates Medicaid expansion effects on child coverage and service use.,2026,Kim Dalziel,Association of Medicaid expansion with children's insurance coverage and healthcare utilization.
batch-0008,P4b8022ab326d,exclude,E4,[E4] This clinical imaging cohort estimates macular neovascularization prevalence and evaluates an OCT surrogate.,2026,Sarega Gurudas,Nonexudative Macular Neovascularization in Age-Related Macular Degeneration
batch-0008,P4c11d924c70f,exclude,E3,[E3] The DCE elicits public preferences and willingness to pay for a multidisciplinary care service.,2026,Ilias Goranitis; Tianxin Pan,Public Preferences and Willingness to Pay for a Multidisciplinary Colorectal and Pelvic Reconstruction Service.
batch-0008,P4d05169bb415,exclude,E4,"[E4] This qualitative study concerns clinicians perspectives on treatment of ocular redness, not measurement research.",2026,Katy Gallop,Perspectives of Healthcare Professionals on the Treatment Landscape of Ocular Redness.
batch-0008,P4e46e06eccbf,exclude,E1,"[E1] EQ-5D, PedsQL, and related measures are outcomes for assessing physical-distancing associations.",2026,Philip Powell,Assessing the association of physical distancing to avoid COVID-19 with health-related quality of life in immunocompromised adolescents: results from the cross-sectional observational EAGLE study
batch-0008,P4edd9399eda8,exclude,E4,[E4] This qualitative study identifies barriers and facilitators to sexual and reproductive health service uptake.,2026,Richard Norman,"Barriers and facilitators to sexual and reproductive health services among adolescents and young adults in Sidama region, Ethiopia: a qualitative study."
batch-0008,P4f81b679d6ad,exclude,E4,"[E4] This systematic review addresses preferences for return of genomic test findings, not health measurement.",2026,Ilias Goranitis,Systematic review of preferences for additional findings from genomic testing.
batch-0008,P50970fa11377,exclude,E2,[E2] This budget-impact model evaluates costs of implementing a breast-cancer prognostic test.,2026,Oriana Ciani,Budget impact analysis of Oncotype DX® multigenic prognostic test in patients with early breast cancer in Italy.
batch-0008,P5109e1dc35d4,exclude,E4,[E4] This machine-learning study classifies PubMed records rather than evaluating an EQ instrument or valuation method.,2026,Márta Péntek,Automated Classification of EQ-5D Literature in PubMed Using Multi-Phase Learning and LLM-Assisted Co-Training
batch-0008,P51bf70cb7ef6,exclude,E5,"[E5] The supplied field is manuscript text with author and publisher boilerplate, not a usable article abstract.",2026,Erwin Birnie,What is the impact of an advanced hybrid closed-loop system on weight control among people with type 1 diabetes?
batch-0008,P52f5ff731d2f,exclude,E4,"[E4] This stakeholder study develops immunization-uptake archetypes and policy responses, not health measurement.",2026,Abdulmuminu Isah,Leaving no child behind? developing zero-dose and under-immunized child archetypes to improve vaccine uptake in Nigeria
batch-0008,P52fbf0bc8efb,exclude,E4,[E4] This public deliberation concerns implementation and sharing policy for pharmacogenomic testing.,2026,Stirling Bryan,"Guidance from an informed public on collecting and sharing PGx test results for major depressive disorder: ""It's no different from your blood type""."
batch-0008,P532b184a8c24,exclude,E4,"[E4] This population survey assesses contemplative practices and mental-health associations, not a measurement method.",2026,Cate Bailey,Contemplative practices serve as complementary mental health strategies in nationally representative samples from Australia and New Zealand.
