selection_order	paper_id	project_id	article_path	assignment	source_sha256	bytes	summary_path	broad_reason
11	10.1007/s40273-018-0694-6	2015300	corpus/2015300/doi_10.1007_s40273-018-0694-6.md	shared	8faf1d25d9d2ce761d7ee8a04c18a3ef15fb82c2e9d1dc14d4f3613d98191762	88551	summaries/S011.md	DCE health-state design; severity stratification; experimental design and task attributes
12	10.1007/s40273-025-01545-5	432-RA	corpus/432-RA/doi_10.1007_s40273-025-01545-5.md	C	2ab6929abda8f2912cf56f267942426f5c602b188f8d6491fd348fa3df46ea30	62941	summaries/S012.md	EQ-5D-Y-3L valuation; child and adult perspective; OPUF and DCE comparison
13	10.1007/s40273-019-00876-4	20170510	corpus/20170510/doi_10.1007_s40273-019-00876-4.md	B	8bd8f189f9c3e73dae9d85dda89b1ce5bdb9175a9a8d009d3abe13f5643fbcfc	67028	summaries/S013.md	French EQ-5D-5L value set; national valuation; study design, methods, and tariff product
14	10.1007/s11136-016-1445-9	2013240	corpus/2013240/doi_10.1007_s11136-016-1445-9.md	A	f908c91c08b380a0eccedaf7100b6f909ca4908c16ce1ecb076e5c7371c186e8	60714	summaries/S014.md	EQ-5D-5L valuation quality control; feedback loops; interviewer and data-quality process
15	10.1007/s40271-024-00708-4	304-PHD	corpus/304-PHD/doi_10.1007_s40271-024-00708-4.md	C	88a8fbfa8c75bcf902b77e17a48a32df69935d546d0db120706f518d4569bf76	53929	summaries/S015.md	Online DCE Kaizen tasks; task performance; design and respondent behaviour
16	10.1136/bmjopen-2023-077256	304-PHD	corpus/304-PHD/doi_10.1136_bmjopen-2023-077256.md	A	cec51b4b9a428e0f544c14391873d8e6205951570ac55ebcf88f886f2563cb36	39142	summaries/S016.md	Child EQ-5D-Y-3L valuation protocol; DCE paired comparison and Kaizen tasks; experience scale
17	10.1007/s10198-018-0993-z	2014170	corpus/2014170/doi_10.1007_s10198-018-0993-z.md	shared	9a859cd03aa3256bbd52a6fac01749ca85e7d878770f3d212d83ce3ec304a741	80616	summaries/S017.md	Personal utility functions; alternative valuation method; direct elicitation and individual utilities
18	10.1186/s12955-024-02266-7	341-RA	corpus/341-RA/doi_10.1186_s12955-024-02266-7.md	C	fc29e562638e700d12dcdb40596879f0dde16b982ea6e0f13fce2dc1d2d341ff	123881	summaries/S018.md	Trinidad and Tobago EQ-5D-5L value set; national population; valuation study and tariff
19	10.1016/j.jval.2024.05.016	341-RA	corpus/341-RA/doi_10.1016_j.jval.2024.05.016.md	shared	3d23652cd843eb24d67f4d5f361b7741bf57a508ed3b0145bfcb364655876248	48268	summaries/S019.md	DCE with duration versus cTTO; direct method comparison; health-state valuation findings
20	10.1007/s10198-020-01205-9	2016570	corpus/2016570/doi_10.1007_s10198-020-01205-9.md	C	e0ec77f46624ebf9052b6ffb529918fbfd19e7affd57f7dd8583b72758151a0c	93389	summaries/S020.md	EQ-5D-Y latent scale; methods for the dead anchor; scale construction and valuation analysis
21	10.1007/s11136-020-02712-1	2016470	corpus/2016470/doi_10.1007_s11136-020-02712-1.md	B	4f1a49da1d95d6c19834368504c32de36b541e51310ed101e8616eaf45d850c7	66890	summaries/S021.md	Online versus face-to-face EQ-5D-5L cTTO; administration mode; comparability and quality
22	10.1007/s40273-021-01100-y	20180130	corpus/20180130/doi_10.1007_s40273-021-01100-y.md	B	06530b94e4e1d06f6722be7b04dff4bddc1770ac22632530caa38a12f6bc002e	97000	summaries/S022.md	Egypt EQ-5D-5L value set; national valuation; cTTO, DCE, sampling, and tariff
23	10.1007/s40258-021-00639-3	20170401	corpus/20170401/doi_10.1007_s40258-021-00639-3.md	shared	f819b66a1c448d8dbf462e19758f9dff61963137d65bba82baacc1a9905aeb57	77402	summaries/S023.md	Danish EQ-5D-5L value set; hybrid cTTO and DCE; model selection and tariff
24	10.1007/s40258-025-00954-z	1767-RA	corpus/1767-RA/doi_10.1007_s40258-025-00954-z.md	C	de0405964ea0d43d90d3fa0acc825ce046c65bff84aef08a44942b8040365452	68428	summaries/S024.md	EQ-VT versus crosswalk EQ-5D-5L value sets; valuation product comparison
25	10.1002/hec.4529	20190080R1	corpus/20190080R1/doi_10.1002_hec.4529.md	A	24e34bf2461ce3ff26ab79718ac248685993a16e57942331dda5fcca6450c417	97490	summaries/S025.md	Composite TTO; discounting and loss aversion corrections; valuation model adjustment
26	10.1007/s40271-020-00490-z	20190080R1	corpus/20190080R1/doi_10.1007_s40271-020-00490-z.md	A	a84df7d92de7535ed71babcf68e6aae70a1145abe782288271a6a7f82557c06f	60814	summaries/S026.md	Digital interviewer-assisted Tele-TTO; online administration; feasibility and lessons learned
27	10.1186/s12955-023-02144-8	20180030R1	corpus/20180030R1/doi_10.1186_s12955-023-02144-8.md	B	4751d9ab38892ef830f5ae1ab94182ed96f643ae720b545fb4b4f1f1cdfd7832	72829	summaries/S027.md	Romanian EQ-5D-3L and EQ-5D-5L population norms; country and instrument comparison
28	10.1007/s40273-025-01519-7	1741-RA	corpus/1741-RA/doi_10.1007_s40273-025-01519-7.md	C	42eb455e48c118aebbb880a56da2157e3236918ebc16f09c140f8d91399f8507	96091	summaries/S028.md	Singapore EQ-5D-5L value set; national valuation; study design and tariff
29	10.1007/s40273-017-0538-9	2013240	corpus/2013240/doi_10.1007_s40273-017-0538-9.md	A	0b9f6fafcfa8ad499c3fa45890a2f65f47f9c033f161472248c4d2e5f1832ed9	81428	summaries/S029.md	Indonesian EQ-5D-5L value set; national valuation; population, method, and tariff
30	10.1007/s40258-022-00772-7	20190460	corpus/20190460/doi_10.1007_s40258-022-00772-7.md	A	a7845f657f23302e62c6915868cbcf0c8530bab59d535c2ddd02031a21b3d02f	132749	summaries/S030.md	Italian EQ-5D-5L population norms; general population reference values
31	10.1371/journal.pone.0319227	348-PHD	corpus/348-PHD/doi_10.1371_journal.pone.0319227.md	B	87a2c313ac7b1cdde3152331e303e0015897a8f79614135163db1d1f16701e70	163225	summaries/S031.md	Qualitative PTO study; child versus adult health gains; reasoning and population perspectives
32	10.1007/s40273-025-01493-0	348-PHD	corpus/348-PHD/doi_10.1007_s40273-025-01493-0.md	shared	5b830978c69c11c5a256b6b3e293431ef260509a9877c79d634e97896f725209	100833	summaries/S032.md	Systematic review of adult versus child health-state values; methods and evidence gaps
33	10.1007/s40271-025-00749-3	1559-RA	corpus/1559-RA/doi_10.1007_s40271-025-00749-3.md	shared	9b7d8c90c5ec3545b24746ae62fa16778a3e6e71881d4d2579a9100f9586e981	56703	summaries/S033.md	EQ-HWB content validity in caregivers; proxy perspective; carer quality of life
34	10.1007/s11136-020-02718-9	2016710	corpus/2016710/doi_10.1007_s11136-020-02718-9.md	shared	421a9be9357f6020c7cdb5b8a40e84634618ef1aa32c23b36bae42cc2dd59006	36139	summaries/S034.md	Preference-based measure item selection; criteria and economic-evaluation content coverage
35	10.1017/S0266462326103602	1505-RA	corpus/1505-RA/doi_10.1017_s0266462326103602.md	C	4f26cab992adb34e099c71814ee81c54b02de2bffc8ad03c5f824627b93901be	101826	summaries/S035.md	HTA agency survey; HRQoL evidence needs; decision-maker use case and evidence gaps
36	10.1007/s10198-018-0987-x	20170450	corpus/20170450/doi_10.1007_s10198-018-0987-x.md	C	fc488afa7b1a983ed266cae605368061b0e9fb85c5648b5e2a1ee89cec5aa645	39487	summaries/S036.md	Mapped EQ-5D utilities in cost-effectiveness analysis; dialysis example; economic use
37	10.1007/s40273-021-01109-3	20190220	corpus/20190220/doi_10.1007_s40273-021-01109-3.md	shared	cf31a37b75f604d90ea7bd64f93d855ddb880c59808428bcdbe9bafde22baa16	61036	summaries/S037.md	PROPr versus EQ-5D-5L value sets; preference-based scoring and comparative utility product
38	10.1007/s40273-022-01222-x	409-RA	corpus/409-RA/doi_10.1007_s40273-022-01222-x.md	C	c015cd457d432d5aa1995bc6baf79cc906f7360a2d065bfba7c6716f7490ca94	42476	summaries/S038.md	US stakeholder roundtable; EQ-5D-Y-3L valuation; policy and child-health perspectives
39	10.1007/s11136-024-03618-y	342-RA	corpus/342-RA/doi_10.1007_s11136-024-03618-y.md	shared	d6179a7caa21fee0c9f0805d48adbbcae6b63fb84f3fc2894fa9ed1d66f5de18	48199	summaries/S039.md	Canadian stakeholder views; measuring and valuing child and adolescent health; qualitative use case
40	10.3390/curroncol32110645	1456-PD	corpus/1456-PD/doi_10.3390_curroncol32110645.md	A	c56fde022f3c5b0ab1a9fe9a206c95f38c6f711c734b82bb98778c78058e1ba4	58691	summaries/S040.md	Equity-related factors and EQ-5D-3L utilities in cancer; distributional and economic evidence
41	10.3390/curroncol32060308	1456-PD	corpus/1456-PD/doi_10.3390_curroncol32060308.md	C	b41f30156f7d0c2ff1846461be46a8a612149492a2cd74a9b561c9b49b3f17e5	50596	summaries/S041.md	Routine EQ-5D collection in oncology; patient feasibility and implementation experience
42	10.1007/s40271-025-00787-x	150-RA	corpus/150-RA/doi_10.1007_s40271-025-00787-x.md	shared	e7965b5dc59a53e55c9373ecc2a8034e0713aaa36b63d68d2a22598e838f5219	84703	summaries/S042.md	Routine quality-of-life measurement in residential aged care; pilot feasibility and administration
43	10.1007/s40271-025-00729-7	150-RA	corpus/150-RA/doi_10.1007_s40271-025-00729-7.md	A	fb4d743f9a0e75d57decc78b76c41075602e60ef190ae1c99d2df742b6f455ec	70997	summaries/S043.md	Routine quality-of-life measurement; staff, resident, and family perspectives; implementation
44	10.1007/s40271-022-00572-0	20180130	corpus/20180130/doi_10.1007_s40271-022-00572-0.md	A	16363aec8ce4fc47fc6bec548210daeb93cfedbff813015fa70eee75d1db66c9	58495	summaries/S044.md	Determinants of health preferences; Egyptian EQ-5D-5L valuation data; respondent heterogeneity
45	10.1007/s40273-025-01476-1	1578-RA	corpus/1578-RA/doi_10.1007_s40273-025-01476-1.md	C	5458440de4fda7b5d6a24520f6806e84f8655377b767d63a053525ddced5fe11	43713	summaries/S045.md	Taxonomy for value-set obsolescence; validity over time; decision use and updating
46	10.1002/hsr2.70308	20190690	corpus/20190690/doi_10.1002_hsr2.70308.md	shared	343051bd13c04d48c1fad267f6e6fe42b1b3d09fb2b7ba32a4ad0bfb36f4cf79	58585	summaries/S046.md	Patient-reported outcomes in primary care; program use and EQ-5D health-status measurement
47	10.1186/s12955-023-02207-w	20190690	corpus/20190690/doi_10.1186_s12955-023-02207-w.md	C	6631e86a3d8ebc116dfd697dcd2bf677854c1f796e4a5e63a732ffc1480a89e9	82335	summaries/S047.md	Community rehabilitation use of EQ-5D-5L; patient-reported outcome implementation
48	10.1186/s12889-018-5706-0	2013240	corpus/2013240/doi_10.1186_s12889-018-5706-0.md	C	a87301d2f9843a690a82156a6439327902948364a5d42df83c2150818f23262f	67215	summaries/S048.md	EQ-5D health status in flood and pollution exposure; population and environmental context
49	10.3389/fpubh.2021.744405	20180630	corpus/20180630/doi_10.3389_fpubh.2021.744405.md	B	258a976ef51d38c150d4eefacb68da9c595ee44aeaf7e6c510ea7c7bb767b414	134250	summaries/S049.md	EQ-5D health inequality analysis in Europe; population distribution and policy use
50	10.1007/s11136-026-04285-x	460-RA	corpus/460-RA/doi_10.1007_s11136-026-04285-x.md	B	d62ced1967083428bb2c81d5a06b79c932bc7ad0e62f8d7f596dd038ff9ef1fc	89156	summaries/S050.md	Socioeconomic inequalities in EQ-5D-5L during COVID-19; multi-country population comparison
51	10.1186/s41687-025-00985-z	1492-RA	corpus/1492-RA/doi_10.1186_s41687-025-00985-z.md	A	975b85316c338820d1694979d7df6a5fde53cfa68dc0bfab4a9609330c958d7f	49236	summaries/S051.md	EQ-5D-Y-5L Arabic translation; cultural adaptation; language and child instrument
52	10.1007/s11136-024-03875-x	1475-RA	corpus/1475-RA/doi_10.1007_s11136-024-03875-x.md	A	f8d32a59a6e392759fc0c38accaee1b28f75699d4ff172abdcc62c41f4c4719f	64852	summaries/S052.md	EQ-5D-5L bolt-on content validity; atopic dermatitis and urticaria; qualitative interviews
53	10.1007/s11136-025-04133-4	1816-RA	corpus/1816-RA/doi_10.1007_s11136-025-04133-4.md	A	cae39aa6cf1b317a30f9720046095b41b03b2099917a35d2bf8a92ff14afcab1	75885	summaries/S053.md	EQ-5D-5L breathing and cognition bolt-ons; post-COVID population; validity testing
54	10.1007/s11136-021-02922-1	20170130	corpus/20170130/doi_10.1007_s11136-021-02922-1.md	B	8fa7e4ee78bbb8bd6bf393a22c7728963cb473780518d3d64ebd4ec65dd7fe76	71168	summaries/S054.md	EQ-5D-5L level summary score; non-parametric item response theory; alternative scoring product
55	10.1007/s10198-024-01719-6	238-RA	corpus/238-RA/doi_10.1007_s10198-024-01719-6.md	A	7ca37497aa5ba3a9bab94fe0156583e85bd35a99d4934ff5af8381837dda5394	101030	summaries/S055.md	EQ-5D-5L bolt-ons; coeliac disease; cognition, sleep, tiredness, and gastrointestinal content
56	10.1371/journal.pone.0197098	2013240	corpus/2013240/doi_10.1371_journal.pone.0197098.md	A	4d4db2458959f4df73e503f80a37a9bff816b1dcfae9d0c980b1606ff34f57b7	142228	summaries/S056.md	Indonesian EQ-5D-5L population norms; test-retest reliability; WHOQOL-BREF comparison
57	10.1007/s11136-025-03996-x	330-PHD	corpus/330-PHD/doi_10.1007_s11136-025-03996-x.md	C	5e7dd427dd3e9ecb19ee3957b0623b7b932aa6d983274de82d67e97340ed5464	69560	summaries/S057.md	EQ-5D-Y-5L implementation; paediatric PROM; co-design and routine clinical use
58	10.1007/s10198-021-01306-z	2016710	corpus/2016710/doi_10.1007_s10198-021-01306-z.md	shared	3fd5eca21b9429c79f5c0947e286ee07919dea027a79fd7f4a03fd45cd902b0b	92752	summaries/S058.md	EQ-HWB domain development; health, social care, and carer quality of life; item selection
59	10.1186/s12955-021-01889-4	20180140	corpus/20180140/doi_10.1186_s12955-021-01889-4.md	C	79e8843b7da9d11963e6465e2931cf1f29ee6212992869587471b41ad81271ec	79549	summaries/S059.md	EQ-5D-Y-3L versus EQ-5D-Y-5L; paediatric measurement properties; self-report comparison
60	10.1007/s10198-025-01804-4	361-RA	corpus/361-RA/doi_10.1007_s10198-025-01804-4.md	B	be0916097ef976b47526e6d5f9f4d6cfbd00e87452fabd3b0a581e02da37db6a	99398	summaries/S060.md	EQ-TIPS versus PedsQL; young children; comparative psychometric performance
61	10.1007/s11136-025-04150-3	365-RA	corpus/365-RA/doi_10.1007_s11136-025-04150-3.md	shared	84b48b2cb480dfcce2baff045168cea58615e2e013c0c9a5d31243c1c6e472be	101717	summaries/S061.md	EQ-TIPS instrument development; expert qualitative content validity; infant and toddler concepts
62	10.1186/s12955-024-02290-7	364-RA	corpus/364-RA/doi_10.1186_s12955-024-02290-7.md	A	9ee7dfff9c287e3c6dd4abab83be9d2f3d32ca4212aa8fae20b4b93c39a717f0	52978	summaries/S062.md	Singapore English EQ-5D-Y adaptation; cross-cultural content validation; qualitative method
63	10.4314/ahs.v23i4.63	20190670	corpus/20190670/doi_10.4314_ahs.v23i4.63.md	C	176cd4158f86738c029652d417fd23da62f2897e225b59b712d3b49fe229af24	69709	summaries/S063.md	IsiXhosa EQ-TIPS; reliability and validity; language, infant population, and psychometrics
64	10.1007/s11136-019-02115-x	2014160	corpus/2014160/doi_10.1007_s11136-019-02115-x.md	B	04548203cbc5d71bba6264c57524d711ef2883c370edc52006135a39e0eab645	69271	summaries/S064.md	EQ-5D-Y-5L development; revised response categories; instrument design and content
65	10.1136/bmjopen-2025-100897	1850-RA	corpus/1850-RA/doi_10.1136_bmjopen-2025-100897.md	B	f83ed58dfff092519efdabb2f3834c61508af16a0b7b7a77e0ef08e51413eed1	42479	summaries/S065.md	EQ-TIPS descriptive system protocol; DCE in instrument development; infant and toddler tasks
66	10.1007/s11136-025-03917-y	401-RA	corpus/401-RA/doi_10.1007_s11136-025-03917-y.md	B	eeabd3663904bad836797acd1c6fc8c8a5c04853c21884595173876738829651	56224	summaries/S066.md	EQ-5D-Y content validity in Chinese children; qualitative cognitive and comprehension evidence
67	10.1007/s11136-025-04038-2	1485-RA	corpus/1485-RA/doi_10.1007_s11136-025-04038-2.md	A	168d53aed9f5436771a17e2560de98f312835ceea2df0b76cf64f31f8de92608	76716	summaries/S067.md	Layperson quality-of-life framework; qualitative comparison with EQ-HWB; conceptual coverage
68	10.1007/s40273-022-01172-4	20170600	corpus/20170600/doi_10.1007_s40273-022-01172-4.md	B	c9264d51f9a9d96f1625217f05572b96dee60905081203f8f5e7cc21248f6c7f	84705	summaries/S068.md	EQ-5D-3L versus EQ-5D-5L responsiveness; nine country value sets; longitudinal outcomes
69	10.1186/s41687-025-00928-8	436-RA	corpus/436-RA/doi_10.1186_s41687-025-00928-8.md	B	544b05d801a8cf385f60d4784e189a2bd1bb54e8148c9072199907de1e38775c	95266	summaries/S069.md	EQ-5D-Y-3L self versus proxy reports; Ethiopian paediatric inpatients; psychometric testing
70	10.1186/s12955-024-02323-1	341-RA	corpus/341-RA/doi_10.1186_s12955-024-02323-1.md	B	0799a7ca241ea73db2689a91cd923cc608fd84703978215f058bca66c700cf9a	106425	summaries/S070.md	Trinidad and Tobago EQ-5D-5L population norms; health inequality; time comparison
71	10.1007/s40273-018-0642-5	2016170	corpus/2016170/doi_10.1007_s40273-018-0642-5.md	shared	2db101c7ed9e576690145c64ba93fbb06f684053fb8ed9af2058f27508d0b6fa	84553	summaries/S071.md	Systematic review of EQ-5D-3L versus EQ-5D-5L measurement properties; evidence synthesis
72	10.1007/s11136-020-02688-y	2016170	corpus/2016170/doi_10.1007_s11136-020-02688-y.md	shared	5d7c04ab1bf4b1d87968b8d8cc575c55820c8c1ea3019acf189a876b1f32bb96	121988	summaries/S072.md	Systematic review of EQ-5D-5L psychometric properties; validation domains and study designs
73	10.1186/s12955-022-02031-8	20190360	corpus/20190360/doi_10.1186_s12955-022-02031-8.md	shared	a9ce9d98d6772f8ca2c8259be4b7241093c38ab84eef10fb7e0b5ec909864ba8	37525	summaries/S073.md	US EQ-5D-3L versus EQ-5D-5L measurement; value-set based analysis across health levels
74	10.1186/s12955-024-02305-3	343-RA	corpus/343-RA/doi_10.1186_s12955-024-02305-3.md	B	757e1baa4498c9417d49250c5778c3779767e29089b5a2c1f1d4a0b177bb0748	88414	summaries/S074.md	Amharic EQ-5D-5L psychometric properties; Ethiopian cervical cancer patients; translation and validation
75	10.1186/s13561-022-00374-y	2015200	corpus/2015200/doi_10.1186_s13561-022-00374-y.md	shared	1c7fb39d9cffe89541b94fa518ae8afd94f822b4b2d8792b199dd741b9cc4580	56852	summaries/S075.md	EQ-5D-3L and EQ-5D-5L feasibility; general population; age and administration burden
76	10.1007/s11136-021-03007-9	2015200	corpus/2015200/doi_10.1007_s11136-021-03007-9.md	A	e43e3d21c78a317a2f2181a314f7527590cf888c097e4a70bd1637db1a9197e7	70639	summaries/S076.md	EQ-5D feasibility in older adults; systematic review; population and mode considerations
77	10.1186/s12955-021-01719-7	2015200	corpus/2015200/doi_10.1186_s12955-021-01719-7.md	B	4c6b2739bc907147316f2fe0db47f10f23607ce62818c8a55f6d2eb25e0d3be8	87701	summaries/S077.md	German elderly EQ-5D-5L reference values; population norms; age and health distribution
78	10.1186/s12955-026-02521-z	1599-RA	corpus/1599-RA/doi_10.1186_s12955-026-02521-z.md	shared	fe11c740a375b5f94ab2d8feb4f98d90e4e189546cd02cb2a19182ab627ad1b9	109181	summaries/S078.md	EQ-5D-5L versus EQ-HWB measures; heatwave impact; older adults and responsiveness
79	10.1007/s11136-025-04077-9	337-RA	corpus/337-RA/doi_10.1007_s11136-025-04077-9.md	B	c9d991ea736c679c545b095bb80a894864796b8403649cedc05be2522930889f	86999	summaries/S079.md	EQ-5D measurement properties in upper respiratory disease; systematic review
80	10.1007/s11136-024-03754-5	243-RA	corpus/243-RA/doi_10.1007_s11136-024-03754-5.md	B	1f4f3868188c77fe478b58029a12ec85b41ec4a07dccd704cc64d7e86ed5bc40	79308	summaries/S080.md	EQ-5D-5L anxiety/depression dimension; general population; construct performance
81	10.1007/s11136-026-04229-5	1572-RA	corpus/1572-RA/doi_10.1007_s11136-026-04229-5.md	A	2edd82f5849a21778052e471312bd497b678bf45b8c0eb51d166cbb68f175bb4	98062	summaries/S081.md	EQ-5D-3L versus MSIS-8D; multiple sclerosis; acceptability, validity, responsiveness
82	10.1016/j.jval.2024.05.007	1455-RA	corpus/1455-RA/doi_10.1016_j.jval.2024.05.007.md	C	a55842c5bb3a6a511e2fee5390afac23f8a040010f4a9eaae079177352cde411	47849	summaries/S082.md	EQ-HWB-S psychometric performance; United Kingdom population; preference-based instrument evaluation
83	10.1007/s11136-024-03770-5	1612-RA	corpus/1612-RA/doi_10.1007_s11136-024-03770-5.md	C	d02dc1ce63b89816fd52615b86d20a31331905b73e4e44f0d09a59e47f3edf57	47993	summaries/S083.md	Demographic change and value-set validity; obsolescence and population change
84	10.1177/0272989X20969686	20170210	corpus/20170210/doi_10.1177_0272989x20969686.md	C	3ae3da8629d8b0716d2e0a96569796b3bf81b1eb5c5c13fe54038d2d46676d99	65568	summaries/S084.md	EQ-5D bolt-on selection; hearing, sleep, cognition, energy, and relationships; pairwise choices
85	10.1186/s12955-022-01996-w	20180140	corpus/20180140/doi_10.1186_s12955-022-01996-w.md	B	c9dffe6ec38add6ccc58bd6db7acdfa367a47db3c9b57783046d620661f520fb	61492	summaries/S085.md	EQ-5D-Y proxy reporting; self-report agreement; paediatric psychometric performance
86	10.1186/s12955-020-01394-0	20180330	corpus/20180330/doi_10.1186_s12955-020-01394-0.md	A	8d250ffb8013236f7870be5a94b4dde2858c3dee9c4e4f682e183a2d9812ae15	45118	summaries/S086.md	EQ-5D-5L pain/discomfort; burn patients; pain and itching construct validity
87	10.1186/s41687-021-00406-x	20180330	corpus/20180330/doi_10.1186_s41687-021-00406-x.md	C	fe477440530ace405a6cecf67757561a5949bdbe68b20b111c0161aec6b75e1c	60136	summaries/S087.md	EQ-5D-5L fatigue bolt-on; general population; psychometric improvement
88	10.1007/s41669-024-00486-7	351-RA	corpus/351-RA/doi_10.1007_s41669-024-00486-7.md	A	dd0eab4abc6332fc9965a9e57ff912ee12fa04bd7b6f6e9f6836cb54f1a8094f	62604	summaries/S088.md	Qualitative study of EQ-5D valuation interviewers; interviewer performance and administration
89	10.1007/s11136-025-04074-y	367-RA	corpus/367-RA/doi_10.1007_s11136-025-04074-y.md	shared	228dc3ca0c53db29e5f6de64f2702c80bcdf1e110f3a67319d213c77b3859e02	90076	summaries/S089.md	EQ-DAPHNIE data-quality controls; pilot and 15-country implementation; survey quality
90	10.1007/s10198-024-01682-2	444-RA	corpus/444-RA/doi_10.1007_s10198-024-01682-2.md	shared	3d8470dfc1520b9b531b28b99ba49d0ce187e0e0861fb15bc2979418effaf7c2	74791	summaries/S090.md	EQ-5D-3L, EQ-5D-5L, and SF-6Dv2; late-onset Pompe disease; measurement comparison
91	10.3389/fepid.2023.1144162	460-RA	corpus/460-RA/doi_10.3389_fepid.2023.1144162.md	shared	5f3bd0b79e50eb3cc64cc38855dc6166f24d0376f5cf183e648cb1d8459485c3	82786	summaries/S091.md	EQ-5D health-related quality of life; post-COVID condition; cross-sectional and longitudinal design
92	10.1007/s11136-026-04242-8	464-RA	corpus/464-RA/doi_10.1007_s11136-026-04242-8.md	B	a95441ee959867de73c67af105bd93c343dc4453809d7455737e8f433770316a	82441	summaries/S092.md	PROMIS-16 versus EQ-5D-5L; US general population; direct instrument comparison
93	10.1007/s11136-025-04053-3	464-RA	corpus/464-RA/doi_10.1007_s11136-025-04053-3.md	B	3fa162d26ae19af9e943bd2a95c295b5e88cb9e245bac2cc14f9cab2cdd7e653	175490	summaries/S093.md	EQ-5D-5L composite and item psychometrics; US general population; age effects
94	10.1007/s11136-025-03983-2	367-RA	corpus/367-RA/doi_10.1007_s11136-025-03983-2.md	C	afc648a5368fb945d630b3b9a8cae8a92a9f18b8b489be05f308847bd549dc77	73694	summaries/S094.md	EQ-DAPHNIE population study; population health needs; instrument evaluation and data structure
95	10.1007/s11136-026-04294-w	367-RA	corpus/367-RA/doi_10.1007_s11136-026-04294-w.md	A	dbe2990bb84c15095eacc4d25bcdb85b95666052542c97e294532eb4fd608842	49090	summaries/S095.md	EQ-5D-5L and quality-of-life inequality; population analysis; inequality measurement limits
96	10.1007/s11136-026-04246-4	361-RA	corpus/361-RA/doi_10.1007_s11136-026-04246-4.md	C	804d9f62adb6efca547e8afaf1ed07922a75771540fd53c458929c5c3c4b17e3	78727	summaries/S096.md	Generic HRQoL instruments in autistic children; population and condition-specific performance
97	10.1371/journal.pone.0290606	2015200	corpus/2015200/doi_10.1371_journal.pone.0290606.md	shared	8f3b3dda23875e9d2ec60f0423b8f9d5775938eca2c192e31dac8e6aaa3e6824	129275	summaries/S097.md	EQ-5D-3L, EQ-5D-5L, and WHOQOL-OLD; residential aged care; instrument comparison
