record_id	doi	project_id	article_path	article_sha256	article_bytes	xml_path	xml_sha256	xml_bytes
B11	10.1097/mlr.0000000000002315	1787-RA	corpus/1787-RA/doi_10.1097_mlr.0000000000002315.md	1357ec5e1968fa90e5d089d20bce9aa717a605af481776e7fdac726471b62dad	55617	input/projects/1787-RA/papers/doi_10.1097_mlr.0000000000002315.xml	6450e29301da6d37d3974b1aba432c7594fddff77e353b283e314b2dfd9438f5	95937
B12	10.1186/s12955-024-02303-5	1644-RA	corpus/1644-RA/doi_10.1186_s12955-024-02303-5.md	17cfd5eb7a10fab592256e4fda1ca60ea97f7dde4d7d9cdc354435a6cfdf468e	109230	input/projects/1644-RA/papers/doi_10.1186_s12955-024-02303-5.xml	7b1a4470210af144037fe53de7eed19d6b2c62ea61d3c89f06ffe1690396a969	172574
B13	10.1177/0272989x251380556	399-RA	corpus/399-RA/doi_10.1177_0272989x251380556.md	91d4c02e7b1d5b43b84e82c49838fbe2ba6ba78ac4449304a1a9504b078b3ae4	59876	input/projects/399-RA/papers/doi_10.1177_0272989x251380556.xml	9fd8ac69e93b15f22ffd1385e0a0a39b57e54857a0ba7168b13355211e72bfa1	109581
B14	10.1007/s11136-025-03989-w	1508-RA	corpus/1508-RA/doi_10.1007_s11136-025-03989-w.md	76186c0858c347069829599bcd564747ec9d124fee7206fa0cd3449ac57b1f78	49094	input/projects/1508-RA/papers/doi_10.1007_s11136-025-03989-w.xml	d3392ed52299632af1ab8cbdeb23d06e8af789a66203ddf2f3b67ae12a2aeb31	80251
B15	10.1007/s40273-015-0292-9	2013230	corpus/2013230/doi_10.1007_s40273-015-0292-9.md	183a6da25535bfd5f18299dc5aa2c40eea8e4b804bf42793efda1eb3a62ae76c	55363	input/projects/2013230/papers/doi_10.1007_s40273-015-0292-9.xml	48ed6cd422b428a53edaca97c35d62ba88be6c99b05e6f7213ddfa7cd9cb06aa	92740
B16	10.1007/s40273-021-01002-z	20180130	corpus/20180130/doi_10.1007_s40273-021-01002-z.md	f16bf7a38694b56920da191a401bb044d65a40b646a083e7fd2139a5fca87322	94816	input/projects/20180130/papers/doi_10.1007_s40273-021-01002-z.xml	01a092c8f0e35e8afeaadf90e7dde4d56d021ac1779bd2f02d268bb7a4fc2e5a	171390
B17	10.1371/journal.pone.0305983	2016440	corpus/2016440/doi_10.1371_journal.pone.0305983.md	7f409e20c5dc6736c7b2b78fc355d6a8e54a30b8ccceb299a3b5bd8419fad0c9	3148	input/projects/2016440/papers/doi_10.1371_journal.pone.0305983.xml	307213f16749cb651e92e091eabfad32d7aae231e657280f2bf2e705e4c91f73	10486
B18	10.3961/jpmph.22.151	2016290	corpus/2016290/doi_10.3961_jpmph.22.151.md	85bc7bba2624710564b9b3dc97c953f6f5d533bc9381b4390a897dce7d41f6f2	58582	input/projects/2016290/papers/doi_10.3961_jpmph.22.151.xml	84b0b27f2794fd65cf236121e198e71c32a0f05b45fba9d289a7dceb677b536d	105828
B19	10.1186/s12955-023-02115-z	2016480	corpus/2016480/doi_10.1186_s12955-023-02115-z.md	7af13a637ee2fdaaa6015f33bf75811e8838652bb8eec73539e501c32d572762	110575	input/projects/2016480/papers/doi_10.1186_s12955-023-02115-z.xml	929bbaab8f44781b4f9b8740ed94fea60de80a0d59b90a26dadad9955a4c9c6c	175119
B20	10.1016/j.pecinn.2025.100421	445-RA	corpus/445-RA/doi_10.1016_j.pecinn.2025.100421.md	5fa457602fbfb26b73693be425c43cf2eab5cd21d09241d7501868f60d1ee6b1	47416	input/projects/445-RA/papers/doi_10.1016_j.pecinn.2025.100421.xml	1af80a21a6b9e8e2ece45649a7e4145a40d90eacbca9f8e9b818dbfe7b6d05db	96911
